,price,volume,value
2022-05-11 12:37:59.934805,776.0,305324565.5266442,261639429750.1984
2022-05-11 12:38:13.631141,776.0,305344694.44635105,261655034662.97125
2022-05-11 12:38:26.322000,776.0,305348022.7492522,261657617426.02252
2022-05-11 12:38:40.038604,777.0,305354728.2325427,261662827593.52252
2022-05-11 12:38:52.803255,777.0,305354741.1025556,261662837593.52252
2022-05-11 12:39:05.875072,777.0,305358096.52675116,261665444758.12253
2022-05-11 12:39:19.090579,776.0,305362478.71627486,261668848327.57028
2022-05-11 12:39:31.914248,777.0,305365551.0850007,261671233644.01175
2022-05-11 12:39:44.693429,776.0,305374661.9076398,261678312661.89053
2022-05-11 12:39:56.798776,776.0,305375627.44370204,261679061917.87482
2022-05-11 12:40:08.155789,775.0,305376723.75644207,261679912009.6731
2022-05-11 12:40:20.114569,775.0,305376723.75644207,261679912009.6731
2022-05-11 12:40:33.484329,775.0,305391125.1455891,261691067798.95416
2022-05-11 12:40:46.334430,775.0,305411325.6969466,261706723226.25623
2022-05-11 12:40:58.791922,774.0,305411740.71838087,261707044452.84946
2022-05-11 12:41:11.553862,776.0,305411753.6149067,261707054460.55356
2022-05-11 12:41:24.323164,776.0,305419158.91111666,261712797273.28915
2022-05-11 12:41:38.120927,774.0,305427935.7571874,261719596153.68124
2022-05-11 12:41:50.206992,774.0,305428840.7044567,261720296582.86768
2022-05-11 12:42:02.371651,774.0,305430259.55482197,261721394773.05038
2022-05-11 12:42:15.288747,775.0,305430725.51788265,261721755894.42242
2022-05-11 12:42:27.785967,774.0,305432396.727381,261723050057.1851
2022-05-11 12:42:39.869318,776.0,305434228.727381,261724471689.1851
2022-05-11 12:42:53.613275,776.0,305435130.44018435,261725171418.32053
2022-05-11 12:43:07.514149,776.0,305436962.44018435,261726593050.32053
2022-05-11 12:43:21.045873,777.0,305441984.2765214,261730491827.31805
2022-05-11 12:43:33.757090,777.0,305442641.4460061,261731002448.0077
2022-05-11 12:43:46.840356,776.0,305443311.3523398,261731522295.32263
2022-05-11 12:43:59.073664,777.0,305448461.8884153,261735524261.85324
2022-05-11 12:44:12.062894,776.0,305450636.1870653,261737211859.90436
2022-05-11 12:44:24.680877,776.0,305450636.1870653,261737211859.90436
2022-05-11 12:44:36.937021,776.0,305452468.1870653,261738633491.90436
2022-05-11 12:44:49.692087,775.0,305465974.35142285,261749112323.54578
2022-05-11 12:45:03.054873,775.0,305476240.23562866,261757070588.5895
2022-05-11 12:45:15.302540,775.0,305479085.63720363,261759275767.157
2022-05-11 12:45:26.671928,775.0,305481144.92803395,261760871717.5505
2022-05-11 12:45:39.934901,775.0,305492899.04893047,261769988643.68994
2022-05-11 12:45:53.008327,775.0,305492899.04893047,261769988643.68994
2022-05-11 12:46:06.308983,778.0,305492999.04893047,261770066443.68994
2022-05-11 12:46:19.582740,776.0,305493265.2784915,261770273484.5658
2022-05-11 12:46:32.594058,775.0,305508303.83890283,261781928368.88455
2022-05-11 12:46:46.731630,775.0,305509573.4312034,261782912302.91754
2022-05-11 12:46:59.755319,775.0,305509573.4312034,261782912302.91754
2022-05-11 12:47:13.191847,776.0,305522627.4756389,261793042241.39948
2022-05-11 12:47:26.328198,776.0,305522627.4756389,261793042241.39948
2022-05-11 12:47:39.622736,776.0,305524466.62493104,261794469421.25015
2022-05-11 12:47:52.534070,776.0,305524466.62493104,261794469421.25015
2022-05-11 12:48:05.501617,776.0,305524473.7742232,261794474969.10086
2022-05-11 12:48:18.818178,775.0,305526305.7742232,261795894769.10086
2022-05-11 12:48:32.155594,776.0,305540689.71155065,261807056704.46698
2022-05-11 12:48:45.986362,776.0,305540689.71155065,261807056704.46698
2022-05-11 12:48:59.132738,776.0,305542572.3377895,261808517622.4283
2022-05-11 12:49:12.077340,777.0,305547803.02938944,261812581869.80145
2022-05-11 12:49:24.719336,777.0,305554012.33801526,261817406550.25696
2022-05-11 12:49:50.938481,776.0,305563567.51880884,261824826168.6441
2022-05-11 12:50:03.856087,776.0,305563567.51880884,261824826168.6441
2022-05-11 12:50:16.849571,776.0,305582182.71733177,261839270280.6466
2022-05-11 12:50:31.001820,776.0,305583905.4365588,261840607110.76678
2022-05-11 12:50:43.930933,776.0,305593208.5863018,261847826354.96735
2022-05-11 12:50:58.308645,776.0,305593208.5863018,261847826354.96735
2022-05-11 12:51:11.270436,776.0,305593208.5863018,261847826354.96735
2022-05-11 12:51:26.006560,776.0,305593208.5863018,261847826354.96735
2022-05-11 12:51:39.206472,776.0,305593208.5863018,261847826354.96735
2022-05-11 12:51:51.884973,777.0,305596240.5863018,261850180386.96735
2022-05-11 12:52:05.744302,776.0,305601259.1291045,261854074776.18222
2022-05-11 12:52:18.706224,774.0,305628676.5377077,261875310895.37546
2022-05-11 12:52:31.509559,773.0,305629393.28554857,261875864941.45645
2022-05-11 12:52:43.595174,773.0,305629393.28554857,261875864941.45645
