,price,volume,value
2022-05-11 12:37:54.128655,60.8,243554113.6945588,15714065988.32752
2022-05-11 12:38:06.798987,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:38:20.399772,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:38:33.245809,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:38:46.818128,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:39:00.051892,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:39:13.205523,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:39:25.996678,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:39:38.616605,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:39:51.507870,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:40:02.835444,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:40:14.288453,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:40:27.265088,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:40:40.225558,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:40:53.483993,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:41:05.235532,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:41:18.237301,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:41:31.396197,60.7,243588220.00541595,15716136241.396547
2022-05-11 12:41:44.382912,60.8,243589042.373837,15716186241.396547
2022-05-11 12:41:56.640359,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:42:09.537454,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:42:21.907613,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:42:34.286563,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:42:46.598153,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:43:01.658482,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:43:14.839909,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:43:27.875254,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:43:41.318895,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:43:53.207158,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:44:05.961062,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:44:19.235649,60.7,243589169.99033698,15716193987.718098
2022-05-11 12:44:31.202129,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:44:43.499484,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:44:56.815443,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:45:09.807673,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:45:21.222718,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:45:33.951000,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:45:46.732914,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:46:00.237248,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:46:13.596611,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:46:26.711371,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:46:40.410948,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:46:53.876114,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:47:07.129350,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:47:19.966829,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:47:33.690681,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:47:46.368593,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:47:59.951048,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:48:12.566995,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:48:26.142315,60.8,243597007.12199843,15716670485.323114
2022-05-11 12:48:39.136190,60.9,243662939.62466896,15720687466.852867
2022-05-11 12:48:53.426981,60.9,243663760.64273134,15720737466.852867
2022-05-11 12:49:05.793572,60.9,243663760.64273134,15720737466.852867
2022-05-11 12:49:18.535943,60.9,243663760.64273134,15720737466.852867
2022-05-11 12:49:31.451595,60.9,243668686.75110573,15721037466.852867
2022-05-11 12:49:44.462763,60.9,243672686.26998913,15721281037.552866
2022-05-11 12:49:57.901354,60.9,243672686.26998913,15721281037.552866
2022-05-11 12:50:10.975190,60.9,243672686.26998913,15721281037.552866
2022-05-11 12:50:24.385768,60.9,243672686.26998913,15721281037.552866
2022-05-11 12:50:37.980948,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:50:51.635662,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:51:05.228465,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:51:18.740017,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:51:33.092063,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:51:45.906161,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:51:59.597211,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:52:12.088967,60.9,243682268.17350915,15721864575.477234
2022-05-11 12:52:25.797071,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:52:38.030642,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:52:50.603719,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:53:05.335789,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:53:18.123134,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:53:30.984450,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:53:44.291260,60.7,243714080.60185665,15723798755.38728
2022-05-11 12:53:57.814063,60.6,243718468.79585195,15724064679.943394
2022-05-11 12:54:11.905268,60.6,243718468.79585195,15724064679.943394
2022-05-11 12:54:25.408099,60.6,243718468.79585195,15724064679.943394
2022-05-11 12:54:38.406712,60.5,243725256.25865194,15724475321.442795
2022-05-11 12:54:51.494660,60.5,243725364.82302383,15724481889.587294
2022-05-11 12:55:04.509150,60.5,243725364.82302383,15724481889.587294
2022-05-11 12:55:17.026415,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:55:29.059332,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:55:42.943798,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:55:55.503308,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:56:07.694122,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:56:20.820849,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:56:34.281009,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:56:47.056432,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:56:59.985164,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:57:13.148755,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:57:26.365587,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:57:39.995174,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:57:53.364270,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:58:06.852798,60.7,243734547.58420935,15725037465.082556
2022-05-11 12:58:18.881093,60.9,245127096.4615105,15809222073.560598
2022-05-11 12:58:31.297095,60.5,245129991.29850334,15809396789.003271
2022-05-11 12:58:43.087609,60.5,245129991.29850334,15809396789.003271
2022-05-11 12:58:54.476733,60.5,245161646.3920092,15811311922.160378
2022-05-11 12:59:06.986202,60.5,245161646.3920092,15811311922.160378
2022-05-11 12:59:19.742999,60.3,245173846.11541346,15812047565.481653
2022-05-11 12:59:31.475843,60.3,245173846.11541346,15812047565.481653
2022-05-11 12:59:43.993578,60.3,245175627.79778337,15812155000.928558
2022-05-11 12:59:55.190858,60.3,245175627.79778337,15812155000.928558
2022-05-11 13:00:08.079451,60.3,245175627.79778337,15812155000.928558
2022-05-11 13:00:20.911180,60.3,245206211.94159555,15813998988.217815
2022-05-11 13:00:34.198935,60.3,245206211.94159555,15813998988.217815
2022-05-11 13:00:46.307862,60.3,245206211.94159555,15813998988.217815
2022-05-11 13:00:58.529065,60.4,245206345.58389986,15814007060.212996
2022-05-11 13:01:11.372271,60.4,245206519.99536785,15814017594.66566
2022-05-11 13:01:25.180031,60.6,245206686.02526784,15814027656.077602
2022-05-11 13:01:38.054579,60.7,245206784.87205532,15814033656.0776
2022-05-11 13:01:49.921260,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:02:02.730377,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:02:14.549758,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:02:25.971192,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:02:37.912778,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:02:49.598426,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:03:00.804869,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:03:13.929777,60.4,245207333.27945516,15814066862.420078
2022-05-11 13:03:25.786324,60.4,245207942.44597042,15814103656.0776
2022-05-11 13:03:37.550767,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:03:48.932911,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:04:00.434108,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:04:11.884670,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:04:23.760046,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:04:36.158006,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:04:48.998716,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:05:01.949973,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:05:14.474797,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:05:26.818935,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:05:39.388145,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:05:52.700251,60.3,245208274.12092894,15814123656.077599
2022-05-11 13:06:05.061954,60.7,245211545.8075079,15814322247.452942
2022-05-11 13:06:17.089036,60.7,245211545.8075079,15814322247.452942
2022-05-11 13:06:28.722165,60.5,245654344.6662721,15841111578.408175
2022-05-11 13:06:40.325084,60.5,245654344.6662721,15841111578.408175
2022-05-11 13:06:51.983892,60.7,245654509.41091788,15841121578.408175
2022-05-11 13:07:03.662923,60.5,245694693.16350484,15843552695.439686
2022-05-11 13:07:15.880600,60.5,245694693.16350484,15843552695.439686
2022-05-11 13:07:28.009188,60.5,245694693.16350484,15843552695.439686
2022-05-11 13:07:39.966399,60.5,245694693.16350484,15843552695.439686
2022-05-11 13:07:51.836720,60.5,245694693.16350484,15843552695.439686
2022-05-11 13:08:04.224855,60.5,245699955.69530484,15843871078.613585
2022-05-11 13:08:17.044343,60.5,246349872.26427433,15883191031.036242
2022-05-11 13:08:29.437415,60.5,246903405.60379922,15916679798.077496
2022-05-11 13:08:42.036444,60.5,246984838.70711175,15921606500.827904
2022-05-11 13:08:54.937418,60.5,246995766.70711175,15922267644.827904
2022-05-11 13:09:07.770166,60.5,246995766.70711175,15922267644.827904
