,price,volume,value
2022-05-11 12:37:49.641906,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:38:02.443084,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:38:16.183193,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:38:28.980575,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:38:42.484202,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:38:55.416691,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:39:08.308985,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:39:21.617154,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:39:34.552369,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:39:47.068638,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:39:58.990805,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:40:10.422559,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:40:22.594278,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:40:35.765587,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:40:48.889459,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:41:01.228323,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:41:14.121747,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:41:26.982004,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:41:40.494217,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:41:52.495250,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:42:04.908436,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:42:17.870877,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:42:30.068012,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:42:42.212599,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:42:57.360230,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:43:10.085588,178.0,40962887.08580609,7530441740.182889
2022-05-11 12:43:23.384740,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:43:36.463475,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:43:49.052816,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:44:01.534527,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:44:14.681482,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:44:27.057077,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:44:39.203696,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:44:52.152593,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:45:17.531145,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:45:29.629010,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:45:42.567320,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:45:55.572498,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:46:09.209365,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:46:21.921938,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:46:35.164246,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:46:48.967445,178.0,40963729.7824353,7530591740.182889
2022-05-11 12:47:02.580226,178.0,40963729.7824353,7530591740.182889
