,price,volume,value
2022-05-11 12:37:49.746908,794.0,9793424.94319011,8195953573.216555
2022-05-11 12:38:02.533087,794.0,9793424.94319011,8195953573.216555
2022-05-11 12:38:16.318194,794.0,9793424.94319011,8195953573.216555
2022-05-11 12:38:29.070671,794.0,9793424.94319011,8195953573.216555
2022-05-11 12:38:42.589170,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:38:55.552846,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:39:08.415734,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:39:21.768048,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:39:34.658496,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:39:47.175515,794.0,9793619.94798965,8196108407.02739
2022-05-11 12:39:59.095831,793.0,9793758.99212584,8196218669.027388
2022-05-11 12:40:10.513595,793.0,9793758.99212584,8196218669.027388
2022-05-11 12:40:22.684426,793.0,9793758.99212584,8196218669.027388
2022-05-11 12:40:35.871592,793.0,9793758.99212584,8196218669.027388
2022-05-11 12:40:48.995531,793.0,9793758.99212584,8196218669.027388
2022-05-11 12:41:01.319118,792.0,9793958.26949461,8196376496.703454
2022-05-11 12:41:14.213420,792.0,9793958.26949461,8196376496.703454
2022-05-11 12:41:27.087120,792.0,9793958.26949461,8196376496.703454
2022-05-11 12:41:40.585234,792.0,9793958.26949461,8196376496.703454
2022-05-11 12:41:52.600908,791.0,9793995.61491797,8196406036.9333315
2022-05-11 12:42:05.074383,791.0,9794197.65296342,8196565849.027283
2022-05-11 12:42:17.960526,791.0,9794197.65296342,8196565849.027283
2022-05-11 12:42:30.158013,790.0,9794269.39473557,8196622525.027281
2022-05-11 12:42:42.304181,790.0,9794340.97335839,8196679072.139309
2022-05-11 12:42:57.465824,789.0,9795746.51288912,8197788042.829055
2022-05-11 12:43:10.191543,788.0,9796880.25146779,8198681428.829046
2022-05-11 12:43:23.475090,788.0,9797080.25146779,8198839028.829046
2022-05-11 12:43:36.570490,788.0,9797375.38662007,8199071595.329043
2022-05-11 12:43:49.158157,787.0,9797939.25706919,8199515361.3725
2022-05-11 12:44:01.624688,787.0,9797939.25706919,8199515361.3725
2022-05-11 12:44:14.876510,787.0,9797939.25706919,8199515361.3725
2022-05-11 12:44:27.164129,787.0,9797939.25706919,8199515361.3725
2022-05-11 12:44:39.294156,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:44:52.286933,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:45:05.441556,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:45:17.622078,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:45:29.719946,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:45:42.658988,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:45:55.723707,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:46:09.315595,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:46:22.026943,787.0,9798761.82317961,8200162720.9014015
2022-05-11 12:46:35.269558,787.0,9800363.06749372,8201422900.176606
2022-05-11 12:46:49.147445,787.0,9800363.06749372,8201422900.176606
2022-05-11 12:47:02.670903,786.0,9803454.35727051,8203852653.941163
2022-05-11 12:47:15.613522,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:47:28.967304,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:47:42.150442,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:47:55.558469,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:48:08.719266,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:48:21.279558,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:48:34.842030,786.0,9803911.73678016,8204212154.235747
2022-05-11 12:48:48.766861,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:49:01.563617,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:49:14.550523,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:49:27.027363,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:49:40.007409,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:49:53.520677,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:50:06.426358,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:50:19.885700,786.0,9804419.7431327,8204611954.335697
2022-05-11 12:50:33.710791,786.0,9804419.7431327,8204611954.335697
