,price,volume,value
2022-05-11 12:37:54.368654,18180.0,3312395.78748402,62221060606.955574
2022-05-11 12:38:07.024196,18160.0,3312461.54385496,62222254858.44073
2022-05-11 12:38:20.594774,18160.0,3312539.10017575,62223663286.72985
2022-05-11 12:38:33.442536,18150.0,3312666.73325684,62225980000.74066
2022-05-11 12:38:47.031002,18160.0,3312677.75325684,62226180123.94066
2022-05-11 12:39:00.263927,18160.0,3312677.75325684,62226180123.94066
2022-05-11 12:39:13.402753,18160.0,3312683.30325684,62226280911.94066
2022-05-11 12:39:26.239511,18160.0,3312861.04462975,62229508695.272705
2022-05-11 12:39:38.917767,18160.0,3312903.35475221,62230277047.09658
2022-05-11 12:39:51.688397,18130.0,3313272.85475221,62236977119.65539
2022-05-11 12:40:03.106744,18130.0,3313272.85475221,62236977119.65539
2022-05-11 12:40:14.470626,18130.0,3313272.85475221,62236977119.65539
2022-05-11 12:40:27.478594,18120.0,3313288.80597263,62237266161.28512
2022-05-11 12:40:40.421153,18120.0,3313288.80597263,62237266161.28512
2022-05-11 12:40:53.665128,18110.0,3313349.90942165,62238372744.74687
2022-05-11 12:41:05.492249,18120.0,3313741.37207915,62245466048.10078
2022-05-11 12:41:18.600312,18140.0,3313847.2194608,62247386808.0939
2022-05-11 12:41:31.592940,18110.0,3314096.25923239,62251898830.92687
2022-05-11 12:41:44.593204,18110.0,3314108.26879403,62252116209.514366
2022-05-11 12:41:56.865359,18110.0,3314118.82097514,62252307309.51427
2022-05-11 12:42:09.717682,18110.0,3314164.52742941,62253135053.4011
2022-05-11 12:42:22.088388,18110.0,3314164.52742941,62253135053.4011
2022-05-11 12:42:34.466342,18110.0,3314164.52742941,62253135053.4011
2022-05-11 12:42:46.898153,18120.0,3314462.50647091,62258537402.38292
2022-05-11 12:43:01.854470,18120.0,3314517.52930652,62259534416.16417
2022-05-11 12:43:15.035906,18120.0,3314517.52930652,62259534416.16417
2022-05-11 12:43:28.055929,18130.0,3314938.85799318,62267173105.25332
2022-05-11 12:43:41.544896,18130.0,3314938.85799318,62267173105.25332
2022-05-11 12:43:53.508652,18130.0,3314938.85799318,62267173105.25332
2022-05-11 12:44:06.203650,18130.0,3315060.54619943,62269379312.43263
2022-05-11 12:44:19.433840,18110.0,3315186.14476925,62271654911.14845
2022-05-11 12:44:31.384179,18110.0,3315186.14476925,62271654911.14845
2022-05-11 12:44:43.757466,18110.0,3315186.14476925,62271654911.14845
2022-05-11 12:44:57.040946,18110.0,3315186.14476925,62271654911.14845
2022-05-11 12:45:10.050252,18070.0,3315586.56834178,62278898249.1889
2022-05-11 12:45:21.404394,18090.0,3315756.90612464,62281979867.730225
2022-05-11 12:45:34.224463,18150.0,3316482.92157421,62295156370.859924
2022-05-11 12:45:46.959020,18140.0,3316608.20465973,62297428990.3795
2022-05-11 12:46:00.477411,18150.0,3316897.21385007,62302673251.52373
2022-05-11 12:46:13.914747,18150.0,3316905.14765172,62302817250.023674
2022-05-11 12:46:26.905623,18140.0,3317124.75931033,62306799087.905
2022-05-11 12:46:40.772830,18140.0,3317124.75931033,62306799087.905
2022-05-11 12:46:54.086793,18130.0,3317150.79038589,62307271031.3049
2022-05-11 12:47:07.340113,18130.0,3317202.3317379,62308205476.016846
2022-05-11 12:47:20.177302,18130.0,3317202.3317379,62308205476.016846
2022-05-11 12:47:33.993099,18130.0,3317202.3317379,62308205476.016846
2022-05-11 12:47:46.579892,18130.0,3317202.3317379,62308205476.016846
2022-05-11 12:48:00.132478,18130.0,3317218.19521542,62308493080.86428
2022-05-11 12:48:12.747094,18130.0,3317218.19521542,62308493080.86428
2022-05-11 12:48:26.382748,18130.0,3318475.07946808,62331280171.614456
2022-05-11 12:48:39.408739,18150.0,3319849.55469321,62356220201.160065
2022-05-11 12:48:53.637596,18150.0,3319849.55469321,62356220201.160065
2022-05-11 12:49:05.990756,18160.0,3319896.32628269,62357069573.22502
2022-05-11 12:49:18.762509,18220.0,3320267.52554352,62363826772.272125
2022-05-11 12:49:31.634254,18220.0,3320967.09020733,62376574392.32021
2022-05-11 12:49:44.688078,18200.0,3321165.0946741,62380178073.61543
2022-05-11 12:49:58.127558,18200.0,3321169.59910902,62380260054.33097
2022-05-11 12:50:11.170449,18190.0,3321203.753155,62380881399.50827
2022-05-11 12:50:24.641956,18190.0,3321245.42198,62381639355.43502
2022-05-11 12:50:38.160996,18250.0,3321296.62984343,62382572455.004684
2022-05-11 12:50:51.847982,18190.0,3321308.97136253,62382796947.237114
2022-05-11 12:51:05.455016,18190.0,3321309.61127371,62382808587.22147
2022-05-11 12:51:18.921204,18190.0,3321309.61127371,62382808587.22147
2022-05-11 12:51:33.302838,18220.0,3321446.8191064,62385308587.22141
2022-05-11 12:51:46.147923,18160.0,3321455.06264817,62385458454.865746
2022-05-11 12:51:59.792501,18160.0,3321455.06264817,62385458454.865746
2022-05-11 12:52:12.301420,18100.0,3321524.74862242,62386720910.23209
2022-05-11 12:52:25.977720,18070.0,3321706.20882546,62390003890.84924
2022-05-11 12:52:38.227989,18060.0,3322153.54423948,62398083647.00975
2022-05-11 12:52:50.828497,18060.0,3322153.54423948,62398083647.00975
2022-05-11 12:53:05.516747,18070.0,3322155.50413581,62398119062.33643
2022-05-11 12:53:18.305946,18070.0,3322155.50413581,62398119062.33643
2022-05-11 12:53:31.166231,18070.0,3322155.50413581,62398119062.33643
2022-05-11 12:53:44.533026,18070.0,3322155.50413581,62398119062.33643
2022-05-11 12:53:58.026695,18070.0,3322155.50413581,62398119062.33643
2022-05-11 12:54:12.101400,18080.0,3322321.57080345,62401120340.33614
2022-05-11 12:54:25.605046,18030.0,3322450.70107676,62403451243.01496
2022-05-11 12:54:38.616998,18060.0,3322500.02936937,62404341730.688194
2022-05-11 12:54:51.689593,18060.0,3322500.02936937,62404341730.688194
2022-05-11 12:55:04.704150,18060.0,3322638.43936937,62406841415.28819
2022-05-11 12:55:17.224414,18040.0,3322670.29728234,62407416132.03817
2022-05-11 12:55:29.272461,18040.0,3322879.75629515,62411194606.239914
2022-05-11 12:55:43.141628,18030.0,3323426.80224701,62421057061.58376
2022-05-11 12:55:55.757774,18010.0,3323607.2271519,62424307911.969055
2022-05-11 12:56:07.935090,18070.0,3323662.5971519,62425307937.400276
2022-05-11 12:56:21.002676,18090.0,3323667.5971519,62425398387.400276
2022-05-11 12:56:34.462900,18110.0,3323722.8371519,62426398783.80028
2022-05-11 12:56:47.237649,18120.0,3323750.4371519,62426898895.80028
2022-05-11 12:57:00.181779,18120.0,3323750.4371519,62426898895.80028
2022-05-11 12:57:13.344440,18120.0,3323750.4371519,62426898895.80028
2022-05-11 12:57:26.665489,18120.0,3323750.4371519,62426898895.80028
2022-05-11 12:57:40.205966,18160.0,3323894.23041026,62429507039.81961
2022-05-11 12:57:53.635913,18110.0,3324042.69537878,62432199574.14636
2022-05-11 12:58:07.033389,18120.0,3324043.97537878,62432222767.74636
2022-05-11 12:58:19.077341,18120.0,3324073.97537878,62432766367.74636
2022-05-11 12:58:31.491973,18140.0,3324101.53537878,62433266433.998985
2022-05-11 12:58:43.284383,18190.0,3324183.99537878,62434766381.39899
2022-05-11 12:58:54.687811,18190.0,3324183.99537878,62434766381.39899
2022-05-11 12:59:07.334057,18200.0,3324295.90309856,62436803101.89898
2022-05-11 12:59:19.924026,18200.0,3324295.90309856,62436803101.89898
2022-05-11 12:59:31.656352,18200.0,3324295.90309856,62436803101.89898
2022-05-11 12:59:44.174760,18150.0,3324299.88923735,62436875450.31802
2022-05-11 12:59:55.401359,18130.0,3324311.90281136,62437093256.414825
2022-05-11 13:00:08.364654,18130.0,3324357.12421228,62437912761.624084
2022-05-11 13:00:21.137905,18080.0,3324476.79217843,62440077937.152306
2022-05-11 13:00:34.379072,18100.0,3324518.97682937,62440840813.18375
2022-05-11 13:00:46.502862,18100.0,3324518.97682937,62440840813.18375
2022-05-11 13:00:58.739962,18190.0,3324622.54073653,62442723556.49006
2022-05-11 13:01:11.598487,18180.0,3324643.44062384,62443103901.86318
2022-05-11 13:01:25.420566,18210.0,3324723.94981524,62444568441.299614
2022-05-11 13:01:38.282352,18200.0,3325136.30232897,62452073257.0495
2022-05-11 13:01:50.161876,18200.0,3325136.30232897,62452073257.0495
2022-05-11 13:02:02.986891,18180.0,3325445.73330699,62457700930.04947
2022-05-11 13:02:14.732006,18180.0,3325445.73330699,62457700930.04947
2022-05-11 13:02:26.151283,18190.0,3326433.22455644,62475693624.41918
2022-05-11 13:02:38.108644,18190.0,3326444.38235644,62475896584.801186
2022-05-11 13:02:49.778874,18200.0,3326646.29235644,62479571346.801186
2022-05-11 13:03:00.984869,18200.0,3326808.34953149,62482520787.38709
2022-05-11 13:03:14.140571,18200.0,3326808.34953149,62482520787.38709
2022-05-11 13:03:25.996538,18160.0,3326933.3121083,62484792951.924866
2022-05-11 13:03:37.730817,18130.0,3326973.31797572,62485518685.72455
2022-05-11 13:03:49.222024,18130.0,3327018.20220272,62486332436.760056
2022-05-11 13:04:00.629104,18160.0,3327139.16820272,62488529179.32005
2022-05-11 13:04:12.066133,18170.0,3327144.59705272,62488627821.52455
2022-05-11 13:04:23.942070,18170.0,3327144.59705272,62488627821.52455
2022-05-11 13:04:36.353006,18170.0,3327144.59705272,62488627821.52455
2022-05-11 13:04:49.208712,18200.0,3327374.00171986,62492804595.25044
2022-05-11 13:05:02.129789,18200.0,3327801.44171986,62500585296.843025
2022-05-11 13:05:14.703008,18240.0,3328228.86171986,62508366193.43182
2022-05-11 13:05:27.013850,18180.0,3332300.4978828,62582401055.6212
2022-05-11 13:05:39.614462,18190.0,3332695.41155767,62589581371.66199
2022-05-11 13:05:52.880251,18210.0,3333007.76155767,62595266671.602295
2022-05-11 13:06:05.348787,18210.0,3333010.17523147,62595310624.60219
2022-05-11 13:06:17.271967,18230.0,3333102.04753265,62596985062.46924
2022-05-11 13:06:28.932507,18230.0,3333102.04753265,62596985062.46924
2022-05-11 13:06:40.550086,18200.0,3333348.50070618,62601470510.227486
2022-05-11 13:06:52.180178,18190.0,3333368.76355936,62601838912.94716
2022-05-11 13:07:03.874983,18180.0,3333379.0780099,62602026429.65798
2022-05-11 13:07:16.060432,18170.0,3333379.6280649,62602036424.157326
2022-05-11 13:07:28.219188,18140.0,3333399.82097991,62602402740.14634
2022-05-11 13:07:40.146400,18200.0,3333454.95124908,62603403916.859825
2022-05-11 13:07:52.016576,18150.0,3333455.34510279,62603411065.304665
2022-05-11 13:08:04.406935,18150.0,3333455.34510279,62603411065.304665
2022-05-11 13:08:17.225189,18150.0,3333455.34510279,62603411065.304665
2022-05-11 13:08:29.650921,18150.0,3333455.34510279,62603411065.304665
2022-05-11 13:08:42.263237,18180.0,3333458.34510279,62603465605.304665
2022-05-11 13:08:55.224684,18180.0,3333458.34510279,62603465605.304665
2022-05-11 13:09:07.965446,18190.0,3333674.35320013,62607393038.384476
2022-05-11 13:09:21.192867,18160.0,3335009.89368434,62631659751.69954
2022-05-11 13:09:34.075451,18200.0,3335020.20913101,62631847492.82893
2022-05-11 13:09:46.474946,18170.0,3335044.65381565,62632291652.74885
2022-05-11 13:09:58.675569,18170.0,3335045.20413205,62632301654.74866
2022-05-11 13:10:11.484683,18170.0,3335056.76175449,62632511656.74839
2022-05-11 13:10:23.637771,18170.0,3335060.14822855,62632573188.98206
2022-05-11 13:10:36.201702,18140.0,3335117.68020264,62633617254.3118
