,price,volume,value
2022-05-11 12:38:00.264458,58250.0,1003997.19705829,61951241932.59329
2022-05-11 12:38:14.022002,58270.0,1004045.43416074,61954052702.7108
2022-05-11 12:38:26.609233,58270.0,1004045.43416074,61954052702.7108
2022-05-11 12:38:40.400558,58270.0,1004045.43416074,61954052702.7108
2022-05-11 12:38:53.196887,58300.0,1004056.74319216,61954712019.242584
2022-05-11 12:39:06.192339,58300.0,1004062.32756477,61955037588.16575
2022-05-11 12:39:19.437145,58300.0,1004321.75823673,61970162406.61147
2022-05-11 12:39:32.233485,58330.0,1004483.79405754,61979609410.09356
2022-05-11 12:39:45.025683,58330.0,1004520.79905754,61981767911.74356
2022-05-11 12:39:57.086363,58430.0,1004817.05186855,61999047987.35262
2022-05-11 12:40:08.473169,58300.0,1004854.44186855,62001229324.35262
2022-05-11 12:40:20.431525,58300.0,1004908.20443523,62004363681.99007
2022-05-11 12:40:33.848174,58250.0,1005143.25869666,62018063384.18247
2022-05-11 12:40:46.848921,58240.0,1005175.7059381,62019953282.44456
2022-05-11 12:40:59.093317,58230.0,1005276.69411896,62025833056.42376
2022-05-11 12:41:11.856640,58220.0,1005401.43462752,62033095321.13251
2022-05-11 12:41:24.687119,58220.0,1005507.69690743,62039282496.604836
2022-05-11 12:41:38.484568,58170.0,1005559.94281959,62042323190.74964
2022-05-11 12:41:50.477976,58170.0,1005609.65504369,62045214419.21322
2022-05-11 12:42:02.750316,58140.0,1005625.35068873,62046127034.85449
2022-05-11 12:42:15.637418,58150.0,1005748.70496899,62053298944.84803
2022-05-11 12:42:28.086687,58150.0,1005796.57220492,62056082424.61736
2022-05-11 12:42:40.156697,58140.0,1005894.44120492,62061773777.46675
2022-05-11 12:42:54.215610,58160.0,1006571.10065597,62101128291.13982
2022-05-11 12:43:07.877196,58180.0,1006586.29710325,62102012636.15139
2022-05-11 12:43:21.348001,58240.0,1006647.71765711,62105587087.8082
2022-05-11 12:43:34.059382,58180.0,1006662.06065711,62106421597.91245
2022-05-11 12:43:47.112295,58280.0,1006687.367828,62107894022.07804
