,price,volume,value
2022-05-11 12:37:59.169211,32560.0,5679348.53023081,208215464858.97968
2022-05-11 12:38:12.475466,32590.0,5680240.19751446,208244503624.4084
2022-05-11 12:38:25.355114,32540.0,5682496.87482404,208317967149.17065
2022-05-11 12:38:39.071800,32440.0,5684259.3888133,208375257994.3943
2022-05-11 12:38:51.730657,32450.0,5684773.75170041,208391945387.95215
2022-05-11 12:39:05.043407,32460.0,5685019.66925515,208399925070.0229
2022-05-11 12:39:18.261497,32460.0,5685231.59366009,208406802200.3716
2022-05-11 12:39:31.112491,32450.0,5685281.37449006,208408418019.5528
2022-05-11 12:39:43.818169,32450.0,5685281.37449006,208408418019.5528
2022-05-11 12:39:56.075541,32450.0,5685618.13425192,208419346826.5784
2022-05-11 12:40:07.397084,32500.0,5685777.48629003,208424525652.3714
2022-05-11 12:40:19.164301,32450.0,5685897.99081238,208428438731.10684
2022-05-11 12:40:32.589908,32390.0,5686869.22795791,208459924920.80832
2022-05-11 12:40:45.320985,32350.0,5687212.87238088,208471051830.39526
2022-05-11 12:40:57.942853,32350.0,5687328.89756154,208474804472.63272
2022-05-11 12:41:10.752041,32350.0,5687622.73618421,208484309805.05618
2022-05-11 12:41:23.523855,32390.0,5688172.94566497,208502120929.4537
2022-05-11 12:41:36.988609,32440.0,5688176.02732906,208502220898.63678
2022-05-11 12:41:49.276515,32390.0,5688191.44744035,208502720796.41794
2022-05-11 12:42:01.418959,32390.0,5688295.86764162,208506102966.7371
2022-05-11 12:42:14.439504,32350.0,5688769.03148757,208521413347.8233
2022-05-11 12:42:26.847465,32330.0,5689502.95660621,208545143819.97253
2022-05-11 12:42:38.987608,32340.0,5689950.70013879,208559629718.512
2022-05-11 12:42:51.928791,32330.0,5690297.66592012,208570847122.22238
2022-05-11 12:43:06.546130,32330.0,5690450.85358787,208575799917.11075
2022-05-11 12:43:20.093311,32320.0,5690661.85553046,208582620125.7545
2022-05-11 12:43:32.959081,32330.0,5690717.13308665,208584407424.6001
2022-05-11 12:43:46.022224,32300.0,5690945.02129682,208591768749.63718
2022-05-11 12:43:58.289099,32270.0,5691434.95559004,208607584087.99234
2022-05-11 12:44:10.970136,32240.0,5691784.44034457,208618856604.9284
2022-05-11 12:44:23.924659,32240.0,5692099.26578637,208629005183.92337
2022-05-11 12:44:36.137165,32240.0,5692471.10561859,208640993300.11414
2022-05-11 12:44:48.785298,32240.0,5692799.54965345,208651576972.52832
2022-05-11 12:45:02.238920,32230.0,5693055.57186052,208659827123.99265
2022-05-11 12:45:14.520206,32230.0,5694660.00004496,208711519702.7129
2022-05-11 12:45:25.766930,32240.0,5694948.75057697,208720827974.32278
2022-05-11 12:45:39.103621,32240.0,5696711.61147361,208777662609.63046
2022-05-11 12:45:52.207398,32230.0,5697582.85742297,208805743021.35834
2022-05-11 12:46:05.385086,32240.0,5697798.89429393,208812708047.6126
2022-05-11 12:46:18.601744,32240.0,5697888.09521189,208815583885.20764
2022-05-11 12:46:31.477002,32240.0,5698166.75986773,208824563782.0876
2022-05-11 12:46:45.827075,32240.0,5698373.8381928,208831235573.3847
2022-05-11 12:46:58.671513,32210.0,5698544.81595444,208836743781.15366
2022-05-11 12:47:12.301598,32210.0,5699122.75664402,208855360113.02502
2022-05-11 12:47:25.495652,32210.0,5699211.54258689,208858219908.24487
2022-05-11 12:47:38.748250,32240.0,5699453.85758809,208866025479.02957
2022-05-11 12:47:51.691780,32210.0,5699798.17170109,208877123060.53214
2022-05-11 12:48:04.745781,32240.0,5699981.38844054,208883029152.64188
2022-05-11 12:48:17.716412,32220.0,5700699.25154237,208906170438.31226
2022-05-11 12:48:31.080020,32240.0,5701915.83618267,208945393127.1155
2022-05-11 12:48:45.062637,32240.0,5701996.50683765,208947993949.03207
2022-05-11 12:48:58.364477,32240.0,5702005.1919183,208948273956.03223
2022-05-11 12:49:11.140888,32300.0,5702103.84429186,208951460427.6982
2022-05-11 12:49:23.633948,32310.0,5702254.85588572,208956339582.7799
2022-05-11 12:49:36.560954,32300.0,5702640.94248716,208968816369.088
2022-05-11 12:49:50.107967,32300.0,5702950.1376762,208978804933.8053
2022-05-11 12:50:02.950305,32230.0,5703172.93646757,208985995459.002
2022-05-11 12:50:16.033415,32230.0,5703172.93646757,208985995459.002
2022-05-11 12:50:30.082512,32230.0,5704080.35202514,209015245424.9172
2022-05-11 12:50:43.112719,32230.0,5704152.62989086,209017575640.5922
2022-05-11 12:50:57.359246,32220.0,5704639.44496549,209033260661.86942
2022-05-11 12:51:10.381341,32230.0,5705517.59901325,209061567430.33755
2022-05-11 12:51:24.889734,32230.0,5709528.88787791,209190851270.44553
2022-05-11 12:51:38.408423,32230.0,5710477.46247416,209221409412.53827
2022-05-11 12:51:50.993708,32200.0,5710885.83463976,209234560902.85364
2022-05-11 12:52:04.658259,32200.0,5712814.48405695,209296670259.5954
2022-05-11 12:52:17.542896,32170.0,5714609.47799387,209354450490.36142
2022-05-11 12:52:30.603971,32150.0,5715045.33412167,209368458216.91016
2022-05-11 12:52:42.859494,32170.0,5716105.20249847,209402524566.483
2022-05-11 12:52:55.753446,32140.0,5716158.99602016,209404253990.2701
2022-05-11 12:53:10.090133,32140.0,5716205.79157809,209405758015.03476
2022-05-11 12:53:23.180518,32190.0,5716662.01876066,209420444708.47098
2022-05-11 12:53:36.388833,32170.0,5716755.3625092,209423449521.76157
2022-05-11 12:53:49.477270,32170.0,5716789.26851993,209424540278.12674
2022-05-11 12:54:03.183676,32150.0,5717023.81988623,209432084206.82687
2022-05-11 12:54:17.111769,32130.0,5717203.02804011,209437843055.2487
2022-05-11 12:54:30.313283,32050.0,5718534.57667104,209480579958.39862
2022-05-11 12:54:43.539549,32110.0,5718816.74860738,209489635908.899
2022-05-11 12:54:56.549480,32090.0,5718944.81747807,209493744525.92255
2022-05-11 12:55:09.800858,32090.0,5719102.10243679,209498791487.25882
2022-05-11 12:55:21.587970,32080.0,5719399.46517587,209508333262.26715
2022-05-11 12:55:33.710224,32070.0,5719430.96358473,209509343419.35553
2022-05-11 12:55:47.987798,32100.0,5719479.42939745,209510898508.38803
2022-05-11 12:56:00.271179,32120.0,5719914.0261952,209524849350.5958
2022-05-11 12:56:12.554025,32150.0,5719929.20707122,209525337272.21753
2022-05-11 12:56:26.014998,32150.0,5719991.54149691,209527341324.00345
2022-05-11 12:56:39.307335,32190.0,5720080.70247631,209530211949.50418
2022-05-11 12:56:52.735859,32190.0,5720098.20247631,209530775274.50418
2022-05-11 12:57:05.326723,32210.0,5720280.73000632,209536650869.88583
2022-05-11 12:57:17.913685,32190.0,5720358.75662953,209539163167.61942
2022-05-11 12:57:31.601800,32250.0,5720687.85520661,209549764074.442
2022-05-11 12:57:45.628895,32250.0,5720855.98856897,209555196378.4271
2022-05-11 12:57:59.026147,32270.0,5720980.47579463,209559207861.958
2022-05-11 12:58:11.272165,32270.0,5721186.1692325,209565846265.86914
2022-05-11 12:58:23.619515,32230.0,5721196.20265124,209566169675.06113
2022-05-11 12:58:35.938506,32250.0,5721328.59504601,209570440667.33395
2022-05-11 12:58:47.569238,32230.0,5721436.51967592,209573920926.7632
2022-05-11 12:58:59.620320,32200.0,5721616.81113465,209579729349.53433
2022-05-11 12:59:11.962276,32170.0,5721743.03489054,209583789343.93158
2022-05-11 12:59:24.675396,32160.0,5721914.62668071,209589308008.05206
2022-05-11 12:59:36.559013,32220.0,5721917.72841768,209589407946.01724
2022-05-11 12:59:48.624671,32210.0,5721949.07540712,209590417430.37076
2022-05-11 13:00:00.385264,32170.0,5722018.73735045,209592658645.48657
2022-05-11 13:00:13.555611,32170.0,5722036.9052574,209593243107.05316
2022-05-11 13:00:25.887336,32140.0,5722298.42282429,209601653577.97046
2022-05-11 13:00:38.966963,32200.0,5722388.1506199,209604542674.5865
2022-05-11 13:00:51.387143,32270.0,5722445.22158929,209606383631.21594
2022-05-11 13:01:03.430296,32260.0,5722447.45406084,209606455660.0582
2022-05-11 13:01:16.944225,32300.0,5722595.78710579,209611244203.44186
2022-05-11 13:01:30.643170,32260.0,5722683.53672871,209614076036.94217
2022-05-11 13:01:43.101357,32260.0,5722729.76573546,209615567384.69992
2022-05-11 13:01:54.826686,32180.0,5722876.65892223,209620301642.24225
2022-05-11 13:02:07.357812,32180.0,5722877.1854127,209620318584.70557
2022-05-11 13:02:18.970334,32180.0,5722877.1854127,209620318584.70557
2022-05-11 13:02:30.551984,32260.0,5722915.42732181,209621551003.03873
2022-05-11 13:02:42.726551,32260.0,5722915.42732181,209621551003.03873
2022-05-11 13:02:54.130773,32260.0,5723154.01583876,209629246527.29553
2022-05-11 13:03:06.867168,32260.0,5723154.01583876,209629246527.29553
2022-05-11 13:03:18.597242,32200.0,5723435.74864891,209638320894.41
2022-05-11 13:03:30.488789,32180.0,5723468.55528375,209639376615.02475
2022-05-11 13:03:42.091435,32170.0,5723469.86593923,209639418778.81155
2022-05-11 13:03:53.504179,32160.0,5723482.07890987,209639811582.0322
2022-05-11 13:04:05.153425,32160.0,5723622.84880874,209644337944.0118
2022-05-11 13:04:16.524699,32160.0,5723622.84880874,209644337944.0118
2022-05-11 13:04:28.447302,32180.0,5723709.17948723,209647116283.66562
2022-05-11 13:04:41.037630,32180.0,5723709.17948723,209647116283.66562
2022-05-11 13:04:54.890533,32270.0,5723712.27834066,209647216283.6658
2022-05-11 13:05:06.742800,32270.0,5723758.9673563,209648722894.5669
2022-05-11 13:05:19.512941,32270.0,5723875.23942965,209652474694.3739
2022-05-11 13:05:31.578684,32270.0,5723997.07366088,209656406285.0157
2022-05-11 13:05:44.745974,32270.0,5724259.62885312,209664878941.06927
2022-05-11 13:05:57.673790,32300.0,5724290.76249202,209665884557.60574
2022-05-11 13:06:10.079791,32350.0,5724301.06249202,209666217762.60574
2022-05-11 13:06:21.828269,32350.0,5724370.98515122,209668479753.43964
2022-05-11 13:06:33.137232,32320.0,5724475.54526614,209671862643.53098
2022-05-11 13:06:44.725014,32320.0,5724615.45990693,209676384684.7213
2022-05-11 13:06:56.488043,32300.0,5724646.40990693,209677384369.7213
2022-05-11 13:07:08.533945,32320.0,5724743.4139124,209680517655.7211
2022-05-11 13:07:20.638089,32280.0,5725074.90084492,209691225279.46967
2022-05-11 13:07:32.593948,32290.0,5725305.56210542,209698676379.94122
2022-05-11 13:07:56.601709,32320.0,5725944.79247578,209719336305.51123
2022-05-11 13:08:09.524142,32340.0,5726396.94584779,209733952351.35547
2022-05-11 13:08:21.999497,32330.0,5726397.94887713,209733984779.29404
2022-05-11 13:08:34.382707,32330.0,5726401.35283684,209734094829.31146
2022-05-11 13:08:47.133101,32330.0,5726517.8221092,209737860280.88684
2022-05-11 13:09:00.083002,32380.0,5726518.13094181,209737870280.88675
2022-05-11 13:09:12.952755,32320.0,5727195.21803987,209759774931.69385
2022-05-11 13:09:25.819263,32330.0,5727364.79384836,209765253730.04807
2022-05-11 13:09:38.561892,32370.0,5727365.00978904,209765260720.04785
2022-05-11 13:09:51.061993,32370.0,5727371.18834943,209765460720.0477
2022-05-11 13:10:03.104320,32370.0,5727371.18834943,209765460720.0477
2022-05-11 13:10:16.030006,32330.0,5727379.54834943,209765730998.8477
2022-05-11 13:10:28.103316,32280.0,5727564.32190866,209771701857.39697
2022-05-11 13:10:40.738001,32250.0,5727846.25853894,209780797896.27026
2022-05-11 13:10:52.944001,32140.0,5728840.20448078,209812805987.30533
2022-05-11 13:11:06.406815,32210.0,5728990.52152149,209817639476.00345
2022-05-11 13:11:19.604248,32120.0,5729674.00499611,209839596489.0968
2022-05-11 13:11:32.337210,32100.0,5730534.48742766,209867224099.56552
2022-05-11 13:11:44.855830,32100.0,5730570.70932592,209868386822.49966
2022-05-11 13:11:57.098533,32110.0,5730954.00295727,209880694215.5839
2022-05-11 13:12:10.733629,32120.0,5730962.98977385,209880982863.19855
2022-05-11 13:12:24.568835,32120.0,5730962.98977385,209880982863.19855
2022-05-11 13:12:38.420612,32110.0,5731602.62228483,209901523198.51242
2022-05-11 13:12:51.619012,32090.0,5732751.26146625,209938390435.5463
2022-05-11 13:13:05.585485,32080.0,5734080.50959303,209981034941.63513
2022-05-11 13:13:21.190785,32090.0,5734659.40620882,209999607078.99948
2022-05-11 13:13:35.397302,32080.0,5736534.37698151,210059756537.64832
2022-05-11 13:13:48.368146,32050.0,5738369.29960686,210118600288.2081
2022-05-11 13:14:01.379673,32030.0,5738853.31101283,210134109123.0957
2022-05-11 13:14:15.324846,32040.0,5739456.12301283,210153413163.81018
2022-05-11 13:14:28.911130,32010.0,5740122.54744296,210174753744.651
2022-05-11 13:14:43.120461,32020.0,5740137.26139629,210175224885.43665
2022-05-11 13:14:56.221757,32020.0,5740586.77317625,210189618377.39703
2022-05-11 13:15:09.227697,32020.0,5740822.97644686,210197181606.12195
2022-05-11 13:15:23.606273,32020.0,5741111.59457349,210206423401.06665
2022-05-11 13:15:38.044277,32110.0,5741261.1344223,210211220477.87592
2022-05-11 13:15:52.160381,32160.0,5741343.85952519,210213880642.83383
2022-05-11 13:16:06.278017,32200.0,5741510.36757849,210219240201.33215
2022-05-11 13:16:19.940821,32280.0,5742042.23129269,210236396679.3699
2022-05-11 13:16:33.813855,32170.0,5742293.0228792,210244468850.18137
2022-05-11 13:16:47.023727,32210.0,5742294.57931923,210244518983.11475
2022-05-11 13:17:00.579667,32170.0,5742307.93931923,210244949074.31476
2022-05-11 13:17:13.708936,32200.0,5742553.45274406,210252848156.69427
2022-05-11 13:17:26.697336,32170.0,5743086.43224558,210269993478.15323
2022-05-11 13:17:39.584220,32170.0,5743175.5270705,210272859658.6709
2022-05-11 13:17:52.042868,32160.0,5743507.32411055,210283533207.84055
2022-05-11 13:18:04.813815,32140.0,5743569.01471946,210285516039.51044
2022-05-11 13:18:18.211353,32180.0,5743813.83771874,210293386413.55508
2022-05-11 13:18:30.934003,32080.0,5744368.60163376,210311198342.21658
2022-05-11 13:18:44.435471,32090.0,5744377.34163376,210311478808.8166
2022-05-11 13:18:57.324273,32030.0,5745910.88489025,210360634238.891
2022-05-11 13:19:09.785725,32030.0,5746099.56840134,210366677889.60788
2022-05-11 13:19:22.283857,32030.0,5746507.47622974,210379737419.99725
2022-05-11 13:19:34.368787,32020.0,5746625.08292464,210383504203.56296
2022-05-11 13:19:46.219473,32050.0,5746778.99890901,210388439891.53854
2022-05-11 13:19:58.231023,32050.0,5746778.99890901,210388439891.53854
2022-05-11 13:20:09.798990,32100.0,5746886.01196252,210391875010.5562
2022-05-11 13:20:22.229267,32160.0,5746901.79268656,210392382340.09433
2022-05-11 13:20:34.697466,32160.0,5746980.21268656,210394904327.29434
2022-05-11 13:20:46.931381,32200.0,5747032.50551264,210396587014.2941
2022-05-11 13:20:59.446366,32140.0,5747335.09819829,210406316728.7652
2022-05-11 13:21:12.655179,32100.0,5747875.46760663,210423674384.4688
2022-05-11 13:21:26.128571,32030.0,5748294.23178357,210437103845.80234
2022-05-11 13:21:39.117178,32060.0,5748348.0539794,210438829288.86075
2022-05-11 13:21:52.541324,32050.0,5748560.67595674,210445644485.61295
2022-05-11 13:22:06.422092,32050.0,5748562.23601915,210445694485.6132
2022-05-11 13:22:19.500803,32050.0,5748680.48363574,210449484549.8749
2022-05-11 13:22:34.084149,32100.0,5748865.03840488,210455399646.97708
