,price,volume,value
2022-05-11 12:37:51.938599,627.0,35955202.95310003,23176756688.872967
2022-05-11 12:38:04.530819,626.0,35956836.63939821,23177780013.152534
2022-05-11 12:38:18.238958,627.0,35959157.84014782,23179234508.696083
2022-05-11 12:38:31.156287,627.0,35959652.25801064,23179544508.69607
2022-05-11 12:38:44.509717,626.0,35960183.85584808,23179877288.94231
2022-05-11 12:38:57.759317,627.0,35960213.32961663,23179895747.739834
2022-05-11 12:39:10.873799,627.0,35960213.32961663,23179895747.739834
2022-05-11 12:39:23.790602,627.0,35960213.32961663,23179895747.739834
2022-05-11 12:39:36.502535,627.0,35960213.32961663,23179895747.739834
2022-05-11 12:39:49.229612,626.0,35961848.70708017,23180919494.032013
2022-05-11 12:40:00.763010,626.0,35961848.70708017,23180919494.032013
2022-05-11 12:40:12.340483,626.0,35961848.70708017,23180919494.032013
2022-05-11 12:40:24.909258,626.0,35961848.70708017,23180919494.032013
2022-05-11 12:40:37.734288,626.0,35963907.01967106,23182207997.71391
2022-05-11 12:40:50.896996,626.0,35964701.52816761,23182705360.03275
2022-05-11 12:41:03.176074,625.0,35967312.22629527,23184337046.362537
2022-05-11 12:41:16.074213,626.0,35973524.19477863,23188224708.411472
2022-05-11 12:41:28.962653,626.0,35975851.16921952,23189681394.411472
2022-05-11 12:41:42.456180,626.0,35976304.16921952,23189964972.411472
2022-05-11 12:41:54.563586,626.0,35976304.16921952,23189964972.411472
2022-05-11 12:42:07.420043,626.0,35976304.16921952,23189964972.411472
2022-05-11 12:42:19.760774,625.0,35977640.66592444,23190800282.852047
2022-05-11 12:42:32.093988,625.0,35982736.98760486,23193985483.90231
2022-05-11 12:42:44.088882,625.0,35982736.98760486,23193985483.90231
2022-05-11 12:42:59.510305,625.0,35983882.5019819,23194701675.902336
2022-05-11 12:43:12.425489,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:43:25.441385,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:43:38.927309,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:43:50.879126,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:44:03.694873,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:44:17.074153,625.0,35985016.26259966,23195410276.288437
2022-05-11 12:44:29.137068,625.0,35985016.26259966,23195410276.288437
