,price,volume,value
2022-05-11 12:37:51.848168,306300.0,50742.68347069,15941417381.57877
2022-05-11 12:38:04.424317,306850.0,50744.03931481,15941833391.724691
2022-05-11 12:38:18.133958,306850.0,50744.03931481,15941833391.724691
2022-05-11 12:38:31.066186,306350.0,50744.12461875,15941859524.586712
2022-05-11 12:38:44.420279,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:38:57.653851,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:39:10.739573,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:39:23.578838,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:39:36.396976,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:39:49.124310,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:40:00.673130,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:40:12.250398,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:40:24.818655,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:40:37.613142,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:40:50.807449,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:41:03.069810,306400.0,50744.14718288,15941866438.236143
2022-05-11 12:41:15.983401,306850.0,50744.97130636,15942119506.234676
2022-05-11 12:41:28.857705,306850.0,50744.97130636,15942119506.234676
2022-05-11 12:41:42.350460,306800.0,50746.19896913,15942496034.290653
2022-05-11 12:41:54.455884,306800.0,50746.19896913,15942496034.290653
2022-05-11 12:42:07.207774,306800.0,50746.19896913,15942496034.290653
2022-05-11 12:42:19.670372,306650.0,50750.33719947,15943764174.630348
2022-05-11 12:42:32.002075,306600.0,50752.28689236,15944361363.274702
2022-05-11 12:42:43.982995,306400.0,50752.48689236,15944422643.274702
2022-05-11 12:42:59.344585,306400.0,50752.61326311,15944461363.272503
2022-05-11 12:43:12.289297,306200.0,50754.01326311,15944890053.272503
2022-05-11 12:43:25.351937,306200.0,50755.01326311,15945196253.272503
2022-05-11 12:43:38.790448,306100.0,50755.21326311,15945257473.272503
2022-05-11 12:43:50.788173,306100.0,50755.21326311,15945257473.272503
2022-05-11 12:44:03.574103,306100.0,50755.39253518,15945312348.453129
2022-05-11 12:44:16.891641,305600.0,50758.76169907,15946342201.061665
2022-05-11 12:44:29.015172,305750.0,50772.33873017,15950491491.765823
2022-05-11 12:44:41.272750,305750.0,50774.52083414,15951158670.054651
2022-05-11 12:44:54.142607,305750.0,50774.5389187,15951164199.40887
2022-05-11 12:45:07.239411,305750.0,50778.77298329,15952458764.657265
2022-05-11 12:45:19.271010,305750.0,50778.77298329,15952458764.657265
2022-05-11 12:45:31.547373,305700.0,50789.08599195,15955611782.689627
2022-05-11 12:45:44.468668,305700.0,50789.08599195,15955611782.689627
2022-05-11 12:45:57.912791,305800.0,50792.37492469,15956617538.321518
2022-05-11 12:46:11.022841,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:46:24.167542,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:46:37.143177,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:46:51.082966,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:47:04.724766,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:47:17.578653,305800.0,50811.37492469,15962428062.161518
2022-05-11 12:47:31.018387,305800.0,50827.64812967,15967404408.244402
2022-05-11 12:47:44.078673,305600.0,50827.82680773,15967459028.936192
2022-05-11 12:47:57.637544,305600.0,50827.82680773,15967459028.936192
2022-05-11 12:48:10.368528,305550.0,50831.0830392,15968453970.461851
2022-05-11 12:48:23.377935,305550.0,50831.42687317,15968559028.931383
2022-05-11 12:48:36.776513,305550.0,50831.42687317,15968559028.931383
2022-05-11 12:48:51.046884,305550.0,50831.42687317,15968559028.931383
2022-05-11 12:49:03.456399,305550.0,50831.56110135,15968600042.351784
2022-05-11 12:49:16.271829,306050.0,50832.05201937,15968750287.811804
2022-05-11 12:49:28.989162,306050.0,50832.05201937,15968750287.811804
2022-05-11 12:49:42.060474,306000.0,50833.73471891,15969265214.28053
2022-05-11 12:49:55.525301,306000.0,50833.73471891,15969265214.28053
2022-05-11 12:50:08.253658,306000.0,50833.73471891,15969265214.28053
2022-05-11 12:50:21.894770,306000.0,50833.73471891,15969265214.28053
2022-05-11 12:50:35.691831,306000.0,50833.91003635,15969318817.550486
2022-05-11 12:50:49.134023,306000.0,50834.1412739,15969389576.240786
2022-05-11 12:51:02.528879,306000.0,50834.1412739,15969389576.240786
2022-05-11 12:51:16.233591,306000.0,50834.1412739,15969389576.240786
2022-05-11 12:51:30.544940,306000.0,50834.27199285,15969429574.864487
2022-05-11 12:51:43.715354,306000.0,50834.27199285,15969429574.864487
2022-05-11 12:51:56.415192,306000.0,50834.27199285,15969429574.864487
2022-05-11 12:52:09.880178,305500.0,50835.66158169,15969854077.123672
2022-05-11 12:52:23.043991,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:52:36.080554,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:52:48.368431,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:53:02.827344,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:53:15.871531,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:53:28.612867,305100.0,50850.01003566,15974233850.657984
2022-05-11 12:53:41.924223,305100.0,50850.10857792,15974263919.822926
2022-05-11 12:53:55.034340,305100.0,50850.10857792,15974263919.822926
2022-05-11 12:54:09.190299,305100.0,50851.07851002,15974559846.106636
2022-05-11 12:54:22.628060,305100.0,50851.07851002,15974559846.106636
2022-05-11 12:54:36.232276,305200.0,50852.08264549,15974866256.978441
2022-05-11 12:54:49.171929,305200.0,50852.08264549,15974866256.978441
2022-05-11 12:55:02.125357,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:55:14.613486,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:55:26.872587,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:55:40.226909,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:55:53.058484,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:56:05.651507,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:56:18.412549,305500.0,50852.40997773,15974966256.97776
2022-05-11 12:56:31.636145,305100.0,50852.4870989,15974989786.646727
2022-05-11 12:56:44.578205,305000.0,50854.25474517,15975528918.759077
2022-05-11 12:56:57.942839,305000.0,50854.25474517,15975528918.759077
2022-05-11 12:57:10.778299,305000.0,50854.25474517,15975528918.759077
2022-05-11 12:57:23.906930,305000.0,50854.25474517,15975528918.759077
2022-05-11 12:57:37.657104,305500.0,50862.52202679,15978054573.293987
2022-05-11 12:57:50.884183,305750.0,50862.77202679,15978131010.793987
2022-05-11 12:58:04.816576,305750.0,50862.77202679,15978131010.793987
2022-05-11 12:58:16.555364,305750.0,50862.77202679,15978131010.793987
2022-05-11 12:58:28.942985,305750.0,50862.77202679,15978131010.793987
2022-05-11 12:58:40.911188,305650.0,50862.80474395,15978141010.793941
2022-05-11 12:59:04.664552,305650.0,50862.90286332,15978171000.979382
2022-05-11 12:59:17.433789,305450.0,50871.60971396,15980830614.462435
2022-05-11 12:59:29.395351,305450.0,50871.60971396,15980830614.462435
2022-05-11 12:59:41.550460,305000.0,50871.68554978,15980853744.387533
2022-05-11 12:59:53.105299,305000.0,50871.68554978,15980853744.387533
2022-05-11 13:00:05.592574,305000.0,50871.68554978,15980853744.387533
2022-05-11 13:00:18.796603,304900.0,50872.2827966,15981035894.729568
2022-05-11 13:00:31.678895,304900.0,50872.77107785,15981184771.682693
2022-05-11 13:00:44.047338,304900.0,50872.77107785,15981184771.682693
2022-05-11 13:00:56.251599,304900.0,50872.77107785,15981184771.682693
2022-05-11 13:01:08.840590,304900.0,50872.77107785,15981184771.682693
2022-05-11 13:01:22.675657,305750.0,50873.27107785,15981337646.682693
2022-05-11 13:01:35.877788,305750.0,50873.41825691,15981382646.680288
2022-05-11 13:01:47.916049,305750.0,50873.41825691,15981382646.680288
2022-05-11 13:02:00.124988,305750.0,50873.41825691,15981382646.680288
2022-05-11 13:02:12.466574,305750.0,50873.41825691,15981382646.680288
2022-05-11 13:02:23.769314,305250.0,50876.41825691,15982298396.680288
2022-05-11 13:02:35.638059,305200.0,50876.4928288,15982321156.021116
2022-05-11 13:02:47.506018,305200.0,50876.4928288,15982321156.021116
2022-05-11 13:02:58.845061,305200.0,50878.1735495,15982834111.978758
2022-05-11 13:03:11.741785,305200.0,50878.1735495,15982834111.978758
2022-05-11 13:03:23.665195,305450.0,50878.2455495,15982856104.378757
2022-05-11 13:03:35.415574,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:03:46.898912,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:03:58.340652,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:04:09.868981,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:04:21.452267,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:04:33.869161,305200.0,50904.45786929,15990856104.378666
2022-05-11 13:04:46.809581,305550.0,50904.8089501,15990963377.120161
2022-05-11 13:04:59.785007,305550.0,50904.8089501,15990963377.120161
2022-05-11 13:05:12.124883,305550.0,50904.8089501,15990963377.120161
2022-05-11 13:05:24.602903,305550.0,50904.8089501,15990963377.120161
2022-05-11 13:05:37.083897,305250.0,50904.88227913,15990985760.806568
2022-05-11 13:05:50.171302,305750.0,50912.60140112,15993342770.868017
2022-05-11 13:06:02.675891,305750.0,50912.77183877,15993394882.179504
2022-05-11 13:06:15.036771,305750.0,50912.77183877,15993394882.179504
2022-05-11 13:06:26.603291,305750.0,50912.77183877,15993394882.179504
2022-05-11 13:06:37.943419,305750.0,50916.06683877,15994402334.518017
2022-05-11 13:06:49.921413,305950.0,50916.62583877,15994573360.568018
2022-05-11 13:07:01.416020,305950.0,50916.62583877,15994573360.568018
2022-05-11 13:07:13.666863,305950.0,50916.62583877,15994573360.568018
