,price,volume,value
2022-05-11 12:37:53.228654,82050.0,97469.02292589,8256993857.050371
2022-05-11 12:38:06.018816,82050.0,97514.02292589,8260686185.887998
2022-05-11 12:38:19.514762,82050.0,97514.02292589,8260686185.887998
2022-05-11 12:38:32.366504,82050.0,97514.02292589,8260686185.887998
2022-05-11 12:38:45.789865,82050.0,97514.24798339,8260704651.855872
2022-05-11 12:38:59.189931,82050.0,97514.24798339,8260704651.855872
2022-05-11 12:39:12.405374,82050.0,97514.24798339,8260704651.855872
2022-05-11 12:39:25.151330,82050.0,97515.71864557,8260825319.687741
2022-05-11 12:39:37.783443,82050.0,97515.71864557,8260825319.687741
2022-05-11 12:39:50.511623,82210.0,97516.32684409,8260875319.68807
2022-05-11 12:40:01.881576,82050.0,97516.95184409,8260926680.93807
2022-05-11 12:40:13.490010,82060.0,97517.13934409,8260942067.18807
2022-05-11 12:40:26.390309,82210.0,97606.83934409,8268301081.363656
2022-05-11 12:40:39.318880,82210.0,97606.83934409,8268301081.363656
2022-05-11 12:40:52.559209,82210.0,97606.83934409,8268301081.363656
2022-05-11 12:41:04.359650,82210.0,97610.4867115,8268600931.438432
2022-05-11 12:41:17.328719,82210.0,97610.4867115,8268600931.438432
2022-05-11 12:41:30.549391,82210.0,97615.52451151,8269015088.977254
2022-05-11 12:41:43.599341,82020.0,97615.74542303,8269033208.140124
2022-05-11 12:41:55.679231,82150.0,97644.8338865,8271419205.519748
2022-05-11 12:42:08.763835,82150.0,97651.32958319,8271952371.689288
2022-05-11 12:42:20.989642,82130.0,97681.7724785,8274449061.072264
2022-05-11 12:42:33.412100,82110.0,97688.24916849,8274980222.999454
2022-05-11 12:42:45.509680,81960.0,97688.45166849,8274996814.836954
2022-05-11 12:43:00.781367,81960.0,97688.45166849,8274996814.836954
2022-05-11 12:43:13.949288,81960.0,97688.53153006,8275003360.291231
2022-05-11 12:43:26.981833,81890.0,97693.47734113,8275408249.217513
2022-05-11 12:43:40.304317,81890.0,97694.69849145,8275508249.217217
2022-05-11 12:43:52.330532,81890.0,97694.69849145,8275508249.217217
2022-05-11 12:44:05.204138,81800.0,97708.8214478,8276664185.691039
2022-05-11 12:44:18.391265,81800.0,97708.8214478,8276664185.691039
2022-05-11 12:44:30.403011,81880.0,97708.88251277,8276669185.690783
2022-05-11 12:44:42.591404,81810.0,97709.45432859,8276715998.7580385
2022-05-11 12:44:55.952403,81810.0,97709.45432859,8276715998.7580385
2022-05-11 12:45:08.944869,81770.0,97718.15579963,8277427561.378621
2022-05-11 12:45:20.466024,81770.0,97718.15579963,8277427561.378621
2022-05-11 12:45:33.149598,81770.0,97718.15579963,8277427561.378621
2022-05-11 12:45:45.844183,81710.0,97726.35471126,8278097592.831878
2022-05-11 12:45:59.345419,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:46:12.689627,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:46:25.788962,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:46:39.215968,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:46:52.848375,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:47:06.250833,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:47:19.121071,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:47:32.843058,81600.0,97792.89042639,8283526907.186485
2022-05-11 12:47:45.553921,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:47:59.120584,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:48:11.827191,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:48:25.088389,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:48:38.138541,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:48:52.521458,81630.0,97793.10327551,8283544282.060151
2022-05-11 12:49:04.872876,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:49:17.672839,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:49:30.395744,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:49:43.586279,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:49:57.101569,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:50:09.900562,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:50:23.331116,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:50:37.062248,81630.0,97797.54327551,8283906719.260151
2022-05-11 12:50:50.716837,81640.0,97797.75220536,8283923776.293105
2022-05-11 12:51:04.064475,81640.0,97797.75220536,8283923776.293105
2022-05-11 12:51:17.696185,81860.0,97800.19242009,8284123532.270903
2022-05-11 12:51:32.021947,81820.0,97800.60532627,8284157316.254551
2022-05-11 12:51:45.017482,81740.0,97806.4526066,8284635292.503846
2022-05-11 12:51:57.788866,81740.0,97806.4526066,8284635292.503846
