,price,volume,value
2022-05-11 12:37:47.751773,41667000.0,22200.49500883,933470176873.344
2022-05-11 12:38:00.790342,41683000.0,22202.14222367,933538835560.0382
2022-05-11 12:38:14.441996,41701000.0,22202.5218102,933554662577.2212
2022-05-11 12:38:27.044583,41700000.0,22203.17171899,933581761677.7416
2022-05-11 12:38:40.836758,41699000.0,22203.36645856,933589881096.5199
2022-05-11 12:38:53.648962,41700000.0,22205.81227985,933691871840.3861
2022-05-11 12:39:06.645316,41721000.0,22207.07496373,933744538062.5875
2022-05-11 12:39:19.952749,41709000.0,22207.97178968,933781943664.539
2022-05-11 12:39:32.762546,41709000.0,22208.78523757,933815870335.3408
2022-05-11 12:39:45.480461,41709000.0,22209.98501281,933865906737.6217
2022-05-11 12:39:57.463942,41699000.0,22211.12230181,933913340643.9152
2022-05-11 12:40:08.836618,41671000.0,22211.57489671,933932207074.8269
2022-05-11 12:40:20.823505,41668000.0,22212.10429118,933954267179.0636
2022-05-11 12:40:34.239976,41606000.0,22213.63685233,934018117962.7285
2022-05-11 12:40:47.270879,41658000.0,22214.29131585,934045382438.1636
2022-05-11 12:40:59.474529,41601000.0,22215.26108915,934085735006.056
2022-05-11 12:41:12.387669,41627000.0,22216.26107099,934127397968.2094
2022-05-11 12:41:25.216947,41658000.0,22218.63135913,934226069289.9811
2022-05-11 12:41:38.965655,41595000.0,22219.76806083,934273391569.2828
2022-05-11 12:41:50.882960,41594000.0,22220.84030226,934318006029.7056
2022-05-11 12:42:03.216806,41551000.0,22222.22696551,934375659699.4198
2022-05-11 12:42:16.272663,41551000.0,22223.59398579,934432471950.1019
2022-05-11 12:42:28.672939,41551000.0,22224.56909255,934473003543.8184
2022-05-11 12:42:40.654897,41555000.0,22225.53860209,934513313520.8679
2022-05-11 12:42:55.027512,41555000.0,22226.38033912,934548291710.4242
2022-05-11 12:43:08.374343,41550000.0,22228.3461836,934629978298.3473
2022-05-11 12:43:21.769109,41548000.0,22230.44559172,934717207240.3314
2022-05-11 12:43:34.438386,41548000.0,22231.78504359,934772857430.9395
2022-05-11 12:43:47.491865,41545000.0,22234.16921839,934871910271.4773
2022-05-11 12:43:59.783216,41537000.0,22234.42166777,934882398050.5848
2022-05-11 12:44:12.956277,41537000.0,22234.79441376,934897880556.6941
2022-05-11 12:44:25.468680,41527000.0,22235.23753013,934916282880.3542
2022-05-11 12:44:37.615896,41525000.0,22235.97228033,934946794124.9932
2022-05-11 12:44:50.372616,41536000.0,22237.17926308,934996916850.3872
2022-05-11 12:45:03.857879,41525000.0,22237.52821391,935011407159.1256
2022-05-11 12:45:15.953434,41516000.0,22239.36639598,935087730970.5566
2022-05-11 12:45:27.578770,41523000.0,22240.6360827,935140443651.9465
2022-05-11 12:45:40.583983,41513000.0,22241.95550772,935195224261.9242
2022-05-11 12:45:53.716073,41500000.0,22248.70017509,935475195057.8678
2022-05-11 12:46:07.366072,41500000.0,22251.01140184,935571108793.4161
2022-05-11 12:46:20.335407,41472000.0,22252.91827129,935650235076.8932
2022-05-11 12:46:33.426459,41471000.0,22253.57495758,935677474258.6462
2022-05-11 12:46:47.421814,41469000.0,22255.99719033,935777978795.5956
2022-05-11 12:47:00.739658,41464000.0,22256.23956034,935788027619.2532
2022-05-11 12:47:13.950116,41468000.0,22262.11639102,936031723761.2524
2022-05-11 12:47:27.159543,41500000.0,22264.10789676,936114307503.5315
2022-05-11 12:47:40.304772,41500000.0,22265.07767481,936154533455.1343
2022-05-11 12:47:53.501368,41500000.0,22265.34085946,936165452885.7252
2022-05-11 12:48:06.587492,41500000.0,22265.88264114,936187926727.5684
2022-05-11 12:48:19.544031,41479000.0,22266.29377002,936204982012.109
2022-05-11 12:48:33.107719,41500000.0,22268.70718183,936305117588.9131
2022-05-11 12:48:46.789566,41500000.0,22269.81795135,936351214227.8206
2022-05-11 12:48:59.840521,41534000.0,22270.73352906,936389236950.445
2022-05-11 12:49:12.831719,41536000.0,22271.03292198,936401670735.6927
2022-05-11 12:49:25.399145,41537000.0,22271.53511783,936422528630.3789
2022-05-11 12:49:38.039227,41537000.0,22272.10434681,936446172650.3693
