,price,volume,value
2022-05-11 12:37:50.616925,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:38:03.267905,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:38:17.128745,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:38:29.961580,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:38:43.313828,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:38:56.519647,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:39:09.214152,30610.0,353917.71976547,11101682501.557932
2022-05-11 12:39:22.519699,30620.0,353917.91571582,11101688501.55765
2022-05-11 12:39:35.384583,30630.0,353918.1116022,11101694501.557468
2022-05-11 12:39:47.990983,30630.0,353918.1116022,11101694501.557468
2022-05-11 12:39:59.734399,30630.0,353918.1116022,11101694501.557468
2022-05-11 12:40:11.266785,30630.0,353918.1116022,11101694501.557468
2022-05-11 12:40:23.518814,30630.0,353918.1116022,11101694501.557468
2022-05-11 12:40:36.583492,30510.0,354091.1116022,11106972602.080845
2022-05-11 12:40:49.780494,30510.0,354091.1116022,11106972602.080845
2022-05-11 12:41:02.042493,30500.0,354101.80674473,11107298821.580837
2022-05-11 12:41:15.016874,30500.0,354101.80674473,11107298821.580837
2022-05-11 12:41:27.798998,30500.0,354101.80674473,11107298821.580837
2022-05-11 12:41:41.307674,30500.0,354101.80674473,11107298821.580837
2022-05-11 12:41:53.384317,30550.0,354102.00314407,11107304821.580673
2022-05-11 12:42:05.906529,30550.0,354102.00314407,11107304821.580673
2022-05-11 12:42:18.672392,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:42:31.091801,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:42:42.984661,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:42:58.225123,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:43:10.945962,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:43:24.232446,30540.0,354102.19960772,11107310821.580545
2022-05-11 12:43:37.554537,30550.0,354102.39600706,11107316821.580381
2022-05-11 12:43:49.819715,30550.0,354102.39600706,11107316821.580381
2022-05-11 12:44:02.502789,30520.0,354102.56688267,11107322036.703999
2022-05-11 12:44:15.617165,30490.0,354187.40149763,11109909107.597822
2022-05-11 12:44:27.865734,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:44:40.020315,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:44:53.043819,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:45:06.136216,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:45:18.288081,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:45:30.368607,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:45:43.444983,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:45:56.706924,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:46:10.012969,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:46:22.794303,30600.0,354188.59757606,11109945607.59778
2022-05-11 12:46:36.145827,30490.0,354199.09657606,11110265725.386469
2022-05-11 12:46:49.957468,30490.0,354199.09657606,11110265725.386469
2022-05-11 12:47:03.472266,30490.0,354199.09657606,11110265725.386469
2022-05-11 12:47:16.249385,30490.0,354199.09657606,11110265725.386469
2022-05-11 12:47:29.782950,30490.0,354199.09657606,11110265725.386469
2022-05-11 12:47:43.040662,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:47:56.279616,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:48:09.461391,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:48:22.020065,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:48:35.703682,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:48:49.688256,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:49:02.412259,30490.0,354215.36538772,11110761761.453983
2022-05-11 12:49:15.246399,30490.0,354215.62958851,11110769816.93607
2022-05-11 12:49:27.844527,30490.0,354225.46888009,11111069819.041494
2022-05-11 12:49:40.911621,30490.0,354225.46888009,11111069819.041494
2022-05-11 12:49:54.485929,30490.0,354225.46888009,11111069819.041494
2022-05-11 12:50:07.089721,30490.0,354230.46888009,11111222269.041494
2022-05-11 12:50:20.779367,30490.0,354230.46888009,11111222269.041494
2022-05-11 12:50:34.498893,30490.0,354230.46888009,11111222269.041494
2022-05-11 12:50:47.837385,30490.0,354231.6194113,11111257348.738087
2022-05-11 12:51:01.456836,30490.0,354234.89917516,11111357348.738178
2022-05-11 12:51:15.085515,30490.0,354234.89917516,11111357348.738178
2022-05-11 12:51:29.339752,30490.0,354234.89917516,11111357348.738178
2022-05-11 12:51:42.431947,30490.0,354237.89917516,11111448818.738178
2022-05-11 12:51:55.402303,30490.0,354237.89917516,11111448818.738178
2022-05-11 12:52:08.898034,30490.0,354237.89917516,11111448818.738178
2022-05-11 12:52:22.032551,30490.0,354240.89917516,11111540288.738178
2022-05-11 12:52:34.603344,30490.0,354254.72685106,11111961894.57637
2022-05-11 12:52:47.328354,30450.0,354276.68073551,11112631119.617262
2022-05-11 12:53:01.660106,30450.0,354319.03535586,11113920817.80692
2022-05-11 12:53:14.782604,30440.0,354433.33124645,11117401094.112362
2022-05-11 12:53:27.643766,30420.0,354442.50498127,11117680184.71551
2022-05-11 12:53:40.745951,30410.0,354452.69776815,11117990188.444624
2022-05-11 12:53:53.900840,30410.0,354452.92299337,11117997037.543564
2022-05-11 12:54:07.804716,30410.0,354453.18979069,11118005150.850065
2022-05-11 12:54:21.448671,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:54:34.965066,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:54:47.873058,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:55:01.007292,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:55:13.574398,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:55:25.859723,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:55:38.959217,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:55:51.999529,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:56:04.640456,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:56:17.344440,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:56:30.289975,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:56:43.550925,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:56:56.958933,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:57:09.692587,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:57:22.382229,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:57:36.554069,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:57:49.769530,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:58:03.702979,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:58:15.530730,30310.0,354516.84046677,11119935614.449116
2022-05-11 12:58:27.994984,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:58:39.842464,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:58:51.357126,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:59:03.548261,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:59:16.407254,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:59:28.403439,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:59:40.616268,30340.0,354616.84046677,11122968817.119549
2022-05-11 12:59:52.200159,30340.0,354616.84046677,11122968817.119549
2022-05-11 13:00:04.610613,30340.0,354616.84046677,11122968817.119549
2022-05-11 13:00:17.464078,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:00:30.714553,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:00:43.081538,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:00:55.237126,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:01:07.678697,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:01:21.607915,30340.0,354619.35183467,11123045012.021633
2022-05-11 13:01:34.775004,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:01:46.858818,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:01:59.145973,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:02:11.381081,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:02:22.849338,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:02:34.532394,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:02:46.497971,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:02:57.865457,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:03:10.671437,30340.0,354626.42883467,11123259728.201633
2022-05-11 13:03:22.608540,30340.0,354659.968835,11124277331.811646
2022-05-11 13:03:34.315089,30340.0,354659.968835,11124277331.811646
2022-05-11 13:03:45.903351,30340.0,354659.968835,11124277331.811646
2022-05-11 13:03:57.178603,30340.0,354659.968835,11124277331.811646
2022-05-11 13:04:08.950284,30340.0,354659.968835,11124277331.811646
2022-05-11 13:04:20.309609,30340.0,354659.968835,11124277331.811646
2022-05-11 13:04:32.709203,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:04:45.543548,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:04:58.686306,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:05:11.069278,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:05:23.563742,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:05:36.088545,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:05:49.041009,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:06:01.683335,30310.0,354718.55458436,11126053968.373285
2022-05-11 13:06:14.089110,30420.0,354814.32048436,11128967145.421286
2022-05-11 13:06:25.689732,30400.0,354824.45948436,11129275455.703285
2022-05-11 13:06:36.916898,30400.0,354824.45948436,11129275455.703285
2022-05-11 13:06:48.868735,30400.0,354824.45948436,11129275455.703285
2022-05-11 13:07:00.359914,30400.0,354834.45948436,11129579455.703285
2022-05-11 13:07:12.660197,30400.0,354835.45948436,11129609855.703285
2022-05-11 13:07:24.766330,30400.0,354835.45948436,11129609855.703285
2022-05-11 13:07:36.630217,30400.0,354835.45948436,11129609855.703285
2022-05-11 13:07:48.546622,30400.0,354835.45948436,11129609855.703285
2022-05-11 13:08:00.623719,30400.0,354835.45948436,11129609855.703285
2022-05-11 13:08:13.538560,30400.0,354835.45948436,11129609855.703285
