,price,volume,value
2022-05-11 12:37:53.528654,0.002,17562289278967.873,34991793151.06672
2022-05-11 12:38:06.303816,0.002,17562290192111.914,34991794977.354805
2022-05-11 12:38:19.934762,0.002,17562291181019.6,34991796955.17017
2022-05-11 12:38:32.714013,0.002,17562291181019.6,34991796955.17017
2022-05-11 12:38:46.135803,0.002,17562292218802.82,34991799030.73661
2022-05-11 12:38:59.462313,0.002,17562292218802.82,34991799030.73661
2022-05-11 12:39:12.707992,0.002,17562293151862.312,34991800896.8556
2022-05-11 12:39:25.454547,0.0019,17562338583691.852,34991887217.33172
2022-05-11 12:39:38.057213,0.002,17562339508664.057,34991889067.27613
2022-05-11 12:39:50.888817,0.002,17562440536259.555,34992091122.467125
2022-05-11 12:40:02.170750,0.002,17562440536259.555,34992091122.467125
2022-05-11 12:40:13.822165,0.002,17562541427281.615,34992285412.0075
2022-05-11 12:40:26.706833,0.002,17562541427281.615,34992285412.0075
2022-05-11 12:40:39.682060,0.002,17562542485538.154,34992287528.520584
2022-05-11 12:40:52.936858,0.002,17562542485538.154,34992287528.520584
2022-05-11 12:41:04.694025,0.002,17562547673608.723,34992297490.34387
2022-05-11 12:41:17.646629,0.002,17562547673608.723,34992297490.34387
2022-05-11 12:41:30.851682,0.002,17562548627699.197,34992299398.52482
2022-05-11 12:41:43.883842,0.002,17562548627699.197,34992299398.52482
2022-05-11 12:41:55.964471,0.002,17562795356679.92,34992792856.48627
2022-05-11 12:42:09.037696,0.002,17562796342151.234,34992794827.428894
2022-05-11 12:42:21.366268,0.002,17562796342151.234,34992794827.428894
2022-05-11 12:42:33.756816,0.002,17562797325171.672,34992796793.46977
2022-05-11 12:42:45.949035,0.002,17562855279717.125,34992908157.10613
2022-05-11 12:43:01.114071,0.002,17562856371778.344,34992910341.22857
2022-05-11 12:43:14.295618,0.002,17562881359284.59,34992960316.241066
2022-05-11 12:43:27.283220,0.002,17562902643690.582,34993002885.05305
2022-05-11 12:43:40.620901,0.002,17563402612961.295,34994002823.594475
2022-05-11 12:43:52.632569,0.002,17564033721711.295,34995265041.094475
2022-05-11 12:44:05.475725,0.002,17564250571439.047,34995698740.54998
