,price,volume,value
2022-05-11 12:37:55.463668,188.0,153956129.65084794,29786800450.762802
2022-05-11 12:38:08.420729,188.0,153961450.49253234,29787800768.999474
2022-05-11 12:38:21.689772,188.0,153961450.49253234,29787800768.999474
2022-05-11 12:38:34.952661,188.0,153961450.49253234,29787800768.999474
2022-05-11 12:38:48.408673,188.0,153966713.65042707,29788790242.683685
2022-05-11 12:39:01.518956,188.0,153966713.65042707,29788790242.683685
2022-05-11 12:39:14.566612,188.0,153966713.65042707,29788790242.683685
2022-05-11 12:39:27.420998,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:39:40.187503,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:39:52.853072,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:40:04.179905,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:40:15.624035,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:40:28.658351,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:40:41.693511,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:40:54.689714,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:41:06.806567,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:41:19.748403,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:41:33.075223,189.0,153967799.00756994,29788995375.18368
2022-05-11 12:41:45.868189,189.0,153968199.00756994,29789070975.18368
2022-05-11 12:41:58.050986,189.0,153968199.00756994,29789070975.18368
2022-05-11 12:42:10.989433,189.0,153968199.00756994,29789070975.18368
2022-05-11 12:42:23.418992,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:42:35.693459,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:42:48.061624,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:43:02.972738,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:43:16.362114,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:43:29.387461,189.0,153968462.16546467,29789120712.025787
2022-05-11 12:43:42.603114,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:43:54.977620,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:44:07.716531,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:44:20.524043,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:44:32.529897,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:44:44.992700,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:44:58.504187,189.0,153975865.8710193,29790520012.37561
2022-05-11 12:45:11.243581,188.0,153979302.0920193,29791166021.92361
2022-05-11 12:45:22.596634,188.0,153979302.0920193,29791166021.92361
2022-05-11 12:45:35.358379,188.0,153979302.0920193,29791166021.92361
2022-05-11 12:45:48.132426,188.0,153984177.0920193,29792082521.92361
2022-05-11 12:46:01.625679,188.0,153985294.13135594,29792292525.318905
2022-05-11 12:46:15.139599,188.0,153985294.13135594,29792292525.318905
2022-05-11 12:46:28.112778,188.0,153985294.13135594,29792292525.318905
2022-05-11 12:46:42.223963,189.0,153985324.13135594,29792298195.318905
2022-05-11 12:46:55.353547,189.0,153985324.13135594,29792298195.318905
2022-05-11 12:47:08.653148,188.0,153985414.13135594,29792315115.318905
2022-05-11 12:47:21.520078,188.0,153985414.13135594,29792315115.318905
2022-05-11 12:47:35.199361,189.0,153985461.49920642,29792324067.84264
2022-05-11 12:47:47.846159,189.0,153985461.49920642,29792324067.84264
2022-05-11 12:48:01.282175,189.0,153985461.49920642,29792324067.84264
2022-05-11 12:48:14.344482,189.0,153985461.49920642,29792324067.84264
2022-05-11 12:48:27.533398,189.0,153985461.49920642,29792324067.84264
2022-05-11 12:48:40.842849,189.0,153990718.90225092,29793317717.01805
2022-05-11 12:48:54.905918,189.0,153990718.90225092,29793317717.01805
2022-05-11 12:49:07.177653,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:49:20.013283,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:49:32.921372,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:49:46.074949,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:49:59.350159,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:50:12.319436,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:50:25.865533,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:50:39.444528,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:50:53.344756,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:51:06.634606,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:51:20.399240,189.0,153999712.2415601,29795017458.147488
2022-05-11 12:51:34.934069,189.0,154007648.7494966,29796517458.147488
2022-05-11 12:51:47.522023,189.0,154007648.7494966,29796517458.147488
2022-05-11 12:52:00.922549,189.0,154007648.7494966,29796517458.147488
2022-05-11 12:52:13.960390,188.0,154034148.7494966,29801499458.147488
2022-05-11 12:52:27.115520,188.0,154166812.81440383,29826440302.350044
2022-05-11 12:52:39.404169,188.0,154177445.79578546,29828439302.849796
2022-05-11 12:52:52.005204,188.0,154177475.0511046,29828444802.849796
2022-05-11 12:53:06.617370,188.0,154177475.0511046,29828444802.849796
2022-05-11 12:53:19.618608,188.0,154177475.0511046,29828444802.849796
2022-05-11 12:53:32.374388,188.0,154178475.0511046,29828632802.849796
2022-05-11 12:53:45.998522,188.0,154178475.0511046,29828632802.849796
2022-05-11 12:53:59.264861,188.0,154178475.0511046,29828632802.849796
2022-05-11 12:54:13.250421,188.0,154181133.29578546,29829132552.849796
2022-05-11 12:54:26.705753,187.0,154196133.29578546,29831937552.849796
2022-05-11 12:54:39.914741,187.0,154196133.29578546,29831937552.849796
2022-05-11 12:54:52.942176,187.0,154196133.29578546,29831937552.849796
2022-05-11 12:55:06.333694,187.0,154196133.29578546,29831937552.849796
2022-05-11 12:55:18.373347,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:55:30.522779,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:55:44.394578,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:55:57.114946,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:56:09.067023,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:56:22.227910,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:56:35.775741,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:56:48.384493,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:57:01.372644,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:57:14.576808,187.0,154198080.2918458,29832301641.11308
2022-05-11 12:57:27.978255,188.0,154227223.0593905,29837780481.41148
2022-05-11 12:57:41.466330,188.0,154321043.57072774,29855418737.54288
2022-05-11 12:57:54.829754,188.0,154332350.3890812,29857544419.39333
2022-05-11 12:58:08.044107,188.0,154332350.3890812,29857544419.39333
2022-05-11 12:58:20.240438,188.0,154332350.3890812,29857544419.39333
2022-05-11 12:58:32.593173,188.0,154332350.3890812,29857544419.39333
2022-05-11 12:58:44.414784,188.0,154332350.3890812,29857544419.39333
2022-05-11 12:58:56.150792,188.0,154332376.98839042,29857549420.06346
2022-05-11 12:59:08.752713,188.0,154332376.98839042,29857549420.06346
2022-05-11 12:59:20.963790,188.0,154332376.98839042,29857549420.06346
2022-05-11 12:59:33.014389,188.0,154333405.4642904,29857742773.53266
2022-05-11 12:59:45.290111,189.0,154333951.47019348,29857845968.648342
2022-05-11 12:59:57.183794,188.0,154334845.47019348,29858014040.648342
2022-05-11 13:00:09.798746,188.0,154335659.80214116,29858167135.05451
2022-05-11 13:00:22.296381,188.0,154335659.80214116,29858167135.05451
2022-05-11 13:00:35.510922,188.0,154336859.80214116,29858392735.05451
2022-05-11 13:00:47.798550,188.0,154336859.80214116,29858392735.05451
2022-05-11 13:00:59.884470,188.0,154338979.8194673,29858791298.31182
2022-05-11 13:01:12.807824,188.0,154338979.8194673,29858791298.31182
2022-05-11 13:01:26.551605,188.0,154362502.25739512,29863213516.64225
2022-05-11 13:01:39.443606,188.0,154362502.25739512,29863213516.64225
2022-05-11 13:01:51.338118,188.0,154382502.25739512,29866973516.64225
2022-05-11 13:02:04.180298,188.0,154382502.25739512,29866973516.64225
