,price,volume,value
2022-05-11 12:37:54.563654,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:38:07.265194,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:38:20.789772,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:38:33.758718,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:38:47.242544,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:39:00.551475,7.59,1819579895.1931605,14374128223.688389
2022-05-11 12:39:13.598805,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:39:26.497973,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:39:39.220680,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:39:51.913805,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:40:03.288319,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:40:14.683243,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:40:27.705735,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:40:40.649156,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:40:53.846675,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:41:05.672588,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:41:18.781609,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:41:31.790748,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:41:44.818019,7.59,1820428183.7472963,14380566733.81428
2022-05-11 12:41:57.135688,7.59,1820428848.6450715,14380571780.388393
2022-05-11 12:42:09.930632,7.59,1820428848.6450715,14380571780.388393
2022-05-11 12:42:22.270241,7.59,1820428848.6450715,14380571780.388393
2022-05-11 12:42:34.678648,7.59,1820478033.872859,14380945096.267302
2022-05-11 12:42:47.108468,7.59,1820478033.872859,14380945096.267302
2022-05-11 12:43:02.035582,7.58,1820479684.3156364,14380957606.623552
2022-05-11 12:43:15.246973,7.58,1820479684.3156364,14380957606.623552
2022-05-11 12:43:28.344360,7.59,1820743188.9269671,14382957606.623552
2022-05-11 12:43:41.741445,7.58,1820750830.5606956,14383015530.207216
2022-05-11 12:43:53.858356,7.58,1820750830.5606956,14383015530.207216
2022-05-11 12:44:06.401504,7.58,1820750830.5606956,14383015530.207216
2022-05-11 12:44:19.615676,7.58,1820751618.9969637,14383021506.554129
2022-05-11 12:44:31.580557,7.58,1820751618.9969637,14383021506.554129
2022-05-11 12:44:44.060949,7.58,1820751618.9969637,14383021506.554129
2022-05-11 12:44:57.250726,7.58,1820751618.9969637,14383021506.554129
2022-05-11 12:45:10.336577,7.58,1820751618.9969637,14383021506.554129
2022-05-11 12:45:21.584719,7.58,1820870422.1116192,14383922034.163216
2022-05-11 12:45:34.496671,7.58,1820870422.1116192,14383922034.163216
2022-05-11 12:45:47.185175,7.58,1820870422.1116192,14383922034.163216
2022-05-11 12:46:00.704242,7.58,1820885422.1116192,14384035734.163216
2022-05-11 12:46:14.110618,7.58,1820950285.7167094,14384527400.289799
2022-05-11 12:46:27.147587,7.58,1820950285.7167094,14384527400.289799
2022-05-11 12:46:41.120233,7.58,1820950285.7167094,14384527400.289799
2022-05-11 12:46:54.311608,7.58,1820950285.7167094,14384527400.289799
2022-05-11 12:47:07.582201,7.58,1820968154.7505302,14384662847.566162
2022-05-11 12:47:20.359767,7.58,1820968154.7505302,14384662847.566162
2022-05-11 12:47:34.204157,7.58,1820968154.7505302,14384662847.566162
2022-05-11 12:47:46.789815,7.58,1820968154.7505302,14384662847.566162
2022-05-11 12:48:00.313503,7.58,1820980445.5708194,14384756011.983952
2022-05-11 12:48:12.943529,7.58,1820980445.5708194,14384756011.983952
2022-05-11 12:48:26.626100,7.58,1820980445.5708194,14384756011.983952
2022-05-11 12:48:39.604905,7.58,1820980445.5708194,14384756011.983952
2022-05-11 12:48:53.893701,7.58,1820980445.5708194,14384756011.983952
2022-05-11 12:49:06.200590,7.57,1820990445.5708194,14384831711.983952
2022-05-11 12:49:18.959234,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:49:31.831041,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:49:45.140273,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:49:58.322842,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:50:11.367381,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:50:24.840158,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:50:38.446749,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:50:52.074182,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:51:05.682782,7.57,1821318529.5603206,14387315307.784477
2022-05-11 12:51:19.132970,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:51:33.499878,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:51:46.360111,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:51:59.989192,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:52:12.528269,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:52:26.174546,7.57,1821398773.0289109,14387922750.841705
2022-05-11 12:52:38.486237,7.56,1821685649.8846128,14390091539.870811
2022-05-11 12:52:51.083840,7.56,1821685649.8846128,14390091539.870811
2022-05-11 12:53:05.711948,7.56,1821685649.8846128,14390091539.870811
2022-05-11 12:53:18.488176,7.56,1821685649.8846128,14390091539.870811
2022-05-11 12:53:31.376933,7.56,1821771225.4505749,14390738491.149487
2022-05-11 12:53:44.894230,7.56,1821771225.4505749,14390738491.149487
2022-05-11 12:53:58.268896,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:54:12.299308,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:54:25.801061,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:54:38.812002,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:54:52.020782,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:55:04.930424,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:55:17.434833,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:55:29.468309,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:55:43.352512,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:55:55.985007,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:56:08.176282,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:56:21.245200,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:56:34.642900,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:56:47.494122,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:57:00.407926,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:57:13.524687,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:57:26.999358,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:57:40.445963,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:57:53.876355,7.55,1821957314.0026264,14392143459.717474
2022-05-11 12:58:07.214890,7.54,1821985122.4462306,14392353135.382252
2022-05-11 12:58:19.259184,7.54,1821985122.4462306,14392353135.382252
2022-05-11 12:58:31.672805,7.54,1821985122.4462306,14392353135.382252
2022-05-11 12:58:43.540074,7.54,1822430882.9877107,14395714169.86501
2022-05-11 12:58:55.064278,7.54,1822430882.9877107,14395714169.86501
