,price,volume,value
2022-05-11 12:37:52.298666,249.0,78466707.15827708,21484751031.437786
2022-05-11 12:38:04.998209,249.0,78481790.51327708,21488506786.832783
2022-05-11 12:38:18.584412,249.0,78517811.51327708,21497476015.832783
2022-05-11 12:38:31.457538,249.0,78521310.46327709,21498347254.382786
2022-05-11 12:38:44.855574,249.0,78521310.46327709,21498347254.382786
2022-05-11 12:38:58.105469,249.0,78521310.46327709,21498347254.382786
2022-05-11 12:39:11.375452,249.0,78522113.67612848,21498547254.382782
2022-05-11 12:39:24.260873,249.0,78522113.67612848,21498547254.382782
2022-05-11 12:39:36.805255,249.0,78523260.63727708,21498832847.708786
2022-05-11 12:39:49.575568,250.0,78523381.11920479,21498862968.190712
2022-05-11 12:40:01.047740,250.0,78523381.11920479,21498862968.190712
2022-05-11 12:40:12.644165,250.0,78523381.11920479,21498862968.190712
2022-05-11 12:40:25.271216,250.0,78523381.11920479,21498862968.190712
2022-05-11 12:40:38.157725,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:40:51.275439,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:41:03.463196,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:41:16.377735,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:41:29.477018,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:41:42.759341,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:41:54.866181,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:42:07.692091,249.0,78535610.71220478,21501908136.847713
2022-05-11 12:42:20.094366,250.0,78535630.71620479,21501913137.847713
2022-05-11 12:42:32.442490,250.0,78537829.39686446,21502462808.01263
2022-05-11 12:42:44.483348,250.0,78537829.39686446,21502462808.01263
2022-05-11 12:42:59.828177,250.0,78538029.39686446,21502512808.01263
2022-05-11 12:43:12.757327,250.0,78538029.39686446,21502512808.01263
2022-05-11 12:43:25.880972,249.0,78538248.3273992,21502567321.71578
2022-05-11 12:43:39.289327,248.0,78541144.39686446,21503285546.943165
2022-05-11 12:43:51.210853,248.0,78552634.85981408,21506135181.75467
2022-05-11 12:44:04.041611,248.0,78552634.85981408,21506135181.75467
2022-05-11 12:44:17.375585,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:44:29.453175,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:44:41.652586,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:44:54.654781,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:45:07.800042,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:45:19.634471,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:45:32.106336,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:45:44.829829,248.0,78556700.29770596,21507143410.351856
2022-05-11 12:45:58.302542,249.0,78556724.47915696,21507149431.533154
2022-05-11 12:46:11.476069,250.0,78558407.47915696,21507569698.533154
2022-05-11 12:46:24.624928,250.0,78558407.47915696,21507569698.533154
2022-05-11 12:46:37.778868,250.0,78558407.47915696,21507569698.533154
2022-05-11 12:46:51.504601,250.0,78558407.47915696,21507569698.533154
2022-05-11 12:47:05.132655,250.0,78558407.47915696,21507569698.533154
2022-05-11 12:47:18.093001,249.0,78585370.56349397,21514283506.53307
2022-05-11 12:47:31.519225,249.0,78588841.62349395,21515147800.47307
2022-05-11 12:47:44.531561,249.0,78604276.62349395,21518991115.47307
2022-05-11 12:47:58.016144,249.0,78627246.62349395,21524710645.47307
2022-05-11 12:48:10.775423,249.0,78627246.62349395,21524710645.47307
2022-05-11 12:48:23.890411,249.0,78627246.62349395,21524710645.47307
2022-05-11 12:48:37.185513,249.0,78627246.62349395,21524710645.47307
2022-05-11 12:48:51.515352,249.0,78627246.62349395,21524710645.47307
2022-05-11 12:49:03.893760,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:49:16.695972,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:49:29.427882,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:49:42.466198,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:49:55.950324,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:50:08.857894,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:50:22.316743,249.0,78628073.97849396,21524916656.86807
2022-05-11 12:50:36.112712,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:50:49.751163,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:51:02.979467,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:51:16.703284,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:51:31.012469,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:51:44.153963,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:51:56.854171,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:52:10.392280,250.0,78628194.46042167,21524946777.349995
2022-05-11 12:52:23.545024,249.0,78632641.09353888,21526053988.99618
2022-05-11 12:52:36.444603,249.0,78640009.3340679,21527888680.88791
2022-05-11 12:52:48.791081,249.0,78640282.20665942,21527956626.163197
2022-05-11 12:53:03.187896,249.0,78640350.01556665,21527973510.581093
2022-05-11 12:53:16.293369,249.0,78640350.01556665,21527973510.581093
2022-05-11 12:53:29.216657,248.0,78648604.60120153,21530020647.81855
2022-05-11 12:53:42.389299,248.0,78648604.60120153,21530020647.81855
2022-05-11 12:53:55.596629,248.0,78660192.4521693,21532894434.858555
2022-05-11 12:54:09.613585,248.0,78663192.4521693,21533638434.858555
2022-05-11 12:54:23.049568,248.0,78663192.4521693,21533638434.858555
2022-05-11 12:54:36.640334,248.0,78663192.4521693,21533638434.858555
2022-05-11 12:54:49.627198,248.0,78677776.4521693,21537255266.858555
2022-05-11 12:55:02.681965,248.0,78680316.60063457,21537885223.67794
2022-05-11 12:55:15.080582,248.0,78680316.60063457,21537885223.67794
2022-05-11 12:55:27.326036,248.0,78680316.60063457,21537885223.67794
2022-05-11 12:55:40.694664,248.0,78680316.60063457,21537885223.67794
2022-05-11 12:55:53.513120,248.0,78682016.60063457,21538306823.67794
2022-05-11 12:56:06.013548,248.0,78682016.60063457,21538306823.67794
2022-05-11 12:56:18.880076,248.0,78682016.60063457,21538306823.67794
2022-05-11 12:56:32.222461,248.0,78682016.60063457,21538306823.67794
2022-05-11 12:56:45.121371,248.0,78682016.60063457,21538306823.67794
2022-05-11 12:56:58.383795,248.0,78693943.47053295,21541264687.41274
2022-05-11 12:57:11.187772,248.0,78693943.47053295,21541264687.41274
2022-05-11 12:57:24.390349,248.0,78693943.47053295,21541264687.41274
2022-05-11 12:57:38.125335,248.0,78693943.47053295,21541264687.41274
2022-05-11 12:57:51.415777,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:58:05.209045,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:58:16.931585,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:58:29.444781,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:58:41.363928,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:58:52.711269,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:59:05.131723,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:59:17.900591,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:59:29.786732,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:59:41.971231,248.0,78695053.01604672,21541539854.700153
2022-05-11 12:59:53.481918,248.0,78695053.01604672,21541539854.700153
2022-05-11 13:00:06.046426,248.0,78695053.01604672,21541539854.700153
2022-05-11 13:00:19.221004,248.0,78696615.5881388,21541927372.57899
2022-05-11 13:00:32.119610,248.0,78697973.1291445,21542264042.748405
2022-05-11 13:00:44.407889,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:00:56.687201,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:01:09.275122,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:01:23.128874,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:01:36.286795,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:01:48.277323,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:02:00.590301,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:02:12.953786,248.0,78699146.12842166,21542554946.56914
2022-05-11 13:02:24.159841,250.0,78699267.0961636,21542585188.504623
2022-05-11 13:02:36.163622,250.0,78699267.0961636,21542585188.504623
2022-05-11 13:02:47.911381,250.0,78700067.0961636,21542785188.504623
