,price,volume,value
2022-05-11 12:37:55.673668,84.1,203520827.27553642,18547141416.280243
2022-05-11 12:38:08.720730,84.1,203520827.27553642,18547141416.280243
2022-05-11 12:38:21.961237,84.1,203520827.27553642,18547141416.280243
2022-05-11 12:38:35.239414,84.1,203522016.3361785,18547241416.280243
2022-05-11 12:38:48.619523,84.1,203522016.3361785,18547241416.280243
2022-05-11 12:39:01.730805,84.1,203522016.3361785,18547241416.280243
2022-05-11 12:39:14.791999,84.1,203522016.3361785,18547241416.280243
2022-05-11 12:39:27.617864,84.1,203522016.3361785,18547241416.280243
2022-05-11 12:39:40.398856,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:39:53.065087,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:40:04.375929,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:40:15.804659,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:40:28.946614,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:40:41.890459,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:40:54.869382,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:41:07.048714,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:41:19.973162,84.0,203523216.3361785,18547342216.280243
2022-05-11 12:41:33.287002,83.9,203523311.57427374,18547350206.756435
2022-05-11 12:41:46.108638,83.9,203523311.57427374,18547350206.756435
2022-05-11 12:41:58.277945,83.9,203523311.57427374,18547350206.756435
2022-05-11 12:42:11.171223,83.9,203523430.62189278,18547360194.851673
2022-05-11 12:42:23.599529,83.9,203523430.62189278,18547360194.851673
2022-05-11 12:42:35.906306,83.9,203523669.00091544,18547380194.85167
2022-05-11 12:42:48.272087,83.9,203523907.23804578,18547400182.946907
2022-05-11 12:43:03.229442,83.9,203524026.4275571,18547410182.946907
2022-05-11 12:43:16.572720,83.9,203524026.4275571,18547410182.946907
2022-05-11 12:43:29.584643,83.9,203524026.4275571,18547410182.946907
2022-05-11 12:43:42.786394,83.9,203524026.4275571,18547410182.946907
2022-05-11 12:43:55.173798,83.9,203525218.32267034,18547510182.946907
2022-05-11 12:44:07.897857,83.7,203528750.14261895,18547805796.276608
2022-05-11 12:44:20.766426,83.7,203528750.14261895,18547805796.276608
2022-05-11 12:44:32.741641,83.7,203529284.60034135,18547850530.38797
2022-05-11 12:44:45.249493,83.7,203529284.60034135,18547850530.38797
2022-05-11 12:44:58.730226,83.7,203555924.1957169,18550080264.520905
2022-05-11 12:45:11.440678,83.7,203555924.1957169,18550080264.520905
2022-05-11 12:45:22.865161,83.7,203555924.1957169,18550080264.520905
2022-05-11 12:45:35.570830,83.7,203557118.9388471,18550180264.5209
