,price,volume,value
2022-05-11 12:37:58.448696,145.0,1810376337.3577375,269129284120.04907
2022-05-11 12:38:11.438358,145.0,1810377706.1933541,269129483286.14496
2022-05-11 12:38:24.781357,146.0,1810381815.7823951,269130083286.14496
2022-05-11 12:38:38.573822,146.0,1810385238.7284563,269130583036.2699
2022-05-11 12:38:51.218753,146.0,1810392344.538565,269131620484.54578
2022-05-11 12:39:04.470053,146.0,1810400799.2280986,269132854869.21768
2022-05-11 12:39:17.628035,145.0,1810423232.9609766,269136130130.00552
2022-05-11 12:39:30.627254,145.0,1810423232.9609766,269136130130.00552
2022-05-11 12:39:43.168612,145.0,1810426381.8249009,269136586715.27454
2022-05-11 12:39:55.606874,145.0,1810435364.6348658,269137889222.71945
2022-05-11 12:40:06.914665,146.0,1810439936.5047286,269138556715.71945
2022-05-11 12:40:18.588899,146.0,1810439991.5581534,269138564753.51944
2022-05-11 12:40:32.091690,146.0,1810441367.893958,269138765698.54694
2022-05-11 12:40:44.744686,145.0,1810548383.8993113,269154283019.32318
2022-05-11 12:40:57.357382,146.0,1810548507.762325,269154301103.32318
2022-05-11 12:41:09.950958,146.0,1810548876.7691743,269154354978.32318
2022-05-11 12:41:22.796564,146.0,1810649199.9883525,269168902168.32318
2022-05-11 12:41:36.400439,145.0,1810651258.8219495,269169202068.37314
2022-05-11 12:41:48.675438,145.0,1810880469.6562066,269202444481.8096
2022-05-11 12:42:00.920206,145.0,1810914746.9790266,269207414765.6185
2022-05-11 12:42:13.719556,145.0,1810919485.908173,269208101910.34476
2022-05-11 12:42:26.288528,146.0,1810920209.9815676,269208206936.98694
2022-05-11 12:42:38.427124,146.0,1810920209.9815676,269208206936.98694
2022-05-11 12:42:51.009864,146.0,1810952952.5173216,269212955640.6713
2022-05-11 12:43:06.030328,146.0,1810953737.4488285,269213070140.6713
2022-05-11 12:43:19.474824,145.0,1810958999.4528434,269213833131.25348
2022-05-11 12:43:32.474258,145.0,1810975130.2924747,269216172103.00003
2022-05-11 12:43:45.539344,146.0,1810977151.3458693,269216466233.39938
2022-05-11 12:43:57.789958,146.0,1810983456.126691,269217386731.39938
2022-05-11 12:44:10.516401,146.0,1810999229.6102014,269219689659.99185
2022-05-11 12:44:23.455901,146.0,1811003309.0871878,269220285263.63187
2022-05-11 12:44:35.561459,146.0,1811107686.7602234,269235440563.8984
2022-05-11 12:44:48.196669,146.0,1811125143.7303684,269237985856.88205
2022-05-11 12:45:01.559362,146.0,1811132317.7615445,269239026163.4026
2022-05-11 12:45:13.887027,145.0,1811610807.3238952,269308407732.0154
2022-05-11 12:45:25.315400,146.0,1811610843.3238952,269308412988.0154
2022-05-11 12:45:38.336438,146.0,1811613879.8648589,269308853322.45514
2022-05-11 12:45:51.726264,146.0,1811633753.9840765,269311754943.86093
2022-05-11 12:46:04.886325,145.0,1811656080.049811,269315000749.45813
2022-05-11 12:46:18.028257,146.0,1811692027.0649605,269320248349.92242
2022-05-11 12:46:30.963162,145.0,1811806160.081991,269336797673.39188
2022-05-11 12:46:45.255629,145.0,1811912786.1825922,269352259214.91055
2022-05-11 12:46:58.143316,146.0,1812034668.2324128,269369932192.13455
2022-05-11 12:47:11.773269,145.0,1812054868.2324128,269372861192.13455
2022-05-11 12:47:24.830840,145.0,1812063650.6416595,269374134889.63797
2022-05-11 12:47:38.219887,145.0,1812205184.2478683,269394657399.52457
2022-05-11 12:47:51.072225,145.0,1812205184.2478683,269394657399.52457
2022-05-11 12:48:04.230633,145.0,1812272888.7221498,269404474548.29538
2022-05-11 12:48:17.232205,145.0,1812275847.2153006,269404903598.29538
2022-05-11 12:48:30.583547,146.0,1812313518.4481773,269410403598.29538
2022-05-11 12:48:44.563399,145.0,1812314301.8151717,269410517186.50958
2022-05-11 12:48:57.880799,146.0,1812315191.7811477,269410647121.54205
2022-05-11 12:49:10.551716,146.0,1812331539.9895794,269413033959.97308
2022-05-11 12:49:23.136696,146.0,1812331539.9895794,269413033959.97308
2022-05-11 12:49:36.090723,145.0,1812348298.9895794,269415464014.97308
2022-05-11 12:49:49.608272,146.0,1812360362.989285,269417224185.9301
2022-05-11 12:50:02.454604,145.0,1812417274.9256744,269425481382.45657
2022-05-11 12:50:15.445466,145.0,1812426927.983365,269426881075.82172
2022-05-11 12:50:29.523606,145.0,1812508377.0429974,269438694716.52805
2022-05-11 12:50:42.493624,145.0,1812523307.6650887,269440859799.3534
2022-05-11 12:50:56.864096,145.0,1812555192.549827,269445483250.26254
2022-05-11 12:51:09.762245,146.0,1812571666.545544,269447872193.57462
2022-05-11 12:51:24.041190,146.0,1812586380.4786808,269450005927.8126
2022-05-11 12:51:37.908609,145.0,1812647049.23685,269458803111.68027
2022-05-11 12:51:50.388715,145.0,1812669566.7827442,269462068262.80148
2022-05-11 12:52:04.189870,145.0,1813479001.0381973,269579436229.8422
2022-05-11 12:52:16.956012,145.0,1813969104.1545653,269650501288.5504
2022-05-11 12:52:29.998913,145.0,1816507629.5333679,270018587468.47678
2022-05-11 12:52:42.331349,145.0,1816507629.5333679,270018587468.47678
2022-05-11 12:52:55.197252,145.0,1816527867.0968697,270021520228.07672
2022-05-11 12:53:09.620774,145.0,1816534592.7616236,270022495449.46603
2022-05-11 12:53:22.650691,145.0,1816703626.637934,270047005361.531
2022-05-11 12:53:35.874674,146.0,1816716733.9390666,270048905990.19525
2022-05-11 12:53:49.010044,145.0,1816728636.622708,270050631879.32327
2022-05-11 12:54:02.473736,145.0,1816733809.89857,270051382004.32327
2022-05-11 12:54:16.432337,145.0,1816733809.89857,270051382004.32327
2022-05-11 12:54:29.768593,145.0,1816733954.246846,270051402934.82327
2022-05-11 12:54:43.026252,145.0,1816734283.761514,270051450474.93546
2022-05-11 12:54:55.977906,145.0,1816734442.7270312,270051473524.93546
2022-05-11 12:55:09.227031,145.0,1816737241.3477209,270051879324.93546
2022-05-11 12:55:21.093242,144.0,1816739440.4211154,270052197334.63705
2022-05-11 12:55:33.151737,144.0,1816739440.4211154,270052197334.63705
2022-05-11 12:55:47.370911,144.0,1816745555.3936872,270053080339.4805
