,price,volume,value
2022-05-11 12:37:57.098667,15050.0,2931160.19794795,45374082261.264084
2022-05-11 12:38:10.235953,15050.0,2931189.90954423,45374529059.163956
2022-05-11 12:38:23.420683,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:38:36.959628,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:38:50.011848,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:39:03.123211,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:39:16.300259,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:39:29.217225,15050.0,2931192.85140469,45374573334.16388
2022-05-11 12:39:41.803977,15040.0,2931259.34076639,45375573334.16385
2022-05-11 12:39:54.410921,15040.0,2931265.98528466,45375673267.71863
2022-05-11 12:40:05.692631,15040.0,2931265.98528466,45375673267.71863
2022-05-11 12:40:17.196581,15040.0,2931265.98528466,45375673267.71863
2022-05-11 12:40:30.697849,15010.0,2931317.88578466,45376452802.94263
2022-05-11 12:40:43.290971,15010.0,2931383.33081083,45377435132.78544
2022-05-11 12:40:56.225599,15000.0,2931452.08998945,45378466592.37353
2022-05-11 12:41:08.558165,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:41:21.395091,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:41:34.705029,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:41:47.413627,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:41:59.678766,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:42:12.544469,15010.0,2931484.81250253,45378957757.29486
2022-05-11 12:42:25.066116,15010.0,2931725.44342532,45382569627.44594
2022-05-11 12:42:37.187928,15030.0,2931727.93510862,45382607077.44594
2022-05-11 12:42:49.512117,15030.0,2931727.93510862,45382607077.44594
2022-05-11 12:43:04.696254,15030.0,2931727.93510862,45382607077.44594
2022-05-11 12:43:17.975962,15030.0,2931727.93510862,45382607077.44594
2022-05-11 12:43:30.917188,15000.0,2931747.57710862,45382901707.44594
2022-05-11 12:43:44.241214,15000.0,2931763.91520885,45383146778.94939
2022-05-11 12:43:56.505852,15000.0,2931796.53435882,45383636392.20027
2022-05-11 12:44:09.262561,15010.0,2931812.8262309,45383880933.20019
2022-05-11 12:44:22.141588,14990.0,2932763.17948769,45398135878.476616
2022-05-11 12:44:34.234761,15020.0,2932763.51278031,45398140884.53177
2022-05-11 12:44:46.775654,15020.0,2932763.51278031,45398140884.53177
2022-05-11 12:45:00.000624,15020.0,2932763.51278031,45398140884.53177
2022-05-11 12:45:12.636151,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:45:24.134997,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:45:36.887148,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:45:50.426275,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:46:03.542261,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:46:16.756515,14980.0,2932967.9733862,45401205715.75723
2022-05-11 12:46:29.635397,15010.0,2932968.30656408,45401210716.75721
2022-05-11 12:46:43.917245,15010.0,2932968.30656408,45401210716.75721
2022-05-11 12:46:56.952948,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:47:10.389184,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:47:23.347730,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:47:36.907437,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:47:49.534912,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:48:03.064636,15010.0,2932995.7701807,45401622945.64268
2022-05-11 12:48:15.933539,15010.0,2933073.50739469,45402789781.22466
2022-05-11 12:48:29.267157,15010.0,2933073.50739469,45402789781.22466
2022-05-11 12:48:43.232988,15010.0,2933073.50739469,45402789781.22466
2022-05-11 12:48:56.477698,15000.0,2933076.62119469,45402836488.22466
2022-05-11 12:49:09.310941,15030.0,2933997.45440169,45416672787.914246
2022-05-11 12:49:21.929478,15040.0,2934006.31078466,45416805987.91411
2022-05-11 12:49:34.824258,15040.0,2934104.80728109,45418287375.22042
