,price,volume,value
2022-05-11 12:37:53.003654,248.0,178221202.3581952,44717588978.201706
2022-05-11 12:38:05.793432,249.0,178258749.9105517,44726901937.73846
2022-05-11 12:38:19.304638,249.0,178299124.26352352,44736920124.837036
2022-05-11 12:38:32.169680,248.0,178322472.2413755,44742708191.2536
2022-05-11 12:38:45.546911,249.0,178392178.17176047,44760052178.84624
2022-05-11 12:38:58.979627,249.0,178444310.73577446,44773037849.27569
2022-05-11 12:39:12.161745,249.0,178536960.54222652,44796041218.773766
2022-05-11 12:39:24.939901,248.0,178587866.09575158,44808726689.10983
2022-05-11 12:39:37.573519,249.0,178593320.59700206,44810084309.077286
2022-05-11 12:39:50.285061,249.0,178611161.16372952,44814526817.71992
2022-05-11 12:40:01.700981,247.0,178774648.27791598,44855071473.376656
2022-05-11 12:40:26.178598,248.0,178858646.05287755,44875930810.462364
2022-05-11 12:40:39.138863,248.0,178892270.4919665,44884269242.63382
2022-05-11 12:40:52.332432,248.0,178906883.46210414,44887902365.02727
2022-05-11 12:41:04.161953,248.0,178941400.1169833,44896496132.496315
2022-05-11 12:41:17.118029,248.0,179015574.38692713,44914895132.11047
2022-05-11 12:41:30.276917,248.0,179040259.3498797,44921017564.36706
2022-05-11 12:41:43.404340,247.0,179189723.6058119,44958083752.938416
2022-05-11 12:41:55.498654,248.0,179200171.08840498,44960665294.8047
2022-05-11 12:42:08.447011,248.0,179206484.67324787,44962225799.92682
2022-05-11 12:42:20.792667,248.0,179208703.13558894,44962774967.4098
2022-05-11 12:42:33.184702,247.0,179213567.84147632,44963977544.05478
2022-05-11 12:42:45.313628,248.0,179245001.2746836,44971772129.59913
2022-05-11 12:43:00.583031,248.0,179256614.58315808,44974642666.648254
2022-05-11 12:43:13.599894,248.0,179284698.34988835,44981607477.52801
2022-05-11 12:43:26.725674,248.0,179337754.45747212,44994764910.776474
2022-05-11 12:43:40.031666,248.0,179364092.7152623,45001296930.04245
2022-05-11 12:43:52.089243,248.0,179372784.83940977,45003451618.55994
2022-05-11 12:44:05.008510,247.0,179383933.10692108,45006215302.22708
2022-05-11 12:44:18.209559,248.0,179388546.07250035,45007357828.952
2022-05-11 12:44:30.193103,248.0,179400821.97181082,45010392569.92965
2022-05-11 12:44:42.378408,248.0,179402915.0830631,45010910626.86827
2022-05-11 12:44:55.635846,247.0,179531380.6613251,45042652624.71926
2022-05-11 12:45:08.747724,246.0,179546856.4429702,45046479565.87334
2022-05-11 12:45:32.921444,246.0,179554835.1269295,45048444425.742935
2022-05-11 12:45:45.616659,247.0,179632062.95858946,45067442346.25133
2022-05-11 12:45:59.148315,246.0,179736265.463478,45093052819.178
2022-05-11 12:46:12.279049,246.0,179774703.5067034,45102505598.229965
2022-05-11 12:46:25.593846,246.0,179807379.18083933,45110542080.80078
2022-05-11 12:46:38.867960,245.0,179818980.75827688,45113385551.487724
2022-05-11 12:46:52.621488,246.0,179822476.53665796,45114243185.023094
2022-05-11 12:47:06.054496,244.0,179950906.94634214,45145655291.84489
2022-05-11 12:47:18.893375,246.0,179964822.28300923,45149072635.68605
2022-05-11 12:47:32.617784,245.0,179979597.3379987,45152692524.15847
2022-05-11 12:47:45.239286,245.0,179979597.3379987,45152692524.15847
2022-05-11 12:47:58.876695,245.0,180000389.38077766,45157786574.63932
2022-05-11 12:48:11.632659,244.0,180037573.25299817,45166859439.46112
2022-05-11 12:48:24.859524,245.0,180041314.42113835,45167774150.17788
2022-05-11 12:48:37.940616,244.0,180041851.3255571,45167905154.85606
2022-05-11 12:48:52.310487,244.0,180123539.8814361,45187837162.49053
2022-05-11 12:49:04.615995,244.0,180180549.05691087,45201743023.671135
2022-05-11 12:49:17.447345,244.0,180196617.13889468,45205663635.67518
2022-05-11 12:49:30.215312,244.0,180204765.85595697,45207651922.63838
2022-05-11 12:49:43.403288,244.0,180211311.59528047,45209249083.03332
2022-05-11 12:49:56.843584,244.0,180235106.93109524,45215055144.97212
2022-05-11 12:50:09.690782,244.0,180270227.7936215,45223624635.428535
2022-05-11 12:50:23.119613,245.0,180302214.73595208,45231454809.872574
2022-05-11 12:50:36.835771,245.0,180302214.73595208,45231454809.872574
2022-05-11 12:50:50.519895,245.0,180303011.4595415,45231650007.151985
2022-05-11 12:51:03.807812,245.0,180307076.5001919,45232645942.11133
2022-05-11 12:51:17.485119,244.0,180354145.28808576,45244173235.0014
2022-05-11 12:51:31.811437,244.0,180354145.28808576,45244173235.0014
2022-05-11 12:51:44.836963,244.0,180356485.8606664,45244744334.711075
2022-05-11 12:51:57.608760,244.0,180356485.8606664,45244744334.711075
2022-05-11 12:52:11.058118,244.0,180360491.55358687,45245721723.78367
2022-05-11 12:52:24.691246,244.0,180417006.09688523,45259511272.36489
2022-05-11 12:52:37.092931,244.0,180426790.393043,45261898641.133354
2022-05-11 12:52:49.636514,244.0,180426790.393043,45261898641.133354
2022-05-11 12:53:04.152691,244.0,180428926.59958726,45262419875.53015
2022-05-11 12:53:16.987913,244.0,180428926.59958726,45262419875.53015
2022-05-11 12:53:29.972869,244.0,180435378.62252426,45263994169.12678
2022-05-11 12:53:43.141965,244.0,180435378.62252426,45263994169.12678
2022-05-11 12:53:56.440259,244.0,180435378.62252426,45263994169.12678
2022-05-11 12:54:10.384693,244.0,180435378.62252426,45263994169.12678
2022-05-11 12:54:24.230344,244.0,180435378.62252426,45263994169.12678
2022-05-11 12:54:37.393728,243.0,180467114.90561944,45271706085.91891
2022-05-11 12:54:50.411538,243.0,180481100.0734865,45275104481.71061
2022-05-11 12:55:03.436334,243.0,180496895.83103567,45278942850.79505
2022-05-11 12:55:15.789259,243.0,180511119.74523038,45282399261.94436
2022-05-11 12:55:28.064562,243.0,180514674.66473088,45283263107.38299
2022-05-11 12:55:41.539184,243.0,180522495.38269103,45285163541.847305
2022-05-11 12:55:54.309802,243.0,180522495.38269103,45285163541.847305
2022-05-11 12:56:06.709676,243.0,180547527.94717738,45291246455.01749
2022-05-11 12:56:19.723049,243.0,180547527.94717738,45291246455.01749
2022-05-11 12:56:33.269977,243.0,180547527.94717738,45291246455.01749
2022-05-11 12:56:45.953426,243.0,180547527.94717738,45291246455.01749
2022-05-11 12:56:59.032001,243.0,180590749.33162168,45301749251.437454
2022-05-11 12:57:11.987712,243.0,180598698.60268027,45303680924.30469
2022-05-11 12:57:25.205291,244.0,180606896.14365226,45305681124.30186
2022-05-11 12:57:38.862674,243.0,180608076.42451182,45305967932.55073
2022-05-11 12:57:52.171138,243.0,180608076.42451182,45305967932.55073
2022-05-11 12:58:05.888940,244.0,180621520.1078954,45309247517.17897
2022-05-11 12:58:17.732777,244.0,180621520.1078954,45309247517.17897
2022-05-11 12:58:30.286072,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:58:42.043138,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:58:53.376821,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:59:05.884676,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:59:18.655394,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:59:30.467137,244.0,180625686.77456206,45310264183.845634
2022-05-11 12:59:42.740111,243.0,180627676.89105758,45310747782.15405
2022-05-11 12:59:54.179158,243.0,180627717.7073841,45310757700.5214
2022-05-11 13:00:06.768012,243.0,180627758.02996477,45310767498.90849
2022-05-11 13:00:19.914705,243.0,180633804.05883998,45312241117.856865
2022-05-11 13:00:33.097257,243.0,180637553.85145235,45313152317.46168
2022-05-11 13:00:45.282441,243.0,180637553.85145235,45313152317.46168
2022-05-11 13:00:57.533661,243.0,180643777.98928484,45314664782.95497
2022-05-11 13:01:10.226199,243.0,180648041.8085947,45315700891.047264
2022-05-11 13:01:23.926892,243.0,180648661.3744918,45315851486.54388
2022-05-11 13:01:36.996184,243.0,180665374.084161,45319912674.993484
2022-05-11 13:01:48.940774,243.0,180671659.6145297,45321440058.87308
2022-05-11 13:02:01.587069,244.0,180675162.59045187,45322291585.85004
2022-05-11 13:02:13.616791,244.0,180675162.59045187,45322291585.85004
2022-05-11 13:02:24.943777,244.0,180683359.31176332,45324291585.85003
2022-05-11 13:02:36.843602,244.0,180683359.31176332,45324291585.85003
2022-05-11 13:02:48.635937,244.0,180683359.31176332,45324291585.85003
2022-05-11 13:02:59.856315,244.0,180683359.31176332,45324291585.85003
2022-05-11 13:03:12.935338,243.0,180687285.43741018,45325245634.38222
2022-05-11 13:03:24.761814,243.0,180687285.43741018,45325245634.38222
2022-05-11 13:03:36.559181,243.0,180687285.43741018,45325245634.38222
2022-05-11 13:03:47.998296,244.0,180695482.97838217,45327245834.37939
2022-05-11 13:03:59.396187,244.0,180695482.97838217,45327245834.37939
2022-05-11 13:04:10.966572,244.0,180695482.97838217,45327245834.37939
2022-05-11 13:04:22.767195,244.0,180695482.97838217,45327245834.37939
2022-05-11 13:04:34.998481,243.0,180722505.36556256,45333812274.46422
2022-05-11 13:04:47.911025,243.0,180722505.36556256,45333812274.46422
2022-05-11 13:05:00.898247,243.0,180722505.36556256,45333812274.46422
2022-05-11 13:05:13.434455,243.0,180726128.5619965,45334692711.19766
2022-05-11 13:05:25.794497,244.0,180727106.89674547,45334931424.87641
2022-05-11 13:05:38.303237,244.0,180727636.2785065,45335060594.0261
2022-05-11 13:05:51.601591,243.0,180739575.29196966,45337970353.94225
2022-05-11 13:06:03.906576,243.0,180739575.29196966,45337970353.94225
2022-05-11 13:06:16.061515,244.0,180750766.13097635,45340700918.65989
2022-05-11 13:06:27.640263,244.0,180756416.06107965,45342079001.60509
2022-05-11 13:06:38.998372,245.0,180758662.99985516,45342629001.60509
2022-05-11 13:06:51.021298,245.0,180758662.99985516,45342629001.60509
2022-05-11 13:07:02.652439,245.0,180801306.29126045,45353076607.99939
2022-05-11 13:07:14.948166,245.0,180801306.29126045,45353076607.99939
2022-05-11 13:07:27.013875,245.0,180821306.29126045,45357976607.99939
2022-05-11 13:07:38.938371,244.0,180827423.64591032,45359475302.687675
2022-05-11 13:07:50.658506,245.0,180828412.0315081,45359717545.54473
2022-05-11 13:08:03.127015,246.0,180830972.42802227,45360346910.23007
2022-05-11 13:08:15.914158,245.0,180832068.18876517,45360615910.22997
2022-05-11 13:08:28.385084,246.0,180832369.0017732,45360689760.22995
2022-05-11 13:08:40.908888,246.0,180834343.5543049,45361174985.867035
2022-05-11 13:08:53.808776,245.0,180835396.34176096,45361433435.866936
2022-05-11 13:09:06.640410,246.0,180836449.24536106,45361691935.866844
2022-05-11 13:09:19.715234,246.0,180837502.14896113,45361950435.86675
2022-05-11 13:09:32.854759,246.0,180844794.2552356,45363737238.895874
2022-05-11 13:09:44.878692,245.0,180876739.9998136,45371595377.77634
2022-05-11 13:09:57.486748,245.0,180877749.93012682,45371843327.776245
2022-05-11 13:10:10.188074,245.0,180888136.67311537,45374396727.775925
2022-05-11 13:10:22.343187,245.0,180888910.19227886,45374586627.775856
2022-05-11 13:10:34.871878,246.0,180898946.58750173,45377055302.42925
2022-05-11 13:10:46.811649,247.0,180901046.0327807,45377571401.740005
2022-05-11 13:10:59.752972,246.0,180930777.60196045,45384885668.30767
2022-05-11 13:11:13.364402,245.0,180943356.13467398,45387979451.640915
2022-05-11 13:11:26.240596,245.0,180944086.68055058,45388158801.64085
2022-05-11 13:11:38.665133,245.0,180944967.69100323,45388375101.64077
2022-05-11 13:11:51.133418,246.0,180989380.08066973,45399295376.52267
2022-05-11 13:12:03.639356,245.0,180991368.3501235,45399783976.522575
2022-05-11 13:12:17.347653,245.0,181057960.99375722,45416099780.78861
2022-05-11 13:12:31.630108,245.0,181063640.65336165,45417491539.282745
2022-05-11 13:12:45.242621,245.0,181080826.2356313,45421702006.938805
2022-05-11 13:12:58.583756,245.0,181081051.51285782,45421757199.85931
2022-05-11 13:13:14.331423,245.0,181081427.0801762,45421849213.85231
2022-05-11 13:13:28.943996,245.0,181081427.0801762,45421849213.85231
2022-05-11 13:13:42.070879,244.0,181197853.92092177,45450257362.99423
2022-05-11 13:13:54.641962,244.0,181203030.78094104,45451520516.838936
2022-05-11 13:14:08.837249,243.0,181214388.0500859,45454285627.57034
2022-05-11 13:14:22.122993,244.0,181223998.70660415,45456630627.7608
2022-05-11 13:14:36.522286,244.0,181237705.93977025,45459985961.760796
2022-05-11 13:14:50.068641,244.0,181237705.93977025,45459985961.760796
2022-05-11 13:15:02.736921,244.0,181248140.65254492,45462527927.63168
2022-05-11 13:15:16.993199,245.0,181248637.6191659,45462649306.12393
2022-05-11 13:15:30.904866,245.0,181248637.6191659,45462649306.12393
2022-05-11 13:15:45.485009,245.0,181250158.0367169,45463021808.42393
2022-05-11 13:15:59.440161,245.0,181267370.54727674,45467238873.51109
2022-05-11 13:16:13.035678,245.0,181270044.03116074,45467893877.062675
2022-05-11 13:16:27.110748,245.0,181270980.0971514,45468123213.230385
2022-05-11 13:16:40.668300,245.0,181270980.0971514,45468123213.230385
2022-05-11 13:16:54.121371,245.0,181273560.42331484,45468755393.14043
2022-05-11 13:17:07.191053,245.0,181274753.48395085,45469047692.99625
2022-05-11 13:17:20.916464,245.0,181274753.48395085,45469047692.99625
2022-05-11 13:17:33.427433,244.0,181283282.26203552,45471128714.84891
2022-05-11 13:17:45.919730,244.0,181283282.26203552,45471128714.84891
2022-05-11 13:17:58.400071,244.0,181285074.2512868,45471565960.22622
2022-05-11 13:18:11.825976,244.0,181288314.26761332,45472356524.20989
2022-05-11 13:18:24.668511,244.0,181288346.1456133,45472364302.44189
2022-05-11 13:18:37.993688,244.0,181288346.1456133,45472364302.44189
