,price,volume,value
2022-05-11 12:37:48.456906,31740.0,3863833.44233963,125635653131.33295
2022-05-11 12:38:01.421003,31740.0,3863895.03075417,125637608205.37047
2022-05-11 12:38:15.191737,31760.0,3864029.51669732,125641879432.46822
2022-05-11 12:38:27.680173,31770.0,3864030.29224319,125641904057.73228
2022-05-11 12:38:41.515834,31750.0,3864067.03104319,125643070514.6323
2022-05-11 12:38:54.357920,31770.0,3864547.02822795,125658310462.31982
2022-05-11 12:39:07.312524,31770.0,3864549.02822795,125658374002.31982
2022-05-11 12:39:20.633156,31770.0,3865115.58582212,125676352002.2634
2022-05-11 12:39:33.611367,31770.0,3865338.64664132,125683439718.78938
2022-05-11 12:39:46.116198,31770.0,3865497.08301959,125688473242.52701
2022-05-11 12:39:58.007195,31730.0,3865679.7803878,125694270234.91884
2022-05-11 12:40:09.514049,31730.0,3865712.12059681,125695296636.44434
2022-05-11 12:40:21.442019,31710.0,3865960.58160165,125703177002.81548
2022-05-11 12:40:34.859041,31700.0,3866119.97160165,125708230567.70488
2022-05-11 12:40:47.920553,31700.0,3866136.59068821,125708757392.74884
2022-05-11 12:41:00.155932,31710.0,3866151.96651098,125709244960.08888
2022-05-11 12:41:13.005230,31750.0,3866199.28351098,125710748181.17888
2022-05-11 12:41:25.910264,31730.0,3866495.47504718,125720160204.79784
2022-05-11 12:41:39.539366,31750.0,3866585.13304718,125723006446.29784
2022-05-11 12:41:51.545493,31750.0,3866798.94449156,125729786067.55537
2022-05-11 12:42:03.927486,31750.0,3866798.94449156,125729786067.55537
2022-05-11 12:42:16.949514,31690.0,3866911.35909982,125733348522.43326
2022-05-11 12:42:29.213000,31700.0,3866984.30888765,125735660281.51422
2022-05-11 12:42:41.306055,31710.0,3867053.51815751,125737854504.20042
2022-05-11 12:42:56.304567,31710.0,3867225.64687302,125743312705.76924
2022-05-11 12:43:09.072339,31740.0,3867251.90903976,125744146814.33449
2022-05-11 12:43:22.432224,31750.0,3867253.50496057,125744197470.6856
2022-05-11 12:43:35.194568,31740.0,3867452.06836057,125750497899.89752
2022-05-11 12:43:48.065596,31740.0,3867564.62324626,125754070391.96931
2022-05-11 12:44:00.417197,31740.0,3867566.19854556,125754120391.9691
2022-05-11 12:44:13.757927,31690.0,3867850.78158288,125763146811.00705
2022-05-11 12:44:26.117836,31690.0,3867850.78158288,125763146811.00705
2022-05-11 12:44:38.282650,31690.0,3867850.78158288,125763146811.00705
2022-05-11 12:44:51.021964,31740.0,3867853.93150413,125763246811.00673
2022-05-11 12:45:04.463305,31700.0,3867879.87692258,125764069280.77159
2022-05-11 12:45:16.652908,31680.0,3867983.30692258,125767346327.13483
2022-05-11 12:45:28.453273,31750.0,3868176.63735156,125773479143.41687
2022-05-11 12:45:41.309447,31770.0,3868308.68705693,125777673517.32266
2022-05-11 12:45:54.513268,31800.0,3868738.30974458,125791329828.62965
2022-05-11 12:46:08.060888,31760.0,3868935.71493152,125797603437.36687
2022-05-11 12:46:20.955707,31710.0,3868938.71188314,125797698591.63474
2022-05-11 12:46:34.077835,31750.0,3868946.34870979,125797941060.88087
2022-05-11 12:46:48.112446,31750.0,3868946.34870979,125797941060.88087
2022-05-11 12:47:01.583143,31750.0,3868946.34870979,125797941060.88087
2022-05-11 12:47:14.557991,31760.0,3868992.58595009,125799409433.4081
2022-05-11 12:47:27.732612,31760.0,3868994.88595009,125799482481.4081
2022-05-11 12:47:40.953611,31760.0,3868994.88595009,125799482481.4081
2022-05-11 12:47:54.118362,31760.0,3869026.37209618,125800482481.40791
2022-05-11 12:48:07.464028,31760.0,3869033.82760625,125800719268.40773
2022-05-11 12:48:20.192722,31760.0,3869033.82760625,125800719268.40773
2022-05-11 12:48:33.742588,31770.0,3869537.35418049,125816716307.67134
2022-05-11 12:48:47.620095,31770.0,3869537.35418049,125816716307.67134
2022-05-11 12:49:00.414555,31770.0,3869873.98298478,125827411004.78363
2022-05-11 12:49:13.465873,31790.0,3870167.29751963,125836732600.86182
2022-05-11 12:49:26.000144,31750.0,3870168.4460385,125836769071.59334
2022-05-11 12:49:38.673955,31750.0,3870168.4460385,125836769071.59334
2022-05-11 12:49:52.575414,31750.0,3870168.4460385,125836769071.59334
2022-05-11 12:50:05.260225,31740.0,3870598.989742,125850436303.2167
2022-05-11 12:50:18.783918,31750.0,3870625.20729522,125851268710.53143
2022-05-11 12:50:32.641365,31750.0,3870628.99596733,125851389000.87093
2022-05-11 12:50:45.725004,31750.0,3870628.99596733,125851389000.87093
2022-05-11 12:50:59.636776,31730.0,3870792.76292042,125856585950.49315
2022-05-11 12:51:12.927477,31730.0,3870792.76292042,125856585950.49315
2022-05-11 12:51:27.335576,31730.0,3870802.76292042,125856903250.49315
2022-05-11 12:51:40.575345,31720.0,3870826.63458522,125857660644.01262
2022-05-11 12:51:53.498485,31700.0,3871030.56823568,125864125403.80379
2022-05-11 12:52:06.919211,31650.0,3872170.12941635,125900199200.35753
2022-05-11 12:52:20.215000,31630.0,3872248.60114455,125902681651.33618
2022-05-11 12:52:32.774093,31610.0,3872453.18116218,125909149951.24333
2022-05-11 12:52:45.151239,31600.0,3872706.64854728,125917161927.31496
2022-05-11 12:52:59.031451,31650.0,3872769.16787936,125919137602.48209
2022-05-11 12:53:12.456562,31650.0,3872769.46787936,125919147097.48209
2022-05-11 12:53:25.698771,31650.0,3873394.15279264,125938919125.49948
2022-05-11 12:53:38.773664,31600.0,3874265.61896731,125966465066.64804
2022-05-11 12:53:51.803583,31640.0,3874553.78245864,125975571072.3546
2022-05-11 12:54:05.644736,31640.0,3874564.08245864,125975896964.3546
2022-05-11 12:54:19.517617,31550.0,3874782.75135917,125982803851.56117
2022-05-11 12:54:32.657674,31510.0,3874938.56531928,125987715368.37723
2022-05-11 12:54:45.886913,31540.0,3875024.16924504,125990415316.1957
2022-05-11 12:54:58.919265,31550.0,3875231.81041596,125996962334.15285
2022-05-11 12:55:11.882808,31590.0,3875286.16545443,125998677701.06766
2022-05-11 12:55:24.094481,31590.0,3875304.01672943,125999241622.84491
2022-05-11 12:55:36.395213,31590.0,3875304.01672943,125999241622.84491
2022-05-11 12:55:50.040145,31590.0,3875368.11212388,126001266396.35559
2022-05-11 12:56:02.371885,31570.0,3875571.48189837,126007687729.02888
2022-05-11 12:56:15.259425,31600.0,3875840.85214363,126016199828.7791
2022-05-11 12:56:28.416425,31640.0,3875976.16430778,126020481105.6528
2022-05-11 12:56:41.752834,31650.0,3875984.95330778,126020759277.50279
2022-05-11 12:56:55.149514,31640.0,3876184.95330778,126027085238.55489
2022-05-11 12:57:07.668667,31650.0,3876385.76926354,126033432358.55469
2022-05-11 12:57:20.295704,31650.0,3876387.34904237,126033482358.55466
