,price,volume,value
2022-05-11 12:37:47.871777,3146000.0,192806.50095336,604503585220.9811
2022-05-11 12:38:00.895521,3144000.0,192818.37011408,604540898239.6178
2022-05-11 12:38:14.561737,3145000.0,192835.0783319,604593437296.3234
2022-05-11 12:38:27.135592,3145000.0,192863.90384243,604684096591.0741
2022-05-11 12:38:40.927173,3146000.0,192880.78783282,604737194523.2379
2022-05-11 12:38:53.754726,3145000.0,192898.66743988,604793425887.4417
2022-05-11 12:39:06.735660,3146000.0,192908.95989889,604825805093.3427
2022-05-11 12:39:20.059020,3146000.0,192919.75849181,604859764210.279
2022-05-11 12:39:32.914280,3146000.0,192923.48860391,604871499142.9457
2022-05-11 12:39:45.572317,3146000.0,192929.55656431,604890578806.9144
2022-05-11 12:39:57.552921,3146000.0,192933.2090276,604902069456.4247
2022-05-11 12:40:08.941497,3146000.0,192933.8755736,604904166410.1407
2022-05-11 12:40:20.944792,3147000.0,192953.76960122,604966756188.8414
2022-05-11 12:40:34.330576,3146000.0,192970.90733198,605020647796.7124
2022-05-11 12:40:47.438240,3145000.0,192978.2283693,605043659035.8143
2022-05-11 12:40:59.566818,3141000.0,192982.97973822,605058588091.0677
2022-05-11 12:41:12.507706,3146000.0,193000.00982438,605112141580.4535
2022-05-11 12:41:25.307903,3146000.0,193000.41298151,605113409912.7845
2022-05-11 12:41:39.056551,3145000.0,193010.45855381,605144996836.6449
2022-05-11 12:41:50.972957,3146000.0,193011.53010043,605148366636.2648
2022-05-11 12:42:03.322996,3145000.0,193011.83039989,605149311077.767
2022-05-11 12:42:16.363772,3144000.0,193017.91789844,605168433635.5695
2022-05-11 12:42:28.762939,3143000.0,193020.68698692,605177133144.2986
2022-05-11 12:42:40.746443,3142000.0,193020.8684795,605177703307.8395
2022-05-11 12:42:55.238372,3140000.0,193048.67511001,605265023467.6897
2022-05-11 12:43:08.495590,3139000.0,193055.5274533,605286538740.2202
2022-05-11 12:43:21.889637,3140000.0,193069.8474469,605331503453.7782
2022-05-11 12:43:34.528721,3139000.0,193080.37036104,605364524995.8822
2022-05-11 12:43:47.581414,3136000.0,193082.13192533,605370052094.2919
2022-05-11 12:43:59.888814,3139000.0,193083.20528084,605373421307.7378
2022-05-11 12:44:13.048270,3138000.0,193093.10835012,605404497057.8376
2022-05-11 12:44:25.587712,3137000.0,193104.81966773,605441229649.532
2022-05-11 12:44:37.735861,3135000.0,193105.26929182,605442640061.0542
2022-05-11 12:44:50.493328,3136000.0,193109.8647397,605457047962.6849
2022-05-11 12:45:03.963700,3136000.0,193135.17870778,605536409415.865
2022-05-11 12:45:16.060299,3135000.0,193141.68099553,605556787379.0785
2022-05-11 12:45:27.669024,3137000.0,193159.08690997,605611369464.5212
2022-05-11 12:45:40.675738,3137000.0,193171.78900348,605651208760.1986
2022-05-11 12:45:53.821460,3137000.0,193174.0763437,605658383510.5387
2022-05-11 12:46:07.471452,3138000.0,193188.61928457,605703993183.5713
2022-05-11 12:46:20.455840,3137000.0,193203.87327725,605751821531.7272
2022-05-11 12:46:33.563674,3136000.0,193205.54003532,605757048134.0348
2022-05-11 12:46:47.512464,3136000.0,193208.77134025,605767178380.3903
2022-05-11 12:47:00.874894,3135000.0,193213.49758787,605781995053.3588
2022-05-11 12:47:14.055338,3133000.0,193219.80208787,605801757428.849
2022-05-11 12:47:27.265771,3133000.0,193222.37441326,605809817056.6959
2022-05-11 12:47:40.410330,3134000.0,193234.42556713,605847584191.6327
2022-05-11 12:47:53.592494,3134000.0,193237.6040184,605857545357.9128
2022-05-11 12:48:06.767746,3134000.0,193253.31631055,605906786665.4109
2022-05-11 12:48:19.650669,3135000.0,193273.19926656,605969103231.343
2022-05-11 12:48:33.213640,3135000.0,193311.59291355,606089424303.025
2022-05-11 12:48:46.895368,3132000.0,193326.14201767,606134992232.5026
2022-05-11 12:48:59.931171,3134000.0,193339.87644801,606178027731.4972
2022-05-11 12:49:12.937610,3135000.0,193391.80933161,606340789372.1465
2022-05-11 12:49:25.518579,3134000.0,193402.64039847,606374733875.6226
2022-05-11 12:49:38.130341,3133000.0,193414.82709503,606412913110.68
2022-05-11 12:49:51.971430,3133000.0,193421.17159178,606432788418.9978
2022-05-11 12:50:04.777697,3134000.0,193430.3544717,606461558836.8441
2022-05-11 12:50:18.150395,3132000.0,193441.18570424,606495490090.1776
2022-05-11 12:50:32.010730,3135000.0,193445.99609697,606510570195.1007
2022-05-11 12:50:44.941756,3135000.0,193447.2336541,606514450486.6058
2022-05-11 12:50:59.125552,3135000.0,193455.91428668,606541655692.3871
2022-05-11 12:51:12.430625,3135000.0,193458.63933352,606550198669.3815
2022-05-11 12:51:26.836577,3132000.0,193463.04135024,606563990818.6323
2022-05-11 12:51:40.079511,3135000.0,193469.496315,606584214792.7699
2022-05-11 12:51:52.925645,3135000.0,193476.62710745,606606552709.1202
2022-05-11 12:52:06.466773,3135000.0,193491.31228449,606652570230.9282
2022-05-11 12:52:19.522731,3134000.0,193503.85646713,606691872911.1813
2022-05-11 12:52:32.291819,3134000.0,193520.87418038,606745159659.154
2022-05-11 12:52:44.395036,3133000.0,193522.33999588,606749752168.414
2022-05-11 12:52:58.289523,3131000.0,193523.84979394,606754482051.0656
2022-05-11 12:53:11.990456,3132000.0,193532.64710312,606782035192.4158
2022-05-11 12:53:25.155820,3132000.0,193569.04644387,606896037927.6448
2022-05-11 12:53:38.155403,3132000.0,193571.84705246,606904804567.1011
2022-05-11 12:53:51.274084,3130000.0,193584.26139978,606943661475.8364
2022-05-11 12:54:04.996250,3129000.0,193587.84368435,606954870808.9333
2022-05-11 12:54:18.868953,3128000.0,193609.99521995,607024140115.6785
2022-05-11 12:54:32.130134,3125000.0,193621.89398246,607061329944.6964
2022-05-11 12:54:45.341922,3127000.0,193651.24821908,607153061637.8462
2022-05-11 12:54:58.359662,3125000.0,193651.35106068,607153383123.5294
2022-05-11 12:55:11.384775,3127000.0,193652.27361679,607156267616.2744
2022-05-11 12:55:23.625931,3127000.0,193653.32175669,607159544772.5532
2022-05-11 12:55:35.730001,3126000.0,193653.45421734,607159958972.4552
2022-05-11 12:55:49.557131,3125000.0,193662.71307441,607188899982.499
2022-05-11 12:56:01.859160,3126000.0,193685.6946835,607260730433.4325
2022-05-11 12:56:14.732266,3127000.0,193690.36195723,607275320540.9542
2022-05-11 12:56:27.810852,3127000.0,193697.18619035,607296654284.3649
2022-05-11 12:56:41.075908,3127000.0,193699.97884618,607305386919.1453
2022-05-11 12:56:54.683025,3128000.0,193714.69085663,607351387765.1096
2022-05-11 12:57:07.050587,3128000.0,193714.98603867,607352311036.6487
2022-05-11 12:57:19.677878,3128000.0,193716.91146196,607358333412.5936
2022-05-11 12:57:33.697088,3127000.0,193736.1608186,607418538898.0469
2022-05-11 12:57:47.340302,3128000.0,193747.35401085,607453548679.2262
2022-05-11 12:58:01.182770,3128000.0,193754.3970079,607475577727.874
2022-05-11 12:58:12.964117,3128000.0,193757.34770383,607484807501.5172
2022-05-11 12:58:25.536332,3128000.0,193757.84574319,607486365367.0197
2022-05-11 12:58:37.399901,3128000.0,193761.94294032,607499179697.8645
2022-05-11 12:58:49.152809,3128000.0,193765.6820403,607510875602.6019
2022-05-11 12:59:01.176228,3128000.0,193767.92539512,607517892816.4789
2022-05-11 12:59:13.843641,3127000.0,193784.99436984,607571268177.9305
2022-05-11 12:59:38.202105,3127000.0,193804.52018114,607632318942.5555
2022-05-11 12:59:50.117302,3126000.0,193809.82548011,607648907912.3887
2022-05-11 13:00:02.015000,3127000.0,193812.50042681,607657270748.4196
2022-05-11 13:00:15.245984,3128000.0,193827.70472005,607704820861.628
2022-05-11 13:00:27.711876,3128000.0,193843.77994733,607755089329.8922
2022-05-11 13:00:40.789526,3127000.0,193845.41200496,607760194402.262
2022-05-11 13:00:52.893910,3127000.0,193860.1735892,607806344297.4099
2022-05-11 13:01:05.269759,3128000.0,193867.45405006,607829098458.2501
2022-05-11 13:01:19.088413,3126000.0,193894.30960962,607913042953.2115
2022-05-11 13:01:32.303748,3127000.0,193903.47192777,607941702048.1512
2022-05-11 13:01:44.686574,3128000.0,193913.52944692,607973157909.9332
2022-05-11 13:01:56.680790,3127000.0,193921.81280148,607999062520.3116
2022-05-11 13:02:09.105140,3126000.0,193925.84810797,608011679939.2103
2022-05-11 13:02:20.657806,3126000.0,193926.89150285,608014941591.6052
2022-05-11 13:02:32.211361,3126000.0,193930.03931455,608024781638.9794
2022-05-11 13:02:44.326749,3126000.0,193934.33486078,608038209013.2174
2022-05-11 13:02:55.710331,3125000.0,193941.6931391,608061209570.8148
2022-05-11 13:03:08.414232,3126000.0,193947.26862359,608078636866.9462
2022-05-11 13:03:20.448345,3126000.0,193959.77290229,608117725242.1624
2022-05-11 13:03:32.025888,3126000.0,193965.85400229,608136734360.7623
2022-05-11 13:03:43.747965,3126000.0,193981.17139621,608184599838.0328
2022-05-11 13:03:55.054967,3127000.0,193983.1178313,608190683604.8218
2022-05-11 13:04:06.859281,3127000.0,193986.8045009,608202211820.661
2022-05-11 13:04:18.030675,3127000.0,193988.40204292,608207207334.5576
2022-05-11 13:04:30.298744,3127000.0,193988.40204292,608207207334.5576
2022-05-11 13:04:43.040757,3127000.0,194024.30148023,608319468175.026
2022-05-11 13:04:56.640587,3128000.0,194026.56104903,608326535417.0636
2022-05-11 13:05:08.730349,3128000.0,194059.94243212,608430947311.7554
2022-05-11 13:05:21.305423,3131000.0,194096.83716267,608546407210.7501
2022-05-11 13:05:33.570259,3131000.0,194119.36773093,608616930355.8127
2022-05-11 13:05:46.570322,3131000.0,194121.18564076,608622622167.331
2022-05-11 13:05:59.543341,3132000.0,194137.53669767,608673827788.6218
2022-05-11 13:06:11.761220,3133000.0,194138.656521,608677336195.1146
2022-05-11 13:06:23.365016,3133000.0,194139.87665196,608681158798.3625
2022-05-11 13:06:34.645026,3133000.0,194159.43245863,608742410350.1128
2022-05-11 13:06:46.550561,3132000.0,194185.13310246,608822907156.7318
2022-05-11 13:06:58.083083,3132000.0,194192.64393888,608846430250.0629
2022-05-11 13:07:10.250856,3132000.0,194203.80492086,608881386405.1992
2022-05-11 13:07:22.520471,3129000.0,194233.07917395,608973058419.8009
2022-05-11 13:07:34.235604,3133000.0,194242.54892147,609002718693.0336
2022-05-11 13:07:46.258629,3133000.0,194257.99197933,609051111942.0061
2022-05-11 13:07:58.304480,3133000.0,194265.59096247,609074919556.1837
2022-05-11 13:08:11.145870,3137000.0,194278.74780245,609116159308.9098
2022-05-11 13:08:23.658120,3137000.0,194289.93628806,609151257588.2683
2022-05-11 13:08:36.236659,3137000.0,194305.86076261,609201215541.3317
2022-05-11 13:08:49.124395,3137000.0,194312.17085336,609221010232.0758
2022-05-11 13:09:01.786958,3139000.0,194317.26978603,609237013489.9602
2022-05-11 13:09:14.730717,3138000.0,194321.3872193,609249933971.2457
2022-05-11 13:09:27.566146,3138000.0,194328.77568673,609273118762.041
2022-05-11 13:09:40.570343,3138000.0,194338.07148916,609302288990.0664
2022-05-11 13:09:52.843029,3137000.0,194353.66767698,609351219559.7887
2022-05-11 13:10:04.988025,3138000.0,194367.85969035,609395722752.5095
2022-05-11 13:10:17.657230,3137000.0,194377.28763051,609425299016.5914
2022-05-11 13:10:30.117895,3138000.0,194390.46493055,609466639751.7361
2022-05-11 13:10:42.503199,3138000.0,194412.33959019,609535276103.7351
2022-05-11 13:10:54.813398,3136000.0,194439.548716,609620593365.3085
2022-05-11 13:11:08.290676,3135000.0,194456.12243462,609672552132.4069
2022-05-11 13:11:21.393625,3136000.0,194491.69809308,609784108918.962
2022-05-11 13:11:33.933675,3133000.0,194547.09626347,609957740705.3641
2022-05-11 13:11:46.843999,3135000.0,194560.42462363,609999552704.5315
2022-05-11 13:11:58.939241,3137000.0,194573.54476198,610040710578.5354
2022-05-11 13:12:12.574467,3138000.0,194585.26331397,610077470595.493
2022-05-11 13:12:26.163758,3137000.0,194590.41084906,610093623598.6909
2022-05-11 13:12:40.395434,3138000.0,194604.7275215,610138530511.3009
2022-05-11 13:12:53.366673,3135000.0,194631.49105434,610222470639.1875
2022-05-11 13:13:08.314354,3133000.0,194697.58061509,610429765176.3641
2022-05-11 13:13:23.076155,3136000.0,194710.88770708,610471507601.5508
2022-05-11 13:13:37.477740,3137000.0,194737.11379012,610553718196.2435
2022-05-11 13:13:49.980688,3134000.0,194765.06067569,610641274564.9424
2022-05-11 13:14:03.292679,3136000.0,194771.51033618,610661491168.5095
2022-05-11 13:14:17.324938,3135000.0,194781.60537072,610693131263.2595
2022-05-11 13:14:31.022610,3136000.0,194789.69618949,610718498243.3237
2022-05-11 13:14:44.974501,3136000.0,194810.86860611,610784886541.83
2022-05-11 13:14:57.890065,3136000.0,194839.54045983,610874777814.2423
2022-05-11 13:15:10.962162,3134000.0,194863.60952616,610950253019.5834
2022-05-11 13:15:25.759249,3133000.0,194874.41801437,610984144763.3925
2022-05-11 13:15:40.302162,3137000.0,194880.50084768,611003236410.9119
2022-05-11 13:15:54.134159,3140000.0,194882.12134878,611008322878.6686
2022-05-11 13:16:08.098737,3140000.0,194888.70724074,611029002579.423
2022-05-11 13:16:22.018950,3141000.0,194920.5679978,611129063306.8867
2022-05-11 13:16:35.863525,3139000.0,194925.61486245,611144899526.255
2022-05-11 13:16:48.892765,3139000.0,194928.34811175,611153473205.2036
2022-05-11 13:17:02.359266,3136000.0,194931.69769608,611163984824.6155
2022-05-11 13:17:15.804292,3139000.0,194935.04690184,611174497981.4961
2022-05-11 13:17:28.576292,3140000.0,194965.61780143,611270460745.4628
2022-05-11 13:17:41.225869,3140000.0,194968.40991813,611279219641.6069
2022-05-11 13:17:53.743510,3139000.0,194973.74123712,611295949051.4982
2022-05-11 13:18:06.633022,3138000.0,194983.51202467,611326600472.7294
2022-05-11 13:18:19.821806,3133000.0,194990.39068129,611348162317.886
2022-05-11 13:18:32.830856,3137000.0,195125.31187715,611770554909.1003
2022-05-11 13:18:46.437665,3131000.0,195138.24407008,611811103921.6432
2022-05-11 13:18:59.327102,3129000.0,195148.5693614,611843450130.913
2022-05-11 13:19:11.382457,3131000.0,195162.63072523,611887473013.7013
2022-05-11 13:19:23.953475,3132000.0,195187.60877812,611965634347.184
2022-05-11 13:19:36.161913,3129000.0,195194.84851382,611988294122.862
2022-05-11 13:19:47.829427,3130000.0,195203.1915086,612014411164.6449
2022-05-11 13:19:59.809795,3130000.0,195209.5098687,612034198719.8641
2022-05-11 13:20:11.396118,3132000.0,195217.07064509,612057884902.0106
2022-05-11 13:20:24.272343,3135000.0,195222.67737101,612075455060.5698
2022-05-11 13:20:36.293046,3136000.0,195230.89164134,612101200585.3256
2022-05-11 13:20:48.571375,3135000.0,195238.47097535,612124953076.4469
2022-05-11 13:21:01.354886,3135000.0,195248.34157767,612155875609.216
2022-05-11 13:21:14.658554,3130000.0,195256.81469739,612182428865.7513
2022-05-11 13:21:27.827425,3134000.0,195270.92248854,612226635432.7073
2022-05-11 13:21:41.025650,3133000.0,195280.44226874,612256461623.3451
2022-05-11 13:21:54.316160,3130000.0,195301.60784398,612322744620.8289
2022-05-11 13:22:08.259723,3133000.0,195311.48121797,612353658929.5298
2022-05-11 13:22:21.473823,3134000.0,195322.73091543,612388886572.6644
2022-05-11 13:22:36.418009,3133000.0,195371.01178327,612540222622.4542
2022-05-11 13:22:49.389130,3143000.0,195444.75037299,612771599528.449
2022-05-11 13:23:01.720114,3141000.0,195500.93806761,612948002414.1879
2022-05-11 13:23:16.522434,3143000.0,195546.00686184,613089580452.2964
2022-05-11 13:23:29.329042,3143000.0,195606.1757409,613278653937.1481
2022-05-11 13:23:42.253517,3144000.0,195765.74955871,613780158945.1655
2022-05-11 13:23:55.396601,3140000.0,195779.97730418,613824823646.9696
2022-05-11 13:24:08.359372,3141000.0,195803.2702352,613897944277.7908
2022-05-11 13:24:21.826650,3138000.0,195834.56936853,613996135458.9747
2022-05-11 13:24:34.324102,3139000.0,195843.53901517,614024275437.4839
2022-05-11 13:24:47.229235,3138000.0,195913.37387351,614243372228.6862
2022-05-11 13:24:59.028623,3139000.0,195926.94392795,614285914365.4199
2022-05-11 13:25:11.549264,3139000.0,195968.25767238,614415416319.635
2022-05-11 13:25:24.160847,3140000.0,195996.40015506,614503731679.0543
2022-05-11 13:25:36.257707,3139000.0,196015.50262175,614563718619.5363
2022-05-11 13:25:48.590925,3143000.0,196128.23310402,614918017048.3109
2022-05-11 13:26:01.604842,3145000.0,196163.92659196,615030267615.386
2022-05-11 13:26:14.297252,3148000.0,196179.15842947,615078203935.2367
2022-05-11 13:26:26.567678,3150000.0,196180.43319788,615082217573.873
2022-05-11 13:26:38.713037,3149000.0,196196.85483168,615133949152.3673
2022-05-11 13:26:51.276831,3151000.0,196198.85673523,615140257152.3568
2022-05-11 13:27:03.986311,3150000.0,196204.55027806,615158198732.4381
2022-05-11 13:27:16.037023,3149000.0,196206.21740863,615163449606.7776
2022-05-11 13:27:27.975846,3150000.0,196208.51670128,615170691786.3779
2022-05-11 13:27:40.036726,3150000.0,196210.24387775,615176132324.2584
2022-05-11 13:27:52.136642,3150000.0,196213.32473188,615185835219.8927
2022-05-11 13:28:03.879905,3150000.0,196221.37616359,615211196285.8383
2022-05-11 13:28:16.358265,3150000.0,196221.92114455,615212912975.8623
2022-05-11 13:28:28.948156,3149000.0,196225.10604858,615222941090.5579
2022-05-11 13:28:41.530820,3148000.0,196232.12719778,615245043680.9379
2022-05-11 13:28:54.159397,3149000.0,196239.64658554,615268727629.9764
2022-05-11 13:29:08.548036,3149000.0,196240.67834166,615271976646.0082
2022-05-11 13:29:20.891918,3152000.0,196244.51612555,615284065311.8153
2022-05-11 13:29:33.700445,3152000.0,196244.91269915,615285315311.8026
2022-05-11 13:29:45.695439,3149000.0,196244.94865931,615285428581.6404
2022-05-11 13:29:57.842745,3152000.0,196248.1703552,615295583367.0857
2022-05-11 13:30:09.615572,3152000.0,196250.14576566,615301809289.8926
2022-05-11 13:30:21.984285,3152000.0,196250.55313482,615303092901.6848
2022-05-11 13:30:33.827737,3150000.0,196253.08024086,615311053285.7108
2022-05-11 13:30:46.186409,3150000.0,196253.33282085,615311849004.0793
2022-05-11 13:30:58.160551,3150000.0,196254.50396157,615315538107.3473
2022-05-11 13:31:10.463708,3147000.0,196302.09088086,615465457706.9999
2022-05-11 13:31:24.045589,3150000.0,196302.70361465,615467386149.5165
2022-05-11 13:31:36.896121,3148000.0,196306.3185658,615478764535.4353
2022-05-11 13:31:49.446202,3148000.0,196309.17595125,615487758869.5121
2022-05-11 13:32:01.680308,3148000.0,196314.50480425,615504528964.5891
2022-05-11 13:32:14.004985,3147000.0,196316.66283244,615511320570.5676
2022-05-11 13:32:26.039318,3147000.0,196324.98968107,615537524058.2151
2022-05-11 13:32:37.771414,3147000.0,196326.54855132,615542429824.4802
2022-05-11 13:32:49.652996,3147000.0,196330.16493941,615553812306.504
2022-05-11 13:33:01.858857,3150000.0,196369.70673202,615678294909.0449
2022-05-11 13:33:14.903086,3150000.0,196381.21835692,615714556194.811
2022-05-11 13:33:29.122873,3149000.0,196384.89224092,615726128544.811
2022-05-11 13:33:41.551765,3150000.0,196388.04793966,615736068676.5369
2022-05-11 13:33:54.014914,3150000.0,196389.18821191,615739659206.7285
2022-05-11 13:34:06.038334,3150000.0,196389.54771192,615740791631.76
2022-05-11 13:34:19.282244,3151000.0,196419.19781739,615834189421.3856
2022-05-11 13:34:31.982602,3151000.0,196423.97693095,615849246136.6528
2022-05-11 13:34:43.824750,3150000.0,196424.13566142,615849746137.6333
2022-05-11 13:34:55.781805,3150000.0,196424.87826484,615852085882.0018
2022-05-11 13:35:08.572540,3150000.0,196434.0398226,615880945042.3458
2022-05-11 13:35:21.184852,3151000.0,196437.64318187,615892295697.9862
2022-05-11 13:35:33.762015,3150000.0,196451.81677392,615936952492.8676
2022-05-11 13:35:46.229893,3150000.0,196454.80382209,615946361694.603
2022-05-11 13:35:58.261297,3150000.0,196455.20222209,615947616654.603
