,price,volume,value
2022-05-11 12:37:57.983691,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:38:11.077350,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:38:24.373364,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:38:38.044868,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:38:50.797101,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:39:04.032915,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:39:17.206040,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:39:30.142490,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:39:42.653826,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:39:55.197760,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:40:06.445743,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:40:17.969699,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:40:31.575499,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:40:44.109225,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:40:56.997291,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:41:09.556676,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:41:22.326844,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:41:35.673405,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:41:48.241047,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:42:00.493669,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:42:13.329402,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:42:25.880062,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:42:38.049725,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:42:50.618952,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:43:05.620955,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:43:18.898201,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:43:31.959726,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:43:45.071566,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:43:57.381093,108.0,149703708.25219718,17185053931.902393
2022-05-11 12:44:10.093202,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:44:23.017564,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:44:35.093920,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:44:47.622884,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:45:00.970164,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:45:13.494360,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:45:24.952977,107.0,149706760.64519718,17185380537.953392
2022-05-11 12:45:37.747894,107.0,149717125.87204903,17186489617.22654
2022-05-11 12:45:51.303401,108.0,149717171.90407887,17186494588.685764
2022-05-11 12:46:04.432079,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:46:17.588173,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:46:30.510860,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:46:44.864293,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:46:57.706874,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:47:11.232075,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:47:24.286280,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:47:37.813642,108.0,149726246.5149216,17187474646.656776
2022-05-11 12:47:50.606122,107.0,149735321.1257643,17188445630.01695
2022-05-11 12:48:03.851562,107.0,149735321.1257643,17188445630.01695
2022-05-11 12:48:16.869217,107.0,149735321.1257643,17188445630.01695
2022-05-11 12:48:30.110953,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:48:44.109588,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:48:57.397827,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:49:10.156780,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:49:22.776385,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:49:35.640109,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:49:49.198459,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:50:01.985772,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:50:15.036065,108.0,149735367.15779418,17188450601.476173
2022-05-11 12:50:29.112054,108.0,149735644.93557194,17188480601.476173
2022-05-11 12:50:42.055079,108.0,149735644.93557194,17188480601.476173
2022-05-11 12:50:56.442419,108.0,149735644.93557194,17188480601.476173
2022-05-11 12:51:09.247155,108.0,149735644.93557194,17188480601.476173
2022-05-11 12:51:23.285607,108.0,149735644.93557194,17188480601.476173
2022-05-11 12:51:37.440937,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:51:49.966820,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:52:03.599204,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:52:16.562697,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:52:29.591301,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:52:41.921748,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:52:54.788782,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:53:09.228516,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:53:22.183410,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:53:35.480887,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:53:48.570028,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:54:02.067345,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:54:16.010209,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:54:29.314911,108.0,149736109.99933636,17188530828.36273
2022-05-11 12:54:42.482217,107.0,149739393.57804006,17188882171.284023
2022-05-11 12:54:55.463377,107.0,149739393.57804006,17188882171.284023
2022-05-11 12:55:08.759959,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:55:20.700815,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:55:32.696930,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:55:46.978905,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:55:59.378642,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:56:11.511915,107.0,149740545.8661817,17189005466.11518
2022-05-11 12:56:25.156007,108.0,149740591.47973856,17189010392.379322
2022-05-11 12:56:38.266829,107.0,149748102.21969566,17189814041.554733
2022-05-11 12:56:51.767279,107.0,149748102.21969566,17189814041.554733
2022-05-11 12:57:04.160433,107.0,149748102.21969566,17189814041.554733
2022-05-11 12:57:16.989598,107.0,149748102.21969566,17189814041.554733
2022-05-11 12:57:30.519080,107.0,149748382.59352744,17189844041.554733
2022-05-11 12:57:44.604177,107.0,149748382.59352744,17189844041.554733
2022-05-11 12:57:57.941596,108.0,149757379.2891144,17190806734.014565
2022-05-11 12:58:10.395289,108.0,149759231.14096624,17191006734.014565
2022-05-11 12:58:22.728713,108.0,149759231.14096624,17191006734.014565
2022-05-11 12:58:35.007025,108.0,149759231.14096624,17191006734.014565
2022-05-11 12:58:46.725091,108.0,149759638.52059588,17191050731.014565
2022-05-11 12:58:58.592586,108.0,149759638.52059588,17191050731.014565
2022-05-11 12:59:10.996975,108.0,149759638.52059588,17191050731.014565
2022-05-11 12:59:23.618969,108.0,149759638.52059588,17191050731.014565
