,price,volume,value
2022-05-11 12:37:52.808654,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:38:05.493035,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:38:19.094639,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:38:31.972708,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:38:45.350616,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:38:58.709903,4055.0,2215888.31347258,9779354844.429602
2022-05-11 12:39:11.934959,4060.0,2215912.95018926,9779454844.429598
2022-05-11 12:39:24.758443,4060.0,2215912.95018926,9779454844.429598
2022-05-11 12:39:37.362061,4060.0,2215912.95018926,9779454844.429598
2022-05-11 12:39:50.088481,4045.0,2215914.95018926,9779462934.429598
2022-05-11 12:40:01.504385,4060.0,2215939.58565724,9779562934.429596
2022-05-11 12:40:13.111411,4060.0,2215939.58565724,9779562934.429596
2022-05-11 12:40:25.997902,4060.0,2215939.58565724,9779562934.429596
2022-05-11 12:40:38.882714,4060.0,2215939.58565724,9779562934.429596
2022-05-11 12:40:52.061868,4060.0,2215939.58565724,9779562934.429596
2022-05-11 12:41:03.978824,4060.0,2215940.81765724,9779567936.349596
2022-05-11 12:41:16.906918,4060.0,2215940.81765724,9779567936.349596
2022-05-11 12:41:30.066190,4060.0,2215940.81765724,9779567936.349596
2022-05-11 12:41:43.224340,4060.0,2215940.81765724,9779567936.349596
2022-05-11 12:42:08.145764,4040.0,2216225.18765724,9780716836.039583
2022-05-11 12:42:20.580903,4040.0,2216389.86065724,9781381812.181147
2022-05-11 12:42:33.002801,4035.0,2216611.06065724,9782274354.181147
2022-05-11 12:42:45.131692,4035.0,2216611.06065724,9782274354.181147
2022-05-11 12:43:00.342233,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:43:13.312632,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:43:26.500578,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:43:39.819920,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:43:51.816846,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:44:04.797313,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:44:17.907554,4030.0,2217016.85965724,9783911359.654524
2022-05-11 12:44:29.951821,4030.0,2217016.85965724,9783911359.654524
