,price,volume,value
2022-05-11 12:38:00.685604,2355.0,80035933.44087844,215310959606.86105
2022-05-11 12:38:14.337118,2355.0,80037139.62052508,215313796382.626
2022-05-11 12:38:26.955156,2360.0,80038223.31553115,215316349686.45032
2022-05-11 12:38:40.731473,2360.0,80043241.39970937,215328192365.11093
2022-05-11 12:38:53.558807,2355.0,80044744.77592088,215331733066.08902
2022-05-11 12:39:06.525535,2360.0,80049680.68508703,215343371501.35443
2022-05-11 12:39:19.786300,2360.0,80049692.68508703,215343399821.35443
2022-05-11 12:39:32.627032,2365.0,80051425.55708046,215347489444.25894
2022-05-11 12:39:45.374467,2365.0,80051428.49569555,215347496394.08362
2022-05-11 12:39:57.357430,2365.0,80067017.27837583,215384363865.1225
2022-05-11 12:40:08.745536,2365.0,80068443.30495706,215387736417.9871
2022-05-11 12:40:20.732336,2365.0,80073169.20260295,215398898674.14178
2022-05-11 12:40:34.119963,2365.0,80073668.52770296,215400079578.00327
2022-05-11 12:40:47.166055,2360.0,80075846.9136897,215405221768.43896
2022-05-11 12:40:59.382871,2360.0,80083434.37304223,215423110055.19272
2022-05-11 12:41:12.221413,2360.0,80087000.87547135,215431527015.92548
2022-05-11 12:41:25.109646,2365.0,80099700.99208042,215461523631.16177
2022-05-11 12:41:38.861125,2360.0,80113349.54259734,215493743667.7693
2022-05-11 12:41:50.792962,2365.0,80113516.37184094,215494138218.93042
2022-05-11 12:42:03.082562,2360.0,80116054.02313595,215500137497.7033
2022-05-11 12:42:16.107141,2360.0,80116258.71628247,215500620573.5291
2022-05-11 12:42:28.552939,2355.0,80120505.00090612,215510620573.81845
2022-05-11 12:42:40.564616,2360.0,80124514.77820861,215520069640.76382
2022-05-11 12:42:54.831457,2365.0,80127582.27731675,215527306235.87665
2022-05-11 12:43:08.222554,2370.0,80128225.83324774,215528831285.2581
2022-05-11 12:43:21.663935,2370.0,80130836.06663878,215535012079.73447
2022-05-11 12:43:34.347749,2370.0,80133975.74596643,215542440907.8697
2022-05-11 12:43:47.400788,2370.0,80134141.80799174,215542834474.86966
2022-05-11 12:43:59.661853,2365.0,80135519.3607355,215546092387.10864
2022-05-11 12:44:12.774431,2365.0,80139009.33815573,215554336183.7075
2022-05-11 12:44:25.331075,2365.0,80139641.6216526,215555831549.1776
2022-05-11 12:44:37.525480,2365.0,80139947.20884076,215556554262.8776
2022-05-11 12:44:50.281517,2365.0,80139947.20884076,215556554262.8776
2022-05-11 12:45:03.767718,2365.0,80140065.48416398,215556833984.017
2022-05-11 12:45:15.861281,2360.0,80141466.45219117,215560140268.56116
2022-05-11 12:45:27.488169,2365.0,80141478.45219117,215560168648.56116
2022-05-11 12:45:40.479120,2370.0,80143369.46209116,215564649341.97443
2022-05-11 12:45:53.610752,2370.0,80147664.64985488,215574828936.97443
2022-05-11 12:46:07.260549,2375.0,80153536.80571519,215588750156.36337
2022-05-11 12:46:20.214888,2375.0,80156044.00928505,215594711064.84177
2022-05-11 12:46:33.275193,2375.0,80156044.00928505,215594711064.84177
2022-05-11 12:46:47.316631,2370.0,80160109.91691579,215604368794.91806
2022-05-11 12:47:00.604015,2370.0,80160109.91691579,215604368794.91806
2022-05-11 12:47:13.860182,2370.0,80160109.91691579,215604368794.91806
2022-05-11 12:47:27.038487,2370.0,80160892.00889301,215606222352.90408
2022-05-11 12:47:40.197119,2370.0,80161399.55235527,215607425230.90967
2022-05-11 12:47:53.380505,2370.0,80166336.257523,215619125222.15714
2022-05-11 12:48:06.376528,2370.0,80166392.256123,215619257938.83914
2022-05-11 12:48:19.453364,2365.0,80176052.47707494,215642151612.49524
2022-05-11 12:48:33.001792,2365.0,80177735.34350199,215646131591.59518
2022-05-11 12:48:46.654362,2365.0,80179989.7705529,215651463330.77698
2022-05-11 12:48:59.734350,2370.0,80180621.7705529,215652961170.77698
2022-05-11 12:49:12.741716,2370.0,80180621.7705529,215652961170.77698
2022-05-11 12:49:25.307448,2370.0,80180624.575602,215652967818.74332
2022-05-11 12:49:37.947657,2370.0,80181279.48380199,215654519951.1773
2022-05-11 12:49:51.623864,2370.0,80182798.64764723,215658120369.49054
2022-05-11 12:50:04.595910,2365.0,80183120.3721603,215658882804.1758
2022-05-11 12:50:17.847879,2365.0,80183120.3721603,215658882804.1758
2022-05-11 12:50:31.724115,2365.0,80183120.3721603,215658882804.1758
2022-05-11 12:50:44.698426,2365.0,80183972.83228678,215660903089.67554
2022-05-11 12:50:58.929365,2370.0,80189962.1121908,215675068052.97144
2022-05-11 12:51:12.234662,2365.0,80190442.7805908,215676204833.73743
2022-05-11 12:51:26.626449,2365.0,80190654.19708128,215676704833.73746
2022-05-11 12:51:39.867851,2365.0,80190659.19708128,215676716658.73746
2022-05-11 12:51:52.683751,2365.0,80193540.11041927,215683530018.78177
2022-05-11 12:52:06.286427,2355.0,80199739.29527931,215698151582.15598
2022-05-11 12:52:19.327013,2350.0,80210152.90187602,215722685836.9436
2022-05-11 12:52:32.111028,2350.0,80215297.69461873,215734783906.61075
2022-05-11 12:52:44.215105,2350.0,80217397.83157879,215739719228.4669
2022-05-11 12:52:58.019368,2350.0,80217691.51107879,215740409375.2919
2022-05-11 12:53:11.599905,2350.0,80241623.14672978,215796649780.64285
2022-05-11 12:53:24.807427,2350.0,80241623.14672978,215796649780.64285
2022-05-11 12:53:37.914543,2350.0,80251141.97284861,215819019022.0221
2022-05-11 12:53:51.078561,2350.0,80251269.50050817,215819318712.02206
2022-05-11 12:54:04.707999,2340.0,80264559.78879507,215850463868.32312
2022-05-11 12:54:18.672363,2335.0,80280544.72883683,215887854958.02084
2022-05-11 12:54:31.933562,2330.0,80289526.99918187,215908828544.2765
2022-05-11 12:54:45.144883,2335.0,80291121.01275393,215912548214.12726
2022-05-11 12:54:58.162738,2335.0,80291945.56149401,215914473793.29355
2022-05-11 12:55:11.189675,2340.0,80293900.0224483,215919047201.92657
2022-05-11 12:55:23.277994,2340.0,80298302.30170308,215929349622.57904
2022-05-11 12:55:35.457834,2340.0,80304840.88655108,215944649911.12335
2022-05-11 12:55:49.359406,2340.0,80306787.31529142,215949204554.37576
2022-05-11 12:56:01.663782,2340.0,80306787.31529142,215949204554.37576
2022-05-11 12:56:14.427967,2345.0,80313592.05151927,215965159317.24408
