,price,volume,value
2022-05-11 12:37:50.016925,624.0,18654189.55206601,11819473398.95352
2022-05-11 12:38:02.787901,624.0,18654189.55206601,11819473398.95352
2022-05-11 12:38:16.588194,623.0,18656504.79878244,11820916337.295456
2022-05-11 12:38:29.389029,622.0,18667633.00534106,11827838399.752447
2022-05-11 12:38:42.814928,622.0,18667633.00534106,11827838399.752447
2022-05-11 12:38:55.883292,622.0,18669098.62820512,11828750017.173893
2022-05-11 12:39:08.612964,622.0,18669098.62820512,11828750017.173893
2022-05-11 12:39:21.992407,622.0,18677142.11048974,11833753063.154926
2022-05-11 12:39:34.870384,622.0,18677142.11048974,11833753063.154926
2022-05-11 12:39:47.417678,622.0,18677142.11048974,11833753063.154926
2022-05-11 12:39:59.277908,622.0,18686411.71764117,11839518758.803116
2022-05-11 12:40:10.708420,622.0,18708960.51342153,11853544109.7785
2022-05-11 12:40:22.866409,622.0,18718663.82256859,11859579568.06797
2022-05-11 12:40:36.083597,622.0,18718663.82256859,11859579568.06797
2022-05-11 12:40:49.250629,621.0,18725041.11659344,11863539957.928303
2022-05-11 12:41:01.529595,621.0,18726115.52278656,11864207164.17423
2022-05-11 12:41:14.426531,621.0,18726115.52278656,11864207164.17423
2022-05-11 12:41:27.283585,622.0,18726339.12463216,11864346244.522194
2022-05-11 12:41:40.779987,622.0,18726339.12463216,11864346244.522194
2022-05-11 12:41:52.856581,622.0,18726339.12463216,11864346244.522194
2022-05-11 12:42:05.362859,622.0,18726339.12463216,11864346244.522194
2022-05-11 12:42:18.157496,622.0,18733723.73894155,11868939474.622635
2022-05-11 12:42:30.428012,622.0,18733723.73894155,11868939474.622635
2022-05-11 12:42:42.500774,622.0,18733723.73894155,11868939474.622635
2022-05-11 12:42:57.678253,622.0,18733723.73894155,11868939474.622635
2022-05-11 12:43:10.388371,621.0,18735407.78829067,11869985269.268438
2022-05-11 12:43:23.688344,621.0,18735407.78829067,11869985269.268438
2022-05-11 12:43:36.856475,621.0,18735407.78829067,11869985269.268438
2022-05-11 12:43:49.353206,621.0,18735407.78829067,11869985269.268438
2022-05-11 12:44:01.943523,620.0,18758891.43315213,11884564106.182915
2022-05-11 12:44:15.133996,620.0,18760010.94327362,11885258202.458239
2022-05-11 12:44:27.362083,620.0,18762621.42018444,11886876698.142946
2022-05-11 12:44:39.474377,620.0,18762621.42018444,11886876698.142946
2022-05-11 12:44:52.497961,620.0,18762621.42018444,11886876698.142946
2022-05-11 12:45:05.637045,620.0,18762621.42018444,11886876698.142946
2022-05-11 12:45:17.804185,622.0,18762788.85963266,11886980845.47974
2022-05-11 12:45:29.901426,622.0,18762788.85963266,11886980845.47974
2022-05-11 12:45:42.885770,622.0,18762788.85963266,11886980845.47974
2022-05-11 12:45:56.085065,623.0,18787121.10610174,11902057699.818457
2022-05-11 12:46:09.513118,623.0,18787121.10610174,11902057699.818457
2022-05-11 12:46:22.236935,623.0,18787121.10610174,11902057699.818457
2022-05-11 12:46:35.541004,622.0,18787490.21359975,11902287099.887709
2022-05-11 12:46:49.477472,621.0,18788879.85891887,11903150713.119934
2022-05-11 12:47:02.896078,622.0,18795653.05015369,11907366626.54429
2022-05-11 12:47:15.794864,623.0,18796425.05015369,11907847582.54429
2022-05-11 12:47:29.178887,623.0,18796450.63614222,11907863522.615145
2022-05-11 12:47:42.361448,623.0,18796450.63614222,11907863522.615145
2022-05-11 12:47:55.754170,625.0,18803450.63614222,11912242191.337667
2022-05-11 12:48:08.901031,623.0,18803663.0799756,11912374543.845863
2022-05-11 12:48:21.506510,623.0,18804484.31012507,11912886267.880383
2022-05-11 12:48:35.115839,623.0,18804540.73991334,11912921423.638475
2022-05-11 12:48:48.995010,623.0,18812014.075515,11917577311.71831
