,price,volume,value
2022-05-11 12:37:55.778669,798.0,47726439.0556883,39685954596.15975
2022-05-11 12:38:08.825729,798.0,47730182.35786378,39688941765.295784
2022-05-11 12:38:22.051815,797.0,47731606.06380089,39690076465.92766
2022-05-11 12:38:35.359513,798.0,47731613.06380089,39690082051.92766
2022-05-11 12:38:48.739621,798.0,47731620.06380089,39690087637.92766
2022-05-11 12:39:01.837293,800.0,47736530.39016951,39694009215.55466
2022-05-11 12:39:14.896556,800.0,47736530.39016951,39694009215.55466
2022-05-11 12:39:27.723662,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:39:40.519092,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:39:53.156368,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:40:04.482113,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:40:15.925196,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:40:29.113890,800.0,47736630.39016951,39694089215.55466
2022-05-11 12:40:41.981163,802.0,47736833.12483784,39694251418.962105
2022-05-11 12:40:54.958641,798.0,47742873.7367019,39699075621.14161
2022-05-11 12:41:07.170083,798.0,47747940.48264766,39703118884.40633
2022-05-11 12:41:20.079428,798.0,47750690.64926434,39705313517.36643
2022-05-11 12:41:33.377130,798.0,47750854.18641091,39705444020.0094
2022-05-11 12:41:46.228634,799.0,47751617.86623463,39706053506.3996
2022-05-11 12:41:58.368149,799.0,47751735.67248936,39706147633.59712
2022-05-11 12:42:11.261605,798.0,47752102.41961533,39706440360.38187
2022-05-11 12:42:23.690042,798.0,47752657.62377425,39706883413.30069
2022-05-11 12:42:36.011453,799.0,47752865.13327356,39707049213.39064
2022-05-11 12:42:48.363091,798.0,47756102.65952124,39709632759.33629
2022-05-11 12:43:03.319620,799.0,47756122.65952124,39709648739.33629
2022-05-11 12:43:16.678597,799.0,47756122.65952124,39709648739.33629
2022-05-11 12:43:29.720306,799.0,47756122.65952124,39709648739.33629
2022-05-11 12:43:42.876979,799.0,47756122.65952124,39709648739.33629
2022-05-11 12:43:55.280208,799.0,47756122.65952124,39709648739.33629
2022-05-11 12:44:08.004185,798.0,47761018.62035355,39713555716.08047
2022-05-11 12:44:20.857269,799.0,47762208.39921107,39714505179.60877
