,price,volume,value
2022-05-11 12:37:58.298696,302.0,123862701.64844051,38491105637.4756
2022-05-11 12:38:11.348358,302.0,123862701.64844051,38491105637.4756
2022-05-11 12:38:24.689881,302.0,123862701.64844051,38491105637.4756
2022-05-11 12:38:38.392778,302.0,123862701.64844051,38491105637.4756
2022-05-11 12:38:51.113606,302.0,123862701.64844051,38491105637.4756
2022-05-11 12:39:04.364156,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:39:17.522319,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:39:30.536562,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:39:43.031271,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:39:55.516523,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:40:06.823803,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:40:18.483881,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:40:31.999983,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:40:44.519337,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:40:57.267382,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:41:09.859703,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:41:22.691680,302.0,123864909.72991529,38491772478.080986
2022-05-11 12:41:36.220185,302.0,123871687.28767103,38493819411.41431
2022-05-11 12:41:48.555711,302.0,123871687.28767103,38493819411.41431
2022-05-11 12:42:00.827841,303.0,123872016.99080627,38493919311.46428
2022-05-11 12:42:13.615154,303.0,123872016.99080627,38493919311.46428
2022-05-11 12:42:26.198083,303.0,123872016.99080627,38493919311.46428
2022-05-11 12:42:38.336470,303.0,123872016.99080627,38493919311.46428
2022-05-11 12:42:50.889869,303.0,123872016.99080627,38493919311.46428
2022-05-11 12:43:05.938612,303.0,123872118.95302647,38493950206.017006
2022-05-11 12:43:19.383893,303.0,123872118.95302647,38493950206.017006
2022-05-11 12:43:32.262929,303.0,123873138.93904006,38494259261.77912
2022-05-11 12:43:45.418882,303.0,123873138.93904006,38494259261.77912
2022-05-11 12:43:57.684280,303.0,123873138.93904006,38494259261.77912
2022-05-11 12:44:10.395396,303.0,123873175.90273643,38494270461.77912
