,price,volume,value
2022-05-11 12:37:50.736925,740.0,136760214.53133634,108330648334.88516
2022-05-11 12:38:03.373158,739.0,136776857.974086,108342950541.77985
2022-05-11 12:38:17.218745,738.0,136779080.73790237,108344592868.47202
2022-05-11 12:38:30.052387,738.0,136783639.13842362,108347956968.05669
2022-05-11 12:38:43.420399,738.0,136785231.61602324,108349132216.5252
2022-05-11 12:38:56.700691,740.0,136785764.38450322,108349525952.81242
2022-05-11 12:39:09.349814,740.0,136786037.72735804,108349728089.66861
2022-05-11 12:39:22.625049,738.0,136786317.91303125,108349935276.44359
2022-05-11 12:39:35.490320,738.0,136788900.04237252,108351845778.4434
2022-05-11 12:39:48.097915,740.0,136789166.560903,108352042700.93645
2022-05-11 12:39:59.841300,739.0,136789419.41229075,108352229670.42137
2022-05-11 12:40:11.358045,740.0,136789796.839779,108352508843.59193
2022-05-11 12:40:23.670284,739.0,136793021.43445975,108354892226.61945
2022-05-11 12:40:36.675262,739.0,136793533.38463625,108355270721.1107
2022-05-11 12:40:49.901280,739.0,136793901.4757149,108355542964.8097
2022-05-11 12:41:02.133005,740.0,136794167.97575125,108355740044.82306
2022-05-11 12:41:15.107881,739.0,136794714.47866714,108356144130.67924
2022-05-11 12:41:27.951046,739.0,136795001.08263564,108356356053.84981
2022-05-11 12:41:41.472936,739.0,136795288.0926332,108356568297.54881
2022-05-11 12:41:53.474317,739.0,136795588.30888578,108356790327.56218
2022-05-11 12:42:06.026942,739.0,136803407.2676025,108362576179.56079
2022-05-11 12:42:18.777682,740.0,136809257.7708661,108366905667.75902
2022-05-11 12:42:31.182645,739.0,136810967.70198357,108368170886.77238
2022-05-11 12:42:43.090573,739.0,136811889.38622856,108368852134.26727
2022-05-11 12:42:58.315614,739.0,136812257.93819484,108369124698.49469
2022-05-11 12:43:11.066478,739.0,136812558.15444744,108369346728.50807
2022-05-11 12:43:24.322168,739.0,136816100.80756608,108371968419.67647
2022-05-11 12:43:37.675970,741.0,136818056.72376144,108373414888.16098
2022-05-11 12:43:49.910733,739.0,136818309.4922626,108373601868.17432
2022-05-11 12:44:02.653619,740.0,136818562.32515624,108373788841.34488
2022-05-11 12:44:15.707493,740.0,136821287.98229316,108375803224.8069
2022-05-11 12:44:27.972053,739.0,136822049.69659793,108376366227.18166
2022-05-11 12:44:40.111147,740.0,136824414.75183913,108378113989.02338
2022-05-11 12:44:53.164917,740.0,136826039.98679402,108379313671.74442
2022-05-11 12:45:06.225694,738.0,136835261.41028076,108386118965.91272
2022-05-11 12:45:18.378090,738.0,136849891.74373564,108396916233.80177
2022-05-11 12:45:30.474193,739.0,136850623.57669866,108397456921.48657
2022-05-11 12:45:43.610258,739.0,136852233.33701074,108398648035.31552
