,price,volume,value
2022-05-11 12:37:52.418654,9.38,1266485039.4925969,12415905595.449282
2022-05-11 12:38:05.103398,9.43,1266490341.7195323,12415955595.449282
2022-05-11 12:38:18.689412,9.43,1266490341.7195323,12415955595.449282
2022-05-11 12:38:31.578558,9.43,1266490341.7195323,12415955595.449282
2022-05-11 12:38:44.945048,9.42,1266494021.4650254,12415990258.651827
2022-05-11 12:38:58.212058,9.42,1266494021.4650254,12415990258.651827
2022-05-11 12:39:11.481392,9.42,1266494021.4650254,12415990258.651827
2022-05-11 12:39:24.352515,9.42,1266494021.4650254,12415990258.651827
2022-05-11 12:39:36.910341,9.39,1266494764.5648131,12415997236.358833
2022-05-11 12:39:49.666147,9.39,1266494764.5648131,12415997236.358833
2022-05-11 12:40:01.139820,9.39,1266494764.5648131,12415997236.358833
2022-05-11 12:40:12.734955,9.39,1266494764.5648131,12415997236.358833
2022-05-11 12:40:25.438966,9.39,1266494764.5648131,12415997236.358833
2022-05-11 12:40:38.338372,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:40:51.410474,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:41:03.599723,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:41:16.483638,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:41:29.643249,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:41:42.849341,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:41:54.958068,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:42:07.782553,9.39,1266515118.3766353,12416188358.651846
2022-05-11 12:42:20.200903,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:42:32.532415,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:42:44.618693,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:42:59.918767,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:43:12.862048,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:43:26.092387,9.39,1266519618.3766353,12416230613.651846
2022-05-11 12:43:39.395009,9.38,1266839107.1945267,12419227418.763666
2022-05-11 12:43:51.317498,9.38,1266839107.1945267,12419227418.763666
2022-05-11 12:44:04.132097,9.38,1266839107.1945267,12419227418.763666
2022-05-11 12:44:17.465792,9.38,1266839107.1945267,12419227418.763666
2022-05-11 12:44:29.558907,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:44:41.758748,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:44:54.760343,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:45:07.904362,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:45:19.726528,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:45:32.197943,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:45:44.921206,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:45:58.393134,9.38,1266849107.1945267,12419321218.763666
2022-05-11 12:46:11.582219,9.38,1266918332.0107858,12419970547.540176
2022-05-11 12:46:24.715253,9.38,1266918332.0107858,12419970547.540176
2022-05-11 12:46:37.930726,9.38,1266918332.0107858,12419970547.540176
2022-05-11 12:46:51.639608,9.38,1266918332.0107858,12419970547.540176
2022-05-11 12:47:05.223783,9.38,1266918332.0107858,12419970547.540176
