,price,volume,value
2022-05-11 12:37:56.483668,71.7,729247702.2644546,54942849225.28216
2022-05-11 12:38:09.575904,71.7,729291179.4787879,54945966541.54985
2022-05-11 12:38:22.787325,71.7,729291179.4787879,54945966541.54985
2022-05-11 12:38:36.129790,71.7,729291179.4787879,54945966541.54985
2022-05-11 12:38:49.377014,71.7,729291179.4787879,54945966541.54985
2022-05-11 12:39:02.546304,71.7,729296992.1141369,54946383307.50437
2022-05-11 12:39:15.543707,71.7,729296992.1141369,54946383307.50437
2022-05-11 12:39:28.357716,71.7,729310929.396137,54947382610.62377
2022-05-11 12:39:41.200635,71.7,729310929.396137,54947382610.62377
2022-05-11 12:39:53.715346,71.7,729310929.396137,54947382610.62377
2022-05-11 12:40:05.120351,71.7,729310929.396137,54947382610.62377
2022-05-11 12:40:16.514672,71.6,729403111.6860366,54953986430.91353
2022-05-11 12:40:29.868114,71.6,729409264.3534935,54954426961.903435
2022-05-11 12:40:42.629630,71.6,729409264.3534935,54954426961.903435
2022-05-11 12:40:55.577867,71.6,729563731.5514902,54965486715.79683
2022-05-11 12:41:07.922682,71.5,729615417.512384,54969182262.00074
2022-05-11 12:41:20.638291,71.6,729623280.731384,54969745268.48114
2022-05-11 12:41:34.042013,71.6,729623420.3961885,54969755268.48114
2022-05-11 12:41:46.828612,71.5,729630076.5555056,54970231183.872314
2022-05-11 12:41:58.986569,71.5,729683677.9725386,54974063685.19017
2022-05-11 12:42:11.864573,71.5,729695400.7195281,54974901861.59992
2022-05-11 12:42:24.444946,71.5,729703098.055293,54975452221.10711
2022-05-11 12:42:36.599185,71.6,729703583.7202817,54975486994.72031
2022-05-11 12:42:48.910263,71.6,729703583.7202817,54975486994.72031
2022-05-11 12:43:03.972316,71.6,729703583.7202817,54975486994.72031
2022-05-11 12:43:17.314623,71.5,729731965.1649089,54977516268.01114
2022-05-11 12:43:30.327075,71.5,729741749.0101876,54978215812.94857
2022-05-11 12:43:43.437265,71.6,729753343.4414392,54979045690.8563
2022-05-11 12:43:55.899152,71.6,729753343.4414392,54979045690.8563
2022-05-11 12:44:08.640892,71.6,729753831.0704489,54979080605.0934
2022-05-11 12:44:21.491164,71.6,729838655.5132608,54985139176.8143
2022-05-11 12:44:33.494506,71.6,729838655.5132608,54985139176.8143
2022-05-11 12:44:46.019183,71.6,729846072.8237133,54985670256.2427
2022-05-11 12:44:59.395658,71.6,729846072.8237133,54985670256.2427
2022-05-11 12:45:12.088874,71.5,729854406.0536577,54986266361.51333
2022-05-11 12:45:23.575492,71.5,729854685.7739375,54986286361.51333
2022-05-11 12:45:36.313648,71.5,729889383.6339004,54988767258.50069
2022-05-11 12:45:49.624683,71.5,729906939.9728224,54990022536.733604
2022-05-11 12:46:02.937359,71.5,729922846.9642367,54991160186.619736
2022-05-11 12:46:16.122470,71.5,729930397.1896278,54991700027.73519
2022-05-11 12:46:29.031283,71.5,729931856.9211981,54991804325.502075
2022-05-11 12:46:43.296889,71.5,729946022.5947407,54992817171.16038
2022-05-11 12:46:56.319288,71.5,729963051.6029505,54994034745.24737
2022-05-11 12:47:09.728496,71.5,729964510.1288555,54994138956.83609
2022-05-11 12:47:22.668502,71.4,729968703.8937316,54994438495.98069
2022-05-11 12:47:36.198700,71.5,729970598.2162316,54994573940.039444
2022-05-11 12:47:48.871447,71.5,729970598.2162316,54994573940.039444
2022-05-11 12:48:02.264058,71.5,729970598.2162316,54994573940.039444
2022-05-11 12:48:15.297648,71.5,729970598.2162316,54994573940.039444
2022-05-11 12:48:28.589277,71.5,729983716.0875617,54995511449.429504
2022-05-11 12:48:42.265443,71.4,730037822.9518445,54999375323.97154
2022-05-11 12:48:55.887678,71.4,730037822.9518445,54999375323.97154
2022-05-11 12:49:08.251241,71.5,730038238.8697596,54999405062.10248
2022-05-11 12:49:21.024828,71.5,730070228.4063848,55001692313.97118
2022-05-11 12:49:33.950780,71.5,730070927.7070842,55001742313.97118
2022-05-11 12:49:46.981465,71.5,730076528.3134359,55002142757.32534
2022-05-11 12:50:00.570087,71.5,730076528.3134359,55002142757.32534
2022-05-11 12:50:13.512764,71.5,730076528.3134359,55002142757.32534
2022-05-11 12:50:27.298719,71.4,730085289.0458906,55002768273.6226
2022-05-11 12:50:40.499587,71.4,730085289.0458906,55002768273.6226
2022-05-11 12:50:54.524213,72.0,730648510.2695333,55043284107.366425
2022-05-11 12:51:07.674954,71.7,730792351.6703349,55053636902.77015
2022-05-11 12:51:21.516743,71.7,730792351.6703349,55053636902.77015
2022-05-11 12:51:35.974632,71.7,730792351.6703349,55053636902.77015
2022-05-11 12:51:48.489787,71.7,730835770.9483984,55056745925.39893
2022-05-11 12:52:01.862103,71.7,730846199.3910984,55057493644.740524
2022-05-11 12:52:15.062428,71.7,730903332.7244318,55061590104.740524
2022-05-11 12:52:27.992224,71.7,730903332.7244318,55061590104.740524
2022-05-11 12:52:40.353505,71.7,730905365.3384317,55061735843.16432
2022-05-11 12:52:52.987543,71.7,730905365.3384317,55061735843.16432
2022-05-11 12:53:07.553724,71.7,730914239.8874317,55062372148.32763
2022-05-11 12:53:20.751317,71.7,730914239.8874317,55062372148.32763
2022-05-11 12:53:33.683082,71.5,730935504.873986,55063895079.98706
2022-05-11 12:53:47.069960,71.5,730935504.873986,55063895079.98706
2022-05-11 12:54:00.292776,71.5,730935904.873986,55063923679.98706
2022-05-11 12:54:14.427407,71.5,730935904.873986,55063923679.98706
2022-05-11 12:54:27.609897,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:54:41.018199,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:54:53.847738,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:55:07.253698,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:55:19.385026,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:55:31.397319,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:55:45.497598,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:55:57.991589,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:56:09.945163,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:56:23.479756,71.5,730936079.6894909,55063936179.29566
2022-05-11 12:56:36.830641,71.5,730959739.7465539,55065627873.37566
2022-05-11 12:56:49.745994,71.5,730959739.7465539,55065627873.37566
2022-05-11 12:57:02.321414,71.5,731015683.802498,55069627873.37566
2022-05-11 12:57:15.494625,71.3,731081207.8072392,55074299834.91372
2022-05-11 12:57:28.976168,71.3,731340833.2269124,55092811657.09601
2022-05-11 12:57:42.659868,71.5,731342711.2210984,55092945933.680305
2022-05-11 12:57:55.934482,71.5,731342711.2210984,55092945933.680305
2022-05-11 12:58:08.931102,71.5,731342711.2210984,55092945933.680305
2022-05-11 12:58:21.280628,71.4,731378681.3881363,55095514203.60681
2022-05-11 12:58:33.466998,71.4,731390492.5841362,55096357523.00121
2022-05-11 12:58:45.306793,71.4,731429242.7109274,55099124282.0541
2022-05-11 12:58:57.102317,71.4,731430153.6762891,55099189324.98093
2022-05-11 12:59:09.656424,71.4,731439203.5208756,55099835483.8844
2022-05-11 12:59:21.868159,71.4,731439203.5208756,55099835483.8844
2022-05-11 12:59:33.994584,71.4,731449623.3009852,55100579456.18423
2022-05-11 12:59:46.241303,71.4,731456634.3425304,55101080044.55055
2022-05-11 12:59:58.150668,71.4,731456634.3425304,55101080044.55055
2022-05-11 13:00:11.021957,71.4,731456634.3425304,55101080044.55055
2022-05-11 13:00:23.323706,71.4,731456634.3425304,55101080044.55055
2022-05-11 13:00:36.387915,71.4,731501960.8061157,55104316354.05055
2022-05-11 13:00:48.789789,71.4,731509063.2321981,55104823467.27283
2022-05-11 13:01:00.896927,71.4,731509063.2321981,55104823467.27283
2022-05-11 13:01:14.004341,71.4,731567738.9144198,55109012910.98346
2022-05-11 13:01:27.758955,71.4,731567738.9144198,55109012910.98346
2022-05-11 13:01:40.453241,71.4,731567738.9144198,55109012910.98346
2022-05-11 13:01:52.312883,71.4,731567738.9144198,55109012910.98346
2022-05-11 13:02:04.994163,71.4,731567738.9144198,55109012910.98346
2022-05-11 13:02:16.769288,71.4,731626256.9431295,55113191098.23333
2022-05-11 13:02:28.247753,71.4,731626256.9431295,55113191098.23333
2022-05-11 13:02:40.130612,71.4,731626256.9431295,55113191098.23333
2022-05-11 13:02:51.781533,71.4,731626256.9431295,55113191098.23333
2022-05-11 13:03:04.080087,71.4,731626256.9431295,55113191098.23333
2022-05-11 13:03:16.098496,71.3,731663600.8098421,55115853715.92994
2022-05-11 13:03:28.137620,71.3,731663708.4448421,55115861390.305435
2022-05-11 13:03:39.644768,71.3,731663708.4448421,55115861390.305435
2022-05-11 13:03:51.287887,71.3,731663778.6411955,55115866395.305435
2022-05-11 13:04:02.650231,71.3,731664464.0256627,55115915263.21795
2022-05-11 13:04:14.264323,71.3,731668019.2178743,55116168893.452995
2022-05-11 13:04:26.081439,71.3,731668019.2178743,55116168893.452995
2022-05-11 13:04:38.552907,71.3,731668019.2178743,55116168893.452995
2022-05-11 13:04:51.256256,71.4,731714354.6648213,55119473444.36501
2022-05-11 13:05:04.361054,71.4,731714354.6648213,55119473444.36501
2022-05-11 13:05:16.905146,71.5,731717685.0082756,55119711370.38069
2022-05-11 13:05:29.301261,71.5,731735889.4155806,55121012985.503
2022-05-11 13:05:41.737349,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:05:54.917177,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:06:07.497108,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:06:19.580230,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:06:30.937186,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:06:42.569041,71.6,731912015.7810413,55133606029.044365
2022-05-11 13:06:54.188447,71.6,731926997.3206216,55134679369.77971
2022-05-11 13:07:05.895467,71.6,731926997.3206216,55134679369.77971
2022-05-11 13:07:18.137271,71.8,731927217.8637971,55134695204.77971
2022-05-11 13:07:30.378656,71.8,731927357.1395631,55134705204.77971
2022-05-11 13:07:42.125868,71.8,731927357.1395631,55134705204.77971
2022-05-11 13:07:54.206235,71.8,731927357.1395631,55134705204.77971
2022-05-11 13:08:06.842608,71.8,731927357.1395631,55134705204.77971
2022-05-11 13:08:19.335738,71.8,731927357.1395631,55134705204.77971
2022-05-11 13:08:31.939846,71.8,731932051.6307576,55135042269.247475
2022-05-11 13:08:44.556230,71.8,731932051.6307576,55135042269.247475
2022-05-11 13:08:57.714852,71.8,731941564.14619,55135725267.85552
2022-05-11 13:09:10.166976,71.8,731943139.9031456,55135838407.20493
