,price,volume,value
2022-05-11 12:37:55.898668,3555.0,7079845.35477786,27482670401.888916
2022-05-11 12:38:08.946002,3555.0,7079880.53375727,27482795478.555614
2022-05-11 12:38:22.141815,3555.0,7079880.53375727,27482795478.555614
2022-05-11 12:38:35.496330,3555.0,7079880.53375727,27482795478.555614
2022-05-11 12:38:48.830889,3555.0,7079880.53375727,27482795478.555614
2022-05-11 12:39:01.958611,3555.0,7079882.56212727,27482802689.410965
2022-05-11 12:39:14.986105,3555.0,7079882.56212727,27482802689.410965
2022-05-11 12:39:27.828919,3555.0,7079882.56212727,27482802689.410965
2022-05-11 12:39:40.625030,3555.0,7079882.56212727,27482802689.410965
2022-05-11 12:39:53.248711,3555.0,7079973.62089036,27483126403.31375
2022-05-11 12:40:04.588237,3555.0,7079973.62089036,27483126403.31375
2022-05-11 12:40:16.016448,3555.0,7079973.62089036,27483126403.31375
2022-05-11 12:40:29.204797,3550.0,7080446.1784715,27484803982.726795
2022-05-11 12:40:42.071966,3550.0,7080900.96887822,27486418488.670654
2022-05-11 12:40:55.049575,3555.0,7086742.13553288,27507096080.418278
2022-05-11 12:41:07.259901,3550.0,7087305.83553288,27509097215.418278
2022-05-11 12:41:20.169999,3550.0,7087305.91283288,27509097489.83328
2022-05-11 12:41:33.482828,3545.0,7087336.89478648,27509207348.988186
2022-05-11 12:41:46.363639,3545.0,7087856.88237548,27511052112.73802
2022-05-11 12:41:58.458371,3545.0,7087856.88237548,27511052112.73802
2022-05-11 12:42:11.351814,3540.0,7087907.33382577,27511230710.872047
2022-05-11 12:42:23.781456,3540.0,7087942.13382577,27511353902.872047
2022-05-11 12:42:36.100930,3540.0,7088004.65358743,27511575222.828323
2022-05-11 12:42:48.455049,3540.0,7088004.65358743,27511575222.828323
2022-05-11 12:43:03.426671,3550.0,7088568.82848743,27513578043.723324
2022-05-11 12:43:16.784742,3550.0,7088568.82848743,27513578043.723324
2022-05-11 12:43:29.811638,3545.0,7089279.49817516,27516097367.766327
2022-05-11 12:43:42.982299,3545.0,7089279.49817516,27516097367.766327
2022-05-11 12:43:55.370034,3545.0,7089279.49817516,27516097367.766327
2022-05-11 12:44:08.124784,3545.0,7089336.39817516,27516299078.266327
2022-05-11 12:44:20.962448,3545.0,7089336.39817516,27516299078.266327
2022-05-11 12:44:32.996554,3545.0,7089595.10007562,27517216176.503456
2022-05-11 12:44:45.506830,3550.0,7089623.2690897,27517316176.50344
2022-05-11 12:44:58.927095,3540.0,7091401.58504121,27523629366.511414
2022-05-11 12:45:11.622523,3545.0,7091418.51028803,27523689366.51139
2022-05-11 12:45:23.045465,3545.0,7091418.51028803,27523689366.51139
2022-05-11 12:45:35.841602,3545.0,7091433.30897875,27523741827.86999
2022-05-11 12:45:48.586469,3545.0,7091532.43562814,27524093231.84208
2022-05-11 12:46:02.212137,3545.0,7091532.43562814,27524093231.84208
2022-05-11 12:46:15.547373,3550.0,7091541.32077512,27524124774.11386
2022-05-11 12:46:28.520758,3550.0,7092116.02301323,27526164957.57293
2022-05-11 12:46:42.660066,3545.0,7092175.93777267,27526377355.395145
2022-05-11 12:46:55.807302,3535.0,7092182.73777267,27526401393.395145
2022-05-11 12:47:09.124510,3540.0,7092186.83777267,27526415907.395145
2022-05-11 12:47:22.111591,3540.0,7092186.83777267,27526415907.395145
2022-05-11 12:47:35.653483,3550.0,7092200.92227971,27526465907.395134
2022-05-11 12:47:48.299233,3550.0,7092200.92227971,27526465907.395134
2022-05-11 12:48:01.720774,3550.0,7092200.92227971,27526465907.395134
2022-05-11 12:48:14.800223,3545.0,7092202.84483971,27526472722.870335
2022-05-11 12:48:27.971459,3550.0,7092239.46455802,27526602722.870335
2022-05-11 12:48:41.416398,3550.0,7092239.46455802,27526602722.870335
2022-05-11 12:48:55.357439,3550.0,7092239.46455802,27526602722.870335
