,price,volume,value
2022-05-11 12:37:53.108654,2590.0,109442552.26263548,328013502689.52954
2022-05-11 12:38:05.898432,2585.0,109443510.0755519,328015978635.9184
2022-05-11 12:38:19.424762,2585.0,109443510.0755519,328015978635.9184
2022-05-11 12:38:32.275959,2585.0,109443682.04410867,328016423753.78827
2022-05-11 12:38:45.683066,2585.0,109443682.04410867,328016423753.78827
2022-05-11 12:38:59.085594,2590.0,109448002.0532938,328027599955.87915
2022-05-11 12:39:12.314330,2590.0,109448125.99861068,328027920547.5735
2022-05-11 12:39:25.046284,2590.0,109450647.20796648,328034438573.5731
2022-05-11 12:39:37.679366,2590.0,109451028.68815038,328035426607.2494
2022-05-11 12:39:50.390350,2590.0,109451225.3105442,328035935859.2494
2022-05-11 12:40:01.791054,2590.0,109451225.3105442,328035935859.2494
2022-05-11 12:40:13.397831,2585.0,109454548.42058995,328044542214.2679
2022-05-11 12:40:26.285595,2585.0,109471358.98605351,328087997525.9912
2022-05-11 12:40:39.227677,2585.0,109478878.74672903,328107404319.4901
2022-05-11 12:40:52.438596,2580.0,109482453.25771508,328116639743.6049
2022-05-11 12:41:04.253279,2585.0,109485636.5105582,328124868452.2044
2022-05-11 12:41:17.223445,2585.0,109487804.35950965,328130472341.7439
2022-05-11 12:41:30.413168,2585.0,109487804.35950965,328130472341.7439
2022-05-11 12:41:43.509343,2585.0,109492236.99998964,328141931142.81134
2022-05-11 12:41:55.589241,2585.0,109493667.5199137,328145629036.815
2022-05-11 12:42:08.674324,2580.0,109502501.34677355,328168420310.1134
2022-05-11 12:42:20.899249,2580.0,109507489.19505972,328181288958.6917
2022-05-11 12:42:33.275340,2580.0,109525493.99356516,328227741338.83575
2022-05-11 12:42:45.404538,2580.0,109527970.79648311,328234131490.36414
2022-05-11 12:43:00.688971,2580.0,109535123.45427436,328252585347.4655
2022-05-11 12:43:13.722426,2580.0,109546792.43727867,328282691323.61664
2022-05-11 12:43:26.846169,2580.0,109546792.43727867,328282691323.61664
2022-05-11 12:43:40.167853,2580.0,109546792.43727867,328282691323.61664
2022-05-11 12:43:52.195433,2585.0,109547952.97886474,328285691323.61664
2022-05-11 12:44:05.098524,2585.0,109573308.68430851,328351236092.2023
2022-05-11 12:44:18.300188,2585.0,109576941.1102385,328360625913.2313
2022-05-11 12:44:30.312207,2585.0,109577081.46481943,328360988729.823
2022-05-11 12:44:42.500879,2590.0,109587657.99561438,328388329072.6312
2022-05-11 12:44:55.817411,2590.0,109587657.99561438,328388329072.6312
2022-05-11 12:45:08.838681,2585.0,109602568.17477027,328426871885.7492
2022-05-11 12:45:20.359178,2585.0,109604202.63534997,328431096966.3478
2022-05-11 12:45:33.058223,2590.0,109604204.77600507,328431102510.6445
2022-05-11 12:45:45.738937,2585.0,109615003.63867833,328459018691.4808
2022-05-11 12:45:59.238865,2590.0,109617442.59835365,328465334228.2032
2022-05-11 12:46:12.475766,2590.0,109617989.99266973,328466751979.4818
2022-05-11 12:46:25.699285,2590.0,109619251.69812655,328470013498.791
2022-05-11 12:46:39.004196,2590.0,109619253.83878165,328470019043.0877
2022-05-11 12:46:52.727160,2585.0,109647827.88372405,328544011568.1495
2022-05-11 12:47:06.144343,2585.0,109648181.37211394,328544925335.6373
2022-05-11 12:47:18.998930,2585.0,109656460.4426173,328566326732.8885
2022-05-11 12:47:32.737740,2590.0,109656462.5832724,328566332277.18524
2022-05-11 12:47:45.373382,2590.0,109658394.11557575,328571334945.8509
2022-05-11 12:47:59.013772,2590.0,109658396.25623085,328571340490.1476
2022-05-11 12:48:11.736665,2585.0,109662280.3118638,328581380773.9588
2022-05-11 12:48:24.997258,2585.0,109665738.38136102,328590319883.6091
2022-05-11 12:48:38.031139,2585.0,109674959.6162358,328614200708.26886
