,price,volume,value
2022-05-11 12:37:56.153668,11520.0,2921071.65919944,34660705589.719826
2022-05-11 12:38:09.216316,11540.0,2921138.21752903,34661473672.8433
2022-05-11 12:38:22.366818,11540.0,2921138.21752903,34661473672.8433
2022-05-11 12:38:35.736927,11550.0,2921165.21752903,34661785522.8433
2022-05-11 12:38:49.059347,11550.0,2921165.21752903,34661785522.8433
2022-05-11 12:39:02.200170,11550.0,2921165.21752903,34661785522.8433
2022-05-11 12:39:15.198538,11540.0,2921180.14810533,34661957821.6938
2022-05-11 12:39:28.024393,11550.0,2921223.43814862,34662457821.6938
2022-05-11 12:39:40.867356,11550.0,2921223.43814862,34662457821.6938
2022-05-11 12:39:53.445076,11550.0,2921223.43814862,34662457821.6938
2022-05-11 12:40:04.770279,11550.0,2921223.43814862,34662457821.6938
2022-05-11 12:40:16.198347,11550.0,2921223.43814862,34662457821.6938
2022-05-11 12:40:29.520946,11510.0,2921497.20375684,34665612371.10904
2022-05-11 12:40:42.327971,11510.0,2921854.43795893,34669724136.7751
2022-05-11 12:40:55.232310,11510.0,2921854.43795893,34669724136.7751
2022-05-11 12:41:07.561037,11510.0,2921857.00601234,34669753695.06985
2022-05-11 12:41:20.366610,11550.0,2921917.61653523,34670453695.06978
2022-05-11 12:41:33.708695,11540.0,2921978.27511408,34671153695.0697
2022-05-11 12:41:46.558658,11540.0,2921978.27511408,34671153695.0697
2022-05-11 12:41:58.638701,11540.0,2921978.27511408,34671153695.0697
2022-05-11 12:42:11.532212,11540.0,2921978.27511408,34671153695.0697
2022-05-11 12:42:24.067973,11530.0,2922153.35549897,34673168908.285995
2022-05-11 12:42:36.296740,11530.0,2922153.35549897,34673168908.285995
2022-05-11 12:42:48.637614,11520.0,2922154.35549897,34673180428.285995
2022-05-11 12:43:03.699459,11520.0,2922154.35549897,34673180428.285995
2022-05-11 12:43:16.966328,11530.0,2922156.02467148,34673199673.84503
2022-05-11 12:43:29.993616,11520.0,2922220.42065033,34673941546.03799
2022-05-11 12:43:43.165619,11520.0,2922220.42065033,34673941546.03799
2022-05-11 12:43:55.582453,11520.0,2922220.42065033,34673941546.03799
2022-05-11 12:44:08.304848,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:44:21.159379,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:44:33.177444,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:44:45.733152,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:44:59.123181,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:45:11.802979,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:45:23.288094,11520.0,2922220.94148366,34673947546.03795
2022-05-11 12:45:36.022428,11510.0,2922222.08232842,34673960677.16113
2022-05-11 12:45:49.083038,11510.0,2922222.08232842,34673960677.16113
2022-05-11 12:46:02.529929,11530.0,2922224.60776156,34673989795.405235
2022-05-11 12:46:15.758182,11530.0,2922224.60776156,34673989795.405235
2022-05-11 12:46:28.730467,11500.0,2922228.29937559,34674032278.94636
2022-05-11 12:46:42.873391,11500.0,2922228.29937559,34674032278.94636
2022-05-11 12:46:56.018260,11500.0,2922228.29937559,34674032278.94636
2022-05-11 12:47:09.335360,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:47:22.351561,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:47:35.865317,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:47:48.586178,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:48:01.993543,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:48:15.026398,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:48:28.287918,11520.0,2922278.04997674,34674605405.871605
2022-05-11 12:48:41.871983,11530.0,2922288.05390799,34674720751.19891
2022-05-11 12:48:55.540331,11530.0,2922370.33100922,34675669406.176094
2022-05-11 12:49:07.933190,11530.0,2922370.33100922,34675669406.176094
2022-05-11 12:49:20.649546,11530.0,2922370.33100922,34675669406.176094
2022-05-11 12:49:33.603095,11530.0,2922376.37956075,34675739145.975235
2022-05-11 12:49:46.679130,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:50:00.194895,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:50:13.104826,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:50:26.635549,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:50:40.121816,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:50:54.130677,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:51:07.388641,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:51:21.185166,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:51:35.612958,11530.0,2922405.18987599,34676071328.90996
2022-05-11 12:51:48.157770,11520.0,2922461.60287401,34676720425.30826
2022-05-11 12:52:01.591419,11500.0,2922496.53920043,34677122193.06209
2022-05-11 12:52:14.774179,11500.0,2922496.53920043,34677122193.06209
2022-05-11 12:52:27.690116,11480.0,2922553.07556853,34677771335.322685
2022-05-11 12:52:40.006538,11480.0,2922553.07556853,34677771335.322685
2022-05-11 12:52:52.686193,11480.0,2922553.07556853,34677771335.322685
2022-05-11 12:53:07.250648,11480.0,2922553.07556853,34677771335.322685
2022-05-11 12:53:20.359653,11490.0,2922659.65009079,34678995876.58345
2022-05-11 12:53:33.367356,11490.0,2922659.65009079,34678995876.58345
2022-05-11 12:53:46.631186,11490.0,2922659.65009079,34678995876.58345
2022-05-11 12:53:59.884359,11490.0,2922667.18009079,34679082396.28345
2022-05-11 12:54:14.110062,11490.0,2922667.18009079,34679082396.28345
2022-05-11 12:54:27.338997,11480.0,2923561.12716212,34689344908.69715
2022-05-11 12:54:40.654655,11470.0,2923569.75123174,34689443826.77569
2022-05-11 12:54:53.560377,11470.0,2923569.75123174,34689443826.77569
2022-05-11 12:55:06.905971,11470.0,2923576.23426507,34689518187.167984
2022-05-11 12:55:19.114084,11470.0,2923653.47240228,34690404108.60178
2022-05-11 12:55:31.111152,11470.0,2923658.86710483,34690465985.840034
2022-05-11 12:55:45.106265,11470.0,2923658.86710483,34690465985.840034
2022-05-11 12:55:57.703285,11470.0,2923658.86710483,34690465985.840034
2022-05-11 12:56:09.654895,11490.0,2923663.21871492,34690515985.839966
2022-05-11 12:56:23.148309,11480.0,2923861.32373555,34692790231.4768
2022-05-11 12:56:36.422765,11490.0,2923874.10566767,34692937095.876854
2022-05-11 12:56:49.293338,11490.0,2924153.27134345,34696144709.49157
2022-05-11 12:57:02.006165,11490.0,2924153.27134345,34696144709.49157
2022-05-11 12:57:15.209868,11490.0,2924155.00602578,34696164640.99154
2022-05-11 12:57:28.628848,11500.0,2928551.33510305,34746763478.02803
2022-05-11 12:57:42.342767,11510.0,2928681.65656265,34748263478.02803
2022-05-11 12:57:55.631416,11510.0,2928681.65656265,34748263478.02803
2022-05-11 12:58:08.630278,11510.0,2928681.65656265,34748263478.02803
2022-05-11 12:58:20.918083,11510.0,2928681.65656265,34748263478.02803
2022-05-11 12:58:33.166080,11510.0,2928719.3842409,34748697699.82854
2022-05-11 12:58:44.990213,11510.0,2928719.3842409,34748697699.82854
2022-05-11 12:58:56.799833,11510.0,2928729.82209224,34748817839.49746
2022-05-11 12:59:21.565842,11500.0,2929049.40458672,34752495364.32464
2022-05-11 12:59:33.693910,11500.0,2929049.40458672,34752495364.32464
2022-05-11 12:59:45.970666,11480.0,2929327.87373068,34755692190.0973
2022-05-11 12:59:57.788985,11480.0,2929327.87373068,34755692190.0973
2022-05-11 13:00:10.674654,11480.0,2929327.87373068,34755692190.0973
2022-05-11 13:00:22.946103,11470.0,2929346.97848668,34755911321.64862
