,price,volume,value
2022-05-11 12:37:49.281906,1795.0,12989819.4948675,26076123423.766434
2022-05-11 12:38:02.022175,1795.0,12989819.4948675,26076123423.766434
2022-05-11 12:38:15.852823,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:38:28.616364,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:38:42.197877,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:38:55.008704,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:39:08.008888,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:39:21.222557,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:39:34.217110,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:39:46.735715,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:39:58.718886,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:40:10.135362,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:40:22.260515,1800.0,12995476.94793373,26086326998.63218
2022-05-11 12:40:35.495825,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:40:48.618516,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:41:00.955464,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:41:13.790192,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:41:26.664915,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:41:40.191945,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:41:52.194652,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:42:04.560943,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:42:17.599742,1795.0,12995481.96186131,26086335998.632183
2022-05-11 12:42:29.753013,1795.0,12995776.48849408,26086864673.938007
2022-05-11 12:42:41.942220,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:42:57.028638,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:43:09.798770,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:43:23.052745,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:43:36.055988,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:43:48.761606,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:44:01.141104,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:44:14.334082,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:44:26.724788,1795.0,12996169.86549968,26087570785.66306
2022-05-11 12:44:38.916110,1785.0,12998613.21049384,26091941794.61302
2022-05-11 12:44:51.728785,1785.0,12998613.21049384,26091941794.61302
2022-05-11 12:45:05.036515,1785.0,12998613.21049384,26091941794.61302
2022-05-11 12:45:17.214311,1785.0,12998613.21049384,26091941794.61302
2022-05-11 12:45:29.266287,1785.0,12998613.21049384,26091941794.61302
2022-05-11 12:45:42.293994,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:45:55.223275,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:46:08.831030,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:46:21.619526,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:46:34.817370,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:46:48.667446,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:47:02.248197,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:47:15.146702,1795.0,12998615.99656626,26091946795.613018
2022-05-11 12:47:28.561973,1785.0,12999168.63849624,26092933261.45803
2022-05-11 12:47:41.652083,1785.0,12999278.69405624,26093129710.63263
2022-05-11 12:47:54.999588,1785.0,12999278.69405624,26093129710.63263
2022-05-11 12:48:08.356918,1785.0,12999541.39405624,26093598630.13263
2022-05-11 12:48:20.854580,1785.0,12999541.39405624,26093598630.13263
2022-05-11 12:48:34.434354,1785.0,12999716.39405624,26093911005.13263
2022-05-11 12:48:48.312927,1785.0,12999716.39405624,26093911005.13263
2022-05-11 12:49:01.155772,1785.0,12999891.39405624,26094223380.13263
2022-05-11 12:49:14.158518,1785.0,12999891.39405624,26094223380.13263
2022-05-11 12:49:26.635144,1785.0,13001440.39405624,26096988345.13263
2022-05-11 12:49:39.492689,1790.0,13001805.19964842,26097641347.14263
2022-05-11 12:49:53.144184,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:50:05.955697,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:50:19.479983,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:50:33.319272,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:50:46.447805,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:51:00.241553,1790.0,13002267.43564842,26098468749.582634
2022-05-11 12:51:13.832218,1790.0,13002470.23564842,26098831761.582634
2022-05-11 12:51:28.076819,1790.0,13002470.23564842,26098831761.582634
2022-05-11 12:51:41.224456,1790.0,13002486.23564842,26098860401.582634
2022-05-11 12:51:54.133179,1790.0,13002789.63564842,26099403487.582634
2022-05-11 12:52:07.476702,1790.0,13002789.63564842,26099403487.582634
2022-05-11 12:52:20.866263,1790.0,13002789.63564842,26099403487.582634
2022-05-11 12:52:33.439043,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:52:45.845206,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:52:59.981796,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:53:13.270609,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:53:26.315481,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:53:39.389416,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:53:52.392255,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:54:06.323595,1790.0,13002898.13488683,26099597701.219387
2022-05-11 12:54:20.271872,1790.0,13002926.06784772,26099647701.21938
2022-05-11 12:54:33.424592,1790.0,13002926.06784772,26099647701.21938
2022-05-11 12:54:46.579629,1790.0,13002926.06784772,26099647701.21938
2022-05-11 12:54:59.536799,1785.0,13004295.87131876,26102092800.415188
2022-05-11 12:55:12.485223,1785.0,13004295.87131876,26102092800.415188
2022-05-11 12:55:24.773733,1785.0,13004295.87131876,26102092800.415188
