,price,volume,value
2022-05-11 12:37:48.231907,105900.0,130592.9778143,14289123766.433996
2022-05-11 12:38:01.180527,105900.0,130595.80400365,14289423059.886162
2022-05-11 12:38:14.936739,106100.0,130599.93800365,14289861677.286161
2022-05-11 12:38:27.483907,106100.0,130599.93800365,14289861677.286161
2022-05-11 12:38:41.258990,106200.0,130604.64610157,14290361677.285265
2022-05-11 12:38:54.133027,106200.0,130604.74026352,14290371677.284355
2022-05-11 12:39:07.100185,106200.0,130606.12410574,14290518641.32812
2022-05-11 12:39:20.405679,106200.0,130606.12410574,14290518641.32812
2022-05-11 12:39:33.398691,106200.0,130606.12410574,14290518641.32812
2022-05-11 12:39:45.920204,106150.0,130606.20010574,14290526708.728119
2022-05-11 12:39:57.824775,106150.0,130606.20010574,14290526708.728119
2022-05-11 12:40:09.272552,106150.0,130606.20010574,14290526708.728119
2022-05-11 12:40:21.261751,105950.0,130606.42084647,14290550096.208462
2022-05-11 12:40:34.678348,105950.0,130606.42084647,14290550096.208462
2022-05-11 12:40:47.739489,106050.0,130606.50238043,14290558742.88492
2022-05-11 12:40:59.914384,105900.0,130607.60696727,14290675718.631277
2022-05-11 12:41:12.808883,105900.0,130608.00882353,14290718285.209211
2022-05-11 12:41:25.638377,105900.0,130608.60882353,14290781825.209211
2022-05-11 12:41:39.327426,105900.0,130611.35087655,14291072208.62403
2022-05-11 12:41:51.259441,105900.0,130616.03587655,14291568842.87403
2022-05-11 12:42:03.671669,105900.0,130616.43587655,14291611202.87403
2022-05-11 12:42:16.740331,105900.0,130628.9675504,14292938307.134743
2022-05-11 12:42:29.032999,105900.0,130628.9675504,14292938307.134743
2022-05-11 12:42:41.093548,105900.0,130629.16755055,14292959487.150629
2022-05-11 12:42:56.092732,105900.0,130631.16755055,14293171287.150629
2022-05-11 12:43:08.874387,105900.0,130631.56755055,14293213647.150629
2022-05-11 12:43:22.205473,105900.0,130631.99928864,14293259368.21436
2022-05-11 12:43:34.862293,105900.0,130631.99928864,14293259368.21436
2022-05-11 12:43:47.884936,105900.0,130633.39928864,14293407628.21436
2022-05-11 12:44:00.206321,105900.0,130634.99928864,14293577068.21436
2022-05-11 12:44:13.501411,105850.0,130657.54154632,14295964070.47685
2022-05-11 12:44:25.860676,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:44:38.008648,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:44:50.794970,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:45:04.251528,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:45:16.394588,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:45:27.972277,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:45:41.053925,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:45:54.166753,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:46:07.818348,105850.0,130658.43106611,14296058226.146622
2022-05-11 12:46:20.773682,105900.0,130658.85489298,14296103109.412155
2022-05-11 12:46:33.880937,105900.0,130658.85489298,14296103109.412155
2022-05-11 12:46:47.827464,105900.0,130658.85489298,14296103109.412155
2022-05-11 12:47:01.388102,105900.0,130662.50605875,14296489767.867199
2022-05-11 12:47:14.359615,105900.0,130670.61446739,14297348448.342175
2022-05-11 12:47:27.551617,105900.0,130672.61446739,14297560248.342175
2022-05-11 12:47:40.713533,105900.0,130674.77428938,14297788973.490915
2022-05-11 12:47:53.908554,105900.0,130674.77428938,14297788973.490915
2022-05-11 12:48:07.190766,105900.0,130674.77428938,14297788973.490915
2022-05-11 12:48:19.951973,105850.0,130909.78389938,14322664857.21764
2022-05-11 12:48:33.546319,105850.0,130916.54589938,14323380614.91764
2022-05-11 12:48:47.331927,105850.0,130949.75369938,14326895660.54764
2022-05-11 12:49:00.234706,105850.0,130949.75369938,14326895660.54764
2022-05-11 12:49:13.255153,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:49:25.789704,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:49:38.447423,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:49:52.347844,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:50:05.063197,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:50:18.452490,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:50:32.310771,105900.0,130955.45093991,14327499887.54055
2022-05-11 12:50:45.408420,105900.0,130962.17237522,14328211687.539879
2022-05-11 12:50:59.441771,105900.0,130962.17237522,14328211687.539879
2022-05-11 12:51:12.746881,105900.0,130962.17237522,14328211687.539879
2022-05-11 12:51:27.140372,105900.0,130962.17237522,14328211687.539879
2022-05-11 12:51:40.379173,105900.0,130963.17237522,14328317587.539879
2022-05-11 12:51:53.287217,105900.0,130963.17237522,14328317587.539879
2022-05-11 12:52:06.738684,105800.0,131010.82595166,14333359335.92723
2022-05-11 12:52:20.004775,105750.0,131011.20962936,14333399909.844006
2022-05-11 12:52:32.562867,105750.0,131011.20962936,14333399909.844006
2022-05-11 12:52:44.818277,105800.0,131020.82669178,14334415972.646523
2022-05-11 12:52:58.758704,105800.0,131020.82669178,14334415972.646523
2022-05-11 12:53:12.261003,105700.0,131020.92163424,14334426008.064545
2022-05-11 12:53:25.502498,105750.0,131021.98498596,14334538457.508934
2022-05-11 12:53:38.501279,105700.0,131040.81151938,14336528422.091429
2022-05-11 12:53:51.590070,105700.0,131040.81151938,14336528422.091429
2022-05-11 12:54:05.433052,105700.0,131040.81151938,14336528422.091429
2022-05-11 12:54:19.215909,105700.0,131040.81151938,14336528422.091429
2022-05-11 12:54:32.400546,105700.0,131045.98394761,14337074654.814362
2022-05-11 12:54:45.645106,105700.0,131045.98394761,14337074654.814362
2022-05-11 12:54:58.692520,105700.0,131045.98394761,14337074654.814362
2022-05-11 12:55:11.656452,105550.0,131046.29689632,14337107703.050701
2022-05-11 12:55:23.913973,105550.0,131046.29689632,14337107703.050701
2022-05-11 12:55:36.136751,105550.0,131046.29689632,14337107703.050701
2022-05-11 12:55:49.844636,105500.0,131055.64675833,14338094387.987547
2022-05-11 12:56:02.188978,105500.0,131055.64675833,14338094387.987547
2022-05-11 12:56:15.048330,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:56:28.157593,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:56:41.556964,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:56:54.954363,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:57:07.411577,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:57:20.039462,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:57:33.983728,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:57:47.673742,105700.0,131055.77233414,14338107661.350664
2022-05-11 12:58:01.501635,105550.0,131056.95250723,14338232228.620314
2022-05-11 12:58:13.235931,105550.0,131057.34612389,14338273754.902153
2022-05-11 12:58:25.927518,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:58:37.686619,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:58:49.438565,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:59:01.569449,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:59:14.356059,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:59:26.606058,105450.0,131057.40195446,14338279642.23576
2022-05-11 12:59:38.551049,105650.0,131058.90030751,14338437943.235493
2022-05-11 12:59:50.389158,105650.0,131058.90030751,14338437943.235493
2022-05-11 13:00:02.347241,105650.0,131058.90030751,14338437943.235493
2022-05-11 13:00:15.549190,105650.0,131058.99495965,14338447943.234083
2022-05-11 13:00:28.134959,105550.0,131062.54793613,14338822959.901546
2022-05-11 13:00:41.105373,105550.0,131062.54793613,14338822959.901546
2022-05-11 13:00:53.168160,105550.0,131065.69745122,14339155391.219296
2022-05-11 13:01:05.618518,105550.0,131066.36076542,14339225404.033106
2022-05-11 13:01:19.391736,105550.0,131066.8707527,14339279233.19051
2022-05-11 13:01:32.696298,105550.0,131066.8707527,14339279233.19051
2022-05-11 13:01:45.017291,105550.0,131066.8707527,14339279233.19051
2022-05-11 13:01:57.166936,105500.0,131096.8707527,14342444233.19051
2022-05-11 13:02:09.378659,105500.0,131096.8707527,14342444233.19051
2022-05-11 13:02:20.977601,105450.0,131097.50346387,14342510952.583387
2022-05-11 13:02:32.526361,105450.0,131097.50346387,14342510952.583387
2022-05-11 13:02:44.644555,105450.0,131097.50346387,14342510952.583387
2022-05-11 13:02:55.996986,105450.0,131097.50346387,14342510952.583387
2022-05-11 13:03:08.729932,105450.0,131097.50346387,14342510952.583387
2022-05-11 13:03:20.751697,105400.0,131097.98710541,14342561942.619713
2022-05-11 13:03:32.295800,105400.0,131097.98710541,14342561942.619713
2022-05-11 13:03:44.048265,105400.0,131117.47841945,14344616327.119528
2022-05-11 13:03:55.387208,105400.0,131117.47841945,14344616327.119528
2022-05-11 13:04:07.128881,105400.0,131121.89697174,14345082042.530893
2022-05-11 13:04:30.661625,105350.0,131124.10739989,14345315006.013157
2022-05-11 13:04:56.910587,105400.0,131134.65159451,14346426364.126104
2022-05-11 13:05:09.017669,105700.0,131134.74903284,14346436660.985668
2022-05-11 13:05:21.680356,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:05:33.901882,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:05:46.992126,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:05:59.844965,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:06:12.106047,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:06:23.730087,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:06:34.932040,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:06:46.972285,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:06:58.430993,105450.0,131134.82702609,14346444885.373882
2022-05-11 13:07:10.552834,105450.0,131135.01677939,14346464894.859365
2022-05-11 13:07:22.805470,105450.0,131135.31580143,14346496426.733484
2022-05-11 13:07:34.506334,105450.0,131135.31580143,14346496426.733484
2022-05-11 13:07:46.545685,105450.0,131135.31580143,14346496426.733484
2022-05-11 13:07:58.605036,105450.0,131135.31580143,14346496426.733484
2022-05-11 13:08:11.431387,105450.0,131135.31580143,14346496426.733484
2022-05-11 13:08:24.021048,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:08:36.627877,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:08:49.424427,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:09:02.075242,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:09:15.107923,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:09:28.002998,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:09:40.857263,105450.0,131135.58875443,14346525209.627335
2022-05-11 13:09:53.128029,105600.0,131151.78775443,14348235824.027334
2022-05-11 13:10:05.304042,105600.0,131151.78775443,14348235824.027334
2022-05-11 13:10:17.942352,105450.0,131153.28231102,14348393604.272453
2022-05-11 13:10:30.417808,105450.0,131153.28231102,14348393604.272453
2022-05-11 13:10:42.802968,105450.0,131153.28231102,14348393604.272453
2022-05-11 13:10:55.130631,105450.0,131155.44890064,14348622071.147882
2022-05-11 13:11:08.681067,105450.0,131155.44890064,14348622071.147882
2022-05-11 13:11:21.663674,105350.0,131167.28266724,14349868805.897522
2022-05-11 13:11:34.313060,105600.0,131197.55066724,14353056869.32997
2022-05-11 13:11:47.116349,105600.0,131197.55066724,14353056869.32997
2022-05-11 13:11:59.254132,105600.0,131197.55066724,14353056869.32997
2022-05-11 13:12:12.923216,105600.0,131197.55066724,14353056869.32997
2022-05-11 13:12:26.767433,105550.0,131231.69066724,14356658717.230871
2022-05-11 13:12:40.879249,105550.0,131231.69066724,14356658717.230871
2022-05-11 13:12:53.670009,105550.0,131231.69066724,14356658717.230871
