,price,volume,value
2022-05-11 12:37:59.529210,1175.0,62746557.77670806,74992659178.16008
2022-05-11 12:38:13.106128,1175.0,62746983.30862295,74993159178.16006
2022-05-11 12:38:25.838723,1175.0,62746983.30862295,74993159178.16006
2022-05-11 12:38:39.509620,1175.0,62746983.30862295,74993159178.16006
2022-05-11 12:38:52.303389,1175.0,62747299.27697927,74993529616.80292
2022-05-11 12:39:05.468722,1175.0,62747384.38336224,74993629616.80292
2022-05-11 12:39:18.670235,1170.0,62748648.49338619,74995108625.53093
2022-05-11 12:39:31.520994,1170.0,62748766.16675289,74995246303.36998
2022-05-11 12:39:44.258627,1175.0,62748798.05991353,74995283777.83372
2022-05-11 12:39:56.436987,1175.0,62748836.22785246,74995328625.16197
2022-05-11 12:40:07.761021,1175.0,62748907.43433906,74995412292.78372
2022-05-11 12:40:19.588973,1175.0,62748933.27413234,74995442654.54083
2022-05-11 12:40:33.105474,1175.0,62748933.27413234,74995442654.54083
2022-05-11 12:40:45.714411,1175.0,62748933.27413234,74995442654.54083
2022-05-11 12:40:58.368859,1175.0,62748933.27413234,74995442654.54083
2022-05-11 12:41:11.116730,1170.0,62748950.07245586,74995462308.57935
2022-05-11 12:41:23.916330,1170.0,62749202.62994921,74995757800.84656
2022-05-11 12:41:37.487825,1170.0,62749202.62994921,74995757800.84656
2022-05-11 12:41:49.802081,1170.0,62749202.62994921,74995757800.84656
2022-05-11 12:42:01.873661,1170.0,62749600.627404,74996223457.86867
2022-05-11 12:42:14.924459,1170.0,62749600.627404,74996223457.86867
2022-05-11 12:42:27.255341,1170.0,62750100.627404,74996808457.86867
2022-05-11 12:42:39.458575,1170.0,62751371.8596879,74998295799.64084
2022-05-11 12:42:52.755551,1170.0,62751371.8596879,74998295799.64084
2022-05-11 12:43:06.982610,1170.0,62753371.8596879,75000635799.64084
2022-05-11 12:43:20.547837,1170.0,62753871.8596879,75001220799.64084
2022-05-11 12:43:33.380551,1170.0,62753880.40669645,75001230799.64084
2022-05-11 12:43:46.432721,1170.0,62754380.40669645,75001815799.64084
2022-05-11 12:43:58.666244,1170.0,62755156.68544312,75002724045.77444
2022-05-11 12:44:11.352099,1175.0,62755325.4479963,75002922341.77443
2022-05-11 12:44:24.318486,1170.0,62755632.06962754,75003281089.08298
2022-05-11 12:44:36.514590,1170.0,62756034.8881992,75003753392.53098
2022-05-11 12:44:49.162885,1170.0,62758555.51353854,75006703527.25885
2022-05-11 12:45:02.645300,1170.0,62760480.22030911,75008956434.62723
2022-05-11 12:45:14.912417,1170.0,62783908.79962951,75036368870.25337
2022-05-11 12:45:26.173663,1170.0,62784135.31668206,75036633895.20485
2022-05-11 12:45:39.540713,1170.0,62786189.01030386,75039036716.74236
2022-05-11 12:45:52.629982,1170.0,62787866.21330386,75040999044.25235
2022-05-11 12:46:05.839697,1170.0,62794152.39475357,75048353876.54852
2022-05-11 12:46:19.114035,1165.0,62801564.00510419,75057001640.95699
2022-05-11 12:46:32.004081,1165.0,62802867.35508894,75058520043.68922
2022-05-11 12:46:46.264906,1165.0,62802867.35508894,75058520043.68922
2022-05-11 12:46:59.182956,1165.0,62810867.35508894,75067840043.68922
2022-05-11 12:47:12.724145,1165.0,62810867.35508894,75067840043.68922
2022-05-11 12:47:25.920318,1165.0,62810867.35508894,75067840043.68922
2022-05-11 12:47:39.125366,1165.0,62810867.35508894,75067840043.68922
2022-05-11 12:47:52.096110,1165.0,62810989.97934285,75067982900.94502
2022-05-11 12:48:05.107385,1170.0,62811007.07335994,75068002900.94502
2022-05-11 12:48:18.077944,1170.0,62811841.06606016,75068978672.40428
2022-05-11 12:48:31.595964,1165.0,62824721.74785919,75084048868.71135
2022-05-11 12:48:45.546156,1170.0,62825149.09828654,75084548868.71135
2022-05-11 12:48:58.756920,1170.0,62830980.91058551,75091372089.10114
2022-05-11 12:49:11.624345,1170.0,62835443.21029699,75096592979.76357
2022-05-11 12:49:24.162470,1170.0,62835443.21029699,75096592979.76357
2022-05-11 12:49:36.952725,1170.0,62835443.21029699,75096592979.76357
2022-05-11 12:49:50.531699,1175.0,62835480.28877902,75096636546.97995
2022-05-11 12:50:03.463793,1175.0,62863586.09459951,75129660868.81903
2022-05-11 12:50:16.426871,1175.0,62865312.63558432,75131689554.47618
2022-05-11 12:50:30.534681,1175.0,62865325.3892075,75131704539.98341
2022-05-11 12:50:43.537334,1175.0,62865325.3892075,75131704539.98341
2022-05-11 12:50:57.884998,1175.0,62865775.67061147,75132233620.63309
2022-05-11 12:51:10.847579,1175.0,62865888.22199535,75132365868.50914
2022-05-11 12:51:25.431872,1170.0,62866288.22199535,75132833868.50914
2022-05-11 12:51:38.799085,1170.0,62866451.44307175,75133024837.16853
2022-05-11 12:51:51.429859,1170.0,62866451.44307175,75133024837.16853
2022-05-11 12:52:05.366816,1170.0,62875618.56158975,75143750365.8346
2022-05-11 12:52:18.071810,1170.0,62877926.05300765,75146450130.79353
2022-05-11 12:52:31.087587,1170.0,62880019.93042833,75148899967.37573
2022-05-11 12:52:43.220315,1170.0,62880532.92102662,75149500166.37573
2022-05-11 12:52:56.371727,1170.0,62884732.92102662,75154414166.37573
2022-05-11 12:53:10.511017,1165.0,62886131.89758874,75156043974.0706
2022-05-11 12:53:23.708030,1165.0,62886131.89758874,75156043974.0706
2022-05-11 12:53:36.842698,1165.0,62886131.89758874,75156043974.0706
2022-05-11 12:53:49.991266,1165.0,62886531.89758874,75156509974.0706
2022-05-11 12:54:03.711061,1170.0,62886617.36767421,75156609974.0706
2022-05-11 12:54:17.551055,1170.0,62886717.83775968,75156727449.0706
2022-05-11 12:54:30.916762,1165.0,62887943.44381136,75158155280.1208
2022-05-11 12:54:43.994132,1165.0,62895815.54381136,75167326276.6208
2022-05-11 12:54:57.018543,1165.0,62897996.49953645,75169867090.04054
2022-05-11 12:55:10.237896,1165.0,62898001.49953645,75169872915.04054
2022-05-11 12:55:21.968011,1165.0,62898001.49953645,75169872915.04054
2022-05-11 12:55:34.388347,1165.0,62898080.89417389,75169965409.79315
2022-05-11 12:55:48.394522,1165.0,62898080.89417389,75169965409.79315
2022-05-11 12:56:00.696433,1165.0,62898080.89417389,75169965409.79315
2022-05-11 12:56:12.978903,1165.0,62898080.89417389,75169965409.79315
2022-05-11 12:56:26.466658,1165.0,62902300.02672233,75174880699.21208
2022-05-11 12:56:39.717316,1165.0,62903418.74439326,75176184005.29872
2022-05-11 12:56:53.141351,1165.0,62903418.74439326,75176184005.29872
2022-05-11 12:57:05.737246,1165.0,62904817.72095539,75177813812.9936
2022-05-11 12:57:18.364393,1165.0,62908062.46165072,75181593935.90366
2022-05-11 12:57:32.024318,1165.0,62908062.46165072,75181593935.90366
2022-05-11 12:57:46.008665,1170.0,62908088.10267636,75181623935.90366
2022-05-11 12:57:59.416859,1165.0,62908153.78959096,75181700461.15916
2022-05-11 12:58:11.755385,1165.0,62908153.78959096,75181700461.15916
2022-05-11 12:58:24.043515,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:58:36.298469,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:58:47.946704,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:59:00.027850,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:59:12.444950,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:59:25.170997,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:59:36.980238,1165.0,62912337.89000937,75186574938.14662
2022-05-11 12:59:49.002131,1165.0,62912337.89000937,75186574938.14662
2022-05-11 13:00:00.750343,1165.0,62912337.89000937,75186574938.14662
2022-05-11 13:00:13.977179,1165.0,62924232.92567835,75200432654.70097
2022-05-11 13:00:26.294763,1165.0,62930490.33167835,75207722532.69098
2022-05-11 13:00:39.375035,1165.0,62930490.33167835,75207722532.69098
2022-05-11 13:00:51.747448,1165.0,62930490.33167835,75207722532.69098
2022-05-11 13:01:03.868727,1165.0,62930490.33167835,75207722532.69098
2022-05-11 13:01:17.427513,1170.0,62934244.22831803,75212113846.52258
2022-05-11 13:01:31.094430,1170.0,62938204.68434438,75216745377.43024
2022-05-11 13:01:43.464778,1170.0,62938204.68434438,75216745377.43024
2022-05-11 13:01:55.205326,1170.0,62938248.68434438,75216796857.43024
2022-05-11 13:02:07.719448,1165.0,62944498.75229309,75224099554.11186
2022-05-11 13:02:19.347586,1165.0,62950799.61928048,75231440064.15216
2022-05-11 13:02:30.944346,1165.0,62950878.69154938,75231532183.34544
2022-05-11 13:02:43.120526,1165.0,62950884.33204173,75231538754.51903
2022-05-11 13:02:54.505966,1170.0,62951019.8021272,75231697254.51903
2022-05-11 13:03:07.243883,1170.0,62951915.75073409,75232745514.38908
2022-05-11 13:03:19.018832,1170.0,62970689.05445058,75254704003.58675
2022-05-11 13:03:30.881451,1170.0,62970689.05445058,75254704003.58675
2022-05-11 13:03:42.466802,1170.0,62970689.05445058,75254704003.58675
2022-05-11 13:03:53.882785,1170.0,62974124.87368227,75258710336.11928
2022-05-11 13:04:05.591255,1170.0,62974124.87368227,75258710336.11928
2022-05-11 13:04:16.902295,1170.0,62974131.25863953,75258717806.51927
2022-05-11 13:04:29.003539,1170.0,62974251.25863953,75258858206.51927
2022-05-11 13:04:41.595365,1170.0,62977782.22863953,75262989441.41927
2022-05-11 13:04:55.344193,1170.0,62978585.40737511,75263929160.5399
2022-05-11 13:05:07.133957,1175.0,62980085.40737511,75265691660.5399
2022-05-11 13:05:19.917952,1175.0,62980085.40737511,75265691660.5399
2022-05-11 13:05:32.014720,1175.0,62985055.28560726,75271531267.46268
2022-05-11 13:05:45.155537,1175.0,62987225.49837321,75274081267.46266
2022-05-11 13:05:58.186268,1175.0,62987225.49837321,75274081267.46266
2022-05-11 13:06:10.483797,1175.0,62987310.60475618,75274181267.46266
2022-05-11 13:06:22.235048,1175.0,62989565.92390511,75276831267.46265
2022-05-11 13:06:33.543164,1175.0,62992565.92390511,75280356267.46265
