,price,volume,value
2022-05-11 12:37:54.668662,8.19,2756047947.4888725,22744607441.9052
2022-05-11 12:38:07.354127,8.19,2756051530.4888725,22744636786.6752
2022-05-11 12:38:20.879774,8.19,2756096835.2916136,22745007833.009647
2022-05-11 12:38:33.954666,8.19,2756100417.4888725,22745037171.2052
2022-05-11 12:38:47.394440,8.19,2756178522.684776,22745676852.759647
2022-05-11 12:39:00.641569,8.19,2756178522.684776,22745676852.759647
2022-05-11 12:39:13.705561,8.19,2756242945.9066205,22746204478.946556
2022-05-11 12:39:26.634599,8.19,2756242945.9066205,22746204478.946556
2022-05-11 12:39:39.327244,8.19,2756273640.808906,22746455870.196274
2022-05-11 12:39:52.035596,8.19,2756335490.808906,22746962421.696274
2022-05-11 12:40:03.394432,8.19,2756335490.808906,22746962421.696274
2022-05-11 12:40:14.804813,8.19,2756342652.808906,22747021078.476276
2022-05-11 12:40:27.826848,8.19,2756418347.808906,22747641020.526276
2022-05-11 12:40:40.739849,8.19,2756418347.808906,22747641020.526276
2022-05-11 12:40:53.937352,8.17,2757251683.506426,22754454426.350864
2022-05-11 12:41:05.763081,8.17,2757251683.506426,22754454426.350864
2022-05-11 12:41:18.888017,8.17,2757252455.9912744,22754460737.552074
2022-05-11 12:41:31.882570,8.17,2757419701.0054226,22755827129.31767
2022-05-11 12:41:44.938023,8.18,2757426054.796742,22755879103.33066
2022-05-11 12:41:57.226131,8.17,2757561523.2582026,22756985880.66079
2022-05-11 12:42:10.066431,8.18,2757711523.2582026,22758212880.66079
2022-05-11 12:42:22.406195,8.19,2758056270.501902,22761035786.001377
2022-05-11 12:42:34.769373,8.18,2758291270.501902,22762958086.001377
2022-05-11 12:42:47.198823,8.18,2758291270.501902,22762958086.001377
2022-05-11 12:43:02.172331,8.18,2758291270.501902,22762958086.001377
2022-05-11 12:43:15.352798,8.18,2758374470.3796525,22763638661.001377
2022-05-11 12:43:28.449472,8.18,2758374470.3796525,22763638661.001377
2022-05-11 12:43:41.832141,8.18,2758374470.3796525,22763638661.001377
2022-05-11 12:43:53.949236,8.18,2758394886.7476597,22763805666.891674
2022-05-11 12:44:06.506739,8.16,2758690608.5689006,22766219609.281742
2022-05-11 12:44:19.736295,8.16,2758813766.2685766,22767224576.111095
2022-05-11 12:44:31.731310,8.15,2759298772.750674,22771177378.940186
2022-05-11 12:44:44.150734,8.12,2760418211.13905,22780278256.692562
2022-05-11 12:44:57.341223,8.13,2761488452.750432,22788996247.18167
2022-05-11 12:45:10.517775,8.13,2762364154.4984174,22796109170.892628
2022-05-11 12:45:21.675221,8.13,2762531521.6183186,22797469865.577423
2022-05-11 12:45:34.587276,8.13,2762531521.6183186,22797469865.577423
2022-05-11 12:45:47.275289,8.13,2762546521.6183186,22797591815.577423
2022-05-11 12:46:00.824279,8.17,2762726423.2507877,22799055038.378944
2022-05-11 12:46:14.201803,8.16,2762757503.4698577,22799308330.445366
2022-05-11 12:46:27.283536,8.17,2762787278.621214,22799551277.493336
2022-05-11 12:46:41.285229,8.17,2762818339.8234496,22799804839.11695
2022-05-11 12:46:54.446175,8.16,2762979737.0454693,22801122354.805756
2022-05-11 12:47:07.673292,8.18,2763045344.148682,22801658238.35232
2022-05-11 12:47:20.464227,8.18,2763072511.391259,22801880195.178886
2022-05-11 12:47:34.324356,8.15,2763551754.886177,22805790919.437256
2022-05-11 12:47:46.894240,8.13,2763640422.781284,22806511789.424473
2022-05-11 12:48:00.403641,8.13,2763640422.781284,22806511789.424473
2022-05-11 12:48:13.034651,8.13,2763640422.781284,22806511789.424473
2022-05-11 12:48:26.731730,8.13,2763640422.781284,22806511789.424473
2022-05-11 12:48:39.695365,8.13,2763640422.781284,22806511789.424473
2022-05-11 12:48:53.998665,8.14,2763677113.1370864,22806810379.834484
2022-05-11 12:49:06.306157,8.14,2763697603.624443,22806977172.40157
2022-05-11 12:49:19.065111,8.14,2763794026.9221234,22807762025.913868
2022-05-11 12:49:31.952834,8.14,2763794026.9221234,22807762025.913868
2022-05-11 12:49:45.291274,8.15,2763804759.212545,22807849423.658268
2022-05-11 12:49:58.428457,8.16,2763807945.212545,22807875421.418266
2022-05-11 12:50:11.475274,8.16,2763807945.212545,22807875421.418266
2022-05-11 12:50:24.931568,8.16,2763839061.2416477,22808129328.215748
2022-05-11 12:50:38.567440,8.16,2763839061.2416477,22808129328.215748
2022-05-11 12:50:52.179978,8.16,2763839061.2416477,22808129328.215748
2022-05-11 12:51:05.772829,8.16,2763839061.2416477,22808129328.215748
2022-05-11 12:51:19.282821,8.16,2763839061.2416477,22808129328.215748
2022-05-11 12:51:33.605633,8.16,2763965670.5406675,22809162460.09575
2022-05-11 12:51:46.527607,8.16,2764006392.5406675,22809494751.615746
2022-05-11 12:52:00.139025,8.16,2764007196.883714,22809501315.055008
2022-05-11 12:52:12.679498,8.16,2764097667.5406675,22810239555.615746
2022-05-11 12:52:26.266089,8.16,2764097667.5406675,22810239555.615746
2022-05-11 12:52:38.577000,8.16,2764097667.5406675,22810239555.615746
2022-05-11 12:52:51.203900,8.16,2764107426.0583425,22810319185.119976
2022-05-11 12:53:05.817407,8.18,2764440018.963278,22813040813.119976
2022-05-11 12:53:18.623173,8.18,2764440018.963278,22813040813.119976
2022-05-11 12:53:31.497085,8.14,2764550230.0508113,22813938869.471043
2022-05-11 12:53:45.045050,8.14,2764550230.0508113,22813938869.471043
2022-05-11 12:53:58.375680,8.14,2764550230.0508113,22813938869.471043
2022-05-11 12:54:12.405317,8.15,2764579189.994211,22814174893.009754
2022-05-11 12:54:25.906937,8.14,2764837525.2716193,22816277742.16786
2022-05-11 12:54:38.902044,8.14,2765064643.939244,22818126488.122322
2022-05-11 12:54:52.127573,8.14,2765307674.996241,22820104760.926277
2022-05-11 12:55:05.112556,8.14,2765580617.2566833,22822326510.926277
2022-05-11 12:55:17.540672,8.14,2765629998.63693,22822728013.472744
2022-05-11 12:55:29.558356,8.14,2765638055.296561,22822793594.68214
2022-05-11 12:55:43.443937,8.14,2765638055.296561,22822793594.68214
2022-05-11 12:55:56.076120,8.14,2765638055.296561,22822793594.68214
2022-05-11 12:56:08.267562,8.14,2765735380.143449,22823585818.93581
2022-05-11 12:56:21.336781,8.17,2768650667.020474,22847241814.93831
2022-05-11 12:56:34.733527,8.17,2768650667.020474,22847241814.93831
2022-05-11 12:56:47.584122,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:57:00.498125,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:57:13.675490,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:57:27.105448,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:57:40.595963,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:57:53.983204,8.17,2768651952.809948,22847252319.83831
2022-05-11 12:58:19.349227,8.13,2768859887.310083,22848948071.12189
2022-05-11 12:58:31.779853,8.13,2768859887.310083,22848948071.12189
2022-05-11 12:58:43.630585,8.13,2768859887.310083,22848948071.12189
2022-05-11 12:58:55.184609,8.13,2768859887.310083,22848948071.12189
2022-05-11 12:59:07.861874,8.14,2768877254.310083,22849089438.501892
2022-05-11 12:59:20.195961,8.14,2768913330.310083,22849383097.14189
2022-05-11 12:59:32.094481,8.14,2768927712.310083,22849500166.62189
2022-05-11 12:59:44.460731,8.14,2768931307.310083,22849529429.92189
2022-05-11 12:59:55.734523,8.15,2768943577.248733,22849629429.92189
2022-05-11 13:00:08.789373,8.14,2768948289.7261624,22849667789.488167
2022-05-11 13:00:21.453613,8.13,2769000505.048079,22850092346.768566
2022-05-11 13:00:34.682383,8.13,2769018641.048079,22850239792.448566
2022-05-11 13:00:46.938173,8.13,2769053631.7556868,22850524266.901417
2022-05-11 13:00:59.072027,8.13,2769053631.7556868,22850524266.901417
2022-05-11 13:01:11.886041,8.13,2769060619.3325624,22850581075.901417
2022-05-11 13:01:25.722070,8.13,2769065733.6332026,22850622655.165623
2022-05-11 13:01:38.597731,8.13,2769223822.425445,22851906709.93788
2022-05-11 13:01:50.493612,8.13,2769225436.6244955,22851919833.376163
2022-05-11 13:02:03.271891,8.13,2769225436.6244955,22851919833.376163
2022-05-11 13:02:15.018814,8.13,2769225436.6244955,22851919833.376163
2022-05-11 13:02:26.436960,8.13,2769225436.6244955,22851919833.376163
2022-05-11 13:02:38.517985,8.12,2769358248.937851,22852998269.36061
2022-05-11 13:02:50.124999,8.12,2769539646.9663153,22854471221.351738
2022-05-11 13:03:01.362654,8.11,2770163452.510822,22859530284.317688
2022-05-11 13:03:14.428301,8.11,2770670396.4442477,22863641599.61777
2022-05-11 13:03:26.300296,8.11,2770744506.9540515,22864242635.85228
2022-05-11 13:03:38.048226,8.11,2770822438.581439,22864874661.35039
2022-05-11 13:03:49.507932,8.11,2770822438.581439,22864874661.35039
2022-05-11 13:04:00.900661,8.11,2770931326.3841796,22865757741.43062
2022-05-11 13:04:12.382425,8.13,2770932556.3964796,22865767741.43062
2022-05-11 13:04:24.318511,8.13,2770932556.3964796,22865767741.43062
2022-05-11 13:04:36.791122,8.13,2770932556.3964796,22865767741.43062
2022-05-11 13:04:49.554323,8.13,2770932556.3964796,22865767741.43062
2022-05-11 13:05:02.415328,8.11,2771056165.3964796,22866770210.42062
2022-05-11 13:05:15.005046,8.11,2771056165.3964796,22866770210.42062
2022-05-11 13:05:27.358673,8.11,2771056165.3964796,22866770210.42062
2022-05-11 13:05:39.914957,8.11,2771056165.3964796,22866770210.42062
2022-05-11 13:05:53.226958,8.12,2771081165.3964796,22866973210.42062
2022-05-11 13:06:05.633786,8.13,2771238803.61879,22868254809.168003
2022-05-11 13:06:17.573374,8.13,2771238803.61879,22868254809.168003
2022-05-11 13:06:29.233944,8.14,2771266882.085699,22868483367.88864
2022-05-11 13:06:40.882468,8.14,2771285333.6827507,22868633563.88864
2022-05-11 13:06:52.450883,8.14,2771285333.6827507,22868633563.88864
2022-05-11 13:07:04.148258,8.14,2771445227.397472,22869935098.726475
2022-05-11 13:07:16.390168,8.14,2771528531.397472,22870613193.286472
2022-05-11 13:07:28.536043,8.14,2771528531.397472,22870613193.286472
2022-05-11 13:07:40.416815,8.14,2771528532.230897,22870613200.07055
2022-05-11 13:07:52.348959,8.14,2771530988.399929,22870633193.286472
2022-05-11 13:08:04.721525,8.14,2771553093.399929,22870813127.986473
2022-05-11 13:08:17.514279,8.15,2771707419.516097,22872070885.833244
2022-05-11 13:08:29.966516,8.15,2771707419.516097,22872070885.833244
2022-05-11 13:08:42.581090,8.15,2771707419.516097,22872070885.833244
2022-05-11 13:08:55.557493,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:09:08.268875,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:09:21.525720,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:09:34.392098,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:09:46.851765,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:09:58.991466,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:10:11.830828,8.14,2771719841.8763456,22872172003.845665
2022-05-11 13:10:24.015434,8.14,2771733115.6709332,22872280052.53361
2022-05-11 13:10:36.486764,8.16,2772468923.5023117,22878284244.43766
2022-05-11 13:10:48.391092,8.16,2772468923.5023117,22878284244.43766
2022-05-11 13:11:01.278784,8.16,2772468923.5023117,22878284244.43766
2022-05-11 13:11:15.040858,8.16,2772468923.5023117,22878284244.43766
2022-05-11 13:11:27.867351,8.16,2772468923.5023117,22878284244.43766
2022-05-11 13:11:40.367036,8.15,2772506661.6884336,22878591810.65455
2022-05-11 13:11:52.972509,8.13,2772626807.543497,22879568942.649014
2022-05-11 13:12:05.386611,8.13,2772626807.543497,22879568942.649014
2022-05-11 13:12:19.290528,8.11,2773561402.1301312,22887157367.921013
2022-05-11 13:12:33.420160,8.11,2773611105.1789117,22887560459.64662
2022-05-11 13:12:46.939217,8.11,2773635951.0482087,22887761959.64662
2022-05-11 13:13:00.691735,8.11,2773712206.691413,22888380392.913006
2022-05-11 13:13:15.898246,8.11,2773734401.5126214,22888560392.913006
2022-05-11 13:13:30.769871,8.11,2773734401.5126214,22888560392.913006
2022-05-11 13:13:43.786154,8.11,2773734401.5126214,22888560392.913006
2022-05-11 13:13:56.495767,8.11,2773766297.425075,22888819068.763004
2022-05-11 13:14:10.461208,8.11,2773979797.480398,22890550554.211678
2022-05-11 13:14:23.854066,8.11,2773979797.480398,22890550554.211678
2022-05-11 13:14:38.250410,8.11,2774131195.4264736,22891778391.554348
2022-05-11 13:14:51.848175,8.11,2774131195.4264736,22891778391.554348
2022-05-11 13:15:04.300935,8.11,2774131195.4264736,22891778391.554348
