,price,volume,value
2022-05-11 12:37:57.894691,70.9,130134744.24327913,9490899383.366755
2022-05-11 12:38:10.987138,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:38:24.282729,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:38:37.909445,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:38:50.706807,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:39:03.880762,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:39:17.115033,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:39:30.021005,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:39:42.532175,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:39:55.107591,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:40:06.355067,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:40:17.878401,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:40:31.409431,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:40:43.987955,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:40:56.876014,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:41:09.450142,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:41:22.237012,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:41:35.567648,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:41:48.136047,70.9,130136013.63679112,9490989383.366755
2022-05-11 12:42:00.387776,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:42:13.224287,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:42:25.790099,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:42:37.959702,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:42:50.527797,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:43:05.514417,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:43:18.760109,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:43:31.809723,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:43:44.981243,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:43:57.244047,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:44:09.987334,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:44:22.897038,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:44:34.955825,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:44:47.502322,71.0,130138803.77764112,9491187483.367105
2022-05-11 12:45:00.817908,70.9,130140303.77764112,9491293833.367105
2022-05-11 12:45:13.404431,70.9,130140303.77764112,9491293833.367105
2022-05-11 12:45:24.860976,70.9,130140303.77764112,9491293833.367105
2022-05-11 12:45:37.626290,70.9,130150353.78238907,9492006378.703735
2022-05-11 12:45:51.198039,70.9,130150353.78238907,9492006378.703735
2022-05-11 12:46:04.342043,70.9,130150353.78238907,9492006378.703735
2022-05-11 12:46:17.482323,70.9,130150353.78238907,9492006378.703735
2022-05-11 12:46:30.405684,70.9,130150353.78238907,9492006378.703735
2022-05-11 12:46:44.744611,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:46:57.601769,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:47:11.142074,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:47:24.165729,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:47:37.677871,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:47:50.423301,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:48:03.732618,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:48:16.732926,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:48:29.990954,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:48:44.004430,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:48:57.291632,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:49:10.065378,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:49:22.684633,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:49:35.535312,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:49:49.062492,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:50:01.895772,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:50:14.931082,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:50:28.977306,70.9,130160504.74206486,9492726081.744747
2022-05-11 12:50:41.949102,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:50:56.351108,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:51:09.126975,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:51:23.134627,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:51:37.351108,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:51:49.876026,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:52:03.449558,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:52:16.472698,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:52:29.501664,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:52:41.830905,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:52:54.698192,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:53:09.122891,70.9,130168797.26715063,9493314021.773329
2022-05-11 12:53:22.093199,70.9,130170587.53988685,9493440952.110327
2022-05-11 12:53:35.375942,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:53:48.465028,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:54:01.946470,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:54:15.903761,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:54:29.163795,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:54:42.377217,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:54:55.373650,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:55:08.654578,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:55:20.609274,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:55:32.605784,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:55:46.888363,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:55:59.258642,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:56:11.345746,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:56:25.066006,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:56:38.146828,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:56:51.617221,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:57:04.009670,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:57:16.884126,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:57:30.426387,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:57:44.378150,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:57:57.760967,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:58:10.290173,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:58:22.622895,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:58:34.901418,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:58:46.634863,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:58:58.502707,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:59:10.891971,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:59:23.467884,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:59:35.563158,71.0,130171176.46847866,9493482766.040346
2022-05-11 12:59:47.705152,71.1,130171316.46847866,9493492720.040346
2022-05-11 12:59:59.388310,71.1,130171316.46847866,9493492720.040346
2022-05-11 13:00:12.484693,71.1,130171316.46847866,9493492720.040346
2022-05-11 13:00:24.770842,71.1,130171316.46847866,9493492720.040346
2022-05-11 13:00:37.911081,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:00:50.090210,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:01:02.268412,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:01:15.510073,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:01:29.447158,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:01:42.055074,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:01:53.653689,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:02:06.366313,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:02:17.973083,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:02:29.575710,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:02:41.686447,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:02:53.151878,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:03:05.921847,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:03:17.526718,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:03:29.509495,71.1,130171388.19843648,9493497820.040346
2022-05-11 13:03:41.034566,71.0,130171950.78634085,9493537763.781557
2022-05-11 13:03:52.571348,71.0,130171950.78634085,9493537763.781557
2022-05-11 13:04:04.157473,71.0,130171950.78634085,9493537763.781557
2022-05-11 13:04:15.621022,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:04:27.392687,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:04:39.893977,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:04:53.804753,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:05:05.658821,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:05:18.487169,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:05:30.585609,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:05:43.525026,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:05:56.665004,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:06:08.952971,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:06:20.862595,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:06:32.186872,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:06:43.775130,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:06:55.542047,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:07:07.373477,71.0,130173388.12555286,9493639814.86561
2022-05-11 13:07:19.477862,71.1,130173528.77252896,9493649814.86561
2022-05-11 13:07:31.631797,71.1,130173528.77252896,9493649814.86561
2022-05-11 13:07:43.378457,71.1,130173528.77252896,9493649814.86561
2022-05-11 13:07:55.563509,71.1,130173528.77252896,9493649814.86561
2022-05-11 13:08:08.514089,71.1,130175350.96290253,9493779372.601171
2022-05-11 13:08:20.807869,71.1,130175350.96290253,9493779372.601171
2022-05-11 13:08:33.357577,71.1,130175582.86535595,9493795860.86561
2022-05-11 13:08:46.078120,71.1,130175582.86535595,9493795860.86561
2022-05-11 13:08:59.043726,71.1,130175582.86535595,9493795860.86561
2022-05-11 13:09:11.854242,71.1,130175582.86535595,9493795860.86561
2022-05-11 13:09:24.762970,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:09:37.567474,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:09:49.945275,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:10:02.110234,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:10:14.944852,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:10:27.077686,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:10:39.623081,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:10:51.859736,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:11:05.169440,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:11:18.505205,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:11:31.060184,71.2,130178373.00620596,9493994518.89413
2022-05-11 13:11:43.803244,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:11:56.178298,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:12:09.013248,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:12:23.028248,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:12:37.290872,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:12:50.371140,71.1,130205350.96290253,9495913372.601171
2022-05-11 13:13:04.454035,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:13:19.656069,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:13:34.359758,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:13:47.346058,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:14:00.277627,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:14:14.240010,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:14:27.495824,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:14:41.536723,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:14:55.211344,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:15:08.114559,71.0,130229860.06666528,9497653518.968327
2022-05-11 13:15:22.566762,70.9,130230000.91173571,9497663504.88382
2022-05-11 13:15:36.551318,70.9,130230000.91173571,9497663504.88382
2022-05-11 13:15:51.016749,70.9,130230000.91173571,9497663504.88382
2022-05-11 13:16:04.849072,70.9,130244145.18330573,9498666333.738134
2022-05-11 13:16:18.797218,70.9,130244145.18330573,9498666333.738134
2022-05-11 13:16:32.488148,70.9,130244145.18330573,9498666333.738134
2022-05-11 13:16:45.820145,70.9,130244145.18330573,9498666333.738134
2022-05-11 13:16:59.299205,70.9,130244145.18330573,9498666333.738134
2022-05-11 13:17:12.490868,70.9,130244241.33715187,9498673151.045826
2022-05-11 13:17:25.765293,70.9,130261337.70259146,9499885283.355492
2022-05-11 13:17:38.589919,70.9,130261337.70259146,9499885283.355492
2022-05-11 13:17:50.670397,70.9,130261337.70259146,9499885283.355492
2022-05-11 13:18:03.560093,70.8,130264068.5775911,9500078629.305468
2022-05-11 13:18:17.126981,70.8,130264068.5775911,9500078629.305468
