,price,volume,value
2022-05-11 12:37:52.613654,7.2,1434375445.865251,10477753496.435698
2022-05-11 12:38:05.298463,7.2,1434375445.865251,10477753496.435698
2022-05-11 12:38:18.884633,7.2,1434375445.865251,10477753496.435698
2022-05-11 12:38:31.774989,7.2,1434390802.359181,10477864063.191992
2022-05-11 12:38:45.140521,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:38:58.512456,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:39:11.694337,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:39:24.562787,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:39:37.166925,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:39:49.847183,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:40:12.915087,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:40:25.694709,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:40:38.670984,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:40:51.727867,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:41:03.781752,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:41:16.711296,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:41:29.870403,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:41:43.029342,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:41:55.138188,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:42:07.964185,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:42:20.398152,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:42:32.773433,7.2,1434493190.891646,10478601260.62574
2022-05-11 12:42:44.935432,7.18,1434517828.891646,10478778161.46574
2022-05-11 12:43:00.100189,7.18,1434517884.724217,10478778562.343601
2022-05-11 12:43:13.071628,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:43:26.274170,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:43:39.577485,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:43:51.559779,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:44:04.464023,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:44:17.648813,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:44:29.740126,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:44:41.941441,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:44:55.001592,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:45:08.237268,7.18,1434544411.7114198,10478969026.111717
2022-05-11 12:45:19.908337,7.19,1434644411.7114198,10479688018.039915
2022-05-11 12:45:32.409518,7.19,1434644411.7114198,10479688018.039915
2022-05-11 12:45:45.161956,7.19,1434745181.4934273,10480412402.772549
2022-05-11 12:45:58.681037,7.16,1434819959.4934273,10480947813.252548
2022-05-11 12:46:11.795229,7.16,1434819959.4934273,10480947813.252548
2022-05-11 12:46:24.896733,7.16,1434826793.7114198,10480996746.253376
2022-05-11 12:46:38.232221,7.16,1434826793.7114198,10480996746.253376
2022-05-11 12:46:52.074603,7.16,1434826793.7114198,10480996746.253376
2022-05-11 12:47:05.481688,7.16,1434849999.5040727,10481162899.72877
2022-05-11 12:47:18.486803,7.16,1434849999.5040727,10481162899.72877
2022-05-11 12:47:32.000404,7.16,1434849999.5040727,10481162899.72877
2022-05-11 12:47:44.831265,7.16,1434849999.5040727,10481162899.72877
2022-05-11 12:47:58.303581,7.16,1434849999.5040727,10481162899.72877
2022-05-11 12:48:11.258143,7.16,1434870884.7174604,10481312437.856627
2022-05-11 12:48:24.408018,7.16,1434870884.7174604,10481312437.856627
2022-05-11 12:48:37.488005,7.16,1434870884.7174604,10481312437.856627
2022-05-11 12:48:51.830488,7.16,1434870884.7174604,10481312437.856627
2022-05-11 12:49:04.210240,7.16,1434870884.7174604,10481312437.856627
2022-05-11 12:49:16.995474,7.16,1434879014.7987611,10481370649.238739
2022-05-11 12:49:29.729411,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:49:42.753152,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:49:56.328810,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:50:09.206925,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:50:22.664718,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:50:36.397761,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:50:50.068090,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:51:03.295952,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:51:17.049114,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:51:31.388131,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:51:44.441650,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:51:57.125156,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:52:10.666717,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:52:23.939234,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:52:36.717537,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:52:49.078020,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:53:03.519338,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:53:16.595639,7.16,1434892514.7987611,10481467309.238739
2022-05-11 12:53:29.565653,7.16,1434919259.9193516,10481658804.302166
2022-05-11 12:53:42.705624,7.16,1434919259.9193516,10481658804.302166
2022-05-11 12:53:55.912506,7.16,1434919259.9193516,10481658804.302166
2022-05-11 12:54:09.945199,7.16,1434919259.9193516,10481658804.302166
2022-05-11 12:54:23.580889,7.16,1434992778.6366765,10482185198.318213
2022-05-11 12:54:36.956239,7.16,1434992778.6366765,10482185198.318213
2022-05-11 12:54:49.988470,7.16,1434992778.6366765,10482185198.318213
2022-05-11 12:55:03.059187,7.16,1434992778.6366765,10482185198.318213
2022-05-11 12:55:15.412464,7.16,1435015113.081121,10482345112.940435
2022-05-11 12:55:27.627688,7.16,1435015113.081121,10482345112.940435
2022-05-11 12:55:41.011306,7.16,1435020078.9408355,10482380668.49599
2022-05-11 12:55:53.829808,7.16,1435020078.9408355,10482380668.49599
2022-05-11 12:56:19.256360,7.15,1435093728.3686023,10482907261.904524
2022-05-11 12:56:32.660590,7.15,1435103311.9789245,10482975784.718327
2022-05-11 12:56:45.546292,7.15,1435114853.1545894,10483058304.12433
2022-05-11 12:56:58.654427,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:57:11.490892,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:57:24.705722,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:57:38.442678,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:57:51.731058,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:58:05.526142,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:58:17.234949,7.19,1436188006.1991997,10490748934.400696
2022-05-11 12:58:29.804232,7.18,1436190791.71452,10490768934.400696
2022-05-11 12:58:41.680596,7.18,1436190791.71452,10490768934.400696
2022-05-11 12:58:52.999692,7.18,1436190791.71452,10490768934.400696
2022-05-11 12:59:05.446327,7.18,1436190791.71452,10490768934.400696
2022-05-11 12:59:18.203190,7.18,1436190791.71452,10490768934.400696
2022-05-11 12:59:30.090216,7.17,1436193581.114799,10490788934.400696
2022-05-11 12:59:42.242988,7.18,1436206869.0464833,10490884283.89842
2022-05-11 12:59:53.754132,7.18,1436206869.0464833,10490884283.89842
2022-05-11 13:00:06.405428,7.18,1436206869.0464833,10490884283.89842
2022-05-11 13:00:19.492339,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:00:32.583517,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:00:44.709384,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:00:57.081127,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:01:09.697208,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:01:23.489485,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:01:36.573208,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:01:48.547322,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:02:01.074424,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:02:13.224709,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:02:24.507366,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:02:36.465499,7.15,1436417906.2796302,10492397161.328283
2022-05-11 13:02:48.196935,7.15,1436417906.2796302,10492397161.328283
