,price,volume,value
2022-05-11 12:37:47.991777,18220.0,1047946.29988526,20088101656.059715
2022-05-11 12:38:00.985522,18230.0,1048082.76096564,20090590155.357014
2022-05-11 12:38:14.681737,18230.0,1048082.76096564,20090590155.357014
2022-05-11 12:38:27.271216,18230.0,1048082.76096564,20090590155.357014
2022-05-11 12:38:41.033498,18230.0,1048083.86856563,20090610346.90483
2022-05-11 12:38:53.845834,18230.0,1048083.86856563,20090610346.90483
2022-05-11 12:39:06.842066,18230.0,1048089.35402916,20090710352.446983
2022-05-11 12:39:20.179530,18230.0,1048089.35402916,20090710352.446983
2022-05-11 12:39:33.110818,18230.0,1048089.35402916,20090710352.446983
2022-05-11 12:39:45.677559,18230.0,1048089.35402916,20090710352.446983
2022-05-11 12:39:57.643846,18240.0,1048119.68702916,20091263626.36698
2022-05-11 12:40:09.045797,18240.0,1048150.02344916,20091816962.66778
2022-05-11 12:40:21.036031,18230.0,1048336.53807195,20095218309.593456
2022-05-11 12:40:34.467132,18230.0,1048336.53807195,20095218309.593456
2022-05-11 12:40:47.544108,18200.0,1048338.71724871,20095257970.610485
2022-05-11 12:40:59.657233,18200.0,1048338.71724871,20095257970.610485
2022-05-11 12:41:12.612931,18270.0,1048366.05030837,20095757345.610474
2022-05-11 12:41:25.443536,18270.0,1048366.05030837,20095757345.610474
2022-05-11 12:41:39.146673,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:41:51.062908,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:42:03.488443,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:42:16.469708,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:42:28.852999,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:42:40.837367,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:42:55.597303,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:43:08.600143,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:43:21.980045,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:43:34.619408,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:43:47.672429,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:43:59.979574,18220.0,1048457.66230837,20097426516.250477
2022-05-11 12:44:13.139945,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:44:25.678239,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:44:37.827456,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:44:50.599623,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:45:04.053814,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:45:16.196685,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:45:27.760892,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:45:40.781459,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:45:53.911382,18220.0,1048459.92685144,20097467761.128258
2022-05-11 12:46:07.592435,18230.0,1048461.8099638,20097502098.490265
2022-05-11 12:46:20.562311,18230.0,1048461.8099638,20097502098.490265
2022-05-11 12:46:33.669897,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:46:47.602464,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:47:01.010028,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:47:14.160367,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:47:27.371433,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:47:40.514919,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:47:53.683319,18270.0,1048532.96486254,20098802098.490242
2022-05-11 12:48:06.903214,18270.0,1048833.52755,20104292840.99014
2022-05-11 12:48:19.771462,18270.0,1048833.52755,20104292840.99014
2022-05-11 12:48:33.319427,18270.0,1048833.52755,20104292840.99014
2022-05-11 12:48:47.000640,18270.0,1048833.52755,20104292840.99014
2022-05-11 12:49:00.022550,18260.0,1048833.80127742,20104297839.252827
2022-05-11 12:49:13.028231,18260.0,1048833.80127742,20104297839.252827
2022-05-11 12:49:25.609294,18260.0,1048833.80127742,20104297839.252827
2022-05-11 12:49:38.236010,18260.0,1048833.80127742,20104297839.252827
2022-05-11 12:49:52.092767,18260.0,1048844.61875001,20104495358.127594
2022-05-11 12:50:04.867052,18260.0,1048844.61875001,20104495358.127594
2022-05-11 12:50:18.254675,18260.0,1048849.32849809,20104581358.127537
2022-05-11 12:50:32.115765,18260.0,1048849.32849809,20104581358.127537
2022-05-11 12:50:45.166880,18260.0,1049129.44131299,20109696218.12761
2022-05-11 12:50:59.231038,18280.0,1049162.00453839,20110291473.88792
2022-05-11 12:51:12.536272,18280.0,1049162.00453839,20110291473.88792
2022-05-11 12:51:26.928419,18280.0,1049162.00453839,20110291473.88792
2022-05-11 12:51:40.169425,18280.0,1049569.52514098,20117740950.503265
2022-05-11 12:51:53.032263,18280.0,1049569.52514098,20117740950.503265
2022-05-11 12:52:06.556572,18230.0,1049569.91587753,20117748073.630573
2022-05-11 12:52:19.657739,18230.0,1049584.0547659,20118005825.56556
2022-05-11 12:52:32.381819,18230.0,1049584.60331225,20118015825.565517
2022-05-11 12:52:44.561244,18230.0,1049584.60331225,20118015825.565517
2022-05-11 12:52:58.395715,18230.0,1049585.60331225,20118034055.565517
2022-05-11 12:53:12.080628,18230.0,1049585.60331225,20118034055.565517
2022-05-11 12:53:25.290889,18230.0,1049859.87648833,20123034055.565456
2022-05-11 12:53:38.261405,18230.0,1049859.87648833,20123034055.565456
2022-05-11 12:53:51.378542,18200.0,1049908.81612943,20123924841.784927
2022-05-11 12:54:05.101775,18190.0,1049911.27878996,20123969637.579967
2022-05-11 12:54:18.990259,18220.0,1050282.05516664,20130724602.353416
2022-05-11 12:54:32.220350,18200.0,1050314.52234178,20131315467.62471
2022-05-11 12:54:45.432477,18200.0,1050484.23634178,20134403061.63471
2022-05-11 12:54:58.465590,18200.0,1050484.23634178,20134403061.63471
2022-05-11 12:55:11.475167,18200.0,1050486.59634178,20134446013.63471
2022-05-11 12:55:23.717314,18190.0,1050520.08225478,20135055146.15976
2022-05-11 12:55:35.881753,18190.0,1050525.21016433,20135148514.91026
2022-05-11 12:55:49.663288,18190.0,1050525.21016433,20135148514.91026
2022-05-11 12:56:01.949161,18190.0,1050578.05016433,20136109674.510258
2022-05-11 12:56:14.837694,18190.0,1050578.05016433,20136109674.510258
2022-05-11 12:56:27.946122,18190.0,1050578.05016433,20136109674.510258
2022-05-11 12:56:41.181122,18190.0,1050578.05016433,20136109674.510258
2022-05-11 12:56:54.773205,18200.0,1050579.59013605,20136137697.585846
2022-05-11 12:57:07.155840,18200.0,1050579.59013605,20136137697.585846
2022-05-11 12:57:19.783910,18200.0,1050579.59013605,20136137697.585846
2022-05-11 12:57:33.788109,18200.0,1050589.62213604,20136320279.98566
2022-05-11 12:57:47.431230,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:58:01.303920,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:58:13.054117,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:58:25.641038,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:58:37.490665,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:58:49.243815,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:59:01.267352,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:59:13.993868,18190.0,1050644.56719099,20137319730.535202
2022-05-11 12:59:26.365755,18210.0,1050657.16916316,20137549212.448418
2022-05-11 12:59:38.308419,18210.0,1050657.16916316,20137549212.448418
2022-05-11 12:59:50.208897,18210.0,1050657.16916316,20137549212.448418
2022-05-11 13:00:02.120828,18210.0,1050657.16916316,20137549212.448418
2022-05-11 13:00:15.337442,18200.0,1050920.69958041,20142348372.763443
2022-05-11 13:00:27.877372,18180.0,1051180.15655459,20147067410.863777
2022-05-11 13:00:40.909851,18230.0,1051279.45751196,20148876373.60561
2022-05-11 13:00:52.984871,18230.0,1051279.45751196,20148876373.60561
2022-05-11 13:01:05.421421,18230.0,1051279.45751196,20148876373.60561
2022-05-11 13:01:19.194532,18230.0,1051279.45751196,20148876373.60561
2022-05-11 13:01:32.454864,18210.0,1051352.25466477,20150201799.23886
2022-05-11 13:01:44.791615,18210.0,1051352.25466477,20150201799.23886
2022-05-11 13:01:56.891942,18210.0,1051352.25466477,20150201799.23886
2022-05-11 13:02:09.197009,18210.0,1051353.25466477,20150220009.23886
2022-05-11 13:02:20.763974,18210.0,1051353.25466477,20150220009.23886
2022-05-11 13:02:32.331362,18210.0,1051353.25466477,20150220009.23886
2022-05-11 13:02:44.431749,18210.0,1051353.25466477,20150220009.23886
2022-05-11 13:02:55.801229,18250.0,1051843.68389617,20159154644.592655
2022-05-11 13:03:08.518210,18220.0,1051844.87873294,20159176414.518604
2022-05-11 13:03:20.553337,18220.0,1051844.87873294,20159176414.518604
2022-05-11 13:03:32.115888,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:03:43.868264,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:03:55.159898,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:04:06.948717,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:04:18.151046,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:04:30.435368,18220.0,1051850.22413294,20159273807.706604
2022-05-11 13:04:43.131891,18220.0,1051855.37901982,20159367729.74556
2022-05-11 13:04:56.730587,18220.0,1051856.47671466,20159387729.745544
2022-05-11 13:05:08.820666,18220.0,1051903.40145817,20160242698.572296
2022-05-11 13:05:21.440356,18220.0,1051903.40145817,20160242698.572296
2022-05-11 13:05:33.705590,18220.0,1051903.40145817,20160242698.572296
2022-05-11 13:05:46.675966,18240.0,1051910.33997387,20160369203.644665
2022-05-11 13:05:59.648747,18240.0,1051910.33997387,20160369203.644665
2022-05-11 13:06:11.866219,18340.0,1052028.52043705,20162528529.9677
2022-05-11 13:06:23.485742,18340.0,1052028.52043705,20162528529.9677
2022-05-11 13:06:34.736418,18280.0,1052042.52043705,20162784449.9677
2022-05-11 13:06:46.702287,18270.0,1052043.07003705,20162794491.1597
2022-05-11 13:06:58.173443,18270.0,1052043.07003705,20162794491.1597
2022-05-11 13:07:22.610471,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:07:34.326054,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:07:46.350203,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:07:58.394481,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:08:11.251417,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:08:23.748207,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:08:36.341736,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:08:49.214427,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:09:01.893266,18240.0,1052053.93078705,20162992591.2397
2022-05-11 13:09:14.836311,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:09:27.746979,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:09:40.676771,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:09:52.948030,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:10:05.093025,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:10:17.747305,18260.0,1052070.36106593,20163292608.13205
2022-05-11 13:10:30.222680,18260.0,1052072.68734072,20163335085.909714
2022-05-11 13:10:42.622919,18240.0,1052120.15460419,20164201828.954586
2022-05-11 13:10:54.903431,18180.0,1052393.03839214,20169173696.049362
2022-05-11 13:11:08.425887,18180.0,1052393.03839214,20169173696.049362
2022-05-11 13:11:21.483675,18180.0,1052450.31016614,20170214896.90068
2022-05-11 13:11:34.086107,18180.0,1052496.87616614,20171061466.78068
2022-05-11 13:11:46.934645,18180.0,1052703.07938062,20174810241.21993
2022-05-11 13:11:59.059234,18180.0,1052780.93613762,20176225677.062187
2022-05-11 13:12:12.666659,18190.0,1052847.06999561,20177428651.939026
2022-05-11 13:12:26.374201,18190.0,1052847.06999561,20177428651.939026
2022-05-11 13:12:40.683225,18180.0,1052848.69999561,20177458285.339027
2022-05-11 13:12:53.472289,18160.0,1053198.7610077,20183819810.494312
2022-05-11 13:13:08.541084,18150.0,1053424.66345975,20187923559.512497
2022-05-11 13:13:23.182182,18120.0,1053583.4341929,20190804069.18825
2022-05-11 13:13:37.597760,18110.0,1053637.29515735,20191779494.013824
2022-05-11 13:13:50.071689,18100.0,1053642.70641276,20191877437.736744
2022-05-11 13:14:03.458913,18100.0,1053642.70641276,20191877437.736744
2022-05-11 13:14:17.444938,18100.0,1053643.08520063,20191884293.79719
2022-05-11 13:14:31.187682,18110.0,1053643.62603351,20191894088.280647
2022-05-11 13:14:45.080928,18110.0,1053643.62603351,20191894088.280647
2022-05-11 13:14:57.994841,18110.0,1053659.98920641,20192190425.341866
2022-05-11 13:15:11.052163,18110.0,1053703.26239841,20192974102.848988
2022-05-11 13:15:25.864604,18100.0,1053977.83450767,20197946127.84752
2022-05-11 13:15:40.438967,18110.0,1054141.15355614,20200903608.210037
2022-05-11 13:15:54.316422,18200.0,1054620.00455887,20209585171.96148
2022-05-11 13:16:08.264629,18180.0,1054631.03599847,20209785723.533405
2022-05-11 13:16:22.216757,18200.0,1054643.64799847,20210015210.1478
2022-05-11 13:16:35.969033,18200.0,1055043.64799847,20217295210.1478
2022-05-11 13:16:48.985106,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:17:02.449267,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:17:15.954293,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:17:28.728151,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:17:41.315869,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:17:53.849974,18200.0,1055044.19744901,20217305210.14763
2022-05-11 13:18:06.830407,18200.0,1055044.19744901,20217305210.14763
