,price,volume,value
2022-05-11 12:37:59.634719,303.0,57818385.88089545,18126995270.371323
2022-05-11 12:38:13.211128,303.0,57818385.88089545,18126995270.371323
2022-05-11 12:38:25.975694,303.0,57818385.88089545,18126995270.371323
2022-05-11 12:38:39.675870,303.0,57818385.88089545,18126995270.371323
2022-05-11 12:38:52.454348,303.0,57818385.88089545,18126995270.371323
2022-05-11 12:39:05.573821,303.0,57819498.22571314,18127332310.851086
2022-05-11 12:39:18.805087,303.0,57819498.22571314,18127332310.851086
2022-05-11 12:39:31.611542,303.0,57819498.22571314,18127332310.851086
2022-05-11 12:39:44.378228,302.0,57827105.88729115,18129626249.04981
2022-05-11 12:39:56.527897,303.0,57827149.88729115,18129639581.04981
2022-05-11 12:40:07.851839,303.0,57827149.88729115,18129639581.04981
2022-05-11 12:40:19.679080,303.0,57838998.47473218,18133229703.044437
2022-05-11 12:40:33.196298,304.0,57839020.47473218,18133236391.044437
2022-05-11 12:40:45.880988,304.0,57852617.49117954,18137361869.40937
2022-05-11 12:40:58.458456,304.0,57856698.55400848,18138602512.50937
2022-05-11 12:41:11.206850,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:41:24.036545,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:41:37.669328,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:41:49.892077,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:42:01.963999,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:42:15.016307,304.0,57863513.42406218,18140674233.00569
2022-05-11 12:42:27.361098,304.0,57900085.44111574,18151792126.189976
2022-05-11 12:42:39.550018,304.0,57900085.44111574,18151792126.189976
2022-05-11 12:42:52.965666,306.0,57907450.09283719,18154040751.5124
2022-05-11 12:43:07.104279,306.0,57914488.58156267,18156194529.0624
2022-05-11 12:43:20.698769,305.0,57915194.45296453,18156409819.839966
2022-05-11 12:43:33.470830,304.0,58003765.27633285,18183335350.143936
2022-05-11 12:43:46.523872,304.0,58003765.27633285,18183335350.143936
2022-05-11 12:43:58.773062,304.0,58003765.27633285,18183335350.143936
2022-05-11 12:44:11.443497,304.0,58003765.27633285,18183335350.143936
2022-05-11 12:44:24.409676,304.0,58003765.27633285,18183335350.143936
2022-05-11 12:44:36.604879,301.0,58054039.84889362,18198495764.99238
2022-05-11 12:44:49.313671,301.0,58054039.84889362,18198495764.99238
2022-05-11 12:45:02.735898,303.0,58054369.88189692,18198595764.99238
2022-05-11 12:45:15.003115,303.0,58054369.88189692,18198595764.99238
2022-05-11 12:45:26.310123,301.0,58084496.3997077,18207647791.23389
2022-05-11 12:45:39.662885,299.0,58088520.64396999,18208851040.268314
2022-05-11 12:45:52.720545,299.0,58088520.64396999,18208851040.268314
2022-05-11 12:46:05.930643,300.0,58088537.42249348,18208856073.825363
2022-05-11 12:46:19.264373,301.0,58092745.33963534,18210122675.21227
2022-05-11 12:46:32.201100,300.0,58165282.68219108,18231891627.375763
2022-05-11 12:46:46.401453,300.0,58165282.68219108,18231891627.375763
2022-05-11 12:46:59.408797,300.0,58165282.68219108,18231891627.375763
2022-05-11 12:47:12.815009,302.0,58165300.65587529,18231897055.428394
2022-05-11 12:47:26.010319,301.0,58166621.65423573,18232294675.934887
2022-05-11 12:47:39.246675,301.0,58166667.59822204,18232308481.130783
2022-05-11 12:47:52.201037,301.0,58166667.59822204,18232308481.130783
2022-05-11 12:48:05.198189,301.0,58167067.59822204,18232428881.130783
2022-05-11 12:48:18.169932,301.0,58171047.94271092,18233626986.821934
2022-05-11 12:48:31.701656,302.0,58171069.94271092,18233633630.821934
2022-05-11 12:48:45.652572,300.0,58201458.99879741,18242755372.57831
2022-05-11 12:48:58.846875,301.0,58201502.99879741,18242768616.57831
2022-05-11 12:49:11.745600,301.0,58201502.99879741,18242768616.57831
2022-05-11 12:49:24.373366,301.0,58217595.02379741,18247612316.10331
2022-05-11 12:49:37.057651,302.0,58217617.02379741,18247618960.10331
2022-05-11 12:49:50.668183,302.0,58217617.02379741,18247618960.10331
2022-05-11 12:50:03.569569,301.0,58219216.54856851,18248101078.980106
2022-05-11 12:50:16.532646,301.0,58219216.54856851,18248101078.980106
2022-05-11 12:50:30.655972,302.0,58219306.54856851,18248128170.980106
2022-05-11 12:50:43.627333,302.0,58219306.54856851,18248128170.980106
2022-05-11 12:50:57.990963,301.0,58249436.26088027,18257197232.35963
2022-05-11 12:51:10.938970,301.0,58257133.41016004,18259514074.292843
2022-05-11 12:51:25.597630,301.0,58257133.41016004,18259514074.292843
2022-05-11 12:51:38.889733,301.0,58258726.22497957,18259993511.55352
2022-05-11 12:51:51.536597,301.0,58258726.22497957,18259993511.55352
2022-05-11 12:52:05.457103,301.0,58258726.22497957,18259993511.55352
2022-05-11 12:52:18.266974,301.0,58258726.22497957,18259993511.55352
2022-05-11 12:52:31.193572,302.0,58258825.22497957,18260023319.55352
2022-05-11 12:52:43.310012,300.0,58261768.56481397,18260906379.40284
2022-05-11 12:52:56.521814,301.0,58261890.56481397,18260943001.40284
2022-05-11 12:53:10.602183,301.0,58261890.56481397,18260943001.40284
2022-05-11 12:53:23.798799,301.0,58269892.48972261,18263343600.87543
2022-05-11 12:53:36.949883,301.0,58278189.83606604,18265841102.124805
2022-05-11 12:53:50.082173,301.0,58278189.83606604,18265841102.124805
2022-05-11 12:54:03.816737,301.0,58278189.83606604,18265841102.124805
2022-05-11 12:54:17.656864,301.0,58278189.83606604,18265841102.124805
2022-05-11 12:54:31.008231,301.0,58281015.31251203,18266691570.535046
2022-05-11 12:54:44.099902,301.0,58281015.31251203,18266691570.535046
2022-05-11 12:54:57.153655,301.0,58281820.84448208,18266934035.65803
2022-05-11 12:55:10.374517,301.0,58281820.84448208,18266934035.65803
2022-05-11 12:55:22.073087,300.0,58301842.21262162,18272940446.099895
2022-05-11 12:55:34.479826,300.0,58301842.21262162,18272940446.099895
2022-05-11 12:55:48.499385,300.0,58301842.21262162,18272940446.099895
2022-05-11 12:56:00.816040,301.0,58305164.47175783,18273940446.09989
2022-05-11 12:56:13.128895,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:56:26.572025,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:56:39.822622,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:56:53.336974,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:57:05.858518,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:57:18.499437,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:57:32.189335,301.0,58309053.04606809,18275110906.96728
2022-05-11 12:57:46.113665,301.0,58309345.11707451,18275198820.340214
2022-05-11 12:57:59.507171,301.0,58311141.54966405,18275739546.549664
2022-05-11 12:58:11.861887,301.0,58311945.58950459,18275981562.541668
2022-05-11 12:58:24.178513,301.0,58313945.58950459,18276583562.541668
2022-05-11 12:58:36.390234,301.0,58313945.58950459,18276583562.541668
2022-05-11 12:58:48.036707,300.0,58334542.23038827,18282762554.80677
2022-05-11 12:59:00.132612,297.0,58468417.23038827,18322640594.03715
2022-05-11 12:59:12.610194,297.0,58468482.23038827,18322659899.03715
2022-05-11 12:59:25.261363,298.0,58482408.74712989,18326810001.026157
