,price,volume,value
2022-05-11 12:37:56.978668,744.0,58076798.4469695,44440984739.43067
2022-05-11 12:38:10.130903,744.0,58079214.7369695,44442782459.190674
2022-05-11 12:38:23.314729,744.0,58084308.22052386,44446570010.95512
2022-05-11 12:38:36.854040,744.0,58084585.36652386,44446776207.57912
2022-05-11 12:38:49.905492,744.0,58084862.57152386,44446982448.09911
2022-05-11 12:39:03.001462,744.0,58085484.26482494,44447444920.710815
2022-05-11 12:39:16.179435,744.0,58087105.15284644,44448650861.39881
2022-05-11 12:39:28.990462,744.0,58092187.22370512,44452431922.117676
2022-05-11 12:39:41.698946,744.0,58092821.25930512,44452903644.60407
2022-05-11 12:39:54.319503,745.0,58093144.90130512,44453144757.89407
2022-05-11 12:40:05.602425,745.0,58093144.90130512,44453144757.89407
2022-05-11 12:40:17.089110,744.0,58093471.7872866,44453388046.64554
2022-05-11 12:40:30.592733,744.0,58094506.48364809,44454157860.73849
2022-05-11 12:40:43.200897,744.0,58100761.79687146,44458816947.576675
2022-05-11 12:40:56.134942,744.0,58108540.47287146,44464606819.57167
2022-05-11 12:41:08.407790,742.0,58130337.22122251,44480787626.869606
2022-05-11 12:41:21.257474,742.0,58146922.70255191,44493109639.66285
2022-05-11 12:41:34.584632,743.0,58147719.79265958,44493701807.61285
2022-05-11 12:41:47.323627,742.0,58149078.48831175,44494709959.78676
2022-05-11 12:41:59.512900,742.0,58149078.48831175,44494709959.78676
2022-05-11 12:42:12.423606,743.0,58149442.03331175,44494980073.721756
2022-05-11 12:42:24.974183,743.0,58149442.03331175,44494980073.721756
2022-05-11 12:42:37.097887,743.0,58149442.03331175,44494980073.721756
2022-05-11 12:42:49.421284,743.0,58152219.09743287,44497043432.363754
2022-05-11 12:43:04.576359,743.0,58152219.09743287,44497043432.363754
2022-05-11 12:43:17.840521,743.0,58152219.09743287,44497043432.363754
2022-05-11 12:43:30.796224,742.0,58153421.02322733,44497936294.63312
2022-05-11 12:43:44.118903,742.0,58153421.02322733,44497936294.63312
2022-05-11 12:43:56.399792,742.0,58153421.02322733,44497936294.63312
2022-05-11 12:44:09.170936,742.0,58157081.66027273,44500652487.32081
2022-05-11 12:44:22.050583,742.0,58168334.94527273,44509002424.79081
2022-05-11 12:44:34.142631,742.0,58172001.10527273,44511722715.5108
2022-05-11 12:44:46.670184,742.0,58172001.10527273,44511722715.5108
2022-05-11 12:44:59.909246,742.0,58172001.10527273,44511722715.5108
2022-05-11 12:45:12.545203,742.0,58172001.10527273,44511722715.5108
2022-05-11 12:45:24.043267,740.0,58175852.45662409,44514573920.51973
2022-05-11 12:45:36.797597,739.0,58178765.62572006,44516728125.447586
2022-05-11 12:45:50.305487,739.0,58178765.62572006,44516728125.447586
2022-05-11 12:46:03.436895,737.0,58183842.77406644,44520472086.41243
2022-05-11 12:46:16.649475,736.0,58184266.37821865,44520783859.06845
2022-05-11 12:46:29.529072,736.0,58184604.88777279,44521033002.1003
2022-05-11 12:46:43.826228,737.0,58189671.08777279,44524766791.500305
2022-05-11 12:46:56.832556,737.0,58189671.08777279,44524766791.500305
2022-05-11 12:47:10.298843,737.0,58189691.08777279,44524781531.500305
2022-05-11 12:47:23.241082,737.0,58189691.08777279,44524781531.500305
2022-05-11 12:47:36.802704,736.0,58195694.8573495,44529200305.90876
2022-05-11 12:47:49.443647,736.0,58197670.62569188,44530654471.40875
2022-05-11 12:48:02.852748,736.0,58200427.42813753,44532683478.00875
2022-05-11 12:48:15.813049,735.0,58205955.76893138,44536746808.49223
2022-05-11 12:48:29.161599,733.0,58249241.50978663,44568486507.40044
2022-05-11 12:48:43.051776,733.0,58253604.4312228,44571684528.81315
2022-05-11 12:48:56.372324,734.0,58253680.4312228,44571740312.81315
2022-05-11 12:49:09.144732,734.0,58254390.4312228,44572261452.81315
2022-05-11 12:49:21.762918,734.0,58254690.4312228,44572481652.81315
2022-05-11 12:49:34.673262,734.0,58254690.4312228,44572481652.81315
2022-05-11 12:49:47.778738,735.0,58254708.58407197,44572494995.15729
2022-05-11 12:50:01.082481,735.0,58254708.58407197,44572494995.15729
2022-05-11 12:50:14.043923,735.0,58254708.58407197,44572494995.15729
