,price,volume,value
2022-05-11 12:37:51.578167,345.0,31713131.89916282,11206480018.505108
2022-05-11 12:38:04.093257,345.0,31713131.89916282,11206480018.505108
2022-05-11 12:38:17.818741,345.0,31713131.89916282,11206480018.505108
2022-05-11 12:38:30.705126,345.0,31713131.89916282,11206480018.505108
2022-05-11 12:38:44.116980,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:38:57.275283,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:39:10.360886,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:39:23.260974,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:39:36.080161,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:39:48.821362,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:40:00.386429,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:40:11.933049,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:40:24.454891,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:40:37.311087,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:40:50.491744,345.0,31719134.41436282,11208550886.249107
2022-05-11 12:41:02.784988,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:41:15.681273,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:41:28.556122,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:41:42.047688,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:41:54.110570,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:42:06.906079,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:42:19.366692,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:42:31.728333,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:42:43.695260,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:42:58.968903,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:43:11.882399,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:43:25.035516,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:43:38.351968,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:43:50.487044,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:44:03.256766,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:44:16.482116,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:44:28.697309,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:44:40.911423,344.0,31733996.2022903,11213663341.29616
2022-05-11 12:44:53.840900,344.0,31742032.62661605,11216427871.264217
2022-05-11 12:45:06.813026,344.0,31742032.62661605,11216427871.264217
2022-05-11 12:45:18.967155,344.0,31742032.62661605,11216427871.264217
2022-05-11 12:45:31.140840,344.0,31742032.62661605,11216427871.264217
2022-05-11 12:45:44.151309,344.0,31742032.62661605,11216427871.264217
2022-05-11 12:45:57.566807,345.0,31742902.19183344,11216727871.264217
2022-05-11 12:46:10.705636,345.0,31742902.19183344,11216727871.264217
2022-05-11 12:46:23.807062,345.0,31742902.19183344,11216727871.264217
2022-05-11 12:46:36.856576,345.0,31742902.19183344,11216727871.264217
2022-05-11 12:46:50.797737,345.0,31742902.19183344,11216727871.264217
2022-05-11 12:47:04.226094,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:47:17.277496,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:47:30.641797,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:47:43.777291,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:47:57.170871,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:48:10.111445,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:48:22.954795,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:48:36.461550,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:48:50.714780,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:49:03.123009,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:49:15.968875,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:49:28.673113,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:49:41.699234,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:49:55.239431,344.0,31743464.19183344,11216921199.264217
2022-05-11 12:50:07.922306,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:50:21.502129,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:50:35.313590,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:50:48.803109,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:51:02.227547,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:51:15.931826,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:51:30.136762,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:51:43.366731,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:51:56.128495,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:52:09.562776,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:52:22.711320,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:52:35.793927,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:52:48.081284,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:53:02.508748,344.0,31743464.41072399,11216921274.562567
2022-05-11 12:53:15.524443,343.0,31749545.8732924,11219007216.223532
2022-05-11 12:53:28.308809,342.0,31752050.36334389,11219866197.831661
2022-05-11 12:53:41.528233,342.0,31752050.36334389,11219866197.831661
2022-05-11 12:53:54.702854,342.0,31752050.36334389,11219866197.831661
2022-05-11 12:54:08.843744,342.0,31752050.36334389,11219866197.831661
2022-05-11 12:54:22.279850,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:54:35.915042,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:54:48.869678,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:55:01.809135,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:55:14.298229,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:55:26.542349,342.0,31752182.6677994,11219911445.955444
2022-05-11 12:55:39.897406,342.0,31752182.6677994,11219911445.955444
