,price,volume,value
2022-05-11 12:37:50.481925,402.0,56333421.19246947,23865778789.415596
2022-05-11 12:38:03.177909,402.0,56333421.19246947,23865778789.415596
2022-05-11 12:38:17.038657,402.0,56334140.25739743,23866067853.516636
2022-05-11 12:38:29.871299,402.0,56334140.25739743,23866067853.516636
2022-05-11 12:38:43.222172,403.0,56334388.39635524,23866167853.516632
2022-05-11 12:38:56.427912,403.0,56334388.39635524,23866167853.516632
2022-05-11 12:39:09.079266,403.0,56335141.30526058,23866471275.805485
2022-05-11 12:39:22.413360,403.0,56335141.30526058,23866471275.805485
2022-05-11 12:39:35.264435,403.0,56355970.0100149,23874865243.821476
2022-05-11 12:39:47.871640,403.0,56355970.0100149,23874865243.821476
2022-05-11 12:39:59.643477,403.0,56358683.64076171,23875958837.01244
2022-05-11 12:40:11.129712,403.0,56358683.64076171,23875958837.01244
2022-05-11 12:40:23.337586,403.0,56358683.64076171,23875958837.01244
2022-05-11 12:40:36.478324,403.0,56359721.64076171,23876377169.01244
2022-05-11 12:40:49.673354,403.0,56366251.20246375,23879011756.895065
2022-05-11 12:41:01.922195,404.0,56366351.20246375,23879052156.895065
2022-05-11 12:41:14.897443,404.0,56366351.20246375,23879052156.895065
2022-05-11 12:41:27.693381,403.0,56366711.19787326,23879197235.045097
2022-05-11 12:41:41.155893,403.0,56366711.19787326,23879197235.045097
2022-05-11 12:41:53.279320,403.0,56366711.19787326,23879197235.045097
2022-05-11 12:42:05.770859,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:42:18.581084,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:42:30.986452,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:42:42.878667,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:42:58.118945,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:43:10.825124,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:43:24.140967,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:43:37.433707,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:43:49.729049,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:44:02.382057,403.0,56366741.19787326,23879209325.045097
2022-05-11 12:44:15.511823,403.0,56367472.19787326,23879503918.045097
2022-05-11 12:44:27.773240,403.0,56368856.19787326,23880061670.045097
2022-05-11 12:44:39.914824,403.0,56369853.19787326,23880463461.045097
2022-05-11 12:44:52.936943,403.0,56369885.60717326,23880476521.992996
2022-05-11 12:45:06.046053,403.0,56369885.60717326,23880476521.992996
2022-05-11 12:45:18.197712,403.0,56369885.60717326,23880476521.992996
2022-05-11 12:45:30.278535,403.0,56372375.60717326,23881479991.992996
2022-05-11 12:45:43.308666,403.0,56372375.60717326,23881479991.992996
2022-05-11 12:45:56.615740,403.0,56372375.60717326,23881479991.992996
2022-05-11 12:46:09.908259,403.0,56372841.60717326,23881667789.992996
2022-05-11 12:46:22.689265,403.0,56375464.60717326,23882724858.992996
2022-05-11 12:46:36.054378,403.0,56376315.60617326,23883067811.589996
2022-05-11 12:46:49.867467,403.0,56376315.60617326,23883067811.589996
2022-05-11 12:47:03.366196,403.0,56376315.60617326,23883067811.589996
2022-05-11 12:47:16.157403,403.0,56376315.60617326,23883067811.589996
2022-05-11 12:47:29.601963,403.0,56376315.60617326,23883067811.589996
2022-05-11 12:47:42.874099,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:47:56.174515,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:48:09.370059,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:48:21.897463,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:48:35.598603,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:48:49.567633,403.0,56376788.60617326,23883258430.589996
2022-05-11 12:49:02.305791,403.0,56376832.27429553,23883276028.843273
2022-05-11 12:49:15.156046,403.0,56376832.27429553,23883276028.843273
2022-05-11 12:49:27.722856,403.0,56378579.27329553,23883980069.440273
2022-05-11 12:49:40.805845,403.0,56378579.27329553,23883980069.440273
2022-05-11 12:49:54.335359,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:50:06.984543,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:50:20.596432,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:50:34.392887,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:50:47.701813,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:51:01.306288,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:51:14.934759,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:51:29.250183,403.0,56379945.27329553,23884530567.440273
2022-05-11 12:51:42.309724,403.0,56382283.21896444,23885472759.54484
2022-05-11 12:51:55.311548,403.0,56382283.21896444,23885472759.54484
2022-05-11 12:52:08.808106,403.0,56382283.21896444,23885472759.54484
2022-05-11 12:52:21.926755,403.0,56382283.21896444,23885472759.54484
2022-05-11 12:52:34.483345,403.0,56382283.21896444,23885472759.54484
2022-05-11 12:52:47.176414,403.0,56382531.35792225,23885572759.54484
