,price,volume,value
2022-05-11 12:37:58.749210,755.0,19004461.02199022,15023072313.051498
2022-05-11 12:38:11.723358,755.0,19004735.52099022,15023279559.796497
2022-05-11 12:38:24.993159,755.0,19005468.9591882,15023833305.635973
2022-05-11 12:38:38.771616,755.0,19005743.4581882,15024040552.380972
2022-05-11 12:38:51.428589,755.0,19006292.4561882,15024455045.870974
2022-05-11 12:39:04.666088,755.0,19006566.9551882,15024662292.615973
2022-05-11 12:39:17.943790,755.0,19006840.9551882,15024869162.615973
2022-05-11 12:39:30.823953,755.0,19007115.4541882,15025076409.360973
2022-05-11 12:39:43.425671,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:39:55.789796,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:40:07.111271,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:40:18.829916,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:40:32.286460,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:40:44.941030,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:40:57.672382,755.0,19007775.13851765,15025573968.340612
2022-05-11 12:41:10.225153,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:41:23.144531,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:41:36.657015,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:41:48.870405,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:42:01.101987,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:42:13.899537,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:42:26.546043,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:42:38.669727,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:42:51.189864,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:43:06.243328,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:43:19.655886,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:43:32.655529,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:43:45.719986,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:43:57.987094,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:44:10.698241,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:44:23.652051,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:44:35.788166,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:44:48.438617,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:45:01.861819,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:45:14.144678,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:45:25.496572,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:45:38.697039,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:45:51.920514,754.0,19008817.78051765,15026360120.408611
2022-05-11 12:46:05.083315,754.0,19012408.00221275,15029067147.566717
2022-05-11 12:46:18.238125,754.0,19015100.66848408,15031097417.935299
2022-05-11 12:46:31.175711,754.0,19015100.66848408,15031097417.935299
2022-05-11 12:46:45.480499,754.0,19017611.11261828,15032990292.812487
2022-05-11 12:46:58.338893,753.0,19018842.42215781,15033917468.895752
2022-05-11 12:47:12.001437,752.0,19018991.01251805,15034029208.846653
2022-05-11 12:47:25.116815,752.0,19018991.01251805,15034029208.846653
2022-05-11 12:47:38.447244,752.0,19018991.01251805,15034029208.846653
2022-05-11 12:47:51.389689,752.0,19018991.01251805,15034029208.846653
2022-05-11 12:48:04.428393,752.0,19018991.01251805,15034029208.846653
2022-05-11 12:48:17.415062,752.0,19018998.93854182,15034035169.216528
2022-05-11 12:48:30.780083,753.0,19019047.6751952,15034071867.916523
2022-05-11 12:48:44.775654,753.0,19019587.32873804,15034477895.030743
2022-05-11 12:48:58.076588,752.0,19019865.2288821,15034686875.939075
2022-05-11 12:49:10.763594,752.0,19020004.10986614,15034791314.439074
2022-05-11 12:49:23.317215,752.0,19020558.87012961,15035208494.157202
2022-05-11 12:49:36.272372,753.0,19020727.33829638,15035335313.640924
2022-05-11 12:49:49.820245,753.0,19022371.27525286,15036573198.169153
2022-05-11 12:50:02.665340,753.0,19022371.27525286,15036573198.169153
2022-05-11 12:50:15.687387,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:50:29.795518,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:50:42.675984,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:50:57.058409,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:51:10.020027,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:51:24.390338,753.0,19023276.07980485,15037254063.067242
2022-05-11 12:51:38.119070,752.0,19023301.15108144,15037272916.667238
2022-05-11 12:51:50.598609,752.0,19023412.54410004,15037356684.217226
2022-05-11 12:52:04.386967,752.0,19023469.63386067,15037399615.717218
2022-05-11 12:52:17.196663,752.0,19023469.63386067,15037399615.717218
2022-05-11 12:52:30.242527,751.0,19026608.72588499,15039757073.827484
2022-05-11 12:52:42.526400,751.0,19026608.72588499,15039757073.827484
2022-05-11 12:52:55.452381,750.0,19027207.55934494,15040206212.238026
2022-05-11 12:53:09.801974,750.0,19027220.89267827,15040216212.238022
2022-05-11 12:53:22.877056,749.0,19036264.37248325,15046989778.611952
2022-05-11 12:53:36.086732,749.0,19049690.24873679,15057045759.925854
2022-05-11 12:53:49.206768,748.0,19050090.78278219,15057345359.391813
2022-05-11 12:54:02.686583,748.0,19050090.78278219,15057345359.391813
2022-05-11 12:54:16.690878,749.0,19050121.51656056,15057368378.991812
2022-05-11 12:54:29.965444,747.0,19059349.337386,15064268481.221909
2022-05-11 12:54:43.253687,748.0,19059472.45730577,15064360574.921896
2022-05-11 12:54:56.202575,747.0,19065484.18947707,15068851338.853857
2022-05-11 12:55:09.422031,747.0,19065617.63177961,15068951020.253855
2022-05-11 12:55:21.303393,747.0,19065649.19041414,15068974594.553848
2022-05-11 12:55:33.376736,747.0,19065649.19041414,15068974594.553848
2022-05-11 12:55:47.641263,745.0,19081313.30065666,15080651863.294016
2022-05-11 12:55:59.971551,745.0,19081420.07313988,15080731408.794016
2022-05-11 12:56:12.160372,744.0,19088146.56747248,15085734027.792725
2022-05-11 12:56:25.743766,744.0,19092612.18008046,15089056443.573063
2022-05-11 12:56:39.006802,744.0,19095576.37428038,15091261804.057802
2022-05-11 12:56:52.448857,743.0,19098407.65360354,15093365444.59491
2022-05-11 12:57:04.979035,743.0,19098943.98205623,15093764465.79628
2022-05-11 12:57:17.625505,744.0,19107087.0180651,15099822884.58688
2022-05-11 12:57:31.256789,744.0,19107096.76722277,15099830137.960186
2022-05-11 12:57:45.282148,744.0,19108440.85324427,15100830137.960182
2022-05-11 12:57:58.725366,744.0,19108440.85324427,15100830137.960182
2022-05-11 12:58:10.986841,744.0,19108440.85324427,15100830137.960182
2022-05-11 12:58:23.346226,744.0,19109514.82434642,15101629172.460182
2022-05-11 12:58:35.606668,744.0,19109514.82434642,15101629172.460182
2022-05-11 12:58:59.330071,744.0,19113745.64710707,15104776904.594105
2022-05-11 12:59:11.646982,744.0,19115621.32754642,15106172410.840982
2022-05-11 12:59:24.388780,744.0,19115688.49826213,15106222385.85347
2022-05-11 12:59:36.270284,744.0,19115710.49826213,15106238753.85347
2022-05-11 12:59:48.338253,744.0,19117389.93408184,15107488254.103334
2022-05-11 13:00:00.111655,744.0,19117389.93408184,15107488254.103334
2022-05-11 13:00:13.267878,744.0,19117757.02715979,15107761371.353329
2022-05-11 13:00:25.541624,743.0,19118757.02715979,15108504371.353329
2022-05-11 13:00:38.666273,743.0,19118757.02715979,15108504371.353329
2022-05-11 13:00:51.023109,743.0,19120102.92217998,15109504371.35333
2022-05-11 13:01:02.964283,743.0,19120102.92217998,15109504371.35333
2022-05-11 13:01:16.673711,743.0,19120102.92217998,15109504371.35333
2022-05-11 13:01:30.326211,743.0,19120102.92217998,15109504371.35333
2022-05-11 13:01:42.815928,744.0,19159743.55520265,15138997002.322197
2022-05-11 13:01:54.525646,744.0,19159743.55520265,15138997002.322197
2022-05-11 13:02:07.071866,744.0,19159743.55520265,15138997002.322197
2022-05-11 13:02:18.638079,744.0,19159743.55520265,15138997002.322197
2022-05-11 13:02:30.251223,746.0,19159814.62209273,15139050018.222197
2022-05-11 13:02:42.411139,746.0,19160814.62209273,15139796018.222197
2022-05-11 13:02:53.827326,746.0,19160814.62209273,15139796018.222197
2022-05-11 13:03:06.597344,745.0,19161014.28914977,15139944770.179691
2022-05-11 13:03:18.327242,745.0,19161014.28914977,15139944770.179691
2022-05-11 13:03:30.218677,746.0,19161100.37467255,15140008989.979591
2022-05-11 13:03:41.728236,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:03:53.234573,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:04:04.868425,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:04:16.252750,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:04:28.117362,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:04:40.677520,746.0,19163100.37467255,15141500989.979591
2022-05-11 13:04:54.620533,744.0,19167229.12903348,15144581058.226393
2022-05-11 13:05:06.396386,744.0,19167229.12903348,15144581058.226393
2022-05-11 13:05:19.180362,744.0,19167229.12903348,15144581058.226393
2022-05-11 13:05:31.293467,744.0,19167229.12903348,15144581058.226393
2022-05-11 13:05:44.399264,747.0,19167306.49021152,15144638847.026388
2022-05-11 13:05:57.357850,747.0,19167383.84362517,15144696630.026384
2022-05-11 13:06:09.732894,746.0,19167706.95656082,15144937672.27638
2022-05-11 13:06:21.526525,746.0,19167914.61741872,15145092587.276373
2022-05-11 13:06:32.865553,746.0,19169250.00870431,15146088789.175425
2022-05-11 13:06:44.451738,746.0,19169250.00870431,15146088789.175425
2022-05-11 13:06:56.172066,746.0,19169250.00870431,15146088789.175425
2022-05-11 13:07:08.126336,746.0,19169250.00870431,15146088789.175425
2022-05-11 13:07:20.305523,746.0,19169316.14627044,15146138127.799757
2022-05-11 13:07:44.070146,746.0,19173418.91353003,15149198792.175411
2022-05-11 13:07:56.315835,746.0,19173418.91353003,15149198792.175411
2022-05-11 13:08:09.222864,746.0,19173418.91353003,15149198792.175411
2022-05-11 13:08:21.561652,745.0,19174224.21557698,15149798742.200388
2022-05-11 13:08:34.080931,745.0,19174236.29007664,15149807737.702635
2022-05-11 13:08:46.845184,745.0,19174323.65165564,15149872822.07899
2022-05-11 13:08:59.765590,745.0,19174323.65165564,15149872822.07899
2022-05-11 13:09:12.636384,746.0,19179237.69597396,15153538699.140457
2022-05-11 13:09:25.471186,746.0,19179237.69597396,15153538699.140457
2022-05-11 13:09:38.275921,746.0,19179237.69597396,15153538699.140457
2022-05-11 13:09:50.699792,746.0,19179350.11889621,15153622566.640455
2022-05-11 13:10:02.758259,746.0,19179425.82964523,15153679046.859224
2022-05-11 13:10:15.713141,746.0,19179425.82964523,15153679046.859224
2022-05-11 13:10:27.816224,748.0,19186810.22599195,15159202575.32657
2022-05-11 13:10:40.450798,748.0,19186810.22599195,15159202575.32657
2022-05-11 13:10:52.659031,748.0,19192285.52891892,15163301021.890577
2022-05-11 13:11:06.104585,749.0,19193248.11264506,15164021997.101456
2022-05-11 13:11:19.181637,749.0,19193248.11264506,15164021997.101456
2022-05-11 13:11:31.872363,749.0,19193248.11264506,15164021997.101456
2022-05-11 13:11:44.539533,749.0,19195743.6035273,15165891119.772253
2022-05-11 13:11:56.824819,749.0,19195743.6035273,15165891119.772253
2022-05-11 13:12:10.131128,748.0,19195813.51342034,15165943412.372248
2022-05-11 13:12:24.176436,748.0,19196218.94439986,15166246414.172237
2022-05-11 13:12:38.090014,746.0,19196285.37149996,15166295968.788912
2022-05-11 13:12:51.213433,747.0,19196392.29753744,15166375842.53891
2022-05-11 13:13:05.194405,747.0,19196926.47340398,15166774871.911215
2022-05-11 13:13:20.753934,747.0,19197272.59235788,15167033422.76978
2022-05-11 13:13:35.096645,747.0,19197272.59235788,15167033422.76978
2022-05-11 13:13:48.067793,747.0,19197272.59235788,15167033422.76978
2022-05-11 13:14:01.061508,742.0,19206822.86690766,15174125536.76013
2022-05-11 13:14:14.949883,742.0,19207469.8601691,15174605605.760118
2022-05-11 13:14:28.354947,742.0,19207469.8601691,15174605605.760118
2022-05-11 13:14:42.818741,741.0,19210795.93012868,15177070223.600168
2022-05-11 13:14:55.936356,741.0,19212059.63902996,15178006631.896015
2022-05-11 13:15:08.910984,741.0,19212313.62054143,15178194832.196014
2022-05-11 13:15:23.306273,741.0,19213021.10637138,15178718447.196009
2022-05-11 13:15:37.530559,741.0,19213087.2592774,15178767466.499369
2022-05-11 13:15:51.860593,741.0,19213087.2592774,15178767466.499369
2022-05-11 13:16:05.810880,740.0,19215529.24087755,15180575415.35857
2022-05-11 13:16:19.610317,742.0,19216416.00500479,15181232514.576857
2022-05-11 13:16:33.210244,742.0,19220465.57698967,15184237296.989637
2022-05-11 13:16:46.602335,742.0,19220465.57698967,15184237296.989637
2022-05-11 13:17:00.219916,742.0,19221813.28588454,15185237296.98963
2022-05-11 13:17:13.138027,742.0,19223080.63873102,15186177672.801718
2022-05-11 13:17:26.426975,742.0,19223080.63873102,15186177672.801718
2022-05-11 13:17:39.284225,741.0,19227272.87074078,15189284262.189995
2022-05-11 13:17:51.545718,742.0,19229980.74610206,15191290804.832703
2022-05-11 13:18:04.494104,742.0,19229980.74610206,15191290804.832703
2022-05-11 13:18:17.895902,742.0,19230440.3997769,15191631867.859434
2022-05-11 13:18:30.556559,742.0,19230615.35462865,15191761684.359434
2022-05-11 13:18:44.135994,742.0,19230615.35462865,15191761684.359434
