,price,volume,value
2022-05-11 12:37:50.136925,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:38:02.877900,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:38:16.738193,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:38:29.494460,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:38:42.905564,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:38:56.034641,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:39:08.718987,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:39:22.097105,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:39:34.977061,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:39:47.509540,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:39:59.369886,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:40:10.829012,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:40:22.957096,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:40:36.175422,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:40:49.341739,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:41:01.620289,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:41:14.547708,12120.0,2657375.77685873,37033376759.439156
2022-05-11 12:41:27.389533,12110.0,2657376.19781832,37033381857.25979
2022-05-11 12:41:40.870992,12110.0,2657376.19781832,37033381857.25979
2022-05-11 12:41:52.962488,12110.0,2657376.19781832,37033381857.25979
2022-05-11 12:42:05.469028,12110.0,2657376.19781832,37033381857.25979
2022-05-11 12:42:18.248852,12090.0,2657376.61877791,37033386946.66123
2022-05-11 12:42:30.578495,12090.0,2657376.61877791,37033386946.66123
2022-05-11 12:42:42.592220,12090.0,2657376.61877791,37033386946.66123
2022-05-11 12:42:57.799239,12090.0,2657376.61877791,37033386946.66123
2022-05-11 12:43:10.493427,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:43:23.794293,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:43:37.037235,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:43:49.442825,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:44:02.064875,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:44:15.225612,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:44:27.467861,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:44:39.581436,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:44:52.603851,12090.0,2657432.10955541,37034057830.16121
2022-05-11 12:45:05.728144,12050.0,2657449.48955541,37034267259.16121
2022-05-11 12:45:17.910513,12050.0,2657451.48955541,37034291359.16121
2022-05-11 12:45:29.992129,12050.0,2657453.48955541,37034315459.16121
2022-05-11 12:45:42.991395,12050.0,2657453.48955541,37034315459.16121
2022-05-11 12:45:56.282454,12020.0,2657690.97864856,37037166901.6646
2022-05-11 12:46:09.635662,12090.0,2657699.24994715,37037266901.66455
2022-05-11 12:46:22.358368,12090.0,2657699.24994715,37037266901.66455
2022-05-11 12:46:35.691715,12090.0,2657699.24994715,37037266901.66455
2022-05-11 12:46:49.567471,12090.0,2657699.24994715,37037266901.66455
2022-05-11 12:47:03.033072,12050.0,2657699.72924819,37037272677.24208
2022-05-11 12:47:15.886019,12050.0,2657699.72924819,37037272677.24208
2022-05-11 12:47:29.269241,12050.0,2657699.72924819,37037272677.24208
2022-05-11 12:47:42.466905,12050.0,2657699.72924819,37037272677.24208
2022-05-11 12:47:55.874025,12050.0,2657699.72924819,37037272677.24208
2022-05-11 12:48:09.007066,12050.0,2657700.72924819,37037284727.24208
2022-05-11 12:48:21.611466,12050.0,2657700.72924819,37037284727.24208
2022-05-11 12:48:35.206371,12010.0,2657710.97928992,37037407830.243256
2022-05-11 12:48:49.146092,12050.0,2657741.59675889,37037776361.62733
2022-05-11 12:49:01.881745,12050.0,2657762.44339576,37038026956.58543
2022-05-11 12:49:14.854195,12040.0,2657782.73852526,37038270732.71663
2022-05-11 12:49:27.375652,12040.0,2657782.73852526,37038270732.71663
2022-05-11 12:49:40.354871,12040.0,2657782.73852526,37038270732.71663
2022-05-11 12:49:53.956744,12040.0,2657795.95463985,37038429854.73629
2022-05-11 12:50:06.697004,12040.0,2657805.29914022,37038542362.520744
2022-05-11 12:50:20.218395,12040.0,2657805.29914022,37038542362.520744
2022-05-11 12:50:34.030505,12040.0,2657805.29914022,37038542362.520744
2022-05-11 12:50:47.355339,12040.0,2657805.29914022,37038542362.520744
2022-05-11 12:51:00.916599,12050.0,2657855.29914022,37039144862.520744
2022-05-11 12:51:14.558078,12050.0,2657855.29914022,37039144862.520744
2022-05-11 12:51:28.845515,12050.0,2657855.29914022,37039144862.520744
2022-05-11 12:51:41.979306,12050.0,2657855.29914022,37039144862.520744
2022-05-11 12:51:55.024704,12040.0,2657858.445466,37039182744.283134
2022-05-11 12:52:08.383529,12040.0,2657858.445466,37039182744.283134
2022-05-11 12:52:21.594097,12040.0,2657882.77513707,37039475673.52282
2022-05-11 12:52:34.166697,12040.0,2657882.77513707,37039475673.52282
2022-05-11 12:52:46.874672,12040.0,2657892.55813707,37039593460.84282
2022-05-11 12:53:01.190343,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:53:14.179728,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:53:27.205908,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:53:40.248205,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:53:53.267989,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:54:07.245597,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:54:20.982252,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:54:34.315220,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:54:47.347919,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:55:00.597901,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:55:13.195525,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:55:25.482377,12040.0,2657916.29500366,37039879252.71656
2022-05-11 12:55:38.459410,11990.0,2657918.29500366,37039903232.71656
2022-05-11 12:55:51.443323,11990.0,2657919.96170934,37039923216.51767
2022-05-11 12:56:04.051489,11990.0,2657919.96170934,37039923216.51767
2022-05-11 12:56:16.772161,11990.0,2657919.96170934,37039923216.51767
2022-05-11 12:56:29.669762,11990.0,2657919.96170934,37039923216.51767
