,price,volume,value
2022-05-11 12:37:52.163671,10.5,1657732237.0273983,17435226829.719936
2022-05-11 12:38:04.876816,10.5,1657732237.0273983,17435226829.719936
2022-05-11 12:38:18.494412,10.5,1657732237.0273983,17435226829.719936
2022-05-11 12:38:31.352001,10.5,1658249012.7730207,17440601347.474407
2022-05-11 12:38:44.705541,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:38:57.969894,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:39:11.238171,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:39:24.124742,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:39:36.699126,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:39:49.469511,10.5,1658249513.0250208,17440606600.120407
2022-05-11 12:40:00.943466,10.5,1658253858.3761547,17440652226.307312
2022-05-11 12:40:12.553850,10.5,1658253858.3761547,17440652226.307312
2022-05-11 12:40:25.135849,10.5,1658253858.3761547,17440652226.307312
2022-05-11 12:40:37.945098,10.5,1658253858.3761547,17440652226.307312
2022-05-11 12:40:51.183463,10.5,1658253858.3761547,17440652226.307312
2022-05-11 12:41:03.372162,10.5,1658258050.8523452,17440696247.307312
2022-05-11 12:41:16.285270,10.5,1658258050.8523452,17440696247.307312
2022-05-11 12:41:29.219780,10.5,1658258050.8523452,17440696247.307312
2022-05-11 12:41:42.669050,10.5,1658258050.8523452,17440696247.307312
2022-05-11 12:41:54.760604,10.5,1658258050.8523452,17440696247.307312
2022-05-11 12:42:07.601596,10.4,1658261043.3273451,17440727369.047314
2022-05-11 12:42:20.003166,10.4,1658803253.6582139,17446366356.488346
2022-05-11 12:42:44.391069,10.4,1658803741.917214,17446371434.381947
2022-05-11 12:42:59.721940,10.4,1658804243.8822138,17446376654.817947
2022-05-11 12:43:12.635647,10.4,1658804243.8822138,17446376654.817947
2022-05-11 12:43:25.668531,10.4,1658804243.8822138,17446376654.817947
2022-05-11 12:43:39.183659,10.4,1658804243.8822138,17446376654.817947
2022-05-11 12:43:51.090568,10.4,1658804243.8822138,17446376654.817947
2022-05-11 12:44:03.935814,10.4,1658804743.0272138,17446381845.92595
2022-05-11 12:44:17.284391,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:44:29.317261,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:44:41.561947,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:44:54.474915,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:45:07.635202,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:45:19.542644,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:45:32.016044,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:45:44.739808,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:45:58.212668,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:46:11.370468,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:46:24.518598,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:46:37.614652,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:46:51.413606,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:47:05.010935,10.4,1658805245.881214,17446387075.607548
2022-05-11 12:47:17.986931,10.3,1658812438.3574042,17446461158.11231
2022-05-11 12:47:31.352570,10.4,1658976399.895866,17448166358.11231
2022-05-11 12:47:44.441093,10.4,1658976900.1478658,17448171560.73311
2022-05-11 12:47:57.911615,10.4,1658976900.1478658,17448171560.73311
2022-05-11 12:48:10.684777,10.4,1659142380.5324812,17449892556.73311
2022-05-11 12:48:23.739144,10.4,1659142380.5324812,17449892556.73311
2022-05-11 12:48:37.095097,10.4,1659142380.5324812,17449892556.73311
2022-05-11 12:48:51.408874,10.4,1659142380.5324812,17449892556.73311
2022-05-11 12:49:03.804198,10.4,1659142380.5324812,17449892556.73311
2022-05-11 12:49:16.574941,10.4,1659142880.5324812,17449897756.73311
2022-05-11 12:49:29.337882,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:49:42.376200,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:49:55.844165,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:50:08.721850,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:50:22.226694,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:50:36.007683,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:50:49.554998,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:51:02.889408,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:51:16.611990,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:51:30.907466,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:51:44.048480,10.4,1659143381.3904812,17449902965.65631
2022-05-11 12:51:56.763315,10.3,1659191515.514346,17450398747.132114
2022-05-11 12:52:10.164898,10.3,1659212324.0655034,17450613075.209038
2022-05-11 12:52:23.423808,10.3,1659212324.0655034,17450613075.209038
2022-05-11 12:52:36.353796,10.3,1659212324.0655034,17450613075.209038
2022-05-11 12:52:48.685244,10.3,1659212324.0655034,17450613075.209038
2022-05-11 12:53:03.097063,10.3,1659212324.0655034,17450613075.209038
2022-05-11 12:53:16.186872,10.3,1659212324.0655034,17450613075.209038
