,price,volume,value
2022-05-11 12:37:58.193696,2295.0,61608604.38969308,147948070012.537
2022-05-11 12:38:11.258359,2295.0,61620254.56324204,147974807160.83185
2022-05-11 12:38:24.569589,2295.0,61622654.2363325,147980314410.57446
2022-05-11 12:38:38.242658,2295.0,61623527.94825929,147982319579.44644
2022-05-11 12:38:51.007577,2300.0,61623579.33387082,147982437766.35297
2022-05-11 12:39:04.243220,2295.0,61623934.90916798,147983255157.39676
2022-05-11 12:39:17.402126,2295.0,61626569.42676566,147989301375.28342
2022-05-11 12:39:30.415576,2295.0,61627940.61304725,147992448247.79968
2022-05-11 12:39:42.863910,2295.0,61628040.61304725,147992677747.79968
2022-05-11 12:39:55.425712,2295.0,61628040.61304725,147992677747.79968
2022-05-11 12:40:06.717779,2295.0,61628065.09355025,147992733930.55405
2022-05-11 12:40:18.316511,2295.0,61628676.27629179,147994136594.9459
2022-05-11 12:40:31.909932,2295.0,61630509.50144697,147998342978.9528
2022-05-11 12:40:44.305710,2295.0,61630509.50144697,147998342978.9528
2022-05-11 12:40:57.177384,2295.0,61631370.64778011,148000319309.78735
2022-05-11 12:41:09.738519,2295.0,61631567.10150977,148000770171.09692
2022-05-11 12:41:22.600616,2295.0,61633139.80458644,148004379524.65787
2022-05-11 12:41:35.978011,2295.0,61633139.80458644,148004379524.65787
2022-05-11 12:41:48.420711,2295.0,61633239.80458644,148004609024.65787
2022-05-11 12:42:00.706979,2290.0,61633897.73738474,148006118480.42996
2022-05-11 12:42:13.509681,2290.0,61633897.73738474,148006118480.42996
2022-05-11 12:42:26.108141,2290.0,61636018.76597839,148010975635.90942
2022-05-11 12:42:38.245351,2295.0,61636484.54926776,148012043349.11267
2022-05-11 12:42:50.799942,2295.0,61637770.67268274,148014992973.6453
2022-05-11 12:43:05.831946,2295.0,61640893.69256505,148022149848.83664
2022-05-11 12:43:19.262230,2295.0,61640984.25879598,148022357698.33664
2022-05-11 12:43:32.171299,2295.0,61641008.30857952,148022412892.58987
2022-05-11 12:43:45.282715,2290.0,61641084.41053179,148022587286.5703
2022-05-11 12:43:57.594017,2290.0,61642511.26845984,148025854791.22556
2022-05-11 12:44:10.274427,2290.0,61653284.86266276,148050527024.18082
2022-05-11 12:44:23.214040,2285.0,61663341.34189174,148073551441.60193
2022-05-11 12:44:35.320557,2290.0,61664943.5008842,148077219300.96887
2022-05-11 12:44:47.832920,2290.0,61665143.59957487,148077677526.97052
2022-05-11 12:45:01.255637,2285.0,61665636.27812401,148078805336.5962
2022-05-11 12:45:13.705917,2290.0,61665753.95746354,148079074701.4087
2022-05-11 12:45:25.133488,2290.0,61665753.95746354,148079074701.4087
2022-05-11 12:45:38.003945,2290.0,61682397.65670314,148117188772.6674
2022-05-11 12:45:51.514087,2290.0,61682397.65670314,148117188772.6674
2022-05-11 12:46:04.658988,2285.0,61696480.63590092,148149369958.28146
2022-05-11 12:46:17.801529,2285.0,61696480.63590092,148149369958.28146
2022-05-11 12:46:30.721036,2285.0,61696524.39957707,148149469958.28146
2022-05-11 12:46:45.060729,2285.0,61700995.45443342,148159686318.62823
2022-05-11 12:46:57.949102,2285.0,61701437.32107196,148160697210.2252
2022-05-11 12:47:11.443665,2285.0,61702065.03702548,148162131541.17896
2022-05-11 12:47:24.543223,2285.0,61702065.03702548,148162131541.17896
2022-05-11 12:47:38.038762,2290.0,61705569.40544864,148170156544.868
2022-05-11 12:47:50.832743,2290.0,61705819.82910064,148170730886.49078
2022-05-11 12:48:04.047434,2290.0,61705860.35650428,148170823694.24512
2022-05-11 12:48:17.050022,2290.0,61706440.35650428,148172151894.24512
2022-05-11 12:48:30.308679,2295.0,61707855.45837318,148175394655.0848
2022-05-11 12:48:44.321398,2290.0,61707867.18969163,148175421519.80405
2022-05-11 12:48:57.624966,2290.0,61708534.20005558,148176948973.5375
2022-05-11 12:49:10.353981,2290.0,61708614.22922224,148177132240.32916
2022-05-11 12:49:22.956044,2295.0,61712403.55144446,148185828734.82916
2022-05-11 12:49:35.850753,2295.0,61713092.48390633,148187406934.82913
2022-05-11 12:49:49.425559,2290.0,61714028.90559514,148189552429.82114
2022-05-11 12:50:02.198220,2290.0,61714608.90559514,148190880629.82114
2022-05-11 12:50:15.248258,2290.0,61714752.35309514,148191209124.59613
2022-05-11 12:50:29.294964,2290.0,61715352.35309514,148192583124.59613
2022-05-11 12:50:42.266050,2290.0,61715352.35309514,148192583124.59613
2022-05-11 12:50:56.652970,2290.0,61715417.41486664,148192732224.98532
2022-05-11 12:51:09.489608,2290.0,61720023.87762946,148203281024.7122
2022-05-11 12:51:23.677729,2290.0,61720023.87762946,148203281024.7122
2022-05-11 12:51:37.635943,2290.0,61720501.214264,148204374125.6053
2022-05-11 12:51:50.178255,2290.0,61724176.26697694,148212789996.31793
2022-05-11 12:52:03.948588,2290.0,61727514.45051596,148220434436.62228
2022-05-11 12:52:16.744442,2290.0,61734548.71329052,148236545081.78214
2022-05-11 12:52:29.817789,2290.0,61739918.76428317,148248827064.93265
2022-05-11 12:52:42.150471,2285.0,61740428.88080101,148249993880.849
2022-05-11 12:52:55.000135,2285.0,61741525.08720072,148252498712.47232
2022-05-11 12:53:09.439621,2285.0,61749185.33449144,148270002377.53162
2022-05-11 12:53:22.439821,2285.0,61759306.71797612,148293129738.79413
2022-05-11 12:53:35.676861,2285.0,61759797.71797612,148294251673.79413
2022-05-11 12:53:48.781825,2285.0,61763719.23578288,148303212341.98257
2022-05-11 12:54:02.278988,2285.0,61764255.99078288,148304438827.15756
2022-05-11 12:54:16.207391,2285.0,61767123.24050478,148310991897.1097
2022-05-11 12:54:29.555935,2285.0,61769438.730892,148316282792.6445
2022-05-11 12:54:42.708115,2285.0,61772620.160892,148323552360.19452
2022-05-11 12:54:55.690780,2285.0,61773768.22578335,148326175688.47125
2022-05-11 12:55:08.985365,2285.0,61774060.16879672,148326842778.2568
2022-05-11 12:55:20.881328,2285.0,61777025.87697669,148333619421.44803
2022-05-11 12:55:32.969873,2285.0,61777974.75667838,148335787611.56638
2022-05-11 12:55:47.160195,2285.0,61779938.06767474,148340273777.19308
2022-05-11 12:55:59.577013,2285.0,61780013.10020067,148340445226.51483
2022-05-11 12:56:11.723681,2290.0,61780213.10020067,148340903226.51483
2022-05-11 12:56:25.336285,2290.0,61787427.82492338,148357424946.12982
2022-05-11 12:56:38.555541,2290.0,61787427.82492338,148357424946.12982
2022-05-11 12:56:52.024821,2290.0,61787427.82492338,148357424946.12982
2022-05-11 12:57:04.447296,2285.0,61787936.45292059,148358591544.54572
2022-05-11 12:57:17.229915,2295.0,61788995.2949232,148361011042.09467
2022-05-11 12:57:30.760413,2290.0,61789421.11181598,148361986162.77914
2022-05-11 12:57:44.845796,2290.0,61790001.11181598,148363314362.77914
2022-05-11 12:57:58.166724,2290.0,61790001.11181598,148363314362.77914
2022-05-11 12:58:10.592923,2290.0,61790001.11181598,148363314362.77914
2022-05-11 12:58:22.941039,2290.0,61790031.29336386,148363383478.52377
2022-05-11 12:58:35.187630,2290.0,61792304.30609254,148368588677.67245
2022-05-11 12:58:46.921735,2290.0,61793274.30609254,148370809977.67245
2022-05-11 12:58:58.818788,2290.0,61793387.53767213,148371069277.98972
2022-05-11 12:59:11.191975,2290.0,61799114.02739163,148384182939.44736
2022-05-11 12:59:23.891063,2290.0,61803929.43612859,148395210225.45502
2022-05-11 12:59:35.848542,2290.0,61804370.93723234,148396221262.9826
2022-05-11 12:59:47.976435,2285.0,61805201.61129052,148398119997.71735
2022-05-11 12:59:59.735742,2285.0,61805201.61129052,148398119997.71735
2022-05-11 13:00:12.906520,2285.0,61808022.03831196,148404564673.46133
2022-05-11 13:00:25.086453,2285.0,61820521.09139918,148433125009.76562
2022-05-11 13:00:38.227835,2290.0,61821194.06724326,148434664381.26407
2022-05-11 13:00:50.437011,2295.0,61821219.94567461,148434723772.264
2022-05-11 13:01:02.555217,2295.0,61821519.01118822,148435409132.20956
2022-05-11 13:01:16.006763,2295.0,61821519.01118822,148435409132.20956
2022-05-11 13:01:29.813743,2290.0,61821596.16456513,148435585813.4427
2022-05-11 13:01:42.373308,2290.0,61821596.16456513,148435585813.4427
2022-05-11 13:01:54.104640,2290.0,61822280.65108446,148437153287.57196
2022-05-11 13:02:06.696052,2290.0,61824123.70895359,148441373890.09225
2022-05-11 13:02:18.260335,2290.0,61825011.72669159,148443407450.71228
2022-05-11 13:02:29.845931,2290.0,61825785.63369159,148445179697.74228
2022-05-11 13:02:42.019563,2290.0,61827395.37429159,148448866003.71628
2022-05-11 13:02:53.451566,2290.0,61827450.48769159,148448992213.40228
2022-05-11 13:03:06.192299,2290.0,61828638.95679159,148451713807.64127
2022-05-11 13:03:17.889770,2285.0,61831609.22794613,148458512728.58517
2022-05-11 13:03:29.781181,2285.0,61831614.72993674,148458525300.63373
2022-05-11 13:03:41.350695,2285.0,61832884.27338118,148461426207.40427
2022-05-11 13:03:52.857961,2290.0,61837877.59815952,148472836174.52277
2022-05-11 13:04:04.446674,2285.0,61838003.61835166,148473124295.3452
2022-05-11 13:04:15.892745,2285.0,61838876.06553739,148475120019.47903
2022-05-11 13:04:27.711146,2285.0,61838880.44190501,148475130019.47903
2022-05-11 13:04:40.209353,2285.0,61838880.44190501,148475130019.47903
2022-05-11 13:04:54.182892,2285.0,61839536.89704725,148476630019.47906
2022-05-11 13:05:05.973821,2290.0,61840109.08178201,148477939308.32288
2022-05-11 13:05:18.758683,2290.0,61840914.29918295,148479783256.17102
2022-05-11 13:05:30.885609,2290.0,61840914.29918295,148479783256.17102
2022-05-11 13:05:43.962528,2295.0,61840917.33186268,148479790216.171
2022-05-11 13:05:56.966423,2295.0,61841313.8460239,148480700216.171
