,price,volume,value
2022-05-11 12:37:50.376927,4160.0,2488953.42301978,10466713168.787066
2022-05-11 12:38:03.072907,4160.0,2488953.42301978,10466713168.787066
2022-05-11 12:38:16.933193,4160.0,2488953.42301978,10466713168.787066
2022-05-11 12:38:29.705935,4160.0,2488953.42301978,10466713168.787066
2022-05-11 12:38:43.116466,4160.0,2489104.84245728,10467342733.687065
2022-05-11 12:38:56.322304,4160.0,2489104.84245728,10467342733.687065
2022-05-11 12:39:08.929558,4155.0,2489114.99321143,10467384910.070559
2022-05-11 12:39:22.307234,4155.0,2489114.99321143,10467384910.070559
2022-05-11 12:39:35.173305,4160.0,2489119.22269232,10467402504.711061
2022-05-11 12:39:47.765296,4160.0,2489119.22269232,10467402504.711061
2022-05-11 12:39:59.552956,4160.0,2489119.22269232,10467402504.711061
2022-05-11 12:40:11.010005,4160.0,2489119.22269232,10467402504.711061
2022-05-11 12:40:23.170076,4155.0,2489501.01971193,10468988871.32754
2022-05-11 12:40:36.372963,4155.0,2490091.5505227,10471442170.234955
2022-05-11 12:40:49.552282,4155.0,2490091.5505227,10471442170.234955
2022-05-11 12:41:01.802464,4155.0,2490091.5505227,10471442170.234955
2022-05-11 12:41:14.760990,4155.0,2490091.5505227,10471442170.234955
2022-05-11 12:41:27.587808,4155.0,2490091.5505227,10471442170.234955
2022-05-11 12:41:41.066008,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:41:53.173309,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:42:05.650001,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:42:18.475931,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:42:30.895478,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:42:42.772438,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:42:58.026435,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:43:10.704295,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:43:24.036169,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:43:37.296391,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:43:49.622923,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:44:02.275864,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:44:15.420471,4150.0,2490140.96935495,10471647258.388792
2022-05-11 12:44:27.665545,4165.0,2492052.39628944,10479608351.570944
2022-05-11 12:44:39.809034,4165.0,2492052.39628944,10479608351.570944
2022-05-11 12:44:52.802118,4175.0,2492282.28735141,10480567545.570316
2022-05-11 12:45:05.940870,4175.0,2492282.28735141,10480567545.570316
2022-05-11 12:45:18.092716,4175.0,2492282.28735141,10480567545.570316
2022-05-11 12:45:30.173535,4175.0,2492342.45582313,10480818748.939747
2022-05-11 12:45:43.218504,4175.0,2492342.45582313,10480818748.939747
2022-05-11 12:45:56.478693,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:46:09.816888,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:46:22.583775,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:46:35.903937,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:46:49.777473,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:47:03.258319,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:47:16.067089,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:47:29.496200,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:47:42.723420,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:47:56.069440,4175.0,2492402.62429485,10481069952.30918
2022-05-11 12:48:09.263180,4175.0,2492402.62429485,10481069952.30918
