,price,volume,value
2022-05-11 12:37:51.187163,8.16,1853267954.7654784,16000196319.38886
2022-05-11 12:38:03.703147,8.16,1853267954.7654784,16000196319.38886
2022-05-11 12:38:17.488742,8.16,1854181466.2120228,16007650572.792664
2022-05-11 12:38:30.387372,8.16,1854181466.2120228,16007650572.792664
2022-05-11 12:38:43.814016,8.16,1854181466.2120228,16007650572.792664
2022-05-11 12:38:56.971766,8.16,1854181466.2120228,16007650572.792664
2022-05-11 12:39:09.937394,8.17,1854182157.9522226,16007656224.310097
2022-05-11 12:39:22.956238,8.17,1854182157.9522226,16007656224.310097
2022-05-11 12:39:35.778940,8.17,1854182157.9522226,16007656224.310097
2022-05-11 12:39:48.519433,8.17,1854237036.6215072,16008105077.540289
2022-05-11 12:40:00.113561,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:40:11.645655,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:40:24.183287,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:40:36.977205,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:40:50.187769,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:41:02.437317,8.16,1854296260.165991,16008588341.663279
2022-05-11 12:41:15.408015,8.16,1854513096.9145265,16010357729.531326
2022-05-11 12:41:28.238805,8.16,1854513096.9145265,16010357729.531326
2022-05-11 12:41:41.761654,8.16,1854541358.2052069,16010588341.663279
2022-05-11 12:41:53.746909,8.16,1854541358.2052069,16010588341.663279
2022-05-11 12:42:06.362274,8.16,1854639390.0179746,16011388281.255465
2022-05-11 12:42:19.079673,8.15,1855091206.044677,16015070581.873089
2022-05-11 12:42:31.455221,8.15,1855091206.044677,16015070581.873089
2022-05-11 12:42:43.377283,8.15,1855091206.044677,16015070581.873089
2022-05-11 12:42:58.679427,8.15,1855091206.044677,16015070581.873089
2022-05-11 12:43:11.444574,8.15,1855091206.044677,16015070581.873089
2022-05-11 12:43:24.670637,8.15,1855091206.044677,16015070581.873089
