,price,volume,value
2022-05-11 12:37:49.446906,427.0,171798320.39105824,76923645114.16751
2022-05-11 12:38:02.158069,427.0,171799378.85949844,76924097080.19147
2022-05-11 12:38:15.958194,427.0,171811414.18228036,76929236163.01935
2022-05-11 12:38:28.722168,427.0,171811477.90754405,76929263373.70694
2022-05-11 12:38:42.288660,429.0,171811806.44367456,76929404315.70694
2022-05-11 12:38:55.114613,429.0,171811806.44367456,76929404315.70694
2022-05-11 12:39:08.129137,428.0,171811854.23762232,76929424771.51657
2022-05-11 12:39:21.329240,428.0,171811932.6526223,76929458333.13658
2022-05-11 12:39:34.323106,428.0,171811932.6526223,76929458333.13658
2022-05-11 12:39:46.872060,428.0,171828745.92805067,76936649181.68713
2022-05-11 12:39:58.809110,428.0,171828745.92805067,76936649181.68713
2022-05-11 12:40:10.225602,428.0,171828745.92805067,76936649181.68713
2022-05-11 12:40:22.366343,428.0,171829390.62005067,76936925109.86313
2022-05-11 12:40:35.586335,428.0,171829390.62005067,76936925109.86313
2022-05-11 12:40:48.708922,428.0,171829390.62005067,76936925109.86313
2022-05-11 12:41:01.046340,428.0,171830853.48579168,76937551216.40028
2022-05-11 12:41:13.911738,428.0,171831971.3513872,76938029052.23907
2022-05-11 12:41:26.770260,427.0,171833331.32698134,76938609761.81778
2022-05-11 12:41:40.297691,428.0,171834289.372805,76939018863.21295
2022-05-11 12:41:52.284652,428.0,171834425.63740036,76939077184.45978
2022-05-11 12:42:04.652625,426.0,171857894.70396125,76949095261.10535
2022-05-11 12:42:17.690591,428.0,171868574.08893597,76953664047.07835
2022-05-11 12:42:29.843014,426.0,171870105.01819912,76954316222.94446
2022-05-11 12:42:42.032947,428.0,171870157.48364022,76954338597.22235
2022-05-11 12:42:57.180178,427.0,171870534.0217774,76954499379.00693
2022-05-11 12:43:09.903677,427.0,171871679.97205806,76954988699.77678
2022-05-11 12:43:23.173689,427.0,171879205.62212318,76958202152.35458
2022-05-11 12:43:36.192068,427.0,171879205.62212318,76958202152.35458
2022-05-11 12:43:48.852309,427.0,171879205.62212318,76958202152.35458
2022-05-11 12:44:01.277220,427.0,171879405.62212318,76958287552.35458
2022-05-11 12:44:14.454084,427.0,171879405.62212318,76958287552.35458
2022-05-11 12:44:26.875740,427.0,171879405.62212318,76958287552.35458
2022-05-11 12:44:39.006638,427.0,171880255.84572333,76958650597.83185
2022-05-11 12:44:51.909597,427.0,171891771.4405711,76963567756.83185
2022-05-11 12:45:05.141612,426.0,171894920.38382697,76964911081.7326
2022-05-11 12:45:17.320284,426.0,171907703.6026783,76970356779.8017
2022-05-11 12:45:29.417870,426.0,171914434.4943397,76973224139.64944
2022-05-11 12:45:42.384574,426.0,171916104.31225422,76973935482.08104
2022-05-11 12:45:55.360073,426.0,171926514.09787005,76978370050.75337
2022-05-11 12:46:08.952556,426.0,171926514.09787005,76978370050.75337
2022-05-11 12:46:21.724788,426.0,171927955.28712237,76978983997.37486
2022-05-11 12:46:34.968171,426.0,171929261.56693253,76979540472.57399
2022-05-11 12:46:48.757441,426.0,171929815.62143958,76979776499.79399
2022-05-11 12:47:02.368958,426.0,171929815.62143958,76979776499.79399
2022-05-11 12:47:15.297460,425.0,171936391.95880675,76982577177.13646
2022-05-11 12:47:28.652351,428.0,171952216.02336073,76989345170.9539
2022-05-11 12:47:41.847553,428.0,171952216.02336073,76989345170.9539
2022-05-11 12:47:55.134655,428.0,171952216.02336073,76989345170.9539
2022-05-11 12:48:08.447217,428.0,171952216.02336073,76989345170.9539
2022-05-11 12:48:20.975895,428.0,171952216.02336073,76989345170.9539
2022-05-11 12:48:34.541655,426.0,171952246.02336073,76989357950.9539
2022-05-11 12:48:48.465573,426.0,171952246.02336073,76989357950.9539
2022-05-11 12:49:01.261291,426.0,171952246.02336073,76989357950.9539
2022-05-11 12:49:14.264929,426.0,171965029.74602395,76994803816.80844
2022-05-11 12:49:26.725169,426.0,171965029.74602395,76994803816.80844
2022-05-11 12:49:39.597755,426.0,171966484.28052396,76995423448.50545
2022-05-11 12:49:53.235302,426.0,171966484.28052396,76995423448.50545
2022-05-11 12:50:06.076876,426.0,171966484.28052396,76995423448.50545
2022-05-11 12:50:19.600403,426.0,171966484.28052396,76995423448.50545
2022-05-11 12:50:33.409748,425.0,171986921.68347412,77004123161.6407
2022-05-11 12:50:46.612781,426.0,171987015.14141804,77004162974.72481
2022-05-11 12:51:00.331598,425.0,171988436.14638564,77004766948.565
2022-05-11 12:51:13.938244,425.0,171988436.14638564,77004766948.565
2022-05-11 12:51:28.211852,425.0,171988436.14638564,77004766948.565
2022-05-11 12:51:41.329524,425.0,171988436.14638564,77004766948.565
2022-05-11 12:51:54.268015,425.0,171999974.05808246,77009670561.03616
2022-05-11 12:52:07.584599,424.0,172004827.92997545,77011733308.60078
2022-05-11 12:52:20.988345,425.0,172004827.9303284,77011733308.75078
2022-05-11 12:52:33.546140,425.0,172010240.660583,77014033719.109
2022-05-11 12:52:46.041640,426.0,172012586.905301,77015033219.35886
2022-05-11 12:53:00.176832,425.0,172019094.20168817,77017798820.32341
2022-05-11 12:53:13.437408,425.0,172019094.20168817,77017798820.32341
2022-05-11 12:53:26.405930,425.0,172019094.20168817,77017798820.32341
2022-05-11 12:53:39.510769,423.0,172057997.94823518,77034286549.49896
2022-05-11 12:53:52.496849,424.0,172065866.35325167,77037607785.85846
2022-05-11 12:54:06.461400,424.0,172065995.312357,77037662464.51913
2022-05-11 12:54:20.363446,423.0,172070805.25531587,77039701857.18553
2022-05-11 12:54:33.515470,422.0,172119419.3828486,77060243969.23198
2022-05-11 12:54:46.685893,423.0,172119545.24463883,77060297208.76926
2022-05-11 12:54:59.657783,422.0,172126311.65643924,77063154998.61523
2022-05-11 12:55:12.592328,422.0,172129854.3246857,77064650004.61522
