,price,volume,value
2022-05-11 12:37:55.583669,14.9,1292643226.9656622,19679035642.84704
2022-05-11 12:38:08.570729,14.9,1292674709.9578097,19679503182.541145
2022-05-11 12:38:21.839772,14.8,1292715359.6090667,19680106419.8265
2022-05-11 12:38:35.134405,14.9,1293192789.3191473,19687217091.109406
2022-05-11 12:38:48.514470,14.8,1293221876.4272668,19687649014.517696
2022-05-11 12:39:01.626149,14.8,1293255765.4606433,19688152266.514145
2022-05-11 12:39:14.686759,14.8,1293503873.5844843,19691847448.061237
2022-05-11 12:39:27.526244,14.9,1293536027.3397598,19692324943.71673
2022-05-11 12:39:40.293864,14.8,1293569699.182175,19692824953.70743
2022-05-11 12:39:52.958806,14.8,1294004783.2026858,19699276552.313015
2022-05-11 12:40:04.285180,14.8,1294213240.7208323,19702380549.417118
2022-05-11 12:40:15.714381,14.8,1294242423.0028512,19702813888.34918
2022-05-11 12:40:28.779125,14.9,1294275981.3485055,19703312137.425323
2022-05-11 12:40:41.799407,14.8,1294325284.2553666,19704043410.046185
2022-05-11 12:40:54.779142,14.9,1294356626.790276,19704508867.32096
2022-05-11 12:41:06.957981,14.9,1294386034.582991,19704945571.635788
2022-05-11 12:41:19.868206,14.8,1298053353.8908224,19759223409.210087
2022-05-11 12:41:33.181271,14.9,1298888828.0540662,19771593181.65429
2022-05-11 12:41:45.988638,14.7,1298974418.2293262,19772861530.4871
2022-05-11 12:41:58.171635,14.7,1299021640.878718,19773561275.9938
2022-05-11 12:42:11.079991,14.8,1299060364.6244886,19774133123.17426
2022-05-11 12:42:23.509308,14.7,1299092263.9325428,19774604747.578632
2022-05-11 12:42:35.784934,14.8,1299135360.8825288,19775242316.753754
2022-05-11 12:42:48.166348,14.7,1299167601.491158,19775717846.683918
2022-05-11 12:43:03.123428,14.8,1299497745.7232308,19780595536.919567
2022-05-11 12:43:16.466473,14.8,1299530172.59686,19781073831.23798
2022-05-11 12:43:29.479076,14.8,1299635394.0085852,19782624912.60189
2022-05-11 12:43:42.695432,14.8,1299667969.3027809,19783105400.21051
