,price,volume,value
2022-05-11 12:37:55.178669,75.6,122121262.08570667,9773025776.124567
2022-05-11 12:38:08.105142,75.6,122121262.08570667,9773025776.124567
2022-05-11 12:38:21.404773,75.6,122149857.60328521,9775184837.253284
2022-05-11 12:38:34.574602,75.6,122149857.60328521,9775184837.253284
2022-05-11 12:38:48.046440,75.6,122149857.60328521,9775184837.253284
2022-05-11 12:39:01.245987,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:39:14.263991,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:39:27.117981,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:39:39.871751,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:39:52.565471,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:40:03.862454,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:40:15.260517,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:40:28.342560,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:40:41.331643,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:40:54.388855,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:41:06.397074,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:41:19.400453,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:41:32.742625,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:41:45.598190,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:41:57.721291,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:42:10.701459,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:42:23.072000,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:42:35.316047,75.4,122199857.60328521,9778954969.571232
2022-05-11 12:42:47.758363,75.6,122199927.22177587,9778960232.729126
2022-05-11 12:43:02.686664,75.6,122199927.22177587,9778960232.729126
2022-05-11 12:43:16.045749,75.4,122219855.22801542,9780462804.399588
2022-05-11 12:43:29.040939,75.4,122219855.22801542,9780462804.399588
2022-05-11 12:43:42.285428,75.4,122219855.22801542,9780462804.399588
2022-05-11 12:43:54.600940,75.5,122221179.73132667,9780562804.399588
2022-05-11 12:44:07.157352,75.4,122221710.23530544,9780602804.399588
2022-05-11 12:44:20.189883,75.4,122221710.23530544,9780602804.399588
2022-05-11 12:44:32.228322,75.4,122221710.23530544,9780602804.399588
2022-05-11 12:44:44.677650,75.5,122229291.42484313,9781175184.209682
2022-05-11 12:44:58.068256,75.5,122229291.42484313,9781175184.209682
2022-05-11 12:45:10.970927,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:45:22.157053,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:45:35.056160,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:45:47.800496,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:46:01.308789,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:46:14.791348,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:46:27.809897,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:46:41.934729,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:46:55.008565,75.5,122229953.67649876,9781225184.20968
2022-05-11 12:47:08.186771,75.5,122231802.66609874,9781364782.92448
2022-05-11 12:47:21.097632,75.5,122231802.66609874,9781364782.92448
2022-05-11 12:47:34.882278,75.4,122233872.32223162,9781520852.71291
2022-05-11 12:47:47.499050,75.6,122239793.9184748,9781968129.895042
2022-05-11 12:48:00.996204,75.6,122243734.46527363,9782265640.459652
2022-05-11 12:48:13.861694,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:48:27.216179,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:48:40.224047,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:48:54.557170,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:49:06.878293,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:49:19.664845,75.7,122247665.87632637,9782562609.073967
2022-05-11 12:49:32.512352,75.6,122259186.7279516,9783433585.456835
2022-05-11 12:49:45.772085,75.6,122259186.7279516,9783433585.456835
2022-05-11 12:49:59.003932,75.6,122259186.7279516,9783433585.456835
2022-05-11 12:50:12.018876,75.6,122259186.7279516,9783433585.456835
2022-05-11 12:50:25.534144,75.6,122259186.7279516,9783433585.456835
2022-05-11 12:50:39.110842,75.5,122264484.74119663,9783833585.456835
2022-05-11 12:50:52.908655,75.5,122264484.74119663,9783833585.456835
2022-05-11 12:51:06.286170,75.5,122264484.74119663,9783833585.456835
2022-05-11 12:51:19.943602,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:51:34.298181,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:51:47.175500,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:52:00.621166,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:52:13.401923,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:52:26.797343,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:52:39.101885,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:52:51.717591,75.4,122270455.9069007,9784283811.350922
2022-05-11 12:53:06.330868,75.5,122280455.9069007,9785038811.350922
2022-05-11 12:53:19.316473,75.4,122325522.1069007,9788436802.830921
2022-05-11 12:53:31.997650,75.4,122325522.1069007,9788436802.830921
2022-05-11 12:53:45.637240,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:53:58.947988,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:54:12.933041,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:54:26.420039,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:54:39.537412,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:54:52.623815,75.4,122342490.7059007,9789716235.195522
2022-05-11 12:55:05.987735,75.4,122369837.82285605,9791778207.813955
2022-05-11 12:55:18.024891,75.4,122399929.77382024,9794047140.916655
2022-05-11 12:55:30.206222,75.4,122399929.77382024,9794047140.916655
2022-05-11 12:55:43.985835,75.4,122439976.95131844,9797066698.10002
2022-05-11 12:55:56.692637,75.4,122439976.95131844,9797066698.10002
2022-05-11 12:56:08.749559,75.4,122439976.95131844,9797066698.10002
2022-05-11 12:56:21.817663,75.4,122447559.75031844,9797638441.144619
2022-05-11 12:56:35.399272,75.4,122447559.75031844,9797638441.144619
2022-05-11 12:56:48.052689,75.4,122476444.95931844,9799816385.90322
2022-05-11 12:57:01.055619,75.4,122476444.95931844,9799816385.90322
2022-05-11 12:57:14.291887,75.4,122476444.95931844,9799816385.90322
2022-05-11 12:57:27.662604,75.4,122476444.95931844,9799816385.90322
2022-05-11 12:57:41.106237,75.4,122490444.95831844,9800871985.82782
