,price,volume,value
2022-05-11 12:37:57.443691,920.0,12246907.97236709,11646856566.453531
2022-05-11 12:38:10.536727,920.0,12246907.97236709,11646856566.453531
2022-05-11 12:38:23.782380,920.0,12247419.70898993,11647327364.146544
2022-05-11 12:38:37.399334,920.0,12247419.70898993,11647327364.146544
2022-05-11 12:38:50.314039,920.0,12247419.70898993,11647327364.146544
2022-05-11 12:39:03.426785,920.0,12247419.70898993,11647327364.146544
2022-05-11 12:39:16.692294,920.0,12247459.71072819,11647364165.745743
2022-05-11 12:39:29.566080,920.0,12247459.71072819,11647364165.745743
2022-05-11 12:39:42.091149,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:39:54.684754,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:40:05.995170,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:40:17.513133,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:40:31.015742,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:40:43.579920,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:40:56.512979,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:41:09.012572,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:41:21.814517,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:41:35.112110,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:41:47.683939,920.0,12248467.64580864,11648291466.019756
2022-05-11 12:41:59.966385,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:42:12.831809,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:42:25.337758,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:42:37.459896,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:42:49.906495,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:43:05.090362,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:43:18.323485,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:43:31.356370,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:43:44.559062,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:43:56.792325,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:44:09.563571,918.0,12249448.11978731,11649191541.132175
2022-05-11 12:44:22.413261,916.0,12249498.11978731,11649237341.132175
2022-05-11 12:44:34.506527,916.0,12249498.11978731,11649237341.132175
2022-05-11 12:44:47.079646,916.0,12249498.11978731,11649237341.132175
2022-05-11 12:45:00.288018,916.0,12249548.11978731,11649283141.132175
2022-05-11 12:45:12.936207,916.0,12249548.11978731,11649283141.132175
2022-05-11 12:45:24.453008,916.0,12249548.11978731,11649283141.132175
2022-05-11 12:45:37.234104,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:45:50.788550,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:46:03.890392,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:46:17.074258,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:46:29.924187,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:46:44.262895,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:46:57.237914,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:47:10.751058,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:47:23.772725,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:47:37.239048,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:47:49.853546,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:48:03.367553,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:48:16.250775,916.0,12249633.87941841,11649361696.954264
2022-05-11 12:48:29.568793,916.0,12249648.11978731,11649374741.132175
2022-05-11 12:48:43.596494,916.0,12249648.11978731,11649374741.132175
2022-05-11 12:48:56.855665,916.0,12249648.11978731,11649374741.132175
