,price,volume,value
2022-05-11 12:37:58.538696,35450.0,428155.19006266,15593598879.838112
2022-05-11 12:38:11.573357,35450.0,428155.19006266,15593598879.838112
2022-05-11 12:38:24.886879,35440.0,428169.17655226,15594094644.98133
2022-05-11 12:38:38.666000,35440.0,428169.17655226,15594094644.98133
2022-05-11 12:38:51.308409,35440.0,428169.17655226,15594094644.98133
2022-05-11 12:39:04.561768,35530.0,428170.21336622,15594131482.98133
2022-05-11 12:39:17.762550,35530.0,428170.21336622,15594131482.98133
2022-05-11 12:39:30.733382,35530.0,428170.21336622,15594131482.98133
2022-05-11 12:39:43.289336,35530.0,428170.21336622,15594131482.98133
2022-05-11 12:39:55.697927,35530.0,428170.21336622,15594131482.98133
2022-05-11 12:40:07.021190,35530.0,428189.72866315,15594824861.481253
2022-05-11 12:40:18.724491,35530.0,428215.33639604,15595734704.230835
2022-05-11 12:40:32.181656,35530.0,428215.33639604,15595734704.230835
2022-05-11 12:40:44.851175,35530.0,428215.33639604,15595734704.230835
2022-05-11 12:40:57.492383,35530.0,428215.33639604,15595734704.230835
2022-05-11 12:41:10.057374,35530.0,428215.33639604,15595734704.230835
2022-05-11 12:41:23.008324,35440.0,428285.16793265,15598210523.54887
2022-05-11 12:41:36.551105,35440.0,428285.16793265,15598210523.54887
2022-05-11 12:41:48.765401,35440.0,428285.16793265,15598210523.54887
2022-05-11 12:42:01.010830,35440.0,428285.16793265,15598210523.54887
2022-05-11 12:42:13.809220,35530.0,428293.38830979,15598502593.548655
2022-05-11 12:42:26.379519,35530.0,428293.38830979,15598502593.548655
2022-05-11 12:42:38.532831,35430.0,428479.85684469,15605109418.87102
2022-05-11 12:42:51.099865,35410.0,428666.3253796,15611712487.665623
2022-05-11 12:43:06.121850,35410.0,428666.3253796,15611712487.665623
2022-05-11 12:43:19.565073,35410.0,428666.3253796,15611712487.665623
2022-05-11 12:43:32.565375,35430.0,428685.51855165,15612392501.751354
2022-05-11 12:43:45.629987,35430.0,428685.51855165,15612392501.751354
2022-05-11 12:43:57.881114,35430.0,428748.71955691,15614631713.367716
2022-05-11 12:44:10.607728,35430.0,428751.05970942,15614714624.971146
2022-05-11 12:44:23.546050,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:44:35.683046,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:44:48.332873,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:45:01.756012,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:45:14.022917,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:45:25.405519,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:45:38.531090,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:45:51.815550,35420.0,428758.89041254,15614991988.475655
2022-05-11 12:46:04.976640,35470.0,428761.23056504,15615074993.68483
2022-05-11 12:46:18.133648,35530.0,428761.51277908,15615085020.749672
2022-05-11 12:46:31.083553,35530.0,428762.79471492,15615130467.930067
2022-05-11 12:46:45.360644,35530.0,428763.07665076,15615140485.110462
2022-05-11 12:46:58.233411,35430.0,428764.21761868,15615180923.700659
2022-05-11 12:47:11.865950,35430.0,428766.21761868,15615251783.700659
2022-05-11 12:47:24.997015,35520.0,428767.49983371,15615297239.39258
2022-05-11 12:47:38.326171,35530.0,428767.78145259,15615307245.311388
2022-05-11 12:47:51.223277,35430.0,428768.92226203,15615347678.27079
2022-05-11 12:48:17.324179,35430.0,428800.1469304,15616453968.27114
2022-05-11 12:48:30.674208,35620.0,428893.20219202,15619759642.945122
