,price,volume,value
2022-05-11 12:37:59.259210,906.0,38852825.6301899,36123601691.78873
2022-05-11 12:38:12.640270,906.0,38852880.81782787,36123651691.78873
2022-05-11 12:38:25.476745,906.0,38852880.81782787,36123651691.78873
2022-05-11 12:38:39.163371,906.0,38852880.81782787,36123651691.78873
2022-05-11 12:38:51.820934,907.0,38853175.01352798,36123918527.28873
2022-05-11 12:39:05.135207,907.0,38853175.01352798,36123918527.28873
2022-05-11 12:39:18.366423,907.0,38853175.01352798,36123918527.28873
2022-05-11 12:39:31.218583,906.0,38854654.87205759,36125259279.116554
2022-05-11 12:39:43.939563,906.0,38854654.87205759,36125259279.116554
2022-05-11 12:39:56.165686,906.0,38854654.87205759,36125259279.116554
2022-05-11 12:40:07.487637,906.0,38856209.42169703,36126667701.08988
2022-05-11 12:40:19.300203,906.0,38857313.17445641,36127667701.08988
2022-05-11 12:40:32.695479,906.0,38857313.17445641,36127667701.08988
2022-05-11 12:40:45.410805,904.0,38858633.49645641,36128861272.17789
2022-05-11 12:40:58.048528,904.0,38858633.49645641,36128861272.17789
2022-05-11 12:41:10.844857,905.0,38859182.05201288,36129357714.95649
2022-05-11 12:41:23.614849,902.0,38859462.08210805,36129610501.222015
2022-05-11 12:41:37.094875,902.0,38859830.74527286,36129943035.39667
2022-05-11 12:41:49.381752,899.0,38870419.54098564,36139475368.647316
2022-05-11 12:42:01.585649,904.0,38870435.74673785,36139490018.647316
2022-05-11 12:42:14.575772,900.0,38890447.17010353,36157500299.67642
2022-05-11 12:42:26.983111,900.0,38891503.40086207,36158450907.35911
2022-05-11 12:42:39.108648,900.0,38895272.89032192,36161843447.87298
2022-05-11 12:42:52.185008,900.0,38895715.98655158,36162242234.47967
2022-05-11 12:43:06.636321,899.0,38900715.98655158,36166737234.47967
2022-05-11 12:43:20.199408,899.0,38900715.98655158,36166737234.47967
2022-05-11 12:43:33.049271,899.0,38900715.98655158,36166737234.47967
2022-05-11 12:43:46.129083,899.0,38901154.58413929,36167131533.71102
2022-05-11 12:43:58.379761,899.0,38901154.58413929,36167131533.71102
2022-05-11 12:44:11.060869,899.0,38905946.98356769,36171439900.79715
2022-05-11 12:44:24.029746,899.0,38908136.76090124,36173408510.62001
2022-05-11 12:44:36.227941,899.0,38908136.76090124,36173408510.62001
2022-05-11 12:44:48.890857,899.0,38908247.99560646,36173508510.62
2022-05-11 12:45:02.343583,899.0,38908247.99560646,36173508510.62
2022-05-11 12:45:14.641664,899.0,38908247.99560646,36173508510.62
2022-05-11 12:45:25.856820,899.0,38908247.99560646,36173508510.62
2022-05-11 12:45:39.194289,899.0,38908247.99560646,36173508510.62
2022-05-11 12:45:52.312289,899.0,38910338.95117147,36175388918.56636
2022-05-11 12:46:05.490137,899.0,38910338.95117147,36175388918.56636
2022-05-11 12:46:18.691993,899.0,38910788.68282738,36175793227.32502
2022-05-11 12:46:31.641931,899.0,38911590.15179973,36176513747.93117
2022-05-11 12:46:45.917992,899.0,38911780.70908085,36176685058.926895
2022-05-11 12:46:58.867167,900.0,38912294.32716584,36177147133.82197
2022-05-11 12:47:12.407441,900.0,38912626.38898611,36177445823.253944
2022-05-11 12:47:25.587034,900.0,38912626.38898611,36177445823.253944
2022-05-11 12:47:38.839231,899.0,38912637.38898611,36177455712.253944
2022-05-11 12:47:51.797086,899.0,38912637.38898611,36177455712.253944
2022-05-11 12:48:04.835820,899.0,38913342.8038616,36178089880.22701
2022-05-11 12:48:17.807369,898.0,38913622.57315078,36178341113.04869
2022-05-11 12:48:31.171702,898.0,38913622.57315078,36178341113.04869
2022-05-11 12:48:45.183862,898.0,38915475.31092446,36180004871.56946
2022-05-11 12:48:58.455705,900.0,38915555.31092446,36180076871.56946
2022-05-11 12:49:11.323184,900.0,38915635.31092446,36180148871.56946
2022-05-11 12:49:23.724494,900.0,38915635.31092446,36180148871.56946
2022-05-11 12:49:36.666315,900.0,38915857.53314668,36180348871.56946
2022-05-11 12:49:50.214984,900.0,38915857.53314668,36180348871.56946
2022-05-11 12:50:03.086541,900.0,38915857.53314668,36180348871.56946
2022-05-11 12:50:16.123577,900.0,38915857.53314668,36180348871.56946
2022-05-11 12:50:30.173273,899.0,38920254.79538888,36184302010.325195
2022-05-11 12:50:43.218726,899.0,38922274.85051836,36186118039.8866
2022-05-11 12:50:57.495072,900.0,38926770.66808546,36190164275.69698
2022-05-11 12:51:10.486014,900.0,38926770.66808546,36190164275.69698
2022-05-11 12:51:25.011094,900.0,38926770.66808546,36190164275.69698
2022-05-11 12:51:38.512423,902.0,38926827.29162204,36190215350.12698
2022-05-11 12:51:51.114304,902.0,38927130.29162204,36190488493.12698
2022-05-11 12:52:04.779148,900.0,38927183.91736414,36190536756.29487
2022-05-11 12:52:17.693501,900.0,38927263.91736414,36190608756.29487
2022-05-11 12:52:30.739803,899.0,38928685.84717759,36191887493.126976
2022-05-11 12:52:42.948858,899.0,38928869.89364155,36192052950.89808
2022-05-11 12:52:55.934497,899.0,38929041.13991518,36192206901.29807
2022-05-11 12:53:10.180732,898.0,38929110.44043264,36192269133.16275
2022-05-11 12:53:23.286092,894.0,38943094.37295688,36204803715.74619
2022-05-11 12:53:36.493974,893.0,38948964.69339146,36210047553.00939
2022-05-11 12:53:49.567992,893.0,38957992.67039683,36218114437.78314
2022-05-11 12:54:03.289369,894.0,38966870.01624833,36226038070.500015
2022-05-11 12:54:17.216816,894.0,38966870.01624833,36226038070.500015
2022-05-11 12:54:30.448149,893.0,38967450.8270691,36226556744.562965
2022-05-11 12:54:43.630817,894.0,38973602.8260691,36232056631.66896
2022-05-11 12:54:56.655427,894.0,38973609.0189342,36232062168.09036
2022-05-11 12:55:09.937117,892.0,38976085.21228096,36234271032.55567
2022-05-11 12:55:21.679825,892.0,38976709.01893421,36234827468.09037
2022-05-11 12:55:33.845447,893.0,38983829.38399158,36241182597.74874
2022-05-11 12:55:48.077555,893.0,38983829.38399158,36241182597.74874
2022-05-11 12:56:00.392266,894.0,38992196.13350273,36248662471.81171
2022-05-11 12:56:12.661103,894.0,38992387.97059281,36248833974.170235
2022-05-11 12:56:26.135508,894.0,38992387.97059281,36248833974.170235
2022-05-11 12:56:39.399752,894.0,38992387.97059281,36248833974.170235
2022-05-11 12:56:52.827246,894.0,38992387.97059281,36248833974.170235
2022-05-11 12:57:05.418429,894.0,38992387.97059281,36248833974.170235
2022-05-11 12:57:18.047980,894.0,38993697.40860793,36250004611.75575
2022-05-11 12:57:31.691801,895.0,38994697.40860793,36250899611.75575
2022-05-11 12:57:45.735911,895.0,38994697.40860793,36250899611.75575
2022-05-11 12:57:59.131147,895.0,38997735.31087768,36253618534.28718
2022-05-11 12:58:11.362517,895.0,38997852.76054211,36253723651.73685
2022-05-11 12:58:23.727110,895.0,38997852.76054211,36253723651.73685
2022-05-11 12:58:36.028506,895.0,38997852.76054211,36253723651.73685
2022-05-11 12:58:47.660036,895.0,38997971.57652435,36253829992.040955
2022-05-11 12:58:59.712593,895.0,38997971.57652435,36253829992.040955
2022-05-11 12:59:12.052277,895.0,38998087.5479504,36253933786.46726
2022-05-11 12:59:24.841028,895.0,38998087.5479504,36253933786.46726
2022-05-11 12:59:36.649092,895.0,39001063.91613192,36256597635.98972
2022-05-11 12:59:48.716661,895.0,39001505.89933461,36256993210.95613
2022-05-11 13:00:00.477116,895.0,39001505.89933461,36256993210.95613
2022-05-11 13:00:13.662054,895.0,39001505.89933461,36256993210.95613
2022-05-11 13:00:25.992329,895.0,39002429.90791066,36257820198.6317
2022-05-11 13:00:39.057998,895.0,39002894.63755701,36258236131.665184
2022-05-11 13:00:51.477201,894.0,39003306.11762412,36258603994.84518
2022-05-11 13:01:03.581027,894.0,39003306.11762412,36258603994.84518
2022-05-11 13:01:17.064224,895.0,39004248.03900045,36259446476.47106
2022-05-11 13:01:30.734200,895.0,39004248.03900045,36259446476.47106
2022-05-11 13:01:43.192082,895.0,39004248.03900045,36259446476.47106
2022-05-11 13:01:54.916687,896.0,39004811.02184211,36259949901.13205
2022-05-11 13:02:07.448702,896.0,39004811.02184211,36259949901.13205
2022-05-11 13:02:19.061245,896.0,39004811.02184211,36259949901.13205
2022-05-11 13:02:30.642369,896.0,39004870.61977125,36260003300.87656
2022-05-11 13:02:42.818077,896.0,39004870.61977125,36260003300.87656
2022-05-11 13:02:54.220956,898.0,39004877.30128572,36260009300.87656
2022-05-11 13:03:06.972638,898.0,39004877.30128572,36260009300.87656
2022-05-11 13:03:18.717583,898.0,39008677.7738915,36263422125.27654
2022-05-11 13:03:30.593816,898.0,39008677.7738915,36263422125.27654
2022-05-11 13:03:42.196434,898.0,39008677.7738915,36263422125.27654
2022-05-11 13:03:53.595020,898.0,39008700.04560642,36263442125.27654
2022-05-11 13:04:05.258424,898.0,39008700.04560642,36263442125.27654
2022-05-11 13:04:16.616568,898.0,39008700.04560642,36263442125.27654
2022-05-11 13:04:28.538099,898.0,39008700.04560642,36263442125.27654
2022-05-11 13:04:41.142747,898.0,39008722.29257499,36263462103.05431
2022-05-11 13:04:54.980533,898.0,39008722.29257499,36263462103.05431
2022-05-11 13:05:06.832800,898.0,39008933.68542367,36263651933.832436
2022-05-11 13:05:19.602945,898.0,39008933.68542367,36263651933.832436
2022-05-11 13:05:31.683688,898.0,39008933.68542367,36263651933.832436
2022-05-11 13:05:44.852182,898.0,39008933.68542367,36263651933.832436
2022-05-11 13:05:57.808823,898.0,39008933.68542367,36263651933.832436
2022-05-11 13:06:10.198797,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:06:21.918965,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:06:33.227606,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:06:44.815844,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:06:56.610291,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:07:08.667696,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:07:20.773009,896.0,39010715.42261744,36265248370.35805
2022-05-11 13:07:32.683949,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:07:44.436758,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:07:56.691710,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:08:09.614139,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:08:22.090842,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:08:34.487711,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:08:47.240003,897.0,39011845.65442324,36266262188.28785
2022-05-11 13:09:00.219349,899.0,39012538.21660493,36266884801.68919
2022-05-11 13:09:13.088617,900.0,39012582.71048702,36266924846.183075
2022-05-11 13:09:25.939031,900.0,39012582.71048702,36266924846.183075
2022-05-11 13:09:38.742908,900.0,39012582.71048702,36266924846.183075
2022-05-11 13:09:51.211996,900.0,39014776.36320742,36268899133.63143
2022-05-11 13:10:03.224320,902.0,39014837.81855552,36268954499.43142
2022-05-11 13:10:16.135005,902.0,39015128.38596564,36269216301.231346
2022-05-11 13:10:28.238633,900.0,39015396.53702766,36269457872.33129
2022-05-11 13:10:40.828677,900.0,39015485.920715,36269538396.03127
2022-05-11 13:10:53.064001,900.0,39015965.920715,36269970396.03127
2022-05-11 13:11:06.497400,899.0,39031004.70913277,36283492340.83871
2022-05-11 13:11:19.769447,896.0,39032613.28700436,36284935069.05678
2022-05-11 13:11:32.442922,895.0,39043340.15337962,36294536688.75516
2022-05-11 13:11:45.052542,895.0,39043340.15337962,36294536688.75516
2022-05-11 13:11:57.263152,894.0,39044618.83903679,36295679833.732666
2022-05-11 13:12:10.825281,894.0,39044618.83903679,36295679833.732666
2022-05-11 13:12:24.658361,894.0,39044618.83903679,36295679833.732666
2022-05-11 13:12:38.541635,894.0,39044618.83903679,36295679833.732666
2022-05-11 13:12:51.711860,894.0,39044618.83903679,36295679833.732666
2022-05-11 13:13:05.798724,892.0,39058387.8015968,36307968516.44616
2022-05-11 13:13:21.296394,895.0,39058774.52529819,36308314634.158905
2022-05-11 13:13:35.519094,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:13:48.458541,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:14:01.499319,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:14:15.431486,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:14:29.061650,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:14:43.226864,895.0,39058995.00203085,36308511960.83463
2022-05-11 13:14:56.327312,895.0,39059553.38205871,36309011710.95957
2022-05-11 13:15:09.347697,897.0,39066956.13123606,36315640108.959564
2022-05-11 13:15:23.711989,896.0,39066971.07354169,36315653497.26541
2022-05-11 13:15:38.133281,896.0,39066971.07354169,36315653497.26541
2022-05-11 13:15:52.295702,896.0,39066971.07354169,36315653497.26541
2022-05-11 13:16:06.382954,896.0,39066971.07354169,36315653497.26541
2022-05-11 13:16:20.045820,897.0,39069163.95480247,36317620511.75633
