,price,volume,value
2022-05-11 12:37:53.843654,130.0,183919565.8288303,24612242769.4853
2022-05-11 12:38:06.588816,129.0,183921312.108727,24612468039.591972
2022-05-11 12:38:20.204774,129.0,183921312.108727,24612468039.591972
2022-05-11 12:38:33.002965,130.0,183921350.95488086,24612473089.591972
2022-05-11 12:38:46.527790,130.0,183921350.95488086,24612473089.591972
2022-05-11 12:38:59.765549,130.0,183924069.48023355,24612826497.887825
2022-05-11 12:39:12.994881,130.0,184011058.38862374,24624135055.978546
2022-05-11 12:39:25.756747,130.0,184020121.87171966,24625313308.781013
2022-05-11 12:39:38.389625,131.0,184020175.30683416,24625320308.781013
2022-05-11 12:39:51.297473,131.0,184020175.30683416,24625320308.781013
2022-05-11 12:40:02.518956,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:40:14.107543,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:40:27.084012,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:40:39.970577,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:40:53.302024,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:41:04.979212,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:41:17.978735,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:41:31.154659,131.0,184020335.30683416,24625341268.781013
2022-05-11 12:41:44.186195,130.0,184021135.30683416,24625445268.781013
2022-05-11 12:41:56.445356,130.0,184021135.30683416,24625445268.781013
2022-05-11 12:42:09.354811,130.0,184071135.30683416,24631945268.781013
2022-05-11 12:42:21.726556,131.0,184077279.81828454,24632749398.781013
2022-05-11 12:42:34.043585,130.0,184078435.81828454,24632899678.781013
2022-05-11 12:42:46.357720,130.0,184083734.8122278,24633588586.543255
2022-05-11 12:43:01.432610,130.0,184083734.8122278,24633588586.543255
2022-05-11 12:43:14.628728,130.0,184087580.96607393,24634088586.543255
2022-05-11 12:43:27.556603,130.0,184089433.08785632,24634329362.374966
2022-05-11 12:43:41.044516,130.0,184091665.00225654,24634619511.246994
2022-05-11 12:43:52.934152,130.0,184091665.00225654,24634619511.246994
2022-05-11 12:44:05.777764,130.0,184091665.00225654,24634619511.246994
2022-05-11 12:44:19.054933,130.0,184101370.24140513,24635881192.33631
2022-05-11 12:44:30.976310,130.0,184101370.24140513,24635881192.33631
2022-05-11 12:44:43.318314,130.0,184101370.24140513,24635881192.33631
2022-05-11 12:44:56.558226,130.0,184101370.24140513,24635881192.33631
2022-05-11 12:45:09.565262,130.0,184204892.34064177,24649407687.33631
2022-05-11 12:45:21.041673,130.0,184245865.6914519,24654734222.941628
2022-05-11 12:45:33.770257,130.0,184245865.6914519,24654734222.941628
2022-05-11 12:45:46.536191,130.0,184245865.6914519,24654734222.941628
2022-05-11 12:45:59.995904,130.0,184289089.26762065,24660353287.843563
2022-05-11 12:46:13.384836,130.0,184289089.26762065,24660353287.843563
2022-05-11 12:46:26.486120,130.0,184309198.7518181,24662967559.33885
2022-05-11 12:46:40.063544,130.0,184309198.7518181,24662967559.33885
2022-05-11 12:46:53.621176,129.0,184310323.9359061,24663112708.086205
2022-05-11 12:47:06.900996,129.0,184310323.9359061,24663112708.086205
2022-05-11 12:47:19.784783,130.0,184346299.53627348,24667789536.133965
2022-05-11 12:47:33.419123,130.0,184346299.53627348,24667789536.133965
2022-05-11 12:47:46.173066,130.0,184346299.53627348,24667789536.133965
2022-05-11 12:47:59.753956,130.0,184358271.68739325,24669345915.779533
2022-05-11 12:48:12.386860,130.0,184358271.68739325,24669345915.779533
2022-05-11 12:48:25.751410,130.0,184358271.68739325,24669345915.779533
2022-05-11 12:48:38.893060,130.0,184367021.68739325,24670483415.779533
2022-05-11 12:48:53.216005,131.0,184377314.29459813,24671821493.26579
2022-05-11 12:49:05.567252,130.0,184394814.29459813,24674096493.26579
2022-05-11 12:49:18.340545,130.0,184412214.29459813,24676358493.26579
2022-05-11 12:49:31.165428,130.0,184412214.29459813,24676358493.26579
2022-05-11 12:49:44.252406,130.0,184412214.29459813,24676358493.26579
2022-05-11 12:49:57.704161,130.0,184412214.29459813,24676358493.26579
2022-05-11 12:50:10.702921,130.0,184412214.29459813,24676358493.26579
2022-05-11 12:50:24.114497,131.0,184412252.84421647,24676363543.265785
2022-05-11 12:50:37.724805,131.0,184412252.84421647,24676363543.265785
2022-05-11 12:50:51.350208,131.0,184412252.84421647,24676363543.265785
2022-05-11 12:51:04.941123,130.0,184413335.84421647,24676504333.265785
2022-05-11 12:51:18.423031,130.0,184434646.33065692,24679275541.989487
2022-05-11 12:51:32.715102,130.0,184434646.33065692,24679275541.989487
2022-05-11 12:51:45.710685,130.0,184443058.33065692,24680369101.989487
2022-05-11 12:51:59.386172,130.0,184443058.33065692,24680369101.989487
2022-05-11 12:52:11.847577,130.0,184443059.05256772,24680369195.83789
2022-05-11 12:52:25.540192,130.0,184443059.05256772,24680369195.83789
2022-05-11 12:52:37.834972,129.0,184449075.52949077,24681150781.83789
2022-05-11 12:52:50.407594,129.0,184449075.52949077,24681150781.83789
2022-05-11 12:53:05.122851,130.0,184449114.37564462,24681155831.837887
2022-05-11 12:53:17.926038,130.0,184592496.00921997,24699772887.110683
2022-05-11 12:53:30.789453,130.0,184592496.00921997,24699772887.110683
2022-05-11 12:53:44.094121,129.0,184641178.2138553,24706052891.508644
2022-05-11 12:53:57.633914,130.0,184641412.7711072,24706083383.95139
2022-05-11 12:54:11.617972,130.0,184641800.55736676,24706133796.16513
2022-05-11 12:54:25.120896,130.0,184642108.49629804,24706173828.226196
2022-05-11 12:54:38.209577,130.0,184642152.54209957,24706179554.180397
2022-05-11 12:54:51.269038,130.0,184659075.61902264,24708379554.180397
2022-05-11 12:55:04.298596,130.0,184659075.61902264,24708379554.180397
2022-05-11 12:55:16.663647,130.0,184659075.61902264,24708379554.180397
2022-05-11 12:55:28.863476,130.0,184690812.61234406,24712496836.180397
2022-05-11 12:55:42.747852,130.0,184700232.80993757,24713721461.867554
2022-05-11 12:55:55.277686,130.0,184700232.80993757,24713721461.867554
2022-05-11 12:56:07.513033,130.0,184871851.46542165,24736031887.080486
2022-05-11 12:56:20.609671,130.0,184892756.46542165,24738749537.080486
2022-05-11 12:56:34.069525,131.0,184901831.5646583,24739929377.080486
2022-05-11 12:56:46.813241,130.0,184901874.5646583,24739934967.080486
2022-05-11 12:56:59.802305,131.0,184901913.11427662,24739940017.080486
2022-05-11 12:57:12.802965,131.0,184916590.18526897,24741862713.380486
2022-05-11 12:57:26.169113,130.0,184926573.18526897,24743160503.380486
2022-05-11 12:57:39.799390,130.0,184935937.7348873,24744377933.380486
2022-05-11 12:57:53.138557,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:58:06.672048,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:58:18.685067,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:58:31.116451,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:58:42.892003,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:58:54.296735,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:59:06.745566,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:59:19.545958,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:59:31.295847,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:59:43.812961,131.0,184935976.2845056,24744382983.380486
2022-05-11 12:59:54.981202,131.0,184935976.2845056,24744382983.380486
2022-05-11 13:00:07.855242,130.0,184936068.32754976,24744394948.97622
2022-05-11 13:00:20.730122,130.0,184936068.32754976,24744394948.97622
2022-05-11 13:00:33.926993,130.0,184936068.32754976,24744394948.97622
2022-05-11 13:00:46.127224,130.0,184936068.32754976,24744394948.97622
2022-05-11 13:00:58.287810,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:01:11.162033,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:01:24.952251,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:01:37.841929,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:01:49.708016,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:02:02.445082,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:02:14.369186,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:02:25.776193,131.0,184936106.87716806,24744399998.97622
2022-05-11 13:02:37.702778,130.0,185003107.87716806,24753110128.97622
2022-05-11 13:02:49.403148,131.0,185003146.4267864,24753115178.97622
2022-05-11 13:03:00.624869,131.0,185003146.4267864,24753115178.97622
2022-05-11 13:03:13.734778,131.0,185012877.9764047,24754380318.97622
2022-05-11 13:03:25.576327,130.0,185012999.68901655,24754396141.615757
2022-05-11 13:03:37.355653,131.0,185020631.19417742,24755388352.935528
2022-05-11 13:03:48.752116,131.0,185020631.19417742,24755388352.935528
2022-05-11 13:04:00.163004,131.0,185020631.19417742,24755388352.935528
2022-05-11 13:04:11.703745,130.0,185050410.19417742,24759259622.935528
2022-05-11 13:04:23.520603,130.0,185050410.19417742,24759259622.935528
2022-05-11 13:04:35.930823,130.0,185052578.19417742,24759541462.935528
2022-05-11 13:04:48.801302,130.0,185089798.29341406,24764380152.935528
2022-05-11 13:05:01.753648,130.0,185089798.29341406,24764380152.935528
2022-05-11 13:05:14.262867,130.0,185089798.29341406,24764380152.935528
2022-05-11 13:05:26.619970,130.0,185089798.29341406,24764380152.935528
2022-05-11 13:05:39.131781,130.0,185104612.29341406,24766305972.935528
2022-05-11 13:05:52.504985,130.0,185104612.29341406,24766305972.935528
2022-05-11 13:06:04.806953,131.0,185104650.8430324,24766311022.935528
2022-05-11 13:06:16.908124,131.0,185104650.8430324,24766311022.935528
2022-05-11 13:06:28.496837,131.0,185104650.8430324,24766311022.935528
2022-05-11 13:06:40.023807,130.0,185132311.37526527,24769906892.1258
2022-05-11 13:06:51.773496,130.0,185132311.37526527,24769906892.1258
2022-05-11 13:07:03.437923,131.0,185132349.92488357,24769911942.1258
2022-05-11 13:07:15.671105,131.0,185132349.92488357,24769911942.1258
2022-05-11 13:07:27.781803,131.0,185132349.92488357,24769911942.1258
2022-05-11 13:07:39.785249,130.0,185139514.92488357,24770843392.1258
2022-05-11 13:07:51.624566,131.0,185139553.4745019,24770848442.1258
2022-05-11 13:08:03.969513,131.0,185149593.0241202,24772153622.1258
2022-05-11 13:08:16.864371,130.0,185151829.0241202,24772444302.1258
2022-05-11 13:08:29.211120,130.0,185151829.0241202,24772444302.1258
2022-05-11 13:08:41.796444,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:08:54.742364,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:09:07.575104,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:09:20.784864,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:09:33.684303,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:09:46.008482,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:09:58.285225,131.0,185151867.57373855,24772449352.1258
2022-05-11 13:10:11.091089,131.0,185151906.035277,24772454390.58734
2022-05-11 13:10:23.171547,131.0,185151906.035277,24772454390.58734
2022-05-11 13:10:35.822747,131.0,185151906.035277,24772454390.58734
2022-05-11 13:10:47.641215,131.0,185155722.8291701,24772954390.587337
2022-05-11 13:11:00.598715,130.0,185180297.8291701,24776149140.587337
2022-05-11 13:11:14.239765,130.0,185221621.13686243,24781521170.587337
2022-05-11 13:11:27.039406,130.0,185231220.81798303,24782769129.13302
2022-05-11 13:11:39.403037,131.0,185402907.59279644,24805088448.40838
2022-05-11 13:11:52.083922,131.0,185402907.59279644,24805088448.40838
2022-05-11 13:12:04.559094,131.0,185402907.59279644,24805088448.40838
2022-05-11 13:12:18.250749,131.0,185402907.59279644,24805088448.40838
