,price,volume,value
2022-05-11 12:37:53.318654,2365.0,9627052.64444886,23450287225.096546
2022-05-11 12:38:06.108816,2370.0,9627342.34610486,23450973818.021267
2022-05-11 12:38:19.679762,2375.0,9627384.45136801,23451073818.021248
2022-05-11 12:38:32.503009,2375.0,9627392.87242063,23451093818.02122
2022-05-11 12:38:45.880092,2375.0,9627392.87242063,23451093818.02122
2022-05-11 12:38:59.280577,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:39:12.511294,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:39:25.258137,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:39:37.874983,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:39:50.647164,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:40:01.972706,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:40:13.610124,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:40:26.481202,2380.0,9627448.3073618,23451225753.181206
2022-05-11 12:40:39.455161,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:40:52.649785,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:41:04.465068,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:41:17.450081,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:41:30.656539,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:41:43.703962,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:41:55.769290,2370.0,9627451.25636075,23451232742.308716
2022-05-11 12:42:08.855501,2365.0,9628844.91458859,23454533807.308697
2022-05-11 12:42:21.140480,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:42:33.502097,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:42:45.660651,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:43:00.903345,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:43:14.098452,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:43:27.073128,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:43:40.423754,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:43:52.436827,2365.0,9628886.53625872,23454632242.558556
2022-05-11 12:44:05.294387,2365.0,9628965.80422912,23454819711.30855
2022-05-11 12:44:18.511613,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:44:30.494196,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:44:42.683532,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:44:56.042019,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:45:09.036318,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:45:20.572057,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:45:33.241061,2360.0,9629049.21475912,23455016560.15935
2022-05-11 12:45:45.949788,2360.0,9630249.27737379,23457848707.92997
2022-05-11 12:45:59.436183,2360.0,9630249.27737379,23457848707.92997
2022-05-11 12:46:12.779955,2360.0,9630249.27737379,23457848707.92997
2022-05-11 12:46:25.924970,2360.0,9630249.27737379,23457848707.92997
2022-05-11 12:46:39.383131,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:46:53.045528,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:47:06.357330,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:47:19.241611,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:47:32.932829,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:47:45.690143,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:47:59.226836,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:48:11.918273,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:48:25.194368,2360.0,9630598.54111586,23458672970.361256
2022-05-11 12:48:38.275042,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:48:52.627689,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:49:04.979381,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:49:17.823261,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:49:30.517417,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:49:43.676180,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:49:57.192366,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:50:10.006460,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:50:23.451958,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:50:37.197345,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:50:50.823582,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:51:04.170607,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:51:17.861959,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:51:32.158507,2365.0,9631065.28359663,23459776816.328278
2022-05-11 12:51:45.108261,2360.0,9636657.43243745,23472974287.592613
2022-05-11 12:51:57.893866,2360.0,9636660.10861942,23472980603.38206
2022-05-11 12:52:11.377103,2360.0,9636660.10861942,23472980603.38206
2022-05-11 12:52:25.067273,2355.0,9637372.8280773,23474659057.705368
2022-05-11 12:52:37.366127,2355.0,9637372.8280773,23474659057.705368
2022-05-11 12:52:49.923043,2355.0,9637372.8280773,23474659057.705368
2022-05-11 12:53:04.577879,2355.0,9637372.8280773,23474659057.705368
