,price,volume,value
2022-05-11 12:37:56.678668,3445.0,4851826.83188679,17316678806.198643
2022-05-11 12:38:09.785909,3440.0,4851931.63209253,17317039464.04427
2022-05-11 12:38:22.997324,3440.0,4851974.83885119,17317188095.29406
2022-05-11 12:38:36.340439,3440.0,4851974.83885119,17317188095.29406
2022-05-11 12:38:49.603740,3440.0,4851974.83885119,17317188095.29406
2022-05-11 12:39:02.727331,3445.0,4851977.74685119,17317198113.35406
2022-05-11 12:39:15.770974,3445.0,4851979.20085119,17317203122.38406
2022-05-11 12:39:28.583352,3445.0,4851986.47085119,17317228167.53406
2022-05-11 12:39:41.396804,3445.0,4851995.19485119,17317258221.71406
2022-05-11 12:39:53.941142,3445.0,4852001.01085119,17317278257.83406
2022-05-11 12:40:05.315875,3445.0,4852001.01085119,17317278257.83406
2022-05-11 12:40:16.756314,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:40:30.245011,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:40:42.838950,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:40:55.773888,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:41:08.117883,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:41:20.879187,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:41:34.268414,3445.0,4852292.07983048,17318280990.467716
2022-05-11 12:41:47.023607,3445.0,4852318.96624213,17318373614.15585
2022-05-11 12:41:59.166694,3445.0,4852318.96624213,17318373614.15585
2022-05-11 12:42:12.045674,3440.0,4852495.25845498,17318980059.368053
2022-05-11 12:42:24.626678,3435.0,4854366.27112556,17325406987.891495
2022-05-11 12:42:36.809476,3435.0,4854366.27112556,17325406987.891495
2022-05-11 12:42:49.091915,3435.0,4854366.27112556,17325406987.891495
2022-05-11 12:43:04.214449,3435.0,4854366.27112556,17325406987.891495
2022-05-11 12:43:17.525721,3435.0,4854657.81631506,17326408445.617428
2022-05-11 12:43:30.508242,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:43:43.724915,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:43:56.095645,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:44:08.851771,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:44:21.673427,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:44:33.796345,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:44:46.202463,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:44:59.607186,3440.0,4854686.8860825,17326508445.61742
2022-05-11 12:45:23.757138,3440.0,4854715.95584994,17326608445.617416
2022-05-11 12:45:36.526637,3440.0,4854715.95584994,17326608445.617416
2022-05-11 12:45:49.987089,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:46:03.134734,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:46:16.334810,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:46:29.227906,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:46:43.508487,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:46:56.546146,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:47:09.909812,3435.0,4855260.95130822,17328480505.016605
2022-05-11 12:47:22.924752,3435.0,4855270.04995657,17328511758.873688
2022-05-11 12:47:36.409583,3435.0,4855270.04995657,17328511758.873688
2022-05-11 12:47:49.096694,3435.0,4855270.04995657,17328511758.873688
2022-05-11 12:48:02.462082,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:48:15.481214,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:48:28.785090,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:48:42.507229,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:48:56.067340,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:49:08.661335,3435.0,4855998.91293032,17331015403.188522
2022-05-11 12:49:21.400856,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:49:34.268368,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:49:47.296758,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:50:00.766047,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:50:13.771665,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:50:27.645882,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:50:40.696647,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:50:54.780110,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:51:07.872104,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:51:21.712780,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:51:36.201436,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:51:48.700720,3440.0,4856027.98269776,17331115403.188515
2022-05-11 12:52:02.090194,3435.0,4856209.7265866,17331739700.84668
2022-05-11 12:52:15.261326,3435.0,4856209.7265866,17331739700.84668
2022-05-11 12:52:28.188540,3430.0,4856212.6865866,17331749861.04668
2022-05-11 12:52:40.564314,3430.0,4856212.6865866,17331749861.04668
2022-05-11 12:52:53.185086,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:53:07.734889,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:53:20.962424,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:53:33.939518,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:53:47.327399,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:54:00.592601,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:54:14.637888,3430.0,4856264.00869642,17331925895.88336
2022-05-11 12:54:27.897101,3430.0,4856314.12053737,17332097779.49782
2022-05-11 12:54:41.229231,3430.0,4856314.12053737,17332097779.49782
2022-05-11 12:54:54.105305,3430.0,4856314.12053737,17332097779.49782
2022-05-11 12:55:07.478901,3435.0,4856343.23261888,17332197779.497807
2022-05-11 12:55:19.566536,3430.0,4856868.01395999,17333997779.497814
2022-05-11 12:55:31.577752,3430.0,4856954.4978931,17334294419.388382
2022-05-11 12:55:45.694225,3430.0,4856960.26203304,17334314190.38838
2022-05-11 12:55:58.189104,3430.0,4856960.26203304,17334314190.38838
2022-05-11 12:56:10.141072,3430.0,4856960.26203304,17334314190.38838
2022-05-11 12:56:23.662322,3425.0,4856963.22203304,17334324335.788376
2022-05-11 12:56:37.013355,3425.0,4857292.54655757,17335452272.284893
2022-05-11 12:56:50.063868,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:57:02.517880,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:57:15.691866,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:57:29.233534,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:57:42.931926,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:57:56.117259,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:58:09.113890,3425.0,4857641.98740523,17336649107.188126
2022-05-11 12:58:21.491538,3425.0,4857765.73674312,17337072948.6704
2022-05-11 12:58:33.753264,3425.0,4857765.73674312,17337072948.6704
2022-05-11 12:58:45.548551,3420.0,4858442.56615066,17339387705.244186
2022-05-11 12:58:57.342540,3420.0,4858442.56615066,17339387705.244186
2022-05-11 12:59:09.838503,3420.0,4858442.56615066,17339387705.244186
2022-05-11 12:59:22.094946,3420.0,4858442.56615066,17339387705.244186
2022-05-11 12:59:34.190091,3420.0,4858442.56615066,17339387705.244186
2022-05-11 12:59:46.421804,3420.0,4858471.6359181,17339487123.84883
2022-05-11 12:59:58.330995,3420.0,4858495.01156136,17339567068.548782
2022-05-11 13:00:11.203333,3420.0,4858495.01156136,17339567068.548782
2022-05-11 13:00:23.534102,3420.0,4858495.01156136,17339567068.548782
2022-05-11 13:00:36.750465,3420.0,4858495.01156136,17339567068.548782
2022-05-11 13:00:49.014790,3420.0,4858495.01156136,17339567068.548782
2022-05-11 13:01:01.108010,3420.0,4858864.03757466,17340829137.514267
2022-05-11 13:01:14.214180,3420.0,4858864.03757466,17340829137.514267
2022-05-11 13:01:28.210852,3420.0,4858868.8347384,17340845543.81426
2022-05-11 13:01:40.739287,3420.0,4858868.8347384,17340845543.81426
2022-05-11 13:01:52.493814,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:02:05.204162,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:02:16.949831,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:02:28.429248,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:02:40.419029,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:02:51.993257,3420.0,4859030.40638709,17341398118.85278
2022-05-11 13:03:04.368489,3420.0,4859111.89761516,17341676826.308918
2022-05-11 13:03:28.394067,3420.0,4859111.89761516,17341676826.308918
2022-05-11 13:03:39.932188,3420.0,4859111.89761516,17341676826.308918
2022-05-11 13:03:51.512771,3425.0,4859311.89761516,17342361826.308918
2022-05-11 13:04:02.891112,3425.0,4859311.89761516,17342361826.308918
2022-05-11 13:04:14.565527,3420.0,4859379.34351032,17342592491.270363
2022-05-11 13:04:26.276439,3420.0,4859842.29411323,17344175782.332317
2022-05-11 13:04:38.809101,3420.0,4859842.29411323,17344175782.332317
2022-05-11 13:04:51.545636,3425.0,4861066.43090155,17348368450.832314
2022-05-11 13:05:04.558265,3425.0,4861066.43090155,17348368450.832314
2022-05-11 13:05:17.161143,3425.0,4861066.43090155,17348368450.832314
2022-05-11 13:05:29.498465,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:05:41.992295,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:05:55.160289,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:06:07.692107,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:06:19.791002,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:06:31.118652,3420.0,4861071.54022262,17348385924.710373
2022-05-11 13:06:42.765018,3425.0,4861073.71744889,17348393381.710346
2022-05-11 13:06:54.383447,3425.0,4861073.71744889,17348393381.710346
2022-05-11 13:07:06.076043,3425.0,4861073.71744889,17348393381.710346
2022-05-11 13:07:18.362272,3430.0,4863052.93676429,17355173100.286263
2022-05-11 13:07:30.559311,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:07:42.307428,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:07:54.492968,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:08:07.022608,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:08:19.605429,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:08:32.121366,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:08:44.826230,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:08:57.910667,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:09:10.393175,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:09:23.526739,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:09:36.438522,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:09:48.781840,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:10:00.936765,3435.0,4863471.49748219,17356610728.57754
2022-05-11 13:10:13.815536,3425.0,4863480.49748219,17356641568.154804
2022-05-11 13:10:25.931172,3425.0,4863480.49748219,17356641568.154804
2022-05-11 13:10:38.385344,3425.0,4863480.49748219,17356641568.154804
2022-05-11 13:10:50.727677,3425.0,4863480.49748219,17356641568.154804
2022-05-11 13:11:03.843968,3425.0,4863480.49748219,17356641568.154804
2022-05-11 13:11:17.268960,3430.0,4864671.80779088,17360727762.51361
2022-05-11 13:11:29.960151,3440.0,4864674.86011646,17360738262.513603
2022-05-11 13:11:42.474827,3440.0,4865189.72465134,17362509396.51359
2022-05-11 13:11:54.809637,3440.0,4865189.72465134,17362509396.51359
2022-05-11 13:12:07.567010,3425.0,4865193.68770578,17362522969.975048
2022-05-11 13:12:21.476332,3425.0,4865193.68770578,17362522969.975048
2022-05-11 13:12:36.148769,3425.0,4865193.68770578,17362522969.975048
2022-05-11 13:12:49.152790,3425.0,4865193.68770578,17362522969.975048
2022-05-11 13:13:02.995799,3425.0,4865193.68770578,17362522969.975048
2022-05-11 13:13:18.344276,3425.0,4868522.38603477,17373923761.75184
2022-05-11 13:13:33.048810,3425.0,4869563.71726419,17377490321.212605
2022-05-11 13:13:45.882530,3425.0,4869568.71726419,17377507446.212605
2022-05-11 13:13:58.713384,3425.0,4869568.71726419,17377507446.212605
2022-05-11 13:14:13.005208,3425.0,4869568.71726419,17377507446.212605
2022-05-11 13:14:26.217189,3425.0,4869568.71726419,17377507446.212605
2022-05-11 13:14:40.421921,3425.0,4869570.75281163,17377514417.962585
2022-05-11 13:14:53.897041,3425.0,4869570.75281163,17377514417.962585
2022-05-11 13:15:06.925213,3425.0,4869570.75281163,17377514417.962585
2022-05-11 13:15:21.286292,3425.0,4870136.20730229,17379451099.593094
2022-05-11 13:15:34.940395,3425.0,4870136.20730229,17379451099.593094
2022-05-11 13:15:49.796551,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:16:03.631164,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:16:17.530133,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:16:31.295647,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:16:44.377534,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:16:58.033916,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:17:11.194852,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:17:24.664821,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:17:37.474372,3425.0,4870643.26681601,17381187778.427586
2022-05-11 13:17:49.573046,3420.0,4873147.03863592,17389760326.84918
