,price,volume,value
2022-05-11 12:37:50.991925,105.0,3450146723.8320627,362392763219.11884
2022-05-11 12:38:03.583144,105.0,3450373486.274128,362416570637.16016
2022-05-11 12:38:17.398744,105.0,3450407997.9880214,362420191721.89557
2022-05-11 12:38:30.280114,105.0,3450418459.00775,362421288855.8526
2022-05-11 12:38:43.692650,104.0,3450445514.410577,362424104036.00977
2022-05-11 12:38:56.881025,104.0,3450473864.885628,362427078056.3131
2022-05-11 12:39:09.832415,104.0,3450676971.350783,362448387783.43
2022-05-11 12:39:22.820826,104.0,3450707218.7160444,362451540327.15356
2022-05-11 12:39:35.687195,104.0,3450779187.8708954,362459046816.6502
2022-05-11 12:39:48.399445,105.0,3450824984.3613844,362463846459.3872
2022-05-11 12:40:00.022465,104.0,3450861260.931875,362467646226.4422
2022-05-11 12:40:11.554792,104.0,3450889685.18975,362470622473.529
2022-05-11 12:40:23.897564,104.0,3451080668.612898,362490493249.95544
2022-05-11 12:40:36.856845,105.0,3451466476.434168,362530626134.7297
2022-05-11 12:40:50.082075,105.0,3451494592.248392,362533553725.3573
2022-05-11 12:41:02.346034,105.0,3451514497.625654,362535639369.5959
2022-05-11 12:41:15.302900,105.0,3451529579.4153523,362537216065.8325
2022-05-11 12:41:28.132230,105.0,3451560062.1705384,362540409925.5303
2022-05-11 12:41:41.655001,105.0,3451575093.208433,362541976887.11414
2022-05-11 12:41:53.655930,104.0,3451624493.9902644,362547127458.9582
2022-05-11 12:42:06.239912,105.0,3451686943.5867896,362553626348.9766
2022-05-11 12:42:18.974209,105.0,3452111450.6550837,362597779579.65875
2022-05-11 12:42:31.364880,104.0,3452672901.3002067,362656201336.3449
2022-05-11 12:42:43.286928,105.0,3452693555.9760103,362658350632.5263
2022-05-11 12:42:58.528121,105.0,3453300231.9370146,362721473209.21484
2022-05-11 12:43:11.337649,104.0,3453311622.2496166,362722660184.14026
2022-05-11 12:43:24.580523,104.0,3453332567.7737045,362724844786.4692
2022-05-11 12:43:37.899460,105.0,3453401062.0294695,362731994266.7804
