,price,volume,value
2022-05-11 12:37:54.458654,9.11,1289937465.9599295,11789154023.67143
2022-05-11 12:38:07.159188,9.11,1289937465.9599295,11789154023.67143
2022-05-11 12:38:20.684773,9.11,1289937465.9599295,11789154023.67143
2022-05-11 12:38:33.593111,9.11,1289937465.9599295,11789154023.67143
2022-05-11 12:38:47.136456,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:39:00.414962,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:39:13.507914,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:39:26.376288,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:39:39.068598,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:39:51.808722,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:40:03.196994,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:40:14.577217,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:40:27.569198,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:40:40.527118,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:40:53.756350,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:41:05.583319,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:41:18.690886,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:41:31.699314,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:41:44.683280,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:41:57.030415,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:42:09.823757,9.12,1289942465.9599295,11789199623.67143
2022-05-11 12:42:22.179313,9.12,1289975464.738318,11789500572.530334
2022-05-11 12:42:34.571886,9.12,1289975464.738318,11789500572.530334
2022-05-11 12:42:47.002958,9.12,1289976228.0970967,11789507534.362394
2022-05-11 12:43:01.945346,9.12,1289976228.0970967,11789507534.362394
2022-05-11 12:43:15.141759,9.12,1290052060.2855737,11790199123.921305
2022-05-11 12:43:28.192512,9.12,1290052060.2855737,11790199123.921305
2022-05-11 12:43:41.635362,9.12,1290052060.2855737,11790199123.921305
2022-05-11 12:43:53.705602,9.11,1290156989.9134696,11791155032.831436
2022-05-11 12:44:06.309335,9.11,1290156989.9134696,11791155032.831436
2022-05-11 12:44:19.523907,9.11,1290156989.9134696,11791155032.831436
2022-05-11 12:44:31.474035,9.11,1290156989.9134696,11791155032.831436
2022-05-11 12:44:43.940384,9.1,1290314210.6873443,11792585741.873697
2022-05-11 12:44:57.160600,9.1,1290314210.6873443,11792585741.873697
2022-05-11 12:45:10.169893,9.1,1290314210.6873443,11792585741.873697
2022-05-11 12:45:21.494825,9.1,1290380170.6666505,11793185977.685385
2022-05-11 12:45:34.405510,9.1,1290392170.6666505,11793295177.685385
