,price,volume,value
2022-05-11 12:37:59.349212,0.0778,370724363149.8747,29781783365.349182
2022-05-11 12:38:12.805179,0.078,370725100937.2769,29781840816.491127
2022-05-11 12:38:25.598931,0.078,370725100937.2769,29781840816.491127
2022-05-11 12:38:39.268684,0.078,370725100937.2769,29781840816.491127
2022-05-11 12:38:51.927197,0.0778,370736319686.2393,29782715821.246845
2022-05-11 12:39:05.240848,0.078,370739801129.06836,29782987344.955837
2022-05-11 12:39:18.456713,0.0779,370740065269.7137,29783007921.512108
2022-05-11 12:39:31.310172,0.0778,370746717011.293,29783525496.870193
2022-05-11 12:39:44.062007,0.0779,370747871696.78723,29783615446.870193
2022-05-11 12:39:56.256027,0.0778,370750898897.78723,29783850963.107994
2022-05-11 12:40:07.578822,0.0778,370750898897.78723,29783850963.107994
2022-05-11 12:40:19.405317,0.0778,370753118939.49414,29784023682.35279
2022-05-11 12:40:32.848008,0.0778,370753118939.49414,29784023682.35279
2022-05-11 12:40:45.501474,0.0778,370753673945.01025,29784066861.781944
2022-05-11 12:40:58.156193,0.0778,370753673945.01025,29784066861.781944
2022-05-11 12:41:10.935685,0.0778,370770703356.77496,29785391750.01724
2022-05-11 12:41:23.705210,0.0778,370778531543.77496,29786000782.965836
2022-05-11 12:41:37.202233,0.0778,370782378487.23975,29786300075.167397
2022-05-11 12:41:49.532081,0.0778,370787324786.23975,29786684897.2296
2022-05-11 12:42:01.676883,0.0778,370789678998.3978,29786868054.935497
2022-05-11 12:42:14.697287,0.0778,370792734973.13025,29787105809.76968
2022-05-11 12:42:27.072864,0.0778,370799078333.6031,29787599323.21447
2022-05-11 12:42:39.201090,0.0777,370801704567.43524,29787803456.14471
2022-05-11 12:42:52.395047,0.0777,370805577788.1651,29788104405.395416
2022-05-11 12:43:06.726120,0.0778,370822255584.8362,29789400880.54583
2022-05-11 12:43:20.336294,0.0778,370824826278.9236,29789600880.54583
2022-05-11 12:43:33.171264,0.0778,370824826278.9236,29789600880.54583
2022-05-11 12:43:46.221257,0.0778,370824826278.9236,29789600880.54583
2022-05-11 12:43:58.485768,0.0778,370824826278.9236,29789600880.54583
2022-05-11 12:44:11.167955,0.0776,370900151882.29803,29795448850.957447
2022-05-11 12:44:24.121030,0.0776,370900151882.29803,29795448850.957447
2022-05-11 12:44:36.319270,0.0776,370900151882.29803,29795448850.957447
2022-05-11 12:44:48.980996,0.0776,370900151882.29803,29795448850.957447
2022-05-11 12:45:02.448783,0.0776,370900151882.29803,29795448850.957447
2022-05-11 12:45:14.732134,0.0776,370905508584.77386,29795864531.069572
2022-05-11 12:45:25.962872,0.0775,370966149075.3805,29800564511.338825
2022-05-11 12:45:39.284952,0.0775,370966149075.3805,29800564511.338825
2022-05-11 12:45:52.417620,0.0774,370978334956.48,29801507812.96565
2022-05-11 12:46:05.581428,0.0773,371045240660.01855,29806679812.93381
2022-05-11 12:46:18.827565,0.0773,371060736338.8037,29807877566.180294
2022-05-11 12:46:31.748014,0.0773,371065300470.6137,29808230373.569202
2022-05-11 12:46:46.022656,0.0774,371073403961.2848,29808857583.747147
2022-05-11 12:46:58.972496,0.0774,371103403961.2848,29811179583.747147
2022-05-11 12:47:12.512956,0.0774,371103403961.2848,29811179583.747147
2022-05-11 12:47:25.678199,0.0774,371138403961.2848,29813888592.053318
2022-05-11 12:47:38.930231,0.0774,371202026579.5892,29818812982.71007
2022-05-11 12:47:51.886732,0.0774,371202026579.5892,29818812982.71007
2022-05-11 12:48:04.925820,0.0775,371204372945.5892,29818994826.075073
2022-05-11 12:48:17.897043,0.0775,371224511804.8144,29820556084.71007
2022-05-11 12:48:31.324172,0.0775,371224511804.8144,29820556084.71007
2022-05-11 12:48:45.365370,0.0777,371230943593.74615,29821055834.71007
2022-05-11 12:48:58.561435,0.0775,371231483214.5212,29821097655.320137
2022-05-11 12:49:11.429004,0.0775,371234083030.9874,29821299141.09627
2022-05-11 12:49:23.844431,0.0775,371234083030.9874,29821299141.09627
