,price,volume,value
2022-05-11 12:37:48.996902,80.3,307979762.63808435,26171189070.28799
2022-05-11 12:38:01.812238,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:38:15.597823,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:38:28.267710,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:38:42.016440,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:38:54.796098,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:39:07.796569,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:39:21.040406,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:39:34.021615,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:39:46.509051,80.4,307986731.4747933,26171749114.759396
2022-05-11 12:39:58.520822,80.4,307987102.03138536,26171778907.509396
2022-05-11 12:40:09.954112,80.4,307987102.03138536,26171778907.509396
2022-05-11 12:40:22.033947,80.2,308005289.157737,26173238810.77956
2022-05-11 12:40:35.238462,80.2,308005289.157737,26173238810.77956
2022-05-11 12:40:48.404690,80.2,308005289.157737,26173238810.77956
2022-05-11 12:41:00.773625,80.2,308005289.157737,26173238810.77956
2022-05-11 12:41:13.609904,80.2,308005289.157737,26173238810.77956
2022-05-11 12:41:26.393620,80.2,308005289.157737,26173238810.77956
2022-05-11 12:41:39.933549,80.2,308005289.157737,26173238810.77956
2022-05-11 12:41:51.967308,80.2,308005289.157737,26173238810.77956
2022-05-11 12:42:04.334151,80.2,308005289.157737,26173238810.77956
2022-05-11 12:42:17.418195,80.3,308005389.157737,26173246840.77956
2022-05-11 12:42:29.572999,80.2,308019519.157737,26174380066.77956
2022-05-11 12:42:41.700153,80.2,308044787.177555,26176406561.968964
2022-05-11 12:42:56.773262,80.2,308050532.177555,26176867310.968964
2022-05-11 12:43:09.543218,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:43:22.825327,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:43:35.768793,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:43:48.548536,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:44:00.914066,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:44:14.137291,80.2,308056339.5341635,26177333060.968964
2022-05-11 12:44:26.498091,80.1,308083843.6380308,26179536139.688736
2022-05-11 12:44:38.734000,80.1,308089588.6380308,26179996314.188736
2022-05-11 12:44:51.444045,80.1,308089588.6380308,26179996314.188736
2022-05-11 12:45:04.855168,80.0,308111440.2753514,26181744445.17438
2022-05-11 12:45:17.031679,80.0,308130775.0099124,26183291223.939262
2022-05-11 12:45:29.071393,80.0,308130775.0099124,26183291223.939262
2022-05-11 12:45:41.992964,80.0,308130775.0099124,26183291223.939262
2022-05-11 12:45:55.042396,80.0,308130775.0099124,26183291223.939262
